date,open,high,low,close,volume
2023-10-03,19.65000,19.90000,19.30000,19.65000,4453
2023-10-04,20.00000,20.00000,19.25000,19.40000,4781
2023-10-05,19.25000,19.60000,19.10000,19.50000,2800
2023-10-06,19.50000,19.75000,19.15000,19.20000,6299
2023-10-09,19.25000,19.40000,18.85000,18.95000,4090
2023-10-10,18.90000,19.25000,18.70000,19.10000,2899
2023-10-11,19.05000,19.20000,18.75000,19.00000,6436
2023-10-12,19.00000,19.00000,18.80000,18.90000,719
2023-10-13,18.95000,19.05000,18.90000,19.05000,936
2023-10-16,19.30000,19.30000,18.90000,18.95000,1495
2023-10-17,19.00000,19.30000,18.70000,19.30000,11114
2023-10-18,19.25000,19.60000,19.10000,19.35000,2149
2023-10-19,19.30000,19.50000,19.00000,19.25000,1367
2023-10-20,19.25000,19.60000,19.20000,19.20000,17368
2023-10-23,19.20000,19.40000,18.85000,18.85000,13140
2023-10-25,18.90000,19.20000,18.50000,18.50000,9217
2023-10-26,18.30000,18.75000,18.20000,18.50000,6333
2023-10-27,18.50000,18.50000,18.15000,18.30000,1101
2023-10-30,18.20000,18.50000,18.15000,18.25000,2663
2023-10-31,18.50000,18.50000,17.90000,18.10000,6366
2023-11-01,17.95000,18.30000,17.80000,17.95000,3779
2023-11-02,18.25000,18.30000,18.00000,18.15000,3700
2023-11-03,18.50000,18.50000,17.95000,18.05000,2860
2023-11-06,18.05000,18.35000,17.75000,18.10000,4300
2023-11-07,18.15000,18.20000,17.75000,17.80000,6225
2023-11-08,18.10000,18.15000,17.95000,18.00000,4431
2023-11-09,18.10000,18.35000,17.70000,18.35000,13735
2023-11-10,18.70000,18.70000,18.70000,18.70000,617
2023-11-13,19.40000,19.40000,19.40000,19.40000,1414
2023-11-15,19.75000,19.75000,19.75000,19.75000,1150
2023-11-16,20.10000,20.10000,20.10000,20.10000,9094
2023-11-17,20.50000,20.50000,20.50000,20.50000,2890
2023-11-20,20.90000,20.90000,20.90000,20.90000,1221
2023-11-21,21.30000,21.30000,21.30000,21.30000,5474
2023-11-22,21.70000,21.70000,21.35000,21.70000,19828
2023-11-23,22.10000,22.10000,21.75000,22.10000,33346
2023-11-24,22.50000,22.50000,22.35000,22.50000,14838
2023-11-28,22.95000,22.95000,22.80000,22.95000,8154
2023-11-29,23.40000,23.40000,23.30000,23.40000,35335
2023-11-30,23.85000,23.85000,23.85000,23.85000,8237
2023-12-01,24.30000,24.30000,24.30000,24.30000,12738
2023-12-04,24.75000,24.75000,24.75000,24.75000,4633
2023-12-05,25.20000,25.20000,25.20000,25.20000,8390
2023-12-06,25.70000,25.70000,25.70000,25.70000,5261
2023-12-07,26.20000,26.20000,26.20000,26.20000,17496
2023-12-08,26.70000,26.70000,26.70000,26.70000,2823
2023-12-11,27.20000,27.20000,27.20000,27.20000,3493
2023-12-12,27.70000,27.70000,27.70000,27.70000,3027
2023-12-13,28.25000,28.25000,28.25000,28.25000,9909
2023-12-14,28.80000,28.80000,28.80000,28.80000,27278
2023-12-15,29.35000,29.35000,29.35000,29.35000,4124
2023-12-18,29.90000,29.90000,29.90000,29.90000,14724
2023-12-19,30.45000,30.45000,30.45000,30.45000,3131
2023-12-20,31.05000,31.05000,31.05000,31.05000,21513
2023-12-21,31.65000,31.65000,31.65000,31.65000,14864
2023-12-22,32.25000,32.25000,32.25000,32.25000,6944
2023-12-26,32.85000,32.85000,32.85000,32.85000,5967
2023-12-27,33.50000,33.50000,32.20000,32.20000,161717
2023-12-28,32.45000,32.80000,31.55000,32.65000,51053
2023-12-29,33.30000,33.30000,32.00000,32.95000,23894
2024-01-01,33.30000,33.50000,32.30000,32.30000,16413
2024-01-02,31.65000,32.55000,31.65000,31.65000,2296
2024-01-03,31.05000,31.05000,31.05000,31.05000,2719
2024-01-04,30.45000,30.45000,30.45000,30.45000,3685
2024-01-05,29.85000,31.05000,29.85000,31.05000,15851
2024-01-08,31.60000,31.65000,30.50000,31.65000,11034
2024-01-09,32.25000,32.25000,32.25000,32.25000,14171
2024-01-10,32.85000,32.85000,32.85000,32.85000,1918
2024-01-11,33.50000,33.50000,33.50000,33.50000,6658
2024-01-12,34.15000,34.15000,34.15000,34.15000,1320
2024-01-15,34.80000,34.80000,34.80000,34.80000,5973
2024-01-16,35.45000,35.45000,35.45000,35.45000,12397
2024-01-17,36.15000,36.15000,36.15000,36.15000,16382
2024-01-18,36.85000,36.85000,35.50000,36.85000,43043
2024-01-19,37.55000,37.55000,37.55000,37.55000,3876
2024-01-23,39.05000,39.05000,39.05000,39.05000,2473
2024-01-24,39.80000,39.80000,39.80000,39.80000,1086
2024-01-25,40.55000,40.55000,40.55000,40.55000,4838
2024-01-29,41.35000,41.35000,41.35000,41.35000,2478
