date,open,high,low,close,volume
2016-02-04,18.80000,20.75000,18.60000,20.29000,2879700
2016-02-05,19.90000,20.62000,19.23000,19.36000,2686700
2016-02-08,19.09000,19.14000,17.40000,17.76000,2398700
2016-02-09,17.38000,19.29000,16.64000,18.48000,2147100
2016-02-10,18.60000,19.65000,18.08000,18.23000,1567600
2016-02-11,17.85000,17.86000,16.65000,17.55000,2158300
2016-02-12,18.10000,18.49000,17.28000,18.26000,2409500
2016-02-16,18.70000,19.15000,18.25000,18.82000,2058200
2016-02-17,18.93000,20.65000,18.69000,20.62000,2606400
2016-02-18,20.81000,21.04000,19.15000,19.22000,2022800
2016-02-19,19.13000,19.87000,18.64000,19.76000,1735900
2016-02-22,20.35000,20.50000,19.61000,20.12000,1744700
2016-02-23,19.92000,20.93000,19.17000,19.19000,1486000
2016-02-24,18.93000,19.15000,17.60000,19.12000,1884200
2016-02-25,19.14000,19.76000,18.14000,18.48000,1743800
2016-02-26,18.72000,18.96000,18.22000,18.73000,1733600
2016-02-29,18.71000,19.24000,17.25000,17.26000,2204700
2016-03-01,17.50000,19.18000,17.02000,19.15000,2733400
2016-03-02,19.21000,21.14000,18.85000,20.36000,2502100
2016-03-03,20.48000,21.46000,20.02000,21.46000,2467200
2016-03-04,21.53000,22.09000,20.56000,21.20000,2232300
2016-03-07,21.04000,22.27000,20.60000,21.76000,2096400
2016-03-08,21.53000,21.99000,19.55000,19.60000,1968900
2016-03-09,19.79000,19.87000,18.65000,19.35000,2007900
2016-03-10,19.61000,20.06000,18.60000,19.26000,1573700
2016-03-11,19.48000,20.22000,19.13000,20.19000,1742500
2016-03-14,20.18000,20.53000,19.80000,20.32000,1951100
2016-03-15,20.14000,20.69000,19.45000,19.65000,1644400
2016-03-16,19.50000,20.07000,18.90000,19.39000,1664300
2016-03-17,19.23000,19.85000,18.40000,19.53000,1974900
2016-03-18,19.57000,19.88000,18.99000,19.79000,3040500
2016-03-21,19.73000,21.80000,19.68000,21.53000,2925800
2016-03-22,21.23000,22.86000,21.20000,22.64000,3147500
2016-03-23,22.61000,23.30000,20.03000,20.25000,4008500
2016-03-24,20.28000,21.04000,19.32000,20.31000,2319000
2016-03-28,24.48000,25.49000,23.55000,23.81000,14038800
2016-03-29,23.81000,23.81000,23.81000,23.81000,1200000
2016-03-30,28.57000,28.85000,25.33000,26.01000,18298600
2016-03-31,25.97000,28.50000,25.53000,27.96000,8444000
2016-04-01,27.87000,29.03000,27.46000,28.66000,5932900
2016-04-04,29.55000,31.79000,29.01000,30.06000,7362600
2016-04-05,29.95000,31.27000,29.54000,29.90000,3196400
2016-04-06,30.39000,32.89000,30.04000,32.86000,4933200
2016-04-07,32.70000,34.06000,31.80000,32.26000,3932000
2016-04-08,32.90000,33.10000,31.29000,31.78000,2396400
2016-04-11,32.18000,32.40000,30.90000,31.11000,2360100
2016-04-12,31.07000,32.34000,30.43000,32.24000,2793100
2016-04-13,32.56000,33.31000,31.82000,33.22000,2738100
2016-04-14,33.34000,35.14000,33.24000,33.79000,3750500
2016-04-15,33.68000,33.97000,32.92000,33.52000,3696200
2016-04-18,33.42000,33.86000,32.85000,33.47000,2283200
2016-04-19,33.50000,34.43000,33.15000,33.66000,2381400
2016-04-20,33.70000,34.28000,32.95000,33.35000,1881200
2016-04-21,33.35000,34.22000,33.00000,33.69000,2268200
2016-04-22,33.60000,34.19000,32.35000,34.02000,2329200
2016-04-25,33.94000,35.18000,33.75000,34.18000,1967600
2016-04-26,34.17000,34.50000,31.77000,32.62000,2905000
2016-04-27,32.18000,33.05000,31.00000,32.63000,2619600
2016-04-28,32.48000,33.57000,32.08000,32.40000,2084000
2016-04-29,33.04000,33.15000,31.74000,32.30000,2102000
2016-05-02,34.16000,34.25000,30.58000,33.00000,8115400
2016-05-03,31.81000,32.21000,29.75000,30.00000,4298600
2016-05-04,29.03000,29.65000,27.19000,27.53000,4725000
2016-05-05,27.89000,27.95000,26.56000,27.05000,3572500
2016-05-06,28.03000,28.50000,26.50000,27.65000,2952200
2016-05-09,27.66000,29.51000,27.25000,29.25000,2852700
2016-05-10,29.56000,29.94000,28.46000,29.81000,2350400
2016-05-11,29.55000,30.29000,28.41000,28.49000,2110300
2016-05-12,28.70000,28.82000,27.17000,27.81000,1930600
2016-05-13,27.63000,28.80000,27.63000,28.11000,1562000
2016-05-16,28.16000,30.18000,28.16000,30.03000,2539600
2016-05-17,29.93000,32.72000,29.90000,31.71000,4316300
2016-05-18,31.44000,32.95000,31.44000,32.51000,3186100
2016-05-19,32.27000,33.48000,32.00000,32.84000,2201000
2016-05-20,32.98000,34.13000,32.88000,34.04000,3147700
2016-05-23,33.98000,34.80000,33.56000,34.25000,2114300
2016-05-24,34.53000,35.43000,34.26000,34.90000,2327600
2016-05-25,35.28000,35.70000,34.47000,35.27000,2674600
2016-05-26,35.05000,35.22000,34.35000,34.90000,1772500
2016-05-27,34.90000,35.62000,34.36000,35.61000,1524400
2016-05-31,36.21000,36.40000,35.23000,35.43000,2884600
2016-06-01,35.83000,35.89000,35.08000,35.51000,1694000
2016-06-02,35.40000,36.88000,35.40000,36.81000,2790700
2016-06-03,36.77000,36.83000,34.63000,36.07000,2902400
2016-06-06,36.94000,40.73000,36.48000,40.68000,5709500
2016-06-07,40.68000,41.38000,39.50000,40.58000,2633300
2016-06-08,40.80000,42.29000,40.50000,41.55000,2406900
2016-06-09,41.33000,42.49000,40.08000,40.21000,2769500
2016-06-10,39.49000,39.67000,38.20000,39.60000,2756800
2016-06-13,39.13000,39.42000,37.28000,38.10000,3119300
2016-06-14,37.84000,39.45000,37.30000,39.21000,2160500
2016-06-15,39.30000,39.49000,38.13000,38.17000,2177800
2016-06-16,37.90000,38.51000,37.15000,38.35000,1759900
2016-06-17,38.53000,38.69000,37.34000,37.41000,2931300
2016-06-20,38.28000,38.40000,37.26000,37.40000,1898200
2016-06-21,37.50000,37.52000,34.32000,34.99000,3554900
2016-06-22,33.89000,35.26000,32.79000,33.50000,3401600
2016-06-23,33.50000,33.96000,32.52000,33.50000,2610900
2016-06-24,30.88000,32.90000,30.09000,31.43000,9672300
2016-06-27,31.03000,31.63000,29.45000,30.30000,2787900
2016-06-28,30.98000,31.87000,30.68000,31.66000,2193600
2016-06-29,32.04000,32.72000,31.61000,32.38000,1874800
2016-06-30,31.21000,32.85000,31.21000,32.46000,1652800
2016-07-01,32.32000,34.38000,32.28000,34.25000,1894500
2016-07-05,33.90000,33.90000,32.20000,32.64000,2012500
2016-07-06,32.32000,33.64000,32.14000,33.61000,1408300
2016-07-07,33.72000,34.34000,32.95000,33.51000,1122000
2016-07-08,33.59000,34.84000,33.05000,34.62000,1825000
2016-07-11,34.99000,35.18000,33.87000,33.92000,1395100
2016-07-12,34.37000,35.06000,34.29000,34.68000,1302000
2016-07-13,35.02000,35.02000,32.80000,32.92000,1632600
2016-07-14,33.31000,33.38000,32.01000,32.62000,1241200
2016-07-15,32.72000,33.24000,32.36000,33.00000,1069400
2016-07-18,33.00000,33.71000,32.77000,33.25000,1321900
2016-07-19,33.16000,33.29000,32.60000,32.74000,908400
2016-07-20,33.18000,35.65000,33.13000,34.65000,3422300
2016-07-21,35.60000,37.65000,35.46000,36.06000,3170400
2016-07-22,36.35000,37.06000,35.65000,36.55000,1522500
2016-07-25,36.63000,36.75000,35.53000,36.31000,1493400
2016-07-26,36.13000,37.05000,35.58000,36.79000,1380400
2016-07-27,36.92000,37.59000,36.72000,37.44000,1417500
2016-07-28,37.41000,37.99000,36.34000,36.74000,1345300
2016-07-29,36.62000,37.20000,35.91000,37.04000,1210800
2016-08-01,36.99000,37.94000,36.65000,37.23000,1500100
2016-08-02,37.00000,37.10000,35.32000,36.59000,1689500
2016-08-03,36.44000,37.38000,36.00000,37.17000,1402400
2016-08-04,37.12000,38.08000,36.32000,36.48000,1969900
2016-08-05,35.55000,37.11000,34.56000,36.49000,2851400
2016-08-08,36.39000,36.70000,34.95000,35.23000,2221200
2016-08-09,33.70000,34.45000,32.50000,33.34000,4384400
2016-08-10,34.08000,34.17000,31.00000,31.08000,6762800
2016-08-11,31.30000,32.31000,31.01000,31.87000,1986000
2016-08-12,31.71000,31.80000,31.27000,31.37000,1127400
2016-08-15,31.75000,33.23000,31.71000,32.82000,2311400
2016-08-16,32.82000,33.42000,32.30000,32.37000,1990900
2016-08-17,32.49000,32.96000,32.02000,32.56000,1299500
2016-08-18,32.64000,33.55000,32.27000,33.27000,1354700
2016-08-19,33.14000,33.90000,33.03000,33.64000,1349200
2016-08-22,34.32000,34.85000,33.91000,34.32000,2012900
2016-08-23,34.60000,34.67000,34.02000,34.36000,1242600
2016-08-24,34.36000,35.34000,32.33000,32.46000,2340800
2016-08-25,32.74000,33.82000,31.66000,32.30000,1905100
2016-08-26,32.37000,33.27000,32.17000,32.86000,1472100
2016-08-29,32.86000,32.99000,32.14000,32.62000,1485000
2016-08-30,32.70000,33.18000,32.16000,32.54000,1363600
2016-08-31,32.45000,32.82000,31.85000,32.13000,1279100
2016-09-01,32.19000,32.69000,31.53000,32.10000,1367900
2016-09-02,32.20000,32.40000,31.02000,31.59000,1525600
2016-09-06,31.79000,31.92000,30.96000,31.43000,1907700
2016-09-07,31.39000,32.00000,30.68000,32.00000,1981300
2016-09-08,31.77000,33.42000,31.55000,33.09000,1771600
2016-09-09,32.55000,32.68000,30.86000,30.87000,2094300
2016-09-12,30.56000,32.57000,30.50000,32.47000,1486800
2016-09-13,32.00000,32.47000,31.33000,32.07000,1186500
2016-09-14,31.81000,34.34000,31.81000,33.41000,2253500
2016-09-15,33.43000,34.35000,32.77000,34.17000,1355600
2016-09-16,33.73000,34.35000,33.53000,34.15000,2294800
2016-09-19,34.30000,35.21000,33.98000,34.82000,2147000
2016-09-20,35.00000,36.59000,34.61000,35.98000,3318700
2016-09-21,36.20000,36.59000,34.47000,35.62000,2824500
2016-09-22,35.81000,36.00000,34.55000,34.98000,2053700
2016-09-23,34.79000,35.51000,34.26000,34.98000,1492900
2016-09-26,34.18000,34.93000,33.86000,34.30000,1255500
2016-09-27,34.15000,35.57000,34.00000,35.23000,1325700
2016-09-28,34.95000,35.00000,33.25000,33.68000,3639300
2016-09-29,33.50000,33.89000,31.92000,32.70000,3313300
2016-09-30,32.71000,32.77000,31.25000,31.81000,2397500
2016-10-03,31.60000,31.70000,30.40000,30.71000,2747800
2016-10-04,30.69000,30.93000,28.40000,29.10000,5296400
2016-10-05,28.98000,29.47000,28.61000,28.81000,1959400
2016-10-06,28.51000,28.71000,27.36000,27.39000,3041600
2016-10-07,27.94000,27.94000,26.44000,26.86000,3663600
2016-10-10,27.03000,27.42000,26.89000,27.21000,1809900
2016-10-11,27.04000,27.97000,26.35000,26.88000,2796800
2016-10-12,26.79000,27.11000,25.37000,25.78000,2570300
2016-10-13,25.08000,26.15000,25.03000,25.19000,2443600
2016-10-14,25.51000,25.79000,23.58000,23.67000,3804700
2016-10-17,23.77000,24.97000,23.50000,24.33000,2744800
2016-10-18,24.72000,25.14000,24.03000,24.33000,2030100
2016-10-19,24.18000,24.47000,23.18000,23.41000,2212500
2016-10-20,23.35000,24.10000,23.27000,23.95000,1956300
2016-10-21,23.87000,25.88000,23.53000,25.34000,6939800
2016-10-24,25.67000,25.79000,23.71000,23.72000,4180400
2016-10-25,23.62000,24.27000,23.32000,23.61000,1863700
2016-10-26,23.60000,24.27000,22.89000,23.18000,1963500
2016-10-27,23.40000,23.75000,22.42000,22.56000,2443700
2016-10-28,22.54000,22.75000,21.78000,22.57000,2002400
2016-10-31,22.83000,23.38000,22.22000,23.31000,2154700
2016-11-01,23.36000,23.50000,22.24000,22.93000,2184000
