date,open,high,low,close,volume
2025-03-11,1830.00000,1892.55005,1830.00000,1877.84998,206675
2025-03-12,1889.00000,1894.00000,1826.00000,1865.59998,354190
2025-03-13,1878.00000,1878.00000,1847.44995,1854.00000,573646
2025-03-17,1856.94995,1890.84998,1856.00000,1883.09998,208567
2025-03-19,1890.05005,1911.00000,1883.34998,1900.00000,274686
2025-03-20,1909.00000,1911.44995,1884.55005,1889.59998,219513
2025-03-21,1889.59998,1921.00000,1882.00000,1915.65002,413622
2025-03-24,1924.00000,1943.30005,1911.05005,1933.34998,258977
2025-03-25,1950.05005,1967.94995,1923.50000,1930.84998,320597
2025-03-26,1932.00000,1954.00000,1921.05005,1933.69995,175969
2025-03-27,1947.00000,1968.55005,1923.09998,1964.09998,324752
2025-03-28,1970.94995,1987.30005,1923.00000,1942.65002,555880
2025-04-01,1943.94995,1960.84998,1935.30005,1952.19995,183723
2025-04-02,1957.00000,1974.59998,1929.00000,1963.84998,140886
2025-04-03,1953.59998,1999.00000,1950.50000,1994.84998,163342
2025-04-04,1990.00000,1993.90002,1953.69995,1966.30005,111739
2025-04-07,1900.00000,1944.00000,1874.05005,1929.09998,225478
2025-04-08,1955.00000,1984.00000,1939.50000,1973.55005,101539
2025-04-09,1969.00000,1993.84998,1951.25000,1986.69995,94795
2025-04-11,2001.15002,2049.00000,1976.40002,2007.34998,219191
2025-04-15,2017.40002,2052.19995,2008.80005,2046.90002,240574
2025-04-16,2049.00000,2062.89990,2042.00000,2059.30005,141159
2025-04-17,2059.30005,2066.00000,2047.30005,2061.69995,101779
2025-04-21,2061.69995,2097.00000,2055.30005,2088.39990,193991
2025-04-22,2088.39990,2104.39990,2073.80005,2081.69995,97202
2025-04-23,2088.89990,2095.89990,2043.00000,2051.89990,488279
2025-04-24,2060.00000,2119.89990,2051.00000,2066.19995,1428912
2025-04-25,2075.89990,2075.89990,1931.00000,1938.00000,1248608
2025-04-28,1940.00000,1948.90002,1908.09998,1925.09998,505562
2025-04-29,1930.00000,1942.69995,1884.80005,1892.19995,663809
2025-04-30,1890.00000,1902.30005,1875.19995,1888.00000,465242
2025-05-02,1899.00000,1900.19995,1860.50000,1864.50000,574275
2025-05-05,1868.00000,1910.00000,1858.00000,1882.30005,1432817
2025-05-06,1890.00000,1894.69995,1840.00000,1848.90002,487624
2025-05-07,1840.30005,1854.00000,1821.19995,1844.90002,599385
2025-05-08,1845.19995,1865.00000,1800.00000,1809.00000,768978
2025-05-09,1790.00000,1818.00000,1779.00000,1811.59998,310374
2025-05-12,1849.00000,1872.90002,1841.09998,1858.80005,638453
2025-05-13,1862.40002,1871.50000,1851.09998,1853.40002,643544
2025-05-14,1861.00000,1879.00000,1855.90002,1861.00000,613436
2025-05-15,1866.90002,1887.80005,1862.50000,1883.59998,422737
2025-05-16,1892.00000,1933.50000,1885.59998,1928.40002,533260
2025-05-19,1936.00000,1949.00000,1917.00000,1930.00000,365390
2025-05-20,1940.00000,1955.19995,1917.19995,1920.19995,318404
2025-05-21,1925.00000,1945.00000,1910.00000,1941.40002,329556
2025-05-22,1945.00000,1947.50000,1925.09998,1944.30005,236839
2025-05-23,1948.19995,1967.50000,1938.90002,1959.40002,320904
2025-05-26,1968.00000,1972.90002,1953.30005,1958.40002,155976
2025-05-27,1960.00000,1961.90002,1927.00000,1936.80005,298739
2025-05-28,1937.40002,1943.59998,1916.09998,1920.09998,131347
2025-05-29,1924.90002,1929.19995,1912.40002,1917.30005,126693
2025-05-30,1917.00000,1921.90002,1873.00000,1882.80005,396044
2025-06-02,1893.90002,1893.90002,1862.40002,1884.09998,285392
2025-06-03,1890.00000,1895.69995,1870.69995,1879.19995,203217
2025-06-04,1882.69995,1884.69995,1860.40002,1877.00000,216767
2025-06-05,1880.80005,1894.80005,1877.00000,1884.90002,158090
2025-06-06,1896.90002,1913.00000,1884.90002,1904.30005,295783
2025-06-09,1905.50000,1916.50000,1900.00000,1905.59998,204074
2025-06-10,1916.00000,1927.00000,1904.09998,1913.09998,464872
2025-06-11,1920.00000,1925.00000,1893.00000,1905.80005,237145
2025-06-12,1909.69995,1912.00000,1860.09998,1865.50000,296364
2025-06-13,1855.00000,1856.09998,1829.00000,1846.19995,463928
2025-06-16,1849.00000,1875.90002,1830.59998,1872.69995,261904
2025-06-17,1876.90002,1876.90002,1855.09998,1860.69995,545042
2025-06-18,1855.00000,1865.59998,1835.00000,1840.59998,209111
2025-06-19,1840.00000,1849.00000,1820.00000,1825.59998,417294
2025-06-20,1825.59998,1833.80005,1813.40002,1823.00000,466291
2025-06-23,1822.00000,1828.19995,1814.00000,1817.19995,289791
2025-06-24,1829.59998,1872.19995,1824.59998,1847.80005,726491
2025-06-25,1859.00000,1864.40002,1850.00000,1854.19995,333987
2025-06-26,1859.90002,1887.90002,1856.50000,1881.69995,538191
2025-06-27,1895.00000,1935.09998,1886.40002,1920.19995,875256
2025-06-30,1924.00000,1933.80005,1910.09998,1917.19995,320037
2025-07-01,1928.90002,1937.00000,1906.90002,1921.40002,338750
2025-07-02,1927.90002,1949.00000,1921.09998,1939.40002,436420
2025-07-03,1949.50000,1978.69995,1942.00000,1956.50000,479869
2025-07-04,1956.50000,1991.00000,1946.59998,1965.00000,513194
2025-07-07,1965.00000,1967.00000,1942.50000,1964.50000,286053
2025-07-08,1964.50000,1982.00000,1948.80005,1980.00000,242269
2025-07-09,1981.90002,1999.00000,1976.40002,1990.59998,295995
2025-07-10,1999.90002,2006.59998,1987.00000,2001.50000,246538
2025-07-11,1999.00000,2028.80005,1975.00000,1982.50000,471769
2025-07-14,1974.00000,1987.90002,1963.30005,1977.90002,236099
2025-07-15,1983.19995,1998.00000,1970.90002,1979.90002,152230
2025-07-16,1982.90002,1997.50000,1969.00000,1991.90002,253415
2025-07-17,1991.90002,1993.90002,1973.80005,1978.80005,302273
2025-07-18,1985.00000,1989.69995,1960.09998,1969.90002,255412
2025-07-21,1973.90002,1985.00000,1960.59998,1978.40002,385752
2025-07-22,1987.00000,1993.59998,1955.09998,1958.90002,224258
2025-07-23,1967.90002,1967.90002,1915.30005,1950.00000,569821
2025-07-24,1953.90002,1956.09998,1887.00000,1890.00000,1106140
2025-07-25,1889.90002,1904.80005,1845.00000,1847.69995,648049
2025-07-28,1847.69995,1857.69995,1821.00000,1825.59998,562103
2025-07-29,1825.59998,1844.00000,1821.80005,1827.40002,432427
2025-07-30,1836.50000,1838.59998,1805.00000,1811.19995,909591
2025-07-31,1810.09998,1827.90002,1782.00000,1788.40002,1524691
2025-08-01,1792.00000,1822.00000,1791.00000,1794.59998,305490
2025-08-04,1815.00000,1815.00000,1780.00000,1790.19995,491663
2025-08-05,1795.00000,1807.40002,1782.00000,1801.80005,385093
2025-08-06,1807.19995,1838.80005,1798.59998,1830.40002,695635
2025-08-07,1830.40002,1830.40002,1790.00000,1817.80005,450575
2025-08-08,1819.00000,1823.90002,1780.59998,1788.19995,182910
2025-08-11,1794.00000,1796.90002,1781.00000,1786.19995,175285
2025-08-12,1790.00000,1800.69995,1785.19995,1787.69995,121581
2025-08-13,1791.90002,1803.00000,1780.59998,1786.30005,167734
2025-08-14,1789.90002,1797.40002,1780.69995,1782.69995,124026
2025-08-18,1829.00000,1852.80005,1811.00000,1843.50000,527140
2025-08-19,1848.00000,1871.50000,1840.50000,1859.50000,375759
2025-08-20,1870.00000,1871.00000,1848.00000,1863.09998,145345
2025-08-21,1873.50000,1873.50000,1847.00000,1849.90002,165055
2025-08-22,1853.80005,1860.69995,1818.19995,1821.09998,202082
2025-08-25,1819.00000,1828.30005,1805.00000,1807.69995,215303
2025-08-26,1807.69995,1817.90002,1795.69995,1798.50000,169357
2025-08-28,1800.50000,1813.50000,1781.09998,1801.00000,203199
2025-08-29,1800.90002,1817.69995,1797.00000,1801.80005,186970
2025-09-01,1810.00000,1821.00000,1805.09998,1818.40002,136692
2025-09-02,1820.00000,1836.80005,1813.00000,1822.00000,130789
2025-09-03,1826.19995,1849.00000,1818.40002,1843.09998,191852
2025-09-04,1879.90002,1881.09998,1830.00000,1840.40002,302257
2025-09-05,1845.69995,1846.09998,1818.80005,1829.00000,143993
2025-09-08,1835.09998,1849.69995,1830.00000,1838.30005,129492
2025-09-09,1841.90002,1855.00000,1841.90002,1850.19995,234661
2025-09-10,1850.90002,1858.00000,1843.50000,1848.80005,146805
2025-09-11,1849.80005,1859.69995,1835.00000,1844.30005,157260
2025-09-12,1847.00000,1858.00000,1847.00000,1850.40002,152433
2025-09-15,1853.59998,1865.80005,1847.00000,1860.80005,138568
2025-09-16,1865.09998,1879.80005,1860.00000,1866.00000,280733
2025-09-17,1874.80005,1881.69995,1848.09998,1856.00000,203856
2025-09-18,1860.00000,1867.50000,1839.69995,1858.09998,210963
2025-09-19,1875.50000,1888.00000,1860.00000,1879.09998,483333
2025-09-22,1879.09998,1916.69995,1870.00000,1882.09998,552097
2025-09-23,1896.80005,1910.00000,1876.00000,1878.59998,204617
2025-09-24,1874.40002,1884.00000,1858.90002,1860.90002,111343
2025-09-25,1860.00000,1871.00000,1847.00000,1851.59998,115077
2025-09-26,1848.80005,1857.09998,1816.00000,1824.40002,257769
2025-09-29,1824.50000,1841.69995,1802.40002,1807.69995,118306
2025-09-30,1813.80005,1837.00000,1812.09998,1824.69995,188730
2025-10-01,1829.80005,1849.09998,1824.30005,1828.00000,131042
2025-10-03,1828.00000,1853.00000,1828.00000,1849.09998,130479
2025-10-06,1850.00000,1865.30005,1828.90002,1833.40002,396704
2025-10-07,1838.80005,1860.00000,1835.59998,1857.59998,167405
2025-10-08,1855.00000,1869.80005,1842.30005,1865.59998,238917
2025-10-09,1860.00000,1881.19995,1853.59998,1874.80005,127639
2025-10-10,1874.59998,1891.19995,1862.09998,1885.59998,125206
2025-10-13,1874.80005,1880.00000,1862.19995,1870.09998,119451
2025-10-14,1870.50000,1877.69995,1854.09998,1862.50000,217041
2025-10-15,1860.00000,1872.09998,1853.00000,1857.40002,65709
2025-10-16,1858.00000,1872.50000,1853.09998,1860.09998,87900
2025-10-17,1859.40002,1867.50000,1817.69995,1832.69995,175319
2025-10-20,1844.40002,1847.69995,1822.80005,1830.90002,195604
2025-10-21,1835.40002,1856.09998,1835.40002,1848.90002,38297
2025-10-23,1855.00000,1860.00000,1836.00000,1855.69995,270595
2025-10-24,1860.69995,1861.69995,1841.50000,1850.09998,285233
2025-10-27,1850.00000,1868.00000,1838.69995,1862.69995,217898
2025-10-28,1862.69995,1868.59998,1848.00000,1860.69995,180058
2025-10-29,1862.40002,1888.00000,1856.09998,1879.30005,355913
2025-10-30,1880.80005,1887.90002,1844.00000,1859.40002,214003
2025-10-31,1868.19995,1915.09998,1856.50000,1881.50000,1153977
2025-11-03,1920.00000,1920.00000,1850.00000,1870.50000,645046
2025-11-04,1870.40002,1879.69995,1825.00000,1832.59998,565834
2025-11-06,1835.59998,1842.00000,1827.09998,1832.40002,244677
2025-11-07,1828.00000,1853.19995,1818.90002,1840.50000,231911
2025-11-10,1835.00000,1852.19995,1832.50000,1845.00000,125507
2025-11-11,1854.00000,1854.00000,1837.90002,1845.30005,133569
2025-11-12,1848.00000,1863.80005,1846.40002,1852.90002,157767
2025-11-13,1855.00000,1861.00000,1840.00000,1844.80005,188561
2025-11-14,1844.00000,1851.59998,1836.09998,1840.30005,108174
2025-11-17,1843.40002,1858.00000,1841.19995,1846.69995,120125
2025-11-18,1846.69995,1852.00000,1825.00000,1838.69995,150898
2025-11-19,1838.90002,1847.00000,1834.00000,1836.90002,215477
2025-11-20,1846.90002,1865.00000,1842.50000,1851.40002,279134
2025-11-21,1855.00000,1855.00000,1824.30005,1830.09998,179113
2025-11-24,1830.90002,1987.00000,1807.19995,1913.69995,3525734
2025-11-25,1902.00000,1909.40002,1858.40002,1869.09998,373922
2025-11-26,1869.09998,1888.00000,1856.30005,1884.50000,204008
2025-11-27,1888.00000,1888.00000,1864.00000,1870.19995,115737
2025-11-28,1864.19995,1872.00000,1847.00000,1850.59998,182795
2025-12-01,1868.00000,1868.00000,1847.69995,1850.50000,115717
2025-12-02,1850.50000,1860.00000,1844.19995,1851.90002,95661
2025-12-03,1852.00000,1865.59998,1835.59998,1840.19995,118566
2025-12-04,1838.00000,1843.90002,1808.00000,1815.19995,209730
2025-12-05,1815.59998,1825.00000,1795.09998,1798.19995,264463
2025-12-08,1798.19995,1812.80005,1788.40002,1796.00000,153659
2025-12-09,1796.00000,1796.40002,1770.40002,1785.00000,171828
2025-12-10,1787.90002,1801.00000,1779.00000,1782.30005,140814
2025-12-11,1781.00000,1788.80005,1772.09998,1778.90002,156499
2025-12-12,1784.90002,1796.19995,1770.00000,1771.69995,240221
2025-12-15,1774.00000,1789.90002,1770.09998,1777.59998,131589
2025-12-16,1783.00000,1784.69995,1767.50000,1771.40002,112332
2025-12-17,1772.00000,1774.90002,1751.00000,1758.90002,119306
2025-12-18,1758.80005,1761.90002,1750.90002,1754.90002,91071
2025-12-19,1763.90002,1770.00000,1747.00000,1751.50000,220065
2025-12-22,1760.00000,1789.59998,1760.00000,1782.50000,131493
2025-12-23,1794.90002,1804.80005,1746.00000,1754.19995,873238
2025-12-24,1755.00000,1760.09998,1735.00000,1739.40002,419682
2025-12-26,1744.19995,1752.00000,1725.00000,1735.30005,358878
2025-12-29,1735.90002,1738.40002,1723.00000,1725.19995,154517
2025-12-30,1725.19995,1745.00000,1715.00000,1732.09998,227716
2025-12-31,1737.00000,1741.80005,1725.00000,1737.69995,196513
2026-01-01,1737.90002,1744.90002,1730.09998,1740.40002,161847
2026-01-02,1740.09998,1751.90002,1737.09998,1748.80005,177224
2026-01-05,1751.90002,1778.90002,1750.19995,1771.59998,221151
2026-01-06,1777.00000,1777.00000,1745.50000,1752.00000,165747
2026-01-07,1751.19995,1759.00000,1747.50000,1755.40002,92042
2026-01-08,1755.40002,1755.40002,1717.00000,1723.40002,139385
2026-01-09,1723.40002,1725.80005,1701.00000,1703.19995,152899
2026-01-12,1703.19995,1714.19995,1687.00000,1706.69995,145178
2026-01-13,1712.59998,1729.59998,1702.00000,1707.30005,145199
2026-01-14,1708.90002,1729.00000,1705.00000,1728.09998,102791
2026-01-16,1729.90002,1763.00000,1712.59998,1755.59998,245388
2026-01-19,1755.50000,1755.50000,1728.00000,1733.69995,78984
2026-01-20,1731.09998,1743.40002,1691.09998,1696.80005,180990
