date,open,high,low,close,volume
2023-10-05,5.99000,6.06000,5.89000,5.92000,712400
2023-10-06,5.91000,6.13000,5.69000,6.06000,521000
2023-10-09,6.05000,6.08000,5.69000,5.76000,721300
2023-10-10,5.74000,6.09000,5.74000,6.03000,793600
2023-10-11,6.03000,6.16000,5.84000,5.90000,510000
2023-10-12,5.91000,6.06000,5.49000,5.54000,950700
2023-10-13,5.40000,5.44500,5.18000,5.32000,714500
2023-10-16,5.39000,5.59000,5.20200,5.56000,2167300
2023-10-17,5.58000,5.66000,5.50000,5.52000,896300
2023-10-18,5.41000,5.52000,5.23000,5.28000,522000
2023-10-19,5.23000,5.39000,5.09000,5.32000,1198100
2023-10-20,5.33000,5.39000,5.14000,5.28000,969500
2023-10-23,5.28000,5.29000,4.97000,4.98000,877300
2023-10-24,5.03000,5.10000,4.87000,4.97000,1340500
2023-10-25,4.97000,4.97000,4.55000,4.66000,1537700
2023-10-26,4.63000,4.74000,4.36000,4.58000,1517100
2023-10-27,4.61000,4.78000,4.33000,4.42000,2507300
2023-10-30,4.59000,4.75000,4.35000,4.58000,1086600
2023-10-31,4.58000,5.02000,4.57000,4.98000,2000100
2023-11-01,5.00000,5.17000,4.79000,5.09000,1087800
2023-11-02,5.30000,5.30000,4.99000,5.07000,960200
2023-11-03,5.18000,5.48000,5.12000,5.37000,1219900
2023-11-06,5.43000,5.70500,5.40000,5.48000,1141200
2023-11-07,5.48000,5.64000,5.32000,5.42000,1171700
2023-11-08,5.42000,5.49000,5.15000,5.45000,885600
2023-11-09,5.55000,5.60800,4.91000,4.92000,948000
2023-11-10,4.85000,5.00000,4.71000,4.75500,884600
2023-11-13,0.70000,0.70000,0.59000,0.64500,82362400
2023-11-14,0.67300,0.70000,0.63100,0.68000,24256700
2023-11-15,0.67900,0.86600,0.67400,0.80200,21105200
2023-11-16,0.82000,0.95000,0.81800,0.88500,15574000
2023-11-17,0.89900,1.04000,0.86700,0.95400,12290700
2023-11-20,0.97400,0.98700,0.85000,0.94000,9856400
2023-11-21,0.87800,0.95900,0.86000,0.89000,5559900
2023-11-22,0.90000,0.90900,0.77300,0.81400,5079100
2023-11-24,0.82400,0.88100,0.79000,0.83900,2519900
2023-11-27,0.83100,0.88700,0.77000,0.87000,3680100
2023-11-28,0.87200,0.89800,0.80500,0.89000,1923200
2023-11-29,0.93200,0.97800,0.86200,0.87800,5080100
2023-11-30,0.88000,0.91100,0.84000,0.87500,2619200
2023-12-01,0.88300,0.92800,0.84000,0.90400,3503200
2023-12-04,0.89500,0.98300,0.88300,0.98300,4000100
2023-12-05,1.00000,1.05000,0.97700,0.98600,5062500
2023-12-06,1.08000,1.15000,0.99100,1.02000,5944900
2023-12-07,1.01000,1.02000,0.96000,1.00000,3108700
2023-12-08,1.01000,1.04000,0.97600,1.01000,2096000
2023-12-11,0.98800,1.01000,0.94600,0.97300,3631300
2023-12-12,0.98000,1.02000,0.94500,1.01000,1951700
2023-12-13,1.00000,1.10000,0.98500,1.09000,2564800
2023-12-14,1.09000,1.13000,1.03000,1.06000,2773700
2023-12-15,1.08000,1.08500,1.00000,1.01000,2810800
2023-12-18,1.02000,1.02000,0.91000,0.93800,3038200
2023-12-19,0.95000,1.02000,0.94000,1.02000,1568700
2023-12-20,0.99200,1.00000,0.80000,0.93500,6191700
2023-12-21,0.94300,1.01000,0.94000,1.01000,2491400
2023-12-22,1.01000,1.08000,0.99700,1.07000,2065100
2023-12-26,1.07000,1.11000,1.04000,1.05000,1517800
2023-12-27,1.03000,1.07500,1.03000,1.06000,1965500
2023-12-28,1.03000,1.07000,1.03000,1.07000,741100
2023-12-29,1.09000,1.25000,1.04000,1.05000,2999900
2024-01-02,1.10000,1.10000,1.04900,1.05000,1726400
2024-01-03,1.07000,1.18000,1.03000,1.12000,2856500
2024-01-04,1.13000,1.18000,1.07000,1.10000,1547100
2024-01-05,1.08000,1.12000,1.04000,1.06000,1265600
2024-01-08,1.08000,1.18000,1.05000,1.18000,2166800
2024-01-09,1.18000,1.32000,1.14000,1.28000,2652100
2024-01-10,1.07000,1.14000,0.91200,1.00500,8468000
2024-01-11,0.97000,1.01000,0.93300,0.95700,8625000
2024-01-12,0.95000,1.00000,0.85600,0.92400,3048500
2024-01-16,1.06000,1.25000,1.04000,1.16000,6040600
2024-01-17,1.13000,1.24000,1.09100,1.18000,2343100
2024-01-18,1.20000,1.22000,1.14000,1.18000,1722500
2024-01-19,1.18000,1.20000,1.13100,1.14000,1997100
2024-01-22,1.19000,1.29000,1.15500,1.26000,3481600
2024-01-23,1.24000,1.32000,1.24000,1.28000,2272700
2024-01-24,1.29000,1.31000,1.25000,1.26000,1013900
2024-01-25,1.26000,1.29800,1.20000,1.25000,783500
