date,open,high,low,close,volume
2022-11-01,13.90037,13.90037,12.80669,13.05365,30205
2022-11-02,13.23005,13.23005,12.41861,12.48917,39196
2022-11-03,12.34805,12.38333,11.88941,11.95997,38415
2022-11-04,11.95997,12.52445,11.64244,12.27749,63684
2022-11-07,12.06581,12.87725,12.06581,12.87725,65991
2022-11-09,13.51229,13.51229,12.70085,13.19477,180235
2022-11-10,13.19477,13.61813,12.55973,12.77141,60243
2022-11-11,13.05365,13.40645,12.80669,13.08893,126588
2022-11-14,13.72397,13.72397,13.72397,13.72397,124860
2022-11-15,14.39429,14.39429,14.04149,14.39429,107209
2022-11-16,14.74710,15.02934,13.68869,14.04149,280850
2022-11-17,14.60598,14.71182,14.11205,14.60598,172112
2022-11-18,15.06462,15.31158,14.28846,14.57070,121188
2022-11-21,14.57070,14.57070,13.86509,13.97093,32732
2022-11-22,13.97093,14.42957,13.30061,13.51229,64356
2022-11-23,14.04149,14.04149,12.91253,13.01837,67023
2022-11-24,13.23005,13.65341,12.80669,13.44173,38830
2022-11-25,13.65341,13.97093,12.77141,13.26533,110641
2022-11-28,13.33589,13.82981,12.80669,12.98309,89221
2022-11-29,12.98309,13.61813,12.91253,13.61813,76011
2022-11-30,14.07677,14.28846,13.47701,14.28846,176443
2022-12-01,14.99406,14.99406,14.32374,14.99406,272161
2022-12-02,15.52326,15.69966,14.46486,14.85294,176130
2022-12-05,15.20574,15.38214,14.35902,14.95878,148993
2022-12-06,15.66438,15.66438,15.02934,15.31158,58915
2022-12-07,15.98190,16.82862,14.60598,16.82862,270115
2022-12-08,18.13399,18.48679,17.64007,18.48679,292972
2022-12-09,20.32136,20.32136,18.94543,19.65104,897000
2022-12-12,20.60360,20.60360,19.15711,20.60360,263758
2022-12-13,21.62672,21.62672,21.62672,21.62672,52488
2022-12-14,22.68513,22.68513,22.68513,22.68513,130746
2022-12-15,21.87368,22.36761,21.55616,21.55616,502376
2022-12-16,20.49776,20.49776,20.49776,20.49776,22896
2022-12-19,19.47463,21.06224,19.47463,19.47463,306688
2022-12-20,19.05127,20.42720,18.52207,20.42720,385439
2022-12-21,21.13280,21.13280,19.43935,19.43935,107580
2022-12-22,18.55735,18.98071,18.48679,18.48679,44622
2022-12-23,17.56951,17.56951,17.56951,17.56951,12584
2022-12-26,16.72278,18.41623,16.72278,17.49895,353492
2022-12-27,18.16927,18.34567,17.07558,18.34567,146225
2022-12-28,19.01599,19.12183,17.42839,17.42839,185023
2022-12-29,16.86390,17.56951,16.58166,17.00503,87841
2022-12-30,17.49895,17.85175,16.29942,17.56951,222018
2023-01-02,18.31039,18.41623,17.78119,18.16927,142349
2023-01-03,18.59263,18.59263,17.28727,17.28727,126524
2023-01-04,17.92231,17.99287,16.44054,16.47582,218455
2023-01-05,17.14615,17.14615,15.66438,16.12302,105434
2023-01-06,16.22886,16.22886,15.34686,15.80550,137916
2023-01-09,16.19358,16.58166,15.52326,16.12302,63684
2023-01-10,16.19358,16.68750,16.19358,16.51110,53960
2023-01-11,16.93447,17.11086,16.08774,16.22886,42149
2023-01-12,16.58166,16.86390,15.91134,16.65222,37903
2023-01-13,16.86390,16.86390,16.22886,16.65222,87299
2023-01-16,16.72278,17.32255,16.29942,16.65222,26145
2023-01-17,17.18143,17.18143,15.84078,15.91134,92798
2023-01-18,16.36998,16.36998,15.55854,15.94662,27474
2023-01-19,16.19358,16.19358,15.69966,15.87606,16308
2023-01-20,15.87606,16.05246,15.27630,15.62910,71341
2023-01-23,16.08774,16.40526,15.55854,16.08774,97321
2023-01-24,16.47582,16.47582,15.80550,15.98190,51446
2023-01-25,15.52326,16.75806,15.27630,16.72278,214294
2023-01-27,16.93447,17.28727,16.19358,16.96975,104373
2023-01-30,17.39311,17.42839,16.12302,16.12302,74275
2023-01-31,15.80550,16.44054,15.31158,15.31158,74767
2023-02-01,14.92350,16.05246,14.81766,15.45270,162299
2023-02-02,15.73494,15.80550,15.24102,15.45270,32543
2023-02-03,15.62910,15.62910,14.67654,14.71182,51621
2023-02-06,14.92350,15.13518,14.50014,14.88822,41027
2023-02-07,15.41742,15.41742,14.21789,14.39429,30770
2023-02-08,14.71182,14.92350,14.14733,14.39429,28209
2023-02-09,14.78238,15.52326,14.35902,15.24102,27627
2023-02-10,15.66438,16.15830,15.20574,15.80550,84466
2023-02-13,15.87606,16.36998,15.84078,15.94662,38888
2023-02-14,15.69966,16.47582,15.59382,15.73494,49928
2023-02-15,15.59382,16.08774,15.06462,15.62910,45870
2023-02-16,15.62910,16.08774,15.34686,15.59382,25650
2023-02-17,15.84078,15.98190,14.85294,15.20574,43360
2023-02-20,15.73494,15.80550,15.02934,15.59382,631247
2023-02-21,15.84078,15.84078,14.95878,15.06462,29595
2023-02-22,14.85294,15.38214,14.11205,14.32374,53238
2023-02-23,14.99406,15.17046,14.57070,14.95878,29518
2023-02-24,14.95878,15.27630,14.18261,14.53541,38834
2023-02-27,14.35902,14.88822,14.14733,14.32374,37417
2023-02-28,14.95878,15.24102,14.28846,14.92350,31813
2023-03-01,15.13518,16.01718,14.53541,15.62910,55253
2023-03-02,15.84078,16.61694,15.34686,16.29942,56533
2023-03-03,16.89919,17.85175,15.31158,15.66438,1287945
2023-03-06,15.66438,16.22886,15.31158,15.91134,41520
2023-03-08,16.08774,16.08774,14.85294,15.24102,96507
2023-03-09,15.24102,15.77022,15.24102,15.55854,17933
2023-03-10,15.69966,15.73494,14.71182,15.06462,27865
2023-03-13,15.66438,15.66438,14.53541,14.78238,28662
2023-03-14,14.74710,15.13518,14.28846,14.35902,25683
2023-03-15,15.02934,15.38214,14.32374,14.64126,39533
2023-03-16,14.28846,15.52326,14.28846,15.27630,33781
2023-03-17,16.08774,16.08774,15.02934,15.38214,20956
2023-03-20,15.38214,15.38214,14.60598,14.71182,6224
2023-03-21,14.71182,15.87606,14.39429,14.60598,49019
2023-03-22,14.95878,15.13518,14.46486,14.99406,16840
2023-03-23,15.09990,15.09990,14.28846,14.39429,20766
2023-03-24,14.39429,14.95878,14.39429,14.67654,41062
2023-03-27,14.67654,15.06462,14.25317,14.46486,105169
2023-03-28,14.50014,15.31158,14.21789,14.39429,47787
2023-03-29,14.67654,15.20574,13.05365,13.68869,49482
2023-03-31,13.68869,14.39429,13.37117,13.79453,54279
2023-04-03,14.18261,14.42957,13.79453,14.28846,6839
2023-04-05,14.11205,14.78238,13.86509,14.64126,40684
2023-04-06,14.78238,16.01718,14.78238,15.52326,72117
2023-04-10,15.52326,15.52326,15.09990,15.20574,20602
2023-04-11,15.06462,18.23983,15.06462,16.29942,674219
2023-04-12,16.72278,16.79334,15.87606,16.15830,43567
2023-04-13,15.91134,19.05127,15.91134,17.18143,257182
2023-04-17,17.92231,20.39192,17.32255,18.45151,1228947
2023-04-18,18.55735,19.05127,16.96975,17.21671,152308
2023-04-19,17.88703,18.16927,16.93447,17.46367,45963
2023-04-20,17.49895,17.60479,16.75806,17.11086,33830
2023-04-21,17.56951,17.56951,16.58166,16.96975,43085
2023-04-24,17.25199,17.35783,16.93447,17.04030,66907
2023-04-25,17.18143,17.18143,16.61694,16.89919,28972
2023-04-26,16.65222,18.66319,16.61694,17.56951,182540
2023-04-27,17.95759,17.95759,17.14615,17.46367,36666
2023-04-28,17.32255,17.99287,17.32255,17.53423,23164
2023-05-02,17.92231,17.92231,17.07558,17.39311,39880
2023-05-03,17.60479,17.92231,16.61694,17.18143,52893
2023-05-04,17.46367,17.99287,16.68750,17.14615,63810
2023-05-05,17.14615,17.42839,16.86390,17.11086,33850
2023-05-08,16.79334,17.21671,16.29942,16.68750,113396
2023-05-09,16.40526,17.28727,16.40526,16.89919,71276
2023-05-10,17.11086,17.11086,16.58166,16.79334,25222
2023-05-11,16.79334,17.04030,16.68750,16.75806,22335
2023-05-12,16.89919,17.04030,15.69966,16.08774,41497
2023-05-15,16.36998,16.36998,15.52326,15.66438,35433
2023-05-16,16.12302,16.12302,15.38214,15.52326,15469
2023-05-17,15.66438,16.01718,14.88822,15.52326,52923
2023-05-18,15.27630,15.52326,14.67654,14.78238,69264
2023-05-19,14.74710,15.06462,14.60598,14.81766,17721
2023-05-22,14.81766,15.31158,14.64126,14.85294,25758
2023-05-23,15.09990,15.09990,14.28846,14.81766,46577
2023-05-24,15.13518,15.34686,14.67654,14.92350,21476
2023-05-25,14.71182,14.71182,13.30061,13.51229,236046
2023-05-26,13.68869,14.42957,13.61813,13.79453,73058
2023-05-29,14.18261,14.18261,12.91253,13.37117,62662
2023-05-30,13.40645,13.93565,12.70085,12.84197,57781
