date,open,high,low,close,volume
2023-09-25,7.50000,7.50000,7.04000,7.04000,1120
2023-09-26,7.40000,8.00000,7.08000,7.46000,1980
2023-09-27,7.46000,7.96000,6.90000,6.90000,850
2023-09-28,7.86000,8.66000,7.24000,7.40000,1225
2023-09-29,8.00000,8.00000,7.00000,7.68000,585
2023-10-02,7.40000,7.60000,6.60000,7.20000,940
2023-10-03,7.40000,7.66000,6.60000,7.46000,2450
2023-10-04,6.60000,7.80000,6.50000,7.20000,35765
2023-10-05,7.40000,8.00000,6.50000,7.80000,6135
2023-10-06,8.20000,9.20000,8.00000,8.80000,34120
2023-10-09,7.80000,8.00000,6.68000,8.00000,6905
2023-10-10,7.00000,8.00000,7.00000,7.62000,1890
2023-10-11,7.28000,7.80000,7.00000,7.80000,1500
2023-10-12,7.58000,7.82000,6.82000,7.70000,2350
2023-10-13,8.00000,8.20000,7.80000,8.12000,1705
2023-10-16,8.12000,8.36000,7.60000,8.00000,1165
2023-10-17,8.20000,8.80000,8.10000,8.40000,630
2023-10-18,9.00000,9.00000,7.64000,8.18000,925
2023-10-19,8.60000,8.60000,7.84000,8.20000,605
2023-10-20,8.60000,8.60000,6.50000,6.60000,5055
2023-10-23,6.94000,6.99000,5.16000,6.44000,45200
2023-10-24,6.35000,6.50000,5.97000,6.31000,5600
2023-10-25,6.19000,6.50000,6.19000,6.23000,7700
2023-10-26,6.31000,7.61000,6.25000,6.55000,14000
2023-10-27,6.57000,6.86000,6.17000,6.38000,1400
2023-10-30,5.98000,6.34000,5.98000,6.13000,3200
2023-10-31,6.31000,6.40000,6.24000,6.29000,2600
2023-11-01,6.60000,6.60000,6.57500,6.60000,1100
2023-11-02,6.20000,6.53000,5.81100,5.83000,9400
2023-11-03,6.10000,6.55400,5.70000,6.05100,9000
2023-11-06,6.15000,6.49000,5.80000,6.25000,13600
2023-11-07,6.37000,6.39000,5.15000,5.55000,6300
2023-11-08,5.99000,6.26500,5.58000,5.80000,10400
2023-11-09,5.62000,6.18000,5.16000,5.26000,16800
2023-11-10,5.30000,5.95500,5.10000,5.62100,26700
2023-11-13,5.69000,5.99000,5.41000,5.41000,9100
2023-11-14,5.65000,6.20000,5.52000,6.00000,6000
2023-11-15,6.30000,6.32000,5.62000,6.10000,7700
2023-11-16,5.86000,6.20000,5.70000,6.11000,7000
2023-11-17,6.34000,6.80000,5.70000,6.00000,21400
2023-11-20,6.09000,6.51000,5.71000,6.30000,11800
2023-11-21,5.93500,6.15200,5.61000,6.00000,8500
2023-11-22,5.90000,6.70200,5.33000,5.60000,14700
2023-11-24,5.50000,5.86000,5.20000,5.86000,12600
2023-11-27,5.90000,6.01000,5.54000,5.73000,11900
2023-11-28,5.15900,5.75500,5.15900,5.69000,5000
2023-11-29,5.50500,5.90000,5.50500,5.70500,4100
2023-11-30,5.52000,6.24000,5.50000,5.55000,5200
2023-12-01,5.79500,5.80000,5.52000,5.78000,4100
2023-12-04,5.89200,6.10000,5.50000,6.10000,5200
2023-12-05,6.16000,7.12600,5.61000,5.80000,22400
2023-12-06,5.99000,6.00000,5.50000,5.50000,12100
2023-12-07,5.79900,5.85000,5.55000,5.70100,6400
2023-12-08,5.41000,5.68000,5.35000,5.40000,3100
2023-12-11,5.74900,5.74900,5.33000,5.40000,7500
2023-12-12,5.45000,5.68000,5.35000,5.35000,4600
2023-12-13,5.52000,5.63000,5.40000,5.40000,3900
2023-12-14,5.67700,5.80000,5.33000,5.33000,4100
2023-12-15,5.37000,5.43000,5.00000,5.43000,8700
2023-12-18,5.10100,5.65900,5.05000,5.15000,3900
2023-12-19,5.08000,5.38000,5.08000,5.38000,4100
2023-12-20,5.62500,6.01000,5.45000,5.45900,5900
2023-12-21,6.25000,6.25000,5.41000,5.68000,3300
2023-12-22,5.90000,5.90000,5.39000,5.45000,5400
2023-12-26,5.50000,6.06000,5.50000,5.51000,15700
2023-12-27,5.61200,5.78200,5.51000,5.63200,3800
2023-12-28,5.82500,6.43500,5.60000,5.88000,20900
2023-12-29,5.85000,6.60000,5.74000,6.05000,7900
2024-01-02,6.01000,6.30000,5.90000,6.29800,4400
2024-01-03,6.50000,6.80000,6.18000,6.43000,9000
2024-01-04,6.62000,6.75000,6.07700,6.50000,17700
2024-01-05,6.90100,6.93500,6.90100,6.93500,3100
