date,open,high,low,close,volume
2023-10-02,22.90000,22.90000,22.66000,22.87500,4000
2023-10-03,22.79000,22.79000,21.67000,21.88600,8700
2023-10-04,21.86500,21.98500,21.44000,21.60000,13000
2023-10-05,21.68000,21.90000,21.68000,21.80000,9800
2023-10-06,21.65000,21.87000,21.35500,21.75000,6400
2023-10-09,21.89000,22.05000,21.89000,21.95000,7400
2023-10-10,21.63300,22.37300,21.63300,22.33000,5900
2023-10-11,22.50300,22.50300,22.10000,22.10000,2500
2023-10-12,22.22500,22.45000,22.02400,22.22000,7600
2023-10-13,21.76000,22.05500,21.59000,21.66100,2700
2023-10-16,21.82000,21.82000,21.41000,21.45000,5400
2023-10-17,21.47500,21.63000,21.36000,21.58000,10800
2023-10-18,21.57000,21.68000,21.40000,21.68000,8500
2023-10-19,21.66000,21.67000,21.40000,21.40000,9700
2023-10-20,21.40300,21.75000,21.36000,21.48000,8400
2023-10-23,21.36000,21.94000,21.35000,21.68000,14000
2023-10-24,21.68000,21.92000,21.68000,21.78000,6500
2023-10-25,21.88000,21.96000,21.51000,21.74000,3000
2023-10-26,21.61000,22.03000,21.61000,22.00000,2800
2023-10-27,22.00000,22.00000,21.61000,21.86000,5700
2023-10-30,21.73000,21.99000,21.64000,21.80500,7700
2023-10-31,21.82000,22.17000,21.65000,22.17000,13400
2023-11-01,21.91000,22.87000,21.91000,22.68000,13100
2023-11-02,22.69000,23.69000,22.69000,23.54000,6100
2023-11-03,23.59000,24.49000,23.34000,24.14000,33500
2023-11-06,24.02000,24.23000,23.07000,24.02000,26100
2023-11-07,24.11000,24.14000,23.71000,23.71000,12700
2023-11-08,24.00000,24.00000,23.53000,23.55000,32300
2023-11-09,23.54000,23.73000,23.25000,23.29800,5200
2023-11-10,23.90200,23.90200,23.16000,23.35000,7400
2023-11-13,23.31300,23.67900,23.07000,23.24000,6800
2023-11-14,23.62000,23.70500,23.54000,23.55900,5700
2023-11-15,23.62600,23.74400,23.42000,23.50000,5900
2023-11-16,23.50000,23.61500,23.50000,23.61500,2800
2023-11-17,23.56000,23.73900,23.56000,23.57000,2200
2023-11-20,23.67500,23.68500,23.55000,23.56000,8400
2023-11-21,23.62200,23.76000,23.14000,23.15000,9100
2023-11-22,23.45500,23.45500,22.91000,22.91000,3600
2023-11-24,23.01000,23.03000,22.82000,22.99000,2800
2023-11-27,22.82000,23.11000,22.82000,22.98500,5100
2023-11-28,22.91000,23.41400,22.91000,23.19000,3700
2023-11-29,23.29000,23.47000,23.05000,23.06000,7800
2023-11-30,23.13000,23.65000,23.00000,23.65000,16300
2023-12-01,23.22000,23.81000,23.22000,23.45000,8500
2023-12-04,23.63000,23.63000,23.13000,23.13000,8500
2023-12-05,23.40000,23.43200,23.06000,23.15000,8300
2023-12-06,23.17000,23.17000,23.04000,23.07000,9800
2023-12-07,23.30000,23.40000,23.20000,23.25000,7800
2023-12-08,23.19000,23.19000,22.90000,22.98000,9900
2023-12-11,22.92000,23.10600,22.91000,22.96000,30500
2023-12-12,23.06000,23.12900,22.84000,22.84000,20200
2023-12-13,23.03800,23.36000,22.87200,23.35000,19500
2023-12-14,23.19000,23.38000,23.01000,23.38000,18300
2023-12-15,23.28000,23.59000,23.20000,23.44000,14400
2023-12-18,23.80000,23.81100,23.10000,23.18000,9600
2023-12-19,23.15000,23.42000,23.15000,23.35000,20500
2023-12-20,23.25000,23.54000,23.25000,23.36000,9100
2023-12-21,23.59000,23.63000,23.28000,23.55000,18000
2023-12-22,23.76000,23.76000,23.22000,23.32000,13300
2023-12-26,23.27000,23.68600,23.25000,23.26000,15000
2023-12-27,23.27000,23.63000,23.27000,23.42000,25400
2023-12-28,23.42000,23.53000,23.20000,23.38000,10300
2023-12-29,23.45000,23.97000,23.36500,23.97000,70800
2024-01-02,23.90000,23.91900,23.65500,23.71000,9600
2024-01-03,23.68000,23.84900,23.57000,23.72000,9000
2024-01-04,23.79200,23.83000,23.56100,23.74000,7100
2024-01-05,23.80000,23.88500,23.63000,23.74000,7400
2024-01-08,23.80000,23.88000,23.65000,23.80100,8300
2024-01-09,23.73000,23.94000,23.73000,23.94000,1600
2024-01-10,23.97000,24.07000,23.91000,23.97000,2900
2024-01-11,23.99000,23.99000,23.77000,23.95000,2800
2024-01-12,24.00000,24.29000,24.00000,24.29000,8100
2024-01-16,24.28000,24.28000,24.06000,24.06000,9000
2024-01-17,24.00000,24.37000,23.90000,24.00000,6700
2024-01-18,24.10000,24.28600,23.95000,23.99000,4900
2024-01-19,23.88000,24.23000,23.85000,24.23000,5200
2024-01-22,24.38000,24.52000,24.33000,24.43000,6100
2024-01-23,24.49000,24.51800,24.41400,24.49000,2100
2024-01-24,24.56500,24.70000,24.53400,24.61000,2400
2024-01-25,24.60000,24.88000,24.54200,24.88000,5000
2024-01-26,24.84000,24.94000,24.79500,24.89000,8100
2024-01-29,24.92000,25.09000,24.73200,24.93300,8200
2024-01-30,25.04000,25.19000,24.80000,25.16000,13100
2024-01-31,24.98000,25.23700,24.54000,24.58000,48800
2024-02-01,24.72000,24.73800,24.42000,24.49500,8500
2024-02-02,24.62000,24.80000,24.23000,24.65300,6300
2024-02-05,24.63200,24.66000,24.26000,24.26000,5200
2024-02-06,24.25000,24.34500,24.03500,24.10000,3700
2024-02-07,24.20000,24.23000,23.89000,24.05000,4400
2024-02-08,24.00000,24.23000,24.00000,24.15000,3900
2024-02-09,24.23500,24.42000,24.23500,24.40000,3700
2024-02-12,24.59000,24.84000,24.30000,24.58000,9200
2024-02-13,24.23000,24.48000,24.14000,24.28000,6100
2024-02-14,24.11000,24.38000,24.11000,24.22000,2200
2024-02-15,24.25500,24.48000,24.25000,24.48000,7100
2024-02-16,24.41000,24.46500,24.22000,24.30000,6600
2024-02-20,24.32000,24.54700,24.26000,24.34000,3700
2024-02-21,24.93300,24.93300,24.36800,24.37000,3200
2024-02-22,24.50000,24.61500,24.29100,24.54000,2400
2024-02-23,24.54000,24.88000,24.33600,24.40000,39900
2024-02-26,24.35000,24.42900,24.18000,24.28000,14600
2024-02-27,24.31000,24.32600,24.12000,24.16000,7300
2024-02-28,24.23000,24.44400,24.13200,24.29000,6000
2024-02-29,24.29000,24.68000,24.29000,24.64000,23900
2024-03-01,24.50000,24.65000,24.15000,24.65000,12700
2024-03-04,24.65000,24.65000,24.40500,24.49000,7200
2024-03-05,24.50000,24.80700,24.50000,24.68000,5100
2024-03-06,24.69000,24.74000,24.55000,24.69000,8600
2024-03-07,24.65000,24.82000,24.64000,24.78000,4500
2024-03-08,24.75000,24.78500,24.67000,24.67000,6200
2024-03-11,24.81000,24.81000,24.60000,24.75000,5200
2024-03-12,24.62000,24.79900,24.54000,24.75000,5100
2024-03-13,24.64000,24.98000,24.64000,24.90000,22500
2024-03-14,24.63000,24.63000,24.31100,24.38900,6800
2024-03-15,24.51000,24.51600,24.38000,24.38500,2400
2024-03-18,24.37000,24.65000,24.32000,24.52000,8600
2024-03-19,24.52000,24.79000,24.42000,24.78000,6100
2024-03-20,24.56000,24.76000,24.48100,24.64000,30000
2024-03-21,24.64000,24.88000,24.64000,24.76000,6400
2024-03-22,24.78500,25.02000,24.71000,25.02000,5600
2024-03-25,24.82000,25.00600,24.73000,24.82000,5100
2024-03-26,24.78000,24.80000,24.58500,24.58500,9300
2024-03-27,24.53000,24.88000,24.45000,24.81000,13500
2024-03-28,24.80000,24.98700,24.58000,24.61000,8800
2024-04-01,24.79000,24.88000,24.52000,24.81000,9900
2024-04-02,24.59000,24.90500,24.53600,24.79000,5500
2024-04-03,24.60000,24.82200,24.59000,24.59000,6300
2024-04-04,24.69000,24.82000,24.69000,24.79000,2700
2024-04-05,24.78000,24.84000,24.71000,24.77000,4700
2024-04-08,24.85000,24.85000,24.71000,24.77000,2500
2024-04-09,24.71000,24.71000,24.69200,24.69200,1500
2024-04-10,24.59000,24.59000,24.09000,24.40000,9100
2024-04-11,24.48000,24.48000,23.80000,23.82400,12400
2024-04-12,24.13000,24.27000,23.72000,23.72000,4900
2024-04-15,23.78500,23.78500,23.14000,23.17000,8500
2024-04-16,23.70600,23.70600,22.97700,23.15000,3100
2024-04-17,23.45000,23.45000,23.32000,23.38000,3800
2024-04-18,23.49000,23.49000,23.17000,23.17000,6900
2024-04-19,23.61000,23.61000,23.12000,23.12000,4400
2024-04-22,23.17000,23.35000,23.13000,23.31000,5900
2024-04-23,23.34000,23.59500,23.34000,23.50000,6300
2024-04-24,23.47000,23.71100,23.28000,23.40000,6100
2024-04-25,23.27000,23.31500,23.05000,23.14300,2100
2024-04-26,23.15000,23.30000,23.09500,23.09500,5200
2024-04-29,23.50000,23.50000,23.12000,23.20000,9200
2024-04-30,23.28000,23.28000,22.77500,22.81000,40300
