date,open,high,low,close,volume
2024-01-22,10.15000,10.16000,10.15000,10.15000,387100
2024-01-23,10.16000,10.17000,10.15000,10.16000,726300
2024-01-24,10.16000,10.18000,10.16000,10.16000,940000
2024-01-25,10.16000,10.17000,10.16000,10.17000,48700
2024-01-26,10.17000,10.17000,10.16000,10.17000,37500
2024-01-29,10.17000,10.18000,10.17000,10.18000,342500
2024-01-30,10.17000,10.17000,10.17000,10.17000,177800
2024-01-31,10.17000,10.18000,10.17000,10.18000,330000
2024-02-01,10.17500,10.17500,10.17000,10.17000,31300
2024-02-02,10.17000,10.18000,10.17000,10.17000,203000
2024-02-05,10.17500,10.17500,10.16500,10.16500,314600
2024-02-06,10.17000,10.18000,10.17000,10.17000,133900
2024-02-07,10.18000,10.18000,10.17000,10.18000,19300
2024-02-08,10.17500,10.17500,10.17000,10.17000,8400
2024-02-09,10.17500,10.18000,10.17000,10.17000,52100
2024-02-12,10.17800,10.20000,10.17500,10.18000,554200
2024-02-13,10.18000,10.20000,10.18000,10.18000,28100
2024-02-14,10.20000,10.20500,10.19000,10.19000,4300
2024-02-15,10.19000,10.19000,10.19000,10.19000,3700
2024-02-16,10.18000,10.18000,10.15500,10.18000,36600
2024-02-20,10.18000,10.18000,10.18000,10.18000,3300
2024-02-21,10.18000,10.18000,10.18000,10.18000,2400
2024-02-23,10.18000,10.18000,10.17000,10.17500,125400
2024-02-26,10.18000,10.18000,10.18000,10.18000,500
2024-02-27,10.17400,10.17400,10.17400,10.17400,1100
2024-02-28,10.17200,10.18000,10.17000,10.18000,2200
2024-02-29,10.15000,10.17400,10.15000,10.15400,3200
2024-03-01,10.17000,10.17500,10.17000,10.17500,800
2024-03-04,10.18000,10.19000,10.17000,10.19000,220400
2024-03-05,10.18000,10.18000,10.18000,10.18000,1000
2024-03-06,10.19000,10.19000,10.18400,10.18400,45400
2024-03-07,10.18500,10.18500,10.18000,10.18000,1500
2024-03-11,10.19000,10.19000,10.18500,10.19000,3400
2024-03-12,10.19000,10.19500,10.18000,10.18000,7800
2024-03-13,10.18000,10.19000,10.18000,10.19000,50700
2024-03-14,10.19000,10.20000,10.18000,10.18000,175900
2024-03-15,10.19000,10.21000,10.19000,10.20000,148800
2024-03-18,10.20000,10.20500,10.19000,10.19000,71200
2024-03-19,10.20000,10.20500,10.20000,10.20500,46200
2024-03-20,10.19000,10.19000,10.19000,10.19000,1100
2024-03-21,10.19000,10.19000,10.19000,10.19000,1900
2024-03-26,10.20500,10.22000,10.20000,10.22000,44500
2024-03-27,10.20000,10.26000,10.20000,10.26000,109700
2024-04-01,10.26000,10.26000,10.26000,10.26000,100
2024-04-02,10.22000,10.30000,10.22000,10.30000,11800
2024-04-04,10.24000,10.24000,10.24000,10.24000,1000
2024-04-05,10.24800,10.24900,10.24800,10.24900,1300
2024-04-08,10.24000,10.24000,10.24000,10.24000,100
2024-04-10,10.24200,10.24200,10.24200,10.24200,3900
2024-04-11,10.27000,10.27000,10.25000,10.25000,500
2024-04-12,10.25000,10.25000,10.25000,10.25000,2600
2024-04-16,10.27000,10.27000,10.27000,10.27000,900
2024-04-18,10.27000,10.27000,10.27000,10.27000,400
2024-04-22,10.27000,10.27000,10.27000,10.27000,5800
2024-04-24,10.27500,10.27500,10.27000,10.27000,10400
2024-04-26,10.27500,10.27500,10.27500,10.27500,800
2024-04-30,10.27000,10.27000,10.26000,10.26000,9600
2024-05-01,10.27500,10.27500,10.27500,10.27500,600
2024-05-07,10.27000,10.28500,10.27000,10.28000,14500
2024-05-08,10.28600,10.30000,10.28600,10.30000,51300
2024-05-15,10.30000,10.30000,10.30000,10.30000,100
2024-05-16,10.30000,10.30000,10.30000,10.30000,100
2024-05-17,10.30600,10.31000,10.30600,10.31000,700
2024-05-21,10.31000,10.31000,10.31000,10.31000,5100
2024-05-22,10.30600,10.31500,10.30600,10.31500,2700
2024-05-23,10.30600,10.30600,10.30600,10.30600,600
2024-05-24,10.30600,10.30600,10.30600,10.30600,1100
2024-05-28,10.32000,10.32000,10.32000,10.32000,200
2024-05-29,10.34000,10.34000,10.33000,10.33000,6800
2024-05-31,10.32000,10.32000,10.32000,10.32000,100
2024-06-03,10.32000,10.32000,10.32000,10.32000,100
2024-06-04,10.32000,10.33000,10.32000,10.33000,5900
2024-06-05,10.32000,10.35000,10.32000,10.33000,8600
2024-06-07,10.33000,10.33000,10.31000,10.32000,10600
2024-06-12,10.46800,10.46800,10.46800,10.46800,700
2024-06-20,10.33000,10.33000,10.33000,10.33000,584400
2024-06-21,10.34600,10.34600,10.34600,10.34600,700
2024-06-24,10.35000,10.35000,10.35000,10.35000,2200
2024-06-25,10.35000,10.35000,10.34500,10.35000,40700
2024-06-26,10.33500,10.33500,10.33500,10.33500,200
2024-06-27,10.33000,10.34600,10.33000,10.34600,1900
2024-06-28,10.35100,10.35100,10.35000,10.35000,2000
2024-07-01,10.35000,10.35000,10.35000,10.35000,300
2024-07-02,10.39000,10.39000,10.36000,10.36300,24100
2024-07-08,10.37500,10.37500,10.37500,10.37500,1700
2024-07-12,10.36000,10.38000,10.36000,10.38000,6000
2024-07-15,10.36000,10.36000,10.36000,10.36000,200
2024-07-17,10.36000,10.36000,10.36000,10.36000,100
2024-07-18,10.37000,10.38000,10.36000,10.38000,1400
2024-07-19,10.38000,10.38000,10.38000,10.38000,11000
2024-07-22,10.38000,10.38000,10.38000,10.38000,1400
2024-07-26,10.44000,10.44000,10.36000,10.40000,15000
2024-07-29,10.40000,10.40000,10.40000,10.40000,400
2024-07-30,10.39000,10.39000,10.39000,10.39000,100
2024-08-01,10.39000,10.40000,10.39000,10.40000,25900
2024-08-02,10.38000,10.38000,10.38000,10.38000,500
2024-08-05,10.40000,10.40000,10.39000,10.40000,700
2024-08-09,10.40000,10.40000,10.40000,10.40000,100
2024-08-12,10.39700,10.40000,10.39000,10.39000,4200
2024-08-13,10.40000,10.40000,10.38100,10.38100,1100
2024-08-14,10.41500,10.41500,10.40000,10.40000,2500
2024-08-15,10.40000,10.41000,10.40000,10.40000,1500
2024-08-19,10.43000,10.43000,10.41500,10.43000,106000
2024-08-20,10.43000,10.43000,10.43000,10.43000,400
2024-08-21,10.43100,10.43100,10.43100,10.43100,500
2024-08-22,10.44000,10.44500,10.44000,10.44000,35300
2024-08-23,10.44500,10.44500,10.44000,10.44000,6400
2024-08-28,10.44600,10.44600,10.44000,10.44000,2500
2024-09-03,10.43100,10.45000,10.43000,10.45000,71100
2024-09-09,10.47000,10.51000,10.47000,10.47000,100100
2024-09-10,10.46500,10.47500,10.46500,10.47300,12400
2024-09-11,10.47000,10.47000,10.46500,10.46500,22100
2024-09-12,10.47000,10.48000,10.47000,10.48000,106000
2024-09-13,10.48000,10.49000,10.48000,10.48000,15900
2024-09-16,10.48000,10.48000,10.48000,10.48000,8900
2024-09-17,10.48000,10.48000,10.48000,10.48000,6800
2024-09-18,10.48000,10.55000,10.48000,10.48000,20100
2024-09-19,10.48000,10.48000,10.48000,10.48000,6200
2024-09-20,10.48000,10.48000,10.48000,10.48000,17300
2024-09-23,10.48000,10.48000,10.48000,10.48000,5500
2024-09-24,10.48000,10.49800,10.48000,10.48000,140700
2024-09-25,10.48000,10.49000,10.48000,10.49000,9400
2024-09-26,10.51500,10.51500,10.48000,10.48000,18800
2024-09-27,10.48000,10.50000,10.48000,10.48000,15600
2024-09-30,10.48000,10.48000,10.48000,10.48000,13400
2024-10-01,10.49000,10.49000,10.48000,10.49000,120300
2024-10-02,10.49000,10.49000,10.49000,10.49000,9400
2024-10-03,10.51000,10.51000,10.49000,10.49000,8300
2024-10-04,10.50000,10.50000,10.49000,10.49000,7700
2024-10-07,10.50000,10.50000,10.48000,10.50000,7200
2024-10-08,10.50000,10.50000,10.48000,10.50000,8100
2024-10-09,10.50000,10.50000,10.48000,10.50000,7400
2024-10-10,10.50000,10.50800,10.49000,10.50800,11100
2024-10-11,10.50000,10.50000,10.49000,10.50000,6900
2024-10-14,10.54000,10.54000,10.49000,10.50000,6300
2024-10-15,10.49900,10.50000,10.49000,10.49000,3200
2024-10-16,10.50000,10.50000,10.50000,10.50000,1700
2024-10-17,10.49500,10.60500,10.49500,10.60500,22700
2024-10-18,10.60500,10.60500,10.60500,10.60500,100
2024-10-21,10.51000,10.51000,10.51000,10.51000,500
2024-10-23,10.53000,10.53000,10.52000,10.52000,1200
2024-10-28,10.55000,10.55000,10.55000,10.55000,9200
2024-10-30,10.54000,10.54000,10.54000,10.54000,900
2024-10-31,10.54000,10.58000,10.54000,10.58000,1300
2024-11-04,10.59000,10.59000,10.58000,10.58000,1200
2024-11-08,10.58000,10.58000,10.58000,10.58000,100000
2024-11-13,10.60500,10.65000,10.57000,10.64100,3300
2024-11-14,10.60000,10.60000,10.60000,10.60000,200
