date,open,high,low,close,volume
2023-09-25,11.88000,11.88000,11.32000,11.32000,1600
2023-09-26,11.45000,11.45000,11.25000,11.25000,2200
2023-09-27,11.41000,11.45000,11.40000,11.42000,2400
2023-09-28,11.25000,11.48500,11.01000,11.40000,2500
2023-09-29,11.17000,11.38000,11.12000,11.29000,2600
2023-10-02,11.26000,11.26000,11.21100,11.22000,2700
2023-10-03,11.12000,11.41500,11.05000,11.17000,3500
2023-10-04,11.35000,11.50000,11.15000,11.18000,4900
2023-10-05,11.07000,11.50500,11.07000,11.46000,4400
2023-10-06,11.40000,11.55000,11.11000,11.25000,10100
2023-10-09,11.23000,11.28700,11.00000,11.04000,13000
2023-10-10,11.17000,11.25000,10.84000,10.96000,30400
2023-10-11,10.75000,11.25000,10.56000,10.80000,20100
2023-10-12,10.50000,10.74000,10.45000,10.67000,18900
2023-10-13,10.70000,11.08500,10.70000,10.92000,7100
2023-10-16,10.89000,11.39000,10.37000,10.88000,20900
2023-10-17,10.90000,10.97000,10.79000,10.89000,7700
2023-10-18,10.90000,10.98000,10.80000,10.90000,9000
2023-10-19,10.84000,11.48000,10.81000,10.83000,13400
2023-10-20,10.61000,11.48000,10.61000,10.74000,12900
2023-10-23,10.80000,11.08000,10.76000,10.76000,11900
2023-10-24,10.81000,11.20000,10.80000,11.20000,7600
2023-10-25,10.86000,11.43500,10.81000,10.81000,10100
2023-10-26,11.09000,11.37000,10.80000,10.90000,15800
2023-10-27,11.31800,11.31800,10.50000,10.72000,35300
2023-10-30,10.90000,11.23000,10.70000,10.78000,9500
2023-10-31,10.76000,11.17000,10.75000,11.04000,10100
2023-11-01,10.74000,11.09000,10.74000,10.88000,12800
2023-11-02,10.75000,11.25000,10.75000,10.97000,5500
2023-11-03,10.85000,11.25000,10.85000,11.06000,6000
2023-11-06,11.03000,11.08000,10.99000,10.99000,3400
2023-11-07,11.16000,11.16000,10.83000,10.96500,9800
2023-11-08,11.12100,11.15000,11.00000,11.10000,6500
2023-11-09,10.94000,10.95000,10.93000,10.95000,2800
2023-11-10,11.11000,11.15000,11.03000,11.13000,7400
2023-11-13,11.11000,11.20000,11.00000,11.07000,7600
2023-11-14,11.24000,11.56000,11.06000,11.49000,14900
2023-11-15,11.27500,11.49000,11.17000,11.22000,13200
2023-11-16,11.20500,11.21000,11.20000,11.20000,3700
2023-11-17,11.06000,11.47000,11.06000,11.47000,9900
2023-11-20,11.36500,11.74000,11.35500,11.74000,4600
2023-11-21,11.11000,11.58300,11.11000,11.54000,9600
2023-11-22,11.40000,11.70000,11.03000,11.52000,5100
2023-11-24,11.73000,11.73000,11.00000,11.17000,24200
2023-11-27,11.15000,11.27000,10.95000,11.13000,11400
2023-11-28,10.97000,11.09000,10.94000,10.95000,10000
2023-11-29,11.10000,11.10000,10.78000,11.05000,26900
2023-11-30,11.05000,11.14000,10.96000,11.14000,13100
2023-12-01,11.30000,11.30000,10.99000,11.06000,12200
2023-12-04,11.07000,11.24100,11.07000,11.17000,5400
2023-12-05,11.00000,11.31500,11.00000,11.17000,2400
2023-12-06,11.19000,11.37400,10.97000,11.09000,4500
2023-12-07,11.28000,11.28000,11.03400,11.28000,3100
2023-12-08,11.39000,11.39000,11.23000,11.23000,2300
2023-12-11,11.03200,11.10000,11.02000,11.10000,10400
2023-12-12,11.04000,11.25500,10.94000,10.96000,8100
2023-12-13,10.94000,11.59000,10.94000,11.38000,6000
2023-12-14,11.30500,11.54000,11.30500,11.54000,5700
2023-12-15,11.59000,11.60000,11.31000,11.34000,17300
2023-12-18,11.35500,11.55000,11.09000,11.13000,17300
2023-12-19,11.28000,11.55000,10.85000,10.85000,112100
2023-12-20,10.92000,11.19500,10.91000,11.03000,6100
2023-12-21,11.09000,11.20000,10.69000,11.03000,44300
2023-12-22,10.90000,11.40000,10.60000,11.10000,52200
2023-12-26,10.93400,11.30000,10.60000,10.68000,136300
2023-12-27,11.00000,11.00000,10.23000,10.40000,221400
2023-12-28,10.58000,10.63000,10.41000,10.48000,52500
2023-12-29,10.50000,10.64500,10.45000,10.59000,61200
2024-01-02,10.62000,10.71000,10.47000,10.59000,69000
2024-01-03,10.58000,10.78500,10.58000,10.69000,55800
2024-01-04,10.76000,10.76000,10.58000,10.68000,12800
2024-01-05,10.69000,10.70500,10.60000,10.68000,12500
2024-01-08,10.60000,10.67000,10.58000,10.63000,8800
2024-01-09,10.56700,10.60000,10.40000,10.56000,12700
2024-01-10,10.53000,10.62000,10.53000,10.62000,3900
2024-01-11,10.58000,10.60000,10.53000,10.54000,11600
2024-01-12,10.57500,10.60000,10.55000,10.56000,4400
2024-01-16,10.55000,10.61000,10.54000,10.56000,21300
2024-01-17,10.55000,10.60000,10.53000,10.57000,17200
