date,open,high,low,close,volume
2025-03-17,181.00000,181.00000,181.00000,181.00000,936
2025-03-18,180.00000,180.00000,177.38000,180.00000,68537
2025-03-19,180.00000,181.00000,180.00000,180.00000,103412
2025-03-20,180.00000,181.00000,180.00000,180.00000,58946
2025-03-21,180.00000,181.00000,176.39999,180.00000,65873
2025-03-24,180.00000,181.00000,180.00000,180.00000,70688
2025-03-25,180.00000,181.00000,179.95000,180.00000,80041
2025-03-26,180.00000,180.00000,180.00000,180.00000,160732
2025-03-27,176.39999,181.00000,176.39999,176.39999,438062
2025-03-28,177.00000,177.00000,176.39999,177.00000,35496
2025-04-01,180.00000,180.00000,179.00000,180.00000,31997
2025-04-02,179.10001,180.00000,179.10001,179.10001,2864
2025-04-03,181.00000,181.00000,179.99001,181.00000,3285
2025-04-04,180.00000,180.10001,180.00000,180.00000,36535
2025-04-07,180.00000,180.00000,180.00000,180.00000,16703
2025-04-08,180.00000,181.10001,180.00000,180.00000,5303
2025-04-09,180.00000,180.10001,180.00000,180.00000,55315
2025-04-11,180.00000,180.00000,180.00000,180.00000,61256
2025-04-15,180.00000,185.00000,173.67999,182.22000,9400
2025-04-16,178.50000,186.89999,178.50000,182.83000,54370
2025-04-17,183.00000,183.00000,175.10001,180.11000,61837
2025-04-21,181.91000,184.00000,175.39999,180.50999,61884
2025-04-22,185.00000,185.00000,177.06000,180.16000,49576
2025-04-23,180.09000,185.00000,177.50000,180.44000,64172
2025-04-24,182.99001,188.78999,177.55000,181.67000,58526
2025-04-25,181.67000,185.00000,180.00000,180.42000,86186
2025-04-28,180.00000,186.00000,180.00000,184.03000,59181
2025-04-29,186.89999,186.89999,180.10001,183.73000,65747
2025-04-30,181.10001,185.25000,180.10001,184.34000,56986
2025-05-02,184.98000,184.98000,180.00000,182.89999,80963
2025-05-05,186.00000,221.56000,186.00000,201.00999,153262
2025-05-06,201.00999,208.80000,190.69000,196.71001,61091
2025-05-07,200.24001,205.00000,190.99001,201.28000,86832
2025-05-08,204.00000,210.49001,193.99001,201.57001,65093
2025-05-09,192.02000,206.89999,192.02000,202.87000,71348
2025-05-12,215.59000,215.59000,200.00000,205.14000,74113
2025-05-13,208.20000,208.20000,197.00000,204.38000,47224
2025-05-14,202.34000,205.10001,201.05000,204.70000,51000
2025-05-15,201.53000,207.53999,199.00000,203.66000,59698
2025-05-16,206.70000,218.00000,202.00000,215.83000,97972
2025-05-19,219.05000,227.50999,217.00000,221.37000,69250
2025-05-20,224.70000,224.70000,213.58000,217.16000,49030
2025-05-21,214.25000,223.57001,214.25000,220.23000,56648
2025-05-22,221.34000,221.53999,216.46001,218.85001,63872
2025-05-23,215.55000,222.97000,215.55000,219.16000,75950
2025-05-26,219.16000,222.00000,216.34000,219.13000,12121
2025-05-27,217.05000,221.91000,214.75000,219.25000,57647
2025-05-28,219.05000,220.13000,214.10001,215.75999,121406
2025-05-29,218.95000,219.00000,205.89999,214.63000,128144
2025-05-30,216.39999,218.89999,205.60001,209.25000,81212
2025-06-02,211.35001,219.00000,211.35001,218.49001,22194
2025-06-03,220.13000,221.99001,214.20000,216.96001,18801
2025-06-04,218.59000,222.00000,209.00999,218.87000,114539
2025-06-05,222.00000,226.98000,217.00000,218.21001,95872
2025-06-06,219.85001,223.20000,217.37000,219.09000,59109
2025-06-09,220.46001,227.97000,219.03000,224.42000,89695
2025-06-10,227.80000,233.00000,224.89999,228.59000,92662
2025-06-11,230.34000,269.50000,230.33000,255.33000,455713
2025-06-12,254.64000,260.00000,246.92000,252.48000,247552
2025-06-13,246.80000,250.50000,235.10001,239.96001,136403
2025-06-16,239.64999,245.87000,230.35001,241.46001,103269
2025-06-17,244.95000,244.95000,234.07001,236.88000,80297
2025-06-18,238.10001,239.58000,230.71001,234.21001,87823
2025-06-19,231.85001,237.99001,225.61000,229.84000,71234
2025-06-20,227.25000,235.00000,225.31000,233.64000,47850
2025-06-23,233.61000,247.00000,228.87000,244.33000,91417
2025-06-24,245.00000,249.06000,236.00000,245.28000,40138
2025-06-25,245.96001,267.59000,243.33000,259.25000,99717
2025-06-26,263.14999,263.14999,246.48000,248.58000,66929
2025-06-27,252.30000,252.35001,245.70000,247.30000,49334
2025-06-30,244.00999,251.56000,244.00999,248.17999,52651
2025-07-01,250.64999,250.64999,239.53000,243.70000,28955
2025-07-02,242.49001,247.55000,241.09000,245.85001,49364
2025-07-03,246.85001,247.20000,241.00999,244.03000,37380
2025-07-04,244.45000,256.89999,244.06000,251.39000,85030
2025-07-07,252.75000,260.69000,248.11000,255.66000,58220
2025-07-08,255.66000,255.66000,248.28999,252.23000,42567
2025-07-09,252.95000,253.14999,244.81000,249.24001,39018
2025-07-10,250.48000,255.00000,246.31000,250.13000,47463
2025-07-11,254.89999,255.60001,247.14999,253.99001,36005
2025-07-14,255.60001,259.98001,249.47000,253.06000,35045
2025-07-15,255.00000,259.01999,250.25000,253.92000,36324
2025-07-16,255.00000,259.79999,220.00000,223.89999,812091
2025-07-17,221.50000,229.80000,216.25000,219.69000,439824
2025-07-18,219.70000,219.95000,215.10001,216.78000,47079
2025-07-21,216.78000,220.00000,215.00000,217.73000,39028
2025-07-22,219.89999,222.00000,217.73000,220.67000,39311
2025-07-23,220.00000,226.14000,215.19000,223.73000,53685
2025-07-24,225.00000,225.00000,218.96001,222.44000,27570
2025-07-25,221.00000,223.35001,220.10001,220.94000,17339
2025-07-28,219.20000,222.28000,219.20000,220.20000,53400
2025-07-29,219.10001,230.39999,219.10001,225.02000,67547
2025-07-30,225.02000,226.50000,220.80000,223.27000,23824
2025-07-31,221.39999,223.75999,220.00000,220.39000,13379
2025-08-01,202.20000,225.50000,200.60001,220.50999,80747
2025-08-04,220.00000,224.98000,220.00000,220.70000,27299
2025-08-05,223.00000,223.00000,220.00000,220.31000,21037
2025-08-06,222.89999,223.99001,220.00000,220.39999,41755
2025-08-07,220.10001,221.99001,220.00000,220.21001,9914
2025-08-08,222.48000,236.00000,220.00000,221.53000,42443
2025-08-11,221.55000,225.39999,220.00000,220.28999,11975
2025-08-12,220.00999,222.88000,220.00000,220.07001,9785
2025-08-13,221.55000,222.00000,220.00000,220.96001,21835
2025-08-14,220.96001,221.86000,220.00000,220.24001,19998
2025-08-18,221.36000,226.60001,220.00000,220.35001,16925
2025-08-19,220.35001,225.10001,220.21001,221.69000,18387
2025-08-20,222.69000,223.36000,220.50000,221.35001,20814
