date,open,high,low,close,volume
2023-09-26,11.25000,11.25000,10.65000,10.85000,748178
2023-09-27,11.05000,11.35000,10.90000,11.35000,539045
2023-09-28,11.40000,11.55000,11.10000,11.20000,439013
2023-09-29,11.05000,11.25000,10.75000,10.85000,883013
2023-10-03,11.10000,11.15000,10.85000,10.90000,402845
2023-10-04,11.05000,11.10000,10.75000,10.90000,458940
2023-10-05,11.15000,11.40000,11.15000,11.40000,1364697
2023-10-06,11.85000,11.90000,11.40000,11.55000,1996873
2023-10-09,11.60000,11.60000,10.80000,10.85000,1089260
2023-10-10,11.30000,11.35000,10.90000,10.95000,800432
2023-10-11,11.10000,11.60000,10.75000,11.15000,2222260
2023-10-12,11.20000,11.30000,10.90000,10.95000,869789
2023-10-13,11.00000,11.10000,10.70000,10.75000,852949
2023-10-16,10.90000,10.95000,10.65000,10.70000,1209004
2023-10-17,10.85000,10.90000,10.65000,10.65000,1121665
2023-10-18,10.80000,10.80000,10.55000,10.65000,529921
2023-10-19,10.80000,10.80000,10.60000,10.65000,269134
2023-10-20,10.75000,10.80000,10.65000,10.65000,361513
2023-10-23,10.80000,10.80000,9.65000,9.95000,767196
2023-10-25,9.95000,10.40000,9.95000,10.00000,373293
2023-10-26,10.05000,10.15000,9.70000,9.95000,432064
2023-10-27,10.00000,10.15000,9.95000,10.00000,494262
2023-10-30,10.10000,10.15000,9.70000,9.80000,913543
2023-10-31,9.85000,10.75000,9.75000,10.30000,1243510
2023-11-01,10.65000,10.65000,9.80000,9.90000,715082
2023-11-02,9.90000,10.60000,9.90000,10.55000,1560152
2023-11-03,10.60000,10.95000,10.60000,10.70000,1280406
2023-11-06,11.00000,11.10000,10.60000,10.70000,1319862
2023-11-07,10.80000,11.45000,10.65000,11.05000,3740198
2023-11-08,11.15000,12.15000,11.05000,12.15000,6515845
2023-11-09,12.25000,12.65000,11.80000,12.00000,4154829
2023-11-10,11.95000,13.15000,11.75000,12.70000,5883231
2023-11-13,13.20000,13.20000,12.60000,13.05000,2975542
2023-11-15,13.20000,14.30000,13.10000,14.20000,7467052
2023-11-16,14.25000,14.25000,13.60000,13.80000,4036484
2023-11-17,13.75000,14.45000,13.70000,14.35000,3427923
2023-11-20,14.65000,14.85000,14.25000,14.40000,2064450
2023-11-21,14.40000,15.10000,14.25000,15.10000,3157437
2023-11-22,15.35000,15.55000,14.55000,14.85000,1869904
2023-11-23,14.90000,15.30000,14.85000,14.95000,1348095
2023-11-24,15.05000,15.40000,14.30000,14.45000,2427357
2023-11-28,14.40000,14.70000,14.25000,14.45000,1180288
2023-11-29,14.45000,14.55000,13.95000,14.00000,1071589
2023-11-30,14.05000,14.15000,13.90000,14.00000,673036
2023-12-01,14.15000,14.65000,14.00000,14.50000,1365210
2023-12-04,14.90000,15.10000,14.65000,14.80000,2109865
2023-12-05,15.15000,15.15000,14.30000,14.55000,1722324
2023-12-06,14.65000,14.75000,14.40000,14.45000,763717
2023-12-07,14.80000,15.15000,14.25000,15.10000,2943193
2023-12-08,15.20000,15.50000,14.65000,14.90000,1838048
2023-12-11,15.20000,15.40000,15.10000,15.20000,1386601
2023-12-12,15.40000,15.95000,15.25000,15.85000,5371296
2023-12-13,15.95000,16.60000,15.90000,16.20000,5252026
2023-12-14,16.40000,16.70000,15.40000,15.75000,4213596
2023-12-15,16.10000,16.45000,15.85000,16.40000,3619357
2023-12-18,16.95000,16.95000,15.95000,16.20000,2172731
2023-12-19,16.35000,16.50000,15.50000,15.80000,2157369
2023-12-20,15.95000,16.30000,15.05000,15.20000,3381532
2023-12-21,15.00000,15.95000,14.80000,15.85000,2047859
2023-12-22,15.95000,16.60000,15.85000,16.35000,3818379
2023-12-26,16.90000,17.15000,16.65000,17.15000,4638610
2023-12-27,17.45000,18.00000,17.20000,18.00000,5111188
2023-12-28,18.85000,18.90000,18.15000,18.90000,9196047
2023-12-29,19.80000,19.80000,17.95000,18.35000,12148175
2024-01-01,18.50000,19.20000,18.45000,19.10000,2693373
2024-01-02,19.70000,19.70000,18.40000,18.60000,1484714
2024-01-03,19.00000,19.50000,17.70000,19.05000,2411050
2024-01-04,19.60000,19.60000,19.05000,19.30000,1973016
2024-01-05,19.70000,20.20000,19.10000,20.05000,2211146
2024-01-08,20.25000,21.05000,19.30000,20.70000,3433428
2024-01-09,21.10000,21.45000,20.80000,20.95000,1971910
2024-01-10,21.55000,21.70000,20.95000,21.50000,1673288
2024-01-11,21.75000,22.55000,21.50000,22.50000,2935517
2024-01-12,23.20000,23.60000,22.95000,23.60000,2243065
2024-01-15,23.15000,23.15000,23.15000,23.15000,784427
2024-01-16,22.70000,22.70000,22.70000,22.70000,179273
2024-01-17,22.25000,22.25000,22.25000,22.25000,56598
