date,open,high,low,close,volume
2023-09-25,17.56000,17.79000,17.28000,17.63000,256100
2023-09-26,17.54000,17.75000,17.31000,17.52000,190200
2023-09-27,17.68000,18.10000,17.52000,18.07000,232200
2023-09-28,17.97000,18.37000,17.54000,18.10000,216500
2023-09-29,18.13000,18.60000,18.10000,18.22000,279700
2023-10-02,18.17000,18.20000,17.75000,17.86000,233200
2023-10-03,17.75000,17.75500,17.01000,17.19000,174000
2023-10-04,17.21000,17.47500,16.74000,17.15000,129200
2023-10-05,17.15000,17.28700,16.80500,17.15000,175200
2023-10-06,16.99000,17.58000,16.51000,17.56000,596200
2023-10-09,17.48000,17.78500,17.29000,17.61000,228100
2023-10-10,17.70000,17.90000,17.32000,17.35000,162400
2023-10-11,17.36000,17.41500,17.03000,17.17000,175400
2023-10-12,17.23000,17.27000,16.95000,17.03000,246200
2023-10-13,17.13000,17.13000,16.48500,16.69000,174600
2023-10-16,16.71000,17.61000,16.71000,17.58000,175600
2023-10-17,17.59000,18.82000,17.50000,18.55000,834000
2023-10-18,18.45000,18.45000,17.28000,18.08000,677300
2023-10-19,18.10000,18.93000,17.39000,18.76000,368800
2023-10-20,18.86000,18.86000,17.81500,18.05000,419100
2023-10-23,17.90000,18.30000,17.65000,18.03000,233200
2023-10-24,18.12000,18.69000,18.09000,18.34000,310600
2023-10-25,18.14000,18.60000,17.89000,18.13000,211900
2023-10-26,18.12000,18.85000,18.12000,18.54000,425100
2023-10-27,18.57000,18.59000,18.08000,18.27000,376700
2023-10-30,18.34000,18.34000,17.40000,17.55000,251900
2023-10-31,17.57000,18.06000,17.46000,17.95000,240800
2023-11-01,18.05000,18.05000,17.32000,17.60000,220000
2023-11-02,19.00000,21.24000,18.03000,19.40000,1124600
2023-11-03,19.74000,20.04000,19.21000,20.01000,760500
2023-11-06,20.83000,21.97000,20.37000,20.81000,1277400
2023-11-07,20.65000,21.47000,20.61000,21.36000,452500
2023-11-08,21.40000,21.89000,21.01000,21.38000,519500
2023-11-09,21.31000,21.32000,20.38000,20.52000,550200
2023-11-10,20.69000,21.27000,20.55000,21.06000,695800
2023-11-13,20.84000,21.31000,20.61000,21.18000,342100
2023-11-14,21.89000,22.43000,21.61000,22.43000,551300
2023-11-15,22.45000,22.88000,21.88000,22.01000,583800
2023-11-16,21.81000,22.59000,21.54000,22.57000,433300
2023-11-17,22.70000,22.92000,22.30000,22.65000,293000
2023-11-20,22.65000,23.07500,22.25100,22.91000,310400
2023-11-21,22.78000,23.00000,22.55000,22.80000,238200
2023-11-22,23.05000,23.24000,22.56000,22.59000,187700
2023-11-24,22.41000,22.86000,22.13000,22.78000,90700
2023-11-27,22.63000,22.97800,22.44000,22.50000,364200
2023-11-28,22.45000,22.71000,22.40000,22.64000,250400
2023-11-29,22.70000,23.16000,22.49000,22.63000,275900
2023-11-30,22.67000,22.98000,22.28000,22.77000,411500
2023-12-01,22.71000,23.11000,22.47000,22.83000,366600
2023-12-04,22.53000,22.87000,22.12500,22.80000,544200
2023-12-05,22.59000,24.03800,22.54500,24.00000,1176700
2023-12-06,24.11000,24.34000,22.18000,22.31000,824000
2023-12-07,21.77000,22.46000,21.19000,22.44000,444700
2023-12-08,22.39000,22.57000,21.92000,22.49000,487100
2023-12-11,22.82000,23.44000,22.68000,22.70000,442600
2023-12-12,22.60000,22.91000,22.41000,22.70000,358300
2023-12-13,22.77000,23.25000,22.33000,23.14000,395500
2023-12-14,23.51000,23.92000,22.68000,23.18000,518600
2023-12-15,23.46000,23.73000,22.96300,23.32000,946000
