date,open,high,low,close,volume
2023-09-26,2348.00000,2365.00000,2332.19995,2338.69995,21002
2023-09-27,2338.69995,2353.75000,2325.00000,2340.69995,19087
2023-09-28,2340.69995,2353.85010,2290.00000,2295.60010,78289
2023-09-29,2300.14990,2331.25000,2295.05005,2299.75000,22245
2023-10-03,2315.55005,2315.55005,2280.00000,2284.44995,23834
2023-10-04,2284.44995,2297.89990,2244.00000,2248.30005,38963
2023-10-05,2270.69995,2330.00000,2264.14990,2299.14990,28405
2023-10-06,2310.00000,2316.00000,2297.19995,2309.30005,18215
2023-10-09,2280.00000,2288.00000,2257.00000,2274.44995,22456
2023-10-10,2261.00000,2290.00000,2261.00000,2284.14990,20155
2023-10-11,2285.00000,2320.00000,2275.00000,2287.10010,24742
2023-10-12,2287.10010,2298.00000,2266.05005,2273.00000,15989
2023-10-13,2273.00000,2288.00000,2252.50000,2267.94995,16688
2023-10-16,2277.60010,2320.00000,2270.00000,2303.85010,25669
2023-10-17,2327.60010,2327.60010,2278.00000,2284.10010,23196
2023-10-18,2280.19995,2299.94995,2235.00000,2246.35010,28658
2023-10-19,2260.00000,2276.55005,2226.35010,2233.05005,32804
2023-10-20,2237.94995,2251.00000,2215.00000,2225.44995,20763
2023-10-23,2248.94995,2248.94995,2175.00000,2191.25000,32417
2023-10-25,2210.69995,2217.14990,2160.00000,2175.39990,24880
2023-10-26,2175.39990,2175.50000,2120.00000,2152.94995,40189
2023-10-27,2152.00000,2199.50000,2150.00000,2180.00000,29165
2023-10-30,2180.00000,2186.94995,2136.19995,2144.69995,21401
2023-10-31,2144.05005,2170.80005,2138.50000,2142.60010,17780
2023-11-01,2142.60010,2148.05005,2127.05005,2138.69995,13784
2023-11-02,2138.00000,2155.00000,2130.30005,2148.10010,11165
2023-11-03,2162.10010,2185.94995,2150.39990,2168.69995,15081
2023-11-06,2186.00000,2220.10010,2178.00000,2211.94995,28815
2023-11-07,2225.00000,2235.00000,2156.14990,2181.44995,65553
2023-11-08,2175.00000,2175.00000,2142.00000,2146.89990,49796
2023-11-09,2140.00000,2150.60010,2121.00000,2124.19995,32350
2023-11-10,2130.05005,2143.10010,2124.00000,2127.50000,20776
2023-11-13,2154.69995,2154.69995,2125.00000,2131.19995,24183
2023-11-15,2154.75000,2154.75000,2125.00000,2129.14990,20948
2023-11-16,2139.94995,2155.00000,2132.00000,2138.44995,21817
