date,open,high,low,close,volume
2023-10-05,3.00000,3.00000,3.00000,3.00000,600
2023-10-10,2.90000,3.00000,2.86800,3.00000,4400
2023-10-11,2.80000,2.95000,2.38000,2.95000,4500
2023-10-12,2.95000,2.98000,2.42000,2.98000,12000
2023-10-16,2.83800,2.83800,2.83800,2.83800,100
2023-10-17,2.77000,2.98000,2.51000,2.98000,3600
2023-10-18,2.82000,2.86500,2.63000,2.72300,2700
2023-10-20,3.00000,3.50000,3.00000,3.42800,900
2023-10-26,3.07500,3.07500,3.07500,3.07500,100
2023-10-31,3.10000,3.30800,3.10000,3.30800,1700
2023-11-01,3.00000,3.00000,2.91000,3.00000,4000
2023-11-02,3.00000,3.00000,2.90000,2.90000,2700
2023-11-03,2.75000,2.75000,2.75000,2.75000,1800
2023-11-06,2.75000,2.75000,2.75000,2.75000,100
2023-11-07,2.50000,2.88000,2.50000,2.50000,4500
2023-11-08,2.85000,2.85000,2.44300,2.50000,8200
2023-11-10,2.60000,2.60000,2.60000,2.60000,100
2023-11-13,2.78000,2.78000,2.23800,2.24800,17300
2023-11-14,2.46000,2.50000,2.42500,2.50000,1200
2023-11-15,2.49000,2.49000,2.20000,2.25000,39800
2023-11-16,2.25000,2.25000,2.12000,2.16500,8800
2023-11-17,2.25000,2.25000,2.23000,2.23000,300
2023-11-20,2.49000,2.60000,2.24500,2.34000,1900
2023-11-21,2.74000,2.74000,2.45000,2.45000,500
2023-11-22,2.25000,2.75300,2.16800,2.55000,4400
2023-11-24,2.72000,2.72000,2.65000,2.65300,300
2023-11-27,2.75800,2.75800,2.71000,2.71000,2500
2023-11-28,2.80000,2.80000,2.48000,2.48000,500
2023-11-29,2.50000,2.76500,2.50000,2.59000,700
2023-11-30,2.67000,2.67000,2.42000,2.42000,1300
2023-12-04,2.50000,2.50000,2.50000,2.50000,100
2023-12-05,2.57800,2.57800,2.50000,2.50000,500
2023-12-06,2.76000,2.76000,2.65000,2.65000,200
2023-12-07,2.80000,2.80000,2.52000,2.52000,200
2023-12-08,2.91000,2.91000,2.91000,2.91000,100
2023-12-11,2.90000,2.90000,1.78000,2.30000,2800
2023-12-12,2.33000,2.33000,2.33000,2.33000,400
2023-12-13,2.35000,2.35000,2.16800,2.24000,500
2023-12-14,2.02000,2.55300,2.02000,2.53000,4700
2023-12-15,2.52000,2.54500,2.52000,2.52000,2000
2023-12-18,2.60000,2.65000,2.50000,2.65000,400
2023-12-19,2.65000,2.65000,2.65000,2.65000,100
2023-12-20,2.60000,2.60000,2.50000,2.50000,200
2023-12-21,2.82000,2.82000,2.82000,2.82000,200
2023-12-22,2.86000,2.86000,2.86000,2.86000,100
2023-12-26,2.52000,3.04000,2.14000,2.86000,6200
2023-12-27,2.56000,2.75000,2.56000,2.65000,500
2023-12-28,2.70000,3.20000,2.70000,2.90000,16500
2024-01-04,3.01000,3.90000,3.01000,3.60000,2600
2024-01-08,3.38000,3.50000,3.15000,3.15000,2500
2024-01-09,3.30000,3.31500,2.51000,3.00000,11200
2024-01-10,2.35500,2.70000,2.35500,2.70000,2200
2024-01-11,2.84000,3.23500,2.82000,3.15000,5700
2024-01-12,2.62500,3.00000,2.62500,2.95000,8200
2024-01-16,2.70000,2.79000,2.56000,2.79000,2500
2024-01-17,2.65000,2.90800,2.61000,2.76000,6000
2024-01-18,2.92500,3.40000,2.85000,3.40000,18200
2024-01-19,3.01000,3.25000,3.01000,3.17800,4700
2024-01-22,3.16000,3.16200,2.80000,3.15000,4200
2024-01-23,3.12600,3.24500,3.00000,3.24500,23400
2024-01-25,3.07900,3.21500,3.02200,3.21500,2100
2024-01-26,3.24000,3.60000,3.24000,3.51000,1300
2024-01-29,3.48000,3.48000,3.00000,3.42000,3600
2024-01-31,3.07000,3.30000,3.06000,3.30000,12600
2024-02-01,3.30000,3.66000,3.30000,3.66000,6700
2024-02-02,3.30000,3.50000,2.59000,3.22300,2600
2024-02-05,3.20000,3.20000,3.00000,3.10000,1600
2024-02-06,3.00000,3.26000,3.00000,3.26000,300
2024-02-07,3.22000,3.22000,2.90000,3.07000,27800
2024-02-08,2.70000,3.86000,2.65000,3.86000,26200
2024-02-09,3.40000,3.55000,3.19000,3.20000,18600
2024-02-12,3.06800,3.85000,3.06800,3.44900,3600
2024-02-13,3.16000,3.25000,2.75000,3.25000,2600
2024-02-14,3.25000,3.46300,2.98800,3.20000,19200
2024-02-15,3.05000,3.09400,3.03000,3.05000,6900
2024-02-16,3.05000,3.05000,3.05000,3.05000,200
2024-02-20,3.05000,3.40000,2.95000,3.05000,16300
2024-02-21,2.96000,3.05000,2.60500,3.02200,9000
2024-02-22,3.05000,3.05000,3.05000,3.05000,600
2024-02-23,3.03000,3.05000,3.03000,3.05000,4900
2024-02-26,3.05000,3.05000,2.99600,3.02000,21600
2024-02-27,3.05000,3.05000,2.65000,3.02600,4700
2024-02-28,3.05000,3.05000,3.05000,3.05000,4000
2024-02-29,3.00000,3.05000,2.61000,2.99000,16800
2024-03-01,2.89000,3.10000,2.89000,3.05000,8500
2024-03-04,3.00000,3.05000,2.99500,3.00000,8400
2024-03-05,3.00000,3.00000,3.00000,3.00000,2000
2024-03-06,3.09800,3.39600,3.09800,3.39600,2800
2024-03-07,3.40000,3.50000,3.23200,3.48000,5100
2024-03-08,3.16000,3.45000,3.15000,3.15000,11900
