date,open,high,low,close,volume
2025-03-27,3.16000,3.49900,2.96000,3.20000,467200
2025-03-28,3.35000,3.37000,3.08000,3.20000,290400
2025-03-31,3.05000,3.33000,2.72000,3.21000,355500
2025-04-01,3.22000,3.35000,3.07500,3.31000,134600
2025-04-02,3.45000,3.45000,3.18000,3.35000,187100
2025-04-03,3.20000,3.29000,3.05100,3.12000,59300
2025-04-04,3.06000,3.10000,2.82000,2.90000,98600
2025-04-07,2.80000,2.83000,2.62000,2.78000,108400
2025-04-08,2.77000,2.88000,2.46100,2.54000,174200
2025-04-09,2.58000,2.61000,2.18000,2.54000,207800
2025-04-10,2.60000,2.60000,2.32000,2.36000,51200
2025-04-11,2.30000,2.54000,2.25000,2.43000,112600
2025-04-14,2.54000,2.62000,2.28000,2.56000,150300
2025-04-15,2.60000,2.60000,2.33000,2.40000,59300
2025-04-16,2.27000,2.35000,2.18000,2.25000,90500
2025-04-17,2.31000,2.41500,2.21000,2.34000,61900
2025-04-21,2.27000,2.30500,2.20000,2.29000,63700
2025-04-22,2.30000,2.34000,2.20000,2.29000,83500
2025-04-23,2.22000,2.40800,2.22000,2.27000,31500
2025-04-24,2.28000,2.36200,2.26000,2.33000,31600
2025-04-25,2.28000,2.44000,2.28000,2.40000,45400
2025-04-28,2.42000,2.44300,2.34000,2.36000,17500
2025-04-29,2.36000,2.42000,2.33000,2.38000,29800
2025-04-30,2.29000,2.41000,2.25000,2.37000,32700
2025-05-01,2.32000,2.45000,2.29000,2.33000,41000
2025-05-02,2.33000,2.43000,2.25000,2.33000,109900
2025-05-05,2.26000,2.51500,2.26000,2.38000,88000
2025-05-06,2.41000,2.41000,2.26000,2.35000,41300
2025-05-07,2.31000,2.38000,2.29000,2.38000,24200
2025-05-08,2.34000,2.50000,2.29000,2.36000,52100
2025-05-09,2.31000,2.39000,2.30000,2.38000,55000
2025-05-12,2.32000,2.41000,2.15000,2.36000,95100
2025-05-13,2.38000,2.39000,2.30000,2.36000,4305600
2025-05-14,2.73000,3.42000,2.52000,2.92000,6512000
2025-05-15,2.69000,3.06000,2.61000,2.87000,398200
2025-05-16,2.90000,3.27000,2.87000,3.17000,568900
2025-05-19,3.05000,3.17000,2.95000,3.06000,152300
2025-05-20,3.07000,3.26000,3.03000,3.19000,107200
2025-05-21,3.10000,3.12500,2.83000,2.83000,197600
2025-05-22,2.90000,3.02000,2.90000,2.95000,90900
2025-05-23,2.97000,2.97000,2.75000,2.79000,149900
2025-05-27,2.81000,2.85000,2.70000,2.78000,2538700
2025-05-28,2.98000,3.09000,2.35000,2.53000,1064000
2025-05-29,2.50000,2.74000,2.45000,2.63000,287600
2025-05-30,2.66000,2.75000,2.53000,2.66000,101700
2025-06-02,2.73000,2.77000,2.59000,2.72000,83900
2025-06-03,2.67000,2.90000,2.64000,2.85000,141700
2025-06-04,2.85000,3.00000,2.73000,2.86000,145700
2025-06-05,2.88000,2.91400,2.65400,2.70000,75300
2025-06-06,2.66000,2.81500,2.64000,2.69000,69300
2025-06-09,2.64000,2.78000,2.56000,2.71000,77900
2025-06-10,2.67000,2.76300,2.65000,2.71000,72700
2025-06-11,2.65000,2.77500,2.65000,2.71000,57200
2025-06-12,2.66000,2.71000,2.52000,2.56000,55200
2025-06-13,2.47000,2.60200,2.47000,2.48000,82300
2025-06-16,2.46000,2.53000,2.40000,2.44000,55900
2025-06-17,2.40000,2.56000,2.40000,2.55000,91300
2025-06-18,2.49000,2.55000,2.42000,2.42000,46500
2025-06-20,2.38000,2.42000,2.32000,2.32000,50800
2025-06-23,2.33000,2.46000,2.30000,2.41000,49900
2025-06-24,2.41000,2.49000,2.40000,2.43000,38800
2025-06-25,2.43000,2.66000,2.38000,2.46000,170500
2025-06-26,2.53000,2.53000,2.42000,2.50000,65100
2025-06-27,2.50000,2.54000,2.43000,2.43000,33300
2025-06-30,2.46000,2.49000,2.43000,2.43000,29000
2025-07-01,2.43000,2.52000,2.42500,2.45000,14800
2025-07-02,2.40000,2.59000,2.40000,2.56000,30500
2025-07-03,2.56000,2.57000,2.49700,2.51000,22600
2025-07-07,2.51000,2.60000,2.45000,2.53000,224400
2025-07-08,2.53000,2.68000,2.48100,2.59000,48700
2025-07-09,2.62000,2.90000,2.60000,2.86000,1731000
2025-07-10,3.00000,3.14000,2.78000,2.99000,805600
2025-07-11,2.95000,2.95000,2.80000,2.84000,179900
2025-07-14,2.84000,2.93000,2.77400,2.86000,104600
2025-07-15,2.89000,3.18000,2.87200,3.18000,193800
2025-07-16,3.18000,3.18000,2.92000,2.96000,95300
