date,open,high,low,close,volume
2023-10-02,17.18000,17.24000,16.91000,17.05000,44200
2023-10-03,16.99000,16.99000,16.55000,16.70000,56100
2023-10-04,16.71000,16.71000,16.37000,16.66000,59900
2023-10-05,16.83000,17.53000,16.76000,17.50000,112100
2023-10-06,17.41000,17.43000,16.66000,17.01000,104700
2023-10-09,16.89000,17.36000,16.76000,16.92000,153300
2023-10-10,16.99000,17.28000,16.96000,17.14000,60300
2023-10-11,17.11000,17.49000,17.10000,17.13000,57000
2023-10-12,17.24000,17.50000,16.89000,16.99000,59700
2023-10-13,17.15000,17.15000,16.59000,16.64000,75300
2023-10-16,16.76000,17.00000,16.63000,16.76000,118300
2023-10-17,16.82000,17.41000,16.82000,17.28000,147300
2023-10-18,17.12000,17.22000,16.76000,16.79000,53200
2023-10-19,16.79000,16.90000,16.43000,16.48000,134800
2023-10-20,16.52000,16.52000,16.04000,16.08000,92400
2023-10-23,16.01000,16.11000,15.75000,15.80000,139900
2023-10-24,15.91000,16.09000,15.51000,15.80000,99800
2023-10-25,15.75000,16.20000,15.19000,15.57000,157200
2023-10-26,15.73000,16.36000,15.33000,16.16000,173100
2023-10-27,16.17000,17.53000,16.15000,17.50000,139100
2023-10-30,17.96000,18.06000,17.51000,17.68000,234700
2023-10-31,17.75000,18.29000,17.72000,18.24000,113600
2023-11-01,18.23000,18.23000,17.64000,18.06000,104400
2023-11-02,18.19000,18.52000,18.17000,18.50000,110800
2023-11-03,18.73000,19.52000,18.56000,19.47000,174500
2023-11-06,19.39000,19.59000,19.04000,19.40000,101400
2023-11-07,19.34000,19.52000,19.13000,19.37000,71000
2023-11-08,19.36000,19.36000,19.06000,19.34000,69200
2023-11-09,19.35000,19.57000,19.21000,19.28000,89700
2023-11-10,19.34000,19.69000,19.22000,19.51000,232300
2023-11-13,19.31000,19.76000,18.90000,19.64000,167000
2023-11-14,20.12000,21.43000,20.12000,21.36000,148700
2023-11-15,21.31000,21.62000,20.05000,21.28000,117300
2023-11-16,21.25000,21.25000,20.64000,20.80000,239500
2023-11-17,21.16000,21.49000,21.02000,21.04000,111900
2023-11-20,21.13000,21.17000,20.76000,21.16000,84900
2023-11-21,21.10000,21.11000,20.59000,20.69000,73900
2023-11-22,20.93000,21.10000,20.55000,20.68000,56400
2023-11-24,20.65000,20.91000,20.56000,20.68000,25300
2023-11-27,20.65000,20.72000,20.48000,20.56000,72100
2023-11-28,20.57000,20.70000,20.39000,20.47000,75300
2023-11-29,20.65000,21.06000,20.65000,20.71000,67700
2023-11-30,20.90000,21.29000,20.62000,21.00000,180500
2023-12-01,21.08000,22.09000,20.98000,21.98000,202600
2023-12-04,21.94000,22.49000,21.94000,22.24000,101700
2023-12-05,22.25000,22.43000,22.00000,22.43000,99900
2023-12-06,22.64000,23.00000,22.31000,22.43000,130300
2023-12-07,22.51000,23.01000,22.30000,22.95000,122800
2023-12-08,22.90000,23.14000,22.86000,22.97000,142500
2023-12-11,23.05000,23.28000,22.83000,23.28000,176300
2023-12-12,23.99000,25.00000,23.68000,24.69000,188900
2023-12-13,24.87000,25.94000,24.80000,25.59000,241900
2023-12-14,26.12000,26.66000,25.71000,26.36000,192200
2023-12-15,26.59000,26.74000,25.72000,26.02000,245200
2023-12-18,26.36000,26.42000,25.87000,26.23000,182300
2023-12-19,26.29000,26.87000,26.29000,26.86000,208800
