date,open,high,low,close,volume
2025-03-21,53.29000,54.74000,52.90000,54.26000,1185500
2025-03-24,55.60000,56.64000,55.34000,55.61000,531700
2025-03-25,55.50000,56.21000,55.16000,55.75000,408000
2025-03-26,55.46000,55.46000,53.31000,53.94000,439800
2025-03-27,53.24000,53.35000,52.04000,52.69000,526600
2025-03-28,52.18000,52.40000,50.09000,50.61000,364800
2025-03-31,49.37000,50.78000,48.20000,50.33000,592600
2025-04-01,50.35000,50.66000,48.88000,50.46000,431000
2025-04-02,49.17000,52.23000,49.17000,51.39000,425200
2025-04-03,47.74000,48.25000,44.67000,45.29000,1129500
2025-04-04,43.25000,43.94000,39.90000,41.94000,1062200
2025-04-07,39.96000,45.33000,38.86000,41.67000,1351500
2025-04-08,43.46000,44.42000,39.36000,40.30000,932900
2025-04-09,40.76000,48.69000,39.77000,48.01000,1366500
2025-04-10,45.07000,45.51000,42.43000,43.62000,982700
2025-04-11,43.62000,44.38000,42.50000,44.03000,639900
2025-04-14,45.81000,46.95000,43.83000,44.80000,574700
2025-04-15,44.80000,45.98000,44.65000,45.13000,448400
2025-04-16,42.90000,43.94000,41.87000,43.60000,627900
2025-04-17,43.17000,43.50000,42.00000,43.11000,446400
2025-04-21,42.23000,42.39000,41.01000,41.46000,1109800
2025-04-22,42.38000,43.00000,40.81000,40.95000,1880700
2025-04-23,43.90000,45.32000,42.97000,43.02000,906200
2025-04-24,43.82000,46.71000,43.71000,46.66000,609400
2025-04-25,46.28000,47.79000,46.22000,47.57000,362200
2025-04-28,47.28000,48.28000,46.36000,47.29000,354200
2025-04-29,46.79000,47.81000,46.75000,47.14000,401800
2025-04-30,45.78000,48.13000,45.20000,47.99000,485500
2025-05-01,48.95000,49.24000,48.09000,48.16000,432600
2025-05-02,49.48000,50.64000,49.30000,50.43000,539800
2025-05-05,49.88000,50.82000,49.60000,50.14000,331600
2025-05-06,48.81000,50.25000,48.55000,49.81000,558200
2025-05-07,50.18000,51.25000,49.18000,51.04000,431200
2025-05-08,52.24000,53.66000,51.76000,52.84000,664900
2025-05-09,53.77000,54.99000,53.37000,53.85000,569300
2025-05-12,57.88000,59.65000,57.17000,58.55000,786300
2025-05-13,59.27000,60.76000,59.00000,60.66000,527800
2025-05-14,60.88000,61.25000,60.03000,61.20000,689500
2025-05-15,60.36000,62.68000,60.00000,62.62000,640700
2025-05-16,62.83000,63.73000,62.36000,63.51000,653300
2025-05-19,61.36000,63.32000,61.01000,63.32000,460300
2025-05-20,62.75000,64.57000,62.52000,64.27000,532800
2025-05-21,63.20000,66.31000,62.92000,63.59000,1077600
2025-05-22,63.43000,64.61000,62.61000,63.14000,684400
2025-05-23,60.88000,62.56000,60.88000,62.11000,479000
2025-05-27,63.62000,63.73000,62.02000,62.48000,830200
2025-05-28,63.00000,63.62000,61.92000,62.40000,659300
2025-05-29,63.64000,63.64000,61.20000,62.00000,1581700
2025-05-30,59.10000,59.56000,50.50000,52.64000,4460200
2025-06-02,52.60000,53.36000,51.49000,53.16000,1669500
2025-06-03,53.14000,54.76000,52.78000,53.87000,1281100
2025-06-04,54.50000,55.49000,52.50000,53.54000,1087700
2025-06-05,53.75000,54.07000,51.46000,51.71000,1250600
2025-06-06,52.69000,54.15000,52.32000,53.59000,984300
2025-06-09,53.40000,55.33000,53.39000,54.37000,910700
2025-06-10,54.97000,55.50000,54.12000,54.90000,785900
2025-06-11,55.50000,55.83000,53.68000,54.09000,753100
2025-06-12,53.73000,54.41000,53.09000,53.18000,498700
2025-06-13,52.28000,52.57000,50.59000,50.73000,750000
2025-06-16,51.61000,52.82000,51.40000,52.39000,700200
2025-06-17,51.85000,52.78000,51.55000,52.39000,788400
2025-06-18,52.43000,53.18000,52.05000,52.87000,803900
2025-06-20,53.54000,53.99000,51.55000,51.68000,861100
2025-06-23,51.33000,52.21000,50.39000,51.57000,493600
2025-06-24,53.00000,62.26000,52.50000,62.19000,4799200
2025-06-25,62.58000,65.30000,62.01000,64.89000,2329500
2025-06-26,65.80000,69.45000,64.76000,69.30000,2146700
2025-06-27,68.81000,71.05000,65.58000,67.06000,2745800
2025-06-30,67.23000,67.35000,65.19000,66.07000,969700
2025-07-01,65.00000,65.46000,62.77000,64.44000,1006600
2025-07-02,64.25000,66.24000,63.90000,66.18000,647900
