date,open,high,low,close,volume
2023-04-10,20.70000,21.50000,19.20000,19.90000,211554
2023-04-11,20.55000,22.90000,19.15000,20.95000,593537
2023-04-12,21.95000,22.10000,20.20000,21.00000,188215
2023-04-13,20.65000,21.10000,20.15000,20.25000,87576
2023-04-17,20.65000,20.85000,19.95000,20.00000,63029
2023-04-18,20.05000,21.00000,20.05000,20.65000,41630
2023-04-19,20.50000,20.90000,20.50000,20.65000,13569
2023-04-20,20.70000,21.70000,19.60000,20.95000,131870
2023-04-21,21.00000,21.30000,20.75000,20.95000,14904
2023-04-24,21.40000,21.40000,20.65000,20.80000,6559
2023-04-25,20.75000,21.10000,20.20000,20.45000,8967
2023-04-26,20.45000,20.90000,20.35000,20.65000,9060
2023-04-27,21.00000,21.00000,20.25000,20.80000,8524
2023-04-28,21.00000,24.40000,20.45000,22.45000,261329
2023-05-02,22.35000,23.60000,22.35000,23.00000,64973
2023-05-03,23.45000,24.50000,22.80000,24.05000,149164
2023-05-04,24.10000,25.75000,23.70000,25.00000,92422
2023-05-05,25.60000,25.70000,24.65000,24.95000,43323
2023-05-08,25.40000,25.40000,24.60000,24.65000,35229
2023-05-09,25.55000,25.55000,24.25000,25.15000,31200
2023-05-10,25.70000,25.70000,24.60000,24.75000,20523
2023-05-11,25.15000,25.70000,24.60000,25.10000,13869
2023-05-12,24.90000,25.50000,24.40000,25.20000,20756
2023-05-15,25.50000,25.95000,24.50000,25.45000,39129
2023-05-16,25.55000,27.05000,24.75000,26.60000,140505
2023-05-17,26.60000,27.60000,24.60000,25.70000,88133
2023-05-18,25.65000,26.60000,25.10000,25.35000,55016
2023-05-19,25.35000,25.85000,24.55000,25.20000,42696
2023-05-22,25.20000,25.60000,23.00000,24.20000,37734
2023-05-23,23.75000,25.15000,23.55000,24.35000,11519
2023-05-24,25.25000,25.25000,23.70000,24.30000,14874
2023-05-25,23.55000,25.25000,23.55000,24.85000,13489
2023-05-26,25.35000,25.50000,24.10000,24.50000,44328
2023-05-29,25.40000,25.40000,23.90000,24.15000,35383
2023-05-30,25.50000,25.50000,24.00000,25.15000,35503
2023-05-31,25.60000,25.60000,24.70000,25.10000,25246
