date,open,high,low,close,volume
2023-09-25,2.07000,2.09000,2.03000,2.04000,4500
2023-09-26,2.09300,2.09300,1.98000,2.00000,7500
2023-09-27,2.00000,2.09000,1.99000,1.99000,2400
2023-09-28,1.96500,1.99000,1.95000,1.99000,6400
2023-09-29,2.02000,2.10000,1.76000,1.76000,5000
2023-10-02,1.97000,1.98000,1.85000,1.85000,5400
2023-10-03,1.86900,1.95000,1.86700,1.90000,5700
2023-10-04,1.91000,1.96400,1.91000,1.92000,5400
2023-10-05,1.92000,1.97000,1.89000,1.96000,25200
2023-10-06,2.02300,2.02300,1.96000,1.96000,13200
2023-10-09,1.90700,1.93000,1.82000,1.93000,2500
2023-10-10,1.86000,1.92000,1.79000,1.83000,12300
2023-10-11,1.83000,1.98000,1.80500,1.98000,6000
2023-10-12,1.89500,2.00000,1.89500,2.00000,9700
2023-10-13,1.81000,2.02000,1.81000,1.93000,12800
2023-10-16,1.91000,2.06500,1.91000,1.99000,12500
2023-10-17,2.10000,2.50000,2.07500,2.16000,39100
2023-10-18,2.23000,2.28000,1.96000,2.01000,27600
2023-10-19,2.01200,2.01200,2.00000,2.01000,1800
2023-10-20,2.07000,2.21500,1.90000,1.99000,9200
2023-10-23,1.92200,1.98000,1.77000,1.78000,15100
2023-10-24,1.89000,1.97400,1.80000,1.80000,4200
2023-10-25,1.87000,1.87000,1.81000,1.86000,1600
2023-10-26,1.87000,1.97000,1.85000,1.90000,10900
2023-10-27,1.87000,1.95000,1.83000,1.83000,5400
2023-10-30,1.86400,1.94000,1.83500,1.89000,14800
2023-10-31,1.82000,1.94000,1.82000,1.83700,1300
2023-11-01,2.10000,2.10000,1.84000,1.84000,1900
2023-11-02,1.88100,1.98000,1.88100,1.96000,2200
2023-11-03,2.06000,2.29000,1.89000,2.29000,40500
2023-11-06,2.25000,2.49000,2.25000,2.45300,91200
2023-11-07,2.44100,2.65500,2.44000,2.64000,86900
2023-11-08,2.57000,2.98000,2.57000,2.94000,99100
2023-11-09,2.90000,2.93500,2.22000,2.49000,64900
2023-11-10,2.54000,2.57000,2.30000,2.48000,9600
2023-11-13,2.48000,2.55000,2.41000,2.53000,7800
2023-11-14,2.39200,2.55000,2.39200,2.54000,5900
2023-11-15,2.54000,2.65000,2.50000,2.60000,13100
2023-11-16,2.49000,2.71000,2.49000,2.54000,75300
2023-11-17,2.68000,2.70000,2.57100,2.70000,12900
2023-11-20,2.64000,3.40000,2.64000,3.40000,70800
2023-11-21,3.40000,3.40000,3.01000,3.04000,40300
2023-11-22,3.04000,3.15900,2.98000,3.00000,15300
2023-11-24,3.80000,3.82000,3.68300,3.82000,860500
2023-11-27,3.82000,3.82000,3.73000,3.79000,358700
2023-11-28,3.78000,3.82000,3.75000,3.81000,232300
2023-11-29,3.82000,3.82000,3.70000,3.75000,112200
2023-11-30,3.75000,3.76000,3.69000,3.75600,134900
2023-12-01,3.73000,3.80000,3.71000,3.79000,62300
2023-12-04,3.74000,3.78000,3.73000,3.75600,10100
2023-12-05,3.72000,3.74300,3.70000,3.71000,56500
2023-12-06,3.70000,3.74000,3.70000,3.73000,10700
2023-12-07,3.72000,3.73000,3.69000,3.73000,37900
2023-12-08,3.71000,3.73000,3.70000,3.70000,14100
2023-12-11,3.70000,3.73000,3.70000,3.70000,35700
2023-12-12,3.70000,3.77000,3.70000,3.77000,44800
2023-12-13,3.74000,3.80000,3.71000,3.79000,40000
2023-12-14,3.79500,3.79500,3.71000,3.75000,14700
2023-12-15,3.72000,3.75000,3.69000,3.74500,47700
2023-12-18,3.75000,3.75500,3.72000,3.72000,9900
2023-12-19,3.74000,3.80500,3.74000,3.77000,10600
2023-12-20,3.79000,3.83000,3.77000,3.81000,78300
2023-12-21,3.81000,3.82000,3.79000,3.80000,27400
2023-12-22,3.80000,3.82000,3.76000,3.81000,59900
2023-12-26,3.82000,3.83000,3.81000,3.82000,51700
2023-12-27,3.82000,3.90000,3.79000,3.89000,22000
2023-12-28,3.84000,3.91000,3.83000,3.85000,15900
2023-12-29,3.85000,3.86000,3.83000,3.83000,9000
2024-01-02,3.82000,3.85000,3.79000,3.83000,8800
2024-01-03,3.79000,3.86000,3.79000,3.85000,12800
2024-01-04,3.86000,3.90000,3.85000,3.88000,10200
2024-01-05,3.89000,3.96000,3.80000,3.90000,6700
2024-01-08,3.80000,3.92500,3.80000,3.89000,49800
2024-01-09,4.01000,4.01000,3.84000,3.84000,12100
2024-01-10,3.84000,3.85000,3.79000,3.82000,20900
2024-01-11,3.83000,3.84000,3.78000,3.81000,18800
2024-01-12,3.78000,3.88000,3.78000,3.82000,9600
2024-01-16,3.82000,3.85000,3.79000,3.85000,11500
2024-01-17,3.81000,3.82100,3.77000,3.82000,11400
2024-01-18,3.81000,3.83000,3.81000,3.82000,3000
2024-01-19,3.81000,3.90000,3.81000,3.82000,4500
2024-01-22,3.81000,3.89000,3.81000,3.82000,7100
2024-01-23,3.87000,3.93000,3.82700,3.90000,15400
2024-01-24,3.88000,3.90000,3.77100,3.81000,16000
2024-01-25,3.81000,3.81000,3.81000,3.81000,700
2024-01-26,3.80000,3.88000,3.70000,3.84000,18300
2024-01-29,3.84000,3.84000,3.78000,3.80000,23100
2024-01-30,3.77000,3.81000,3.77000,3.81000,6300
2024-01-31,3.81000,3.84000,3.81000,3.81000,2200
2024-02-01,3.80000,3.81000,3.78000,3.80000,7700
2024-02-02,3.83000,3.86500,3.83000,3.84000,10900
2024-02-05,3.83000,3.85000,3.83000,3.85000,2800
2024-02-06,3.84000,3.89000,3.83000,3.86000,5300
2024-02-07,3.81700,3.83000,3.81700,3.83000,2900
2024-02-08,3.87200,3.87200,3.83000,3.83000,5600
2024-02-09,3.84500,3.84500,3.81000,3.81000,30000
2024-02-12,3.77000,3.84000,3.77000,3.80000,18400
2024-02-13,3.81000,3.81000,3.80000,3.80000,7800
2024-02-14,3.78000,3.81000,3.78000,3.79000,7800
2024-02-15,3.79000,3.84000,3.79000,3.81000,8300
2024-02-16,3.82000,3.84000,3.79000,3.79000,5800
2024-02-20,3.91000,3.91000,3.80000,3.81000,1700
2024-02-21,3.81000,3.94000,3.80000,3.91000,14400
2024-02-22,3.91000,3.94000,3.87000,3.90000,23000
2024-02-23,3.93500,3.98000,3.88000,3.94000,26000
2024-02-26,3.92000,3.94000,3.92000,3.94000,7000
2024-02-27,3.94000,3.94000,3.89000,3.92500,4400
2024-02-28,3.95000,3.95000,3.80000,3.86500,20300
2024-02-29,3.84000,3.90000,3.84000,3.84000,2100
2024-03-01,3.86000,3.89000,3.84000,3.88000,10200
2024-03-04,3.85000,3.90000,3.84000,3.86000,7600
