date,open,high,low,close,volume
2025-03-19,7.88000,8.05000,7.87000,7.93000,35300
2025-03-20,7.85000,8.07000,7.80000,7.80000,69300
2025-03-21,7.80000,7.97500,7.67000,7.81000,46100
2025-03-24,7.86000,8.19000,7.82000,8.15000,24800
2025-03-25,8.13000,8.24000,7.80000,7.90000,35000
2025-03-26,7.84000,7.97000,7.61500,7.87000,42300
2025-03-27,7.92000,8.10000,7.78000,8.09000,33900
2025-03-28,8.09000,8.10000,7.72000,7.82000,48300
2025-03-31,7.81000,7.89000,7.66000,7.88000,57400
2025-04-01,7.66000,7.70000,7.09000,7.17000,130100
2025-04-02,7.12000,7.44000,7.08000,7.15000,48300
2025-04-03,7.02000,7.07000,6.64000,6.81000,73200
2025-04-04,6.62000,6.93800,6.14500,6.59000,66500
2025-04-07,6.36000,6.72000,6.28000,6.54000,40200
2025-04-08,6.76000,6.87000,6.09500,6.23000,44400
2025-04-09,6.10000,7.23500,6.10000,7.17000,39000
2025-04-10,6.96000,7.55000,6.96000,7.25000,38400
2025-04-11,7.37000,7.54900,6.89000,7.06000,32000
2025-04-14,7.15000,7.43000,7.00000,7.18000,21000
2025-04-15,7.22000,7.32500,6.90000,7.11000,36700
2025-04-16,6.99000,7.24500,6.86000,7.02000,21100
2025-04-17,7.20000,7.39000,6.86500,6.98000,53400
2025-04-21,7.00000,7.17000,6.92500,7.16000,25800
2025-04-22,7.23000,7.80000,6.99500,7.80000,52300
2025-04-23,7.92000,8.25000,7.64000,7.71000,55200
2025-04-24,7.79000,8.03000,7.65000,7.84000,40800
2025-04-25,7.80000,8.05000,7.53200,7.72000,35200
2025-04-28,7.70000,7.99000,7.21000,7.25000,60300
2025-04-29,7.29000,7.49400,7.08500,7.30000,86900
2025-04-30,7.15000,7.53000,7.00000,7.33000,92700
2025-05-01,7.31000,7.37000,6.10000,6.19000,151000
2025-05-02,7.72000,7.87400,7.07000,7.41000,131700
2025-05-05,7.44000,7.74000,7.20500,7.31000,87200
2025-05-06,7.30000,7.32000,6.42100,6.79000,82200
2025-05-07,6.77000,6.93500,6.61000,6.78000,31100
2025-05-08,6.78000,7.15000,6.74300,6.96000,59100
2025-05-09,6.99000,7.02000,6.69200,6.84000,26000
2025-05-12,7.18000,7.27500,6.89600,7.21000,49500
2025-05-13,7.23000,7.60000,7.02700,7.60000,85200
2025-05-14,7.55000,7.55000,7.05000,7.13000,43000
2025-05-15,7.03000,7.53000,6.90000,7.48000,66500
2025-05-16,7.49000,7.55000,7.25500,7.40000,50000
2025-05-19,7.26000,7.39000,7.17500,7.29000,41400
2025-05-20,7.19000,7.61000,7.18000,7.55000,48800
2025-05-21,7.47000,7.56000,7.25000,7.44000,32600
2025-05-22,7.39000,7.64500,7.26000,7.40000,29000
2025-05-23,7.30000,7.48000,7.17000,7.42000,46700
2025-05-27,7.48000,7.56000,6.99000,6.99000,72900
2025-05-28,6.96000,7.36000,6.93000,6.99000,29400
2025-05-29,7.08000,7.18000,6.82000,6.91000,31600
2025-05-30,6.95000,6.98000,6.61000,6.74000,40300
2025-06-02,6.77000,6.80000,6.50000,6.58000,53400
2025-06-03,6.50300,7.02000,6.50300,6.91000,24100
