date,open,high,low,close,volume
2016-02-04,3.86687,3.95500,3.84938,3.89812,11252800
2016-02-05,3.87812,3.87812,3.68937,3.70125,11180800
2016-02-08,3.64250,3.65438,3.29187,3.37250,20924800
2016-02-09,3.34687,3.43719,3.28156,3.31250,15694400
2016-02-10,3.34562,3.44875,3.30294,3.34812,11516800
2016-02-11,3.32063,3.43125,3.29813,3.39812,13352000
2016-02-12,3.43750,3.54375,3.41687,3.51500,7507200
2016-02-16,3.56875,3.70813,3.56875,3.69688,15374400
2016-02-17,3.71875,3.82000,3.67937,3.74125,12318400
2016-02-18,3.75875,3.77375,3.60812,3.63438,26673600
2016-02-19,3.87438,4.20313,3.84812,4.06250,69076800
2016-02-22,4.12500,4.16687,4.06563,4.08750,14164800
2016-02-23,4.11875,4.19125,4.06563,4.12250,11219200
2016-02-24,4.14687,4.22062,4.06687,4.21438,12859200
2016-02-25,4.23250,4.30438,4.15812,4.22875,9651200
2016-02-26,4.21875,4.33563,4.20188,4.31375,11403200
2016-02-29,4.31313,4.37437,4.28125,4.28375,10065600
2016-03-01,4.29812,4.32937,4.17188,4.32750,8924800
2016-03-02,4.25562,4.26188,4.14063,4.16875,14955200
2016-03-03,4.14000,4.22450,4.07219,4.19375,16076800
2016-03-04,4.19625,4.23125,4.01438,4.01563,15916800
2016-03-07,4.01000,4.10187,3.94125,4.02500,33016000
2016-03-08,4.01188,4.02875,3.86000,3.86750,13518400
2016-03-09,3.90812,4.00562,3.87125,3.98375,11801600
2016-03-10,3.97563,4.06875,3.77250,3.81938,16779200
2016-03-11,3.83875,3.93937,3.82500,3.92563,10649600
2016-03-14,3.86375,3.86375,3.47813,3.53312,52024000
2016-03-15,3.53312,3.58250,3.50125,3.50625,18932800
2016-03-16,3.47000,3.64563,3.43756,3.61000,19100800
2016-03-17,3.59625,3.68937,3.51563,3.65687,13166400
2016-03-18,3.65375,3.71750,3.63000,3.64812,13830400
2016-03-21,3.67188,3.83313,3.64188,3.80000,21934400
2016-03-22,3.75563,3.79119,3.71312,3.71937,11312000
2016-03-23,3.71750,3.79312,3.68750,3.71688,11467200
2016-03-24,3.67062,3.74688,3.65125,3.68812,7315200
2016-03-28,3.70875,3.74312,3.65250,3.69250,9256000
2016-03-29,3.69937,3.90062,3.61812,3.86812,17184000
2016-03-30,3.91812,3.92375,3.82188,3.90062,15168000
2016-03-31,3.89625,3.99844,3.86063,3.94375,9721600
2016-04-01,3.89812,3.93750,3.78750,3.88375,13547200
2016-04-04,3.88750,3.98688,3.87188,3.96062,9513600
2016-04-05,3.94187,3.96875,3.86188,3.91375,9608000
2016-04-06,3.93250,4.06250,3.89000,4.05875,11552000
2016-04-07,4.04250,4.07500,3.95000,4.00750,10726400
2016-04-08,4.03375,4.13688,3.99938,4.06313,8872000
2016-04-11,4.06000,4.07500,3.97000,3.97250,7417600
2016-04-12,3.94625,3.97463,3.84687,3.86687,10425600
2016-04-13,3.91125,4.04750,3.86819,4.04187,7172800
2016-04-14,4.02500,4.06000,3.94125,4.03062,4528000
2016-04-15,3.99187,4.00125,3.91563,3.96187,7520000
2016-04-18,3.93625,4.04750,3.90000,3.99250,7596800
2016-04-19,3.94625,3.98894,3.88750,3.94062,10331200
2016-04-20,3.93000,4.01531,3.86438,3.99688,5467200
2016-04-21,4.00500,4.00500,3.88250,3.95125,6600000
2016-04-22,3.98062,4.10750,3.93844,4.10313,7516800
2016-04-25,4.05875,4.15063,4.03500,4.11938,9571200
2016-04-26,4.11688,4.16937,4.08750,4.12500,7742400
2016-04-27,4.09125,4.17750,3.99187,4.17063,9680000
2016-04-28,4.13250,4.17000,4.09956,4.11000,7267200
2016-04-29,4.11188,4.17688,4.06563,4.16375,10680000
2016-05-02,4.19063,4.20250,4.12563,4.19187,10702400
2016-05-03,4.16563,4.16563,4.01094,4.01687,9451200
2016-05-04,3.98688,4.00562,3.86562,3.90937,13252800
2016-05-05,3.93875,3.97813,3.88375,3.97375,18408000
2016-05-06,4.08875,4.21250,3.87562,4.17688,37809600
2016-05-09,4.17562,4.19938,4.05562,4.07875,14886400
2016-05-10,4.11375,4.29031,4.10750,4.22062,20451200
2016-05-11,4.20188,4.26375,4.18875,4.20687,10720000
2016-05-12,4.21688,4.21688,4.07688,4.16062,13168000
2016-05-13,4.13438,4.25000,4.11875,4.21625,13188800
2016-05-16,4.21000,4.28125,4.20375,4.25063,13182400
2016-05-17,4.24875,4.26625,4.17500,4.18125,6430400
2016-05-18,4.15125,4.30375,4.12563,4.25187,13302400
2016-05-19,4.25063,4.32125,4.21656,4.26250,11520000
2016-05-20,4.27187,4.39063,4.26481,4.38250,14817600
2016-05-23,4.35500,4.52656,4.33938,4.47437,13350400
2016-05-24,4.47500,4.53125,4.43937,4.52000,9097600
2016-05-25,4.53125,4.55125,4.48187,4.49750,9876800
2016-05-26,4.47937,4.52063,4.45437,4.50125,9825600
2016-05-27,4.50000,4.55500,4.44562,4.55375,12292800
2016-05-31,4.56250,4.59875,4.53750,4.58063,8356800
2016-06-01,4.54563,4.63625,4.50625,4.63000,7876800
2016-06-02,4.63125,4.68125,4.60469,4.68125,9748800
2016-06-03,4.68125,4.70875,4.63812,4.69250,13299200
2016-06-06,4.68750,4.71250,4.64375,4.66625,6678400
2016-06-07,4.66625,4.68687,4.62500,4.66125,11022400
2016-06-08,4.64687,4.70000,4.59562,4.67625,10337600
2016-06-09,4.66750,4.70750,4.63625,4.69500,7755200
2016-06-10,4.66187,4.67938,4.55312,4.56750,6956800
2016-06-13,4.53438,4.55625,4.47937,4.51312,10844800
2016-06-14,4.50000,4.54000,4.48094,4.52812,11276800
2016-06-15,4.55062,4.59125,4.53813,4.56750,10660800
2016-06-16,4.54313,4.58531,4.49312,4.53188,10660800
2016-06-17,4.54125,4.57500,4.49687,4.50375,9283200
2016-06-20,4.57188,4.60125,4.52031,4.53125,5555200
2016-06-21,4.52938,4.54563,4.45875,4.53875,7268800
2016-06-22,4.53000,4.54844,4.35687,4.46000,18494400
2016-06-23,4.50000,4.61375,4.47375,4.61375,12099200
2016-06-24,4.25187,4.43750,4.15000,4.16563,34852800
2016-06-27,3.94875,3.96875,3.78187,3.80813,43680000
2016-06-28,3.85313,3.90125,3.78500,3.87500,9750400
2016-06-29,3.92750,4.00562,3.88125,3.98500,11932800
2016-06-30,3.99437,4.02625,3.93250,4.02375,8089600
2016-07-01,4.03500,4.07062,3.94000,3.97875,9801600
2016-07-05,3.93750,3.97438,3.88812,3.96563,9457600
2016-07-06,3.94875,4.04187,3.92313,4.03937,14225600
2016-07-07,4.04500,4.13750,4.04500,4.12500,9400000
2016-07-08,4.15562,4.26375,4.12875,4.23313,9995200
2016-07-11,4.29125,4.47125,4.29125,4.36250,20115200
2016-07-12,4.41000,4.42812,4.37375,4.38062,13939200
2016-07-13,4.38875,4.43687,4.34562,4.39125,15230400
2016-07-14,4.40562,4.42312,4.32000,4.37500,9699200
2016-07-15,4.39687,4.40250,4.33625,4.37437,7084800
2016-07-18,4.38938,4.47188,4.38250,4.46125,12452800
2016-07-19,4.45000,4.47750,4.41250,4.43500,5752000
2016-07-20,4.43500,4.46562,4.35250,4.45563,17649600
2016-07-21,4.46375,4.49438,4.39313,4.39813,6228800
2016-07-22,4.40375,4.46019,4.39500,4.40375,7136000
2016-07-25,4.40375,4.47125,4.40063,4.44812,8195200
2016-07-26,4.44875,4.48562,4.42500,4.43687,10150400
2016-07-27,4.46875,4.46875,4.38312,4.41875,7784000
2016-07-28,4.42063,4.42788,4.30250,4.35125,11505600
2016-07-29,4.35187,4.46375,4.32688,4.45437,8539200
2016-08-01,4.44625,4.52750,4.44031,4.50750,8763200
2016-08-02,4.50000,4.50000,4.37187,4.38688,11651200
2016-08-03,4.39813,4.46000,4.38812,4.45625,8632000
2016-08-04,4.43750,4.51937,4.42625,4.49937,12881600
2016-08-05,4.29688,4.52750,4.29688,4.48438,30014400
2016-08-08,4.51125,4.55500,4.49000,4.50437,16755200
2016-08-09,4.52375,4.63000,4.51125,4.62875,14412800
2016-08-10,4.61250,4.63500,4.57813,4.62500,7595200
2016-08-11,4.62500,4.75000,4.61406,4.71625,14206400
2016-08-12,4.71562,4.74312,4.69125,4.73625,9136000
2016-08-15,4.72125,4.89687,4.70437,4.89063,20718400
2016-08-16,4.87437,4.89250,4.80188,4.85000,13499200
2016-08-17,4.84875,4.86500,4.79437,4.83375,10432000
2016-08-18,4.86250,4.94250,4.86250,4.93937,15750400
2016-08-19,4.94562,4.98125,4.90750,4.94500,12430400
2016-08-22,4.91813,4.93937,4.82312,4.84250,11142400
2016-08-23,4.78500,4.89250,4.75063,4.87750,14729600
2016-08-24,4.89937,4.92750,4.83437,4.84562,6588800
2016-08-25,4.81875,4.93000,4.81219,4.92438,8436800
2016-08-26,4.90625,4.96812,4.86381,4.93687,8830400
2016-08-29,4.92562,4.99250,4.91375,4.98562,11129600
2016-08-30,4.96000,5.03000,4.93250,4.98063,11492800
2016-08-31,4.98187,4.98875,4.93188,4.98000,7828800
2016-09-01,4.99563,5.02437,4.95563,4.97937,10764800
2016-09-02,5.00500,5.06812,4.95625,5.05937,11529600
2016-09-06,5.05875,5.10563,5.00875,5.07438,7808000
2016-09-07,5.05500,5.11500,5.04475,5.08437,6896000
2016-09-08,5.07813,5.10938,5.06125,5.08437,5433600
2016-09-09,5.05625,5.11188,4.98375,4.98500,8604800
2016-09-12,4.94750,5.07875,4.88500,5.05625,8457600
2016-09-13,5.03125,5.07750,5.00812,5.04563,9566400
2016-09-14,5.04625,5.26687,5.04563,5.19562,28867200
2016-09-15,5.15812,5.29313,5.13688,5.27688,10870400
2016-09-16,5.25437,5.31875,5.23125,5.31437,18784000
2016-09-19,5.21750,5.24875,5.08125,5.12687,16424000
2016-09-20,5.14375,5.20563,5.10063,5.11375,10150400
2016-09-21,5.14125,5.24125,5.14125,5.23562,6956800
2016-09-22,5.27500,5.34937,5.26713,5.33313,11374400
2016-09-23,5.30625,5.37125,5.26500,5.35750,11281600
2016-09-26,5.31063,5.33500,5.27381,5.31812,5276800
2016-09-27,5.29000,5.39500,5.29000,5.39500,7561600
2016-09-28,5.36750,5.39687,5.32125,5.36000,12672000
2016-09-29,5.36188,5.39125,5.27531,5.32625,8654400
2016-09-30,5.35250,5.36625,5.27313,5.31750,11376000
2016-10-03,5.30688,5.34500,5.28625,5.31563,9950400
2016-10-04,5.34937,5.36156,5.29750,5.32813,6496000
2016-10-05,5.36312,5.37437,5.30500,5.31063,8387200
2016-10-06,5.31938,5.34375,5.28500,5.34188,5446400
2016-10-07,5.35563,5.35938,5.30131,5.32125,5448000
2016-10-10,5.35625,5.47625,5.31187,5.40812,16926400
