date,open,high,low,close,volume
2023-10-05,7.50000,7.50000,7.03000,7.20000,1110
2023-10-06,7.15000,7.49000,7.00000,7.00000,1060
2023-10-09,7.50000,7.65000,7.01000,7.50000,260
2023-10-10,7.50000,7.50000,7.28000,7.50000,340
2023-10-11,7.50000,7.50000,7.00000,7.00000,1570
2023-10-12,7.00000,8.15000,7.00000,8.15000,640
2023-10-13,7.75000,8.47000,7.75000,8.23000,500
2023-10-16,7.78000,10.09000,7.78000,9.50000,2930
2023-10-17,9.80000,9.90000,9.50000,9.50000,2210
2023-10-18,9.90000,10.30000,9.90000,9.90000,920
2023-10-19,9.90000,10.30000,9.90000,9.90000,1510
2023-10-20,10.00000,10.30000,9.50000,9.60000,1990
2023-10-23,10.00000,10.20000,9.65000,10.00000,1850
2023-10-24,10.00000,10.30000,9.80000,9.80000,2500
2023-10-25,11.00000,11.00000,9.80000,9.80000,1310
2023-10-26,9.90000,10.00000,9.50000,9.50000,1100
2023-10-27,10.00000,10.90000,9.50000,10.70000,3700
2023-10-30,10.80000,11.00000,10.00000,10.35000,2370
2023-10-31,10.10000,10.10000,8.00000,8.70000,5550
2023-11-01,8.00000,9.00000,7.50000,8.13000,3880
2023-11-02,7.92000,9.80000,7.70000,9.39000,1280
2023-11-03,9.20000,9.30000,8.20000,9.02000,600
2023-11-06,9.30000,9.80000,8.30000,8.40000,1790
2023-11-07,8.86000,9.50000,8.20000,8.86000,3990
2023-11-08,9.50000,10.00000,9.00000,9.10000,3580
2023-11-09,9.31000,9.50000,9.00000,9.00000,1910
2023-11-10,9.27000,9.66000,8.50000,9.20000,2550
2023-11-13,9.30000,10.20000,9.30000,9.65000,3500
2023-11-14,10.00000,10.00000,9.20000,9.83000,1480
2023-11-15,10.00000,12.50000,10.00000,10.00000,4230
2023-11-16,10.00000,11.30000,10.00000,10.40000,2140
2023-11-17,10.90000,12.50000,10.50000,11.70000,6770
2023-11-20,12.90000,16.50000,12.60000,15.80000,27530
2023-11-21,21.40000,34.90000,21.00000,31.10000,5774080
2023-11-22,26.40000,31.00000,23.30000,26.50000,621850
2023-11-24,26.70000,28.50000,26.60000,28.10000,93350
2023-11-27,26.70000,27.01000,22.60000,23.70000,80430
2023-11-28,22.60000,22.69000,20.50000,21.10000,35440
2023-11-29,20.50000,22.80000,20.02000,21.90000,31440
2023-11-30,22.10000,24.50000,22.00000,23.80000,16410
2023-12-01,23.30000,23.80000,22.50000,23.00000,5390
2023-12-04,22.20000,23.30000,21.40000,22.40000,10760
2023-12-05,21.70000,21.70000,19.90000,20.00000,12320
2023-12-06,20.00000,20.10000,17.60000,19.00000,16070
2023-12-07,18.50000,18.60000,13.50000,14.10000,29630
2023-12-08,14.10000,14.80000,13.50000,13.50000,7120
2023-12-11,13.20000,14.20000,7.95000,8.62000,97940
2023-12-12,9.30000,9.60000,8.50000,9.09000,23790
2023-12-13,8.63000,9.60000,8.20000,9.40000,16270
2023-12-14,9.80000,9.95000,9.10000,9.50000,14840
2023-12-15,9.10000,9.85000,9.00000,9.40000,6420
2023-12-18,9.69000,10.50000,9.10000,10.20000,23410
2023-12-19,10.20000,11.10000,10.00000,10.60000,50260
2023-12-20,10.80000,10.90000,9.00000,9.00000,29240
2023-12-21,9.73000,9.75000,8.50000,8.50000,17080
2023-12-22,8.35000,9.49000,8.35000,8.90000,3860
2023-12-26,10.60000,10.60000,9.14000,9.73000,5300
2023-12-27,9.90000,10.10000,9.35000,9.80000,3650
2023-12-28,9.80000,11.00000,9.14000,10.60000,22310
2023-12-29,10.70000,10.80000,10.30000,10.40000,4020
2024-01-02,9.91000,10.80000,9.91000,10.80000,2850
2024-01-03,10.30000,10.80000,10.20000,10.50000,1310
2024-01-04,10.40000,10.50000,9.81000,10.20000,4170
2024-01-05,10.00000,10.80000,10.00000,10.60000,2590
2024-01-08,10.80000,11.50000,10.40000,10.80000,5470
2024-01-09,11.60000,11.62000,10.55000,10.80000,1450
2024-01-10,11.40000,11.50000,10.64000,10.90000,2240
2024-01-11,12.90000,12.90000,10.50000,10.50000,4640
2024-01-12,10.50000,11.30000,10.50000,10.90000,1720
2024-01-16,11.00000,11.30000,10.80000,10.80000,1130
2024-01-17,10.50000,10.92000,10.50000,10.60000,780
2024-01-18,10.40000,10.90000,10.20000,10.60000,1370
2024-01-19,10.80000,10.90000,10.20000,10.70000,2450
2024-01-22,11.00000,11.10000,10.50000,10.80000,1150
2024-01-23,11.20000,11.20000,10.66000,11.00000,480
2024-01-24,10.70000,10.90000,10.20000,10.40000,2420
2024-01-25,10.81000,11.10000,10.40000,10.90000,740
2024-01-26,10.40000,11.00000,10.40000,10.40000,920
2024-01-29,10.40000,10.90000,10.40000,10.70000,1580
2024-01-30,10.40000,10.73000,10.00000,10.20000,2500
2024-01-31,10.10000,10.40000,10.00000,10.30000,1090
2024-02-01,10.00000,10.40000,9.50000,9.60000,2680
2024-02-02,9.90000,10.10000,9.75000,9.75000,760
2024-02-05,9.50000,9.90000,9.50000,9.50000,1290
2024-02-06,9.50000,10.00000,9.50000,9.74000,840
2024-02-07,10.10000,10.10000,9.40000,9.50000,1970
2024-02-08,9.86000,10.00000,9.40000,9.64000,660
2024-02-09,9.40000,10.00000,9.40000,9.87000,700
2024-02-12,9.90000,10.30000,9.87000,9.87000,1020
2024-02-13,9.60000,9.80000,9.40000,9.80000,340
2024-02-14,9.60000,10.00000,9.40000,9.60000,1160
2024-02-15,10.00000,10.00000,9.60000,9.60000,300
2024-02-16,9.50000,9.90000,9.50000,9.70000,270
2024-02-20,9.80000,9.90000,9.40000,9.40000,1400
2024-02-21,9.70000,9.80000,9.40000,9.80000,500
2024-02-22,9.79000,9.79000,9.50000,9.71000,920
2024-02-23,9.70000,9.80000,9.60000,9.70000,870
2024-02-26,9.80000,9.80000,9.60000,9.70000,380
2024-02-27,9.70000,9.70000,9.41000,9.55000,2380
2024-02-28,9.55000,9.55000,9.45000,9.50000,1170
2024-02-29,9.45000,9.60000,9.45000,9.51000,640
2024-03-01,9.41000,9.60000,9.10000,9.25000,6200
2024-03-04,9.30000,9.51000,9.10000,9.33000,1240
2024-03-05,9.50000,9.50000,9.21000,9.30000,430
2024-03-06,9.24000,9.50000,9.24000,9.45000,760
2024-03-07,9.30000,10.50000,9.20000,10.40000,12330
2024-03-08,10.10000,10.10000,9.20000,9.60000,4350
2024-03-11,9.40000,9.88000,9.00000,9.50000,1960
2024-03-12,9.10000,10.00000,9.01000,9.90000,5010
2024-03-13,9.50000,10.00000,9.40000,9.95000,760
2024-03-14,9.99000,10.00000,9.35000,9.89000,750
2024-03-15,9.70000,12.80000,9.60000,11.09000,31870
2024-03-18,11.40000,12.05000,11.40000,11.40000,7810
2024-03-19,11.30000,11.90000,9.00000,10.00000,21210
2024-03-20,10.00000,19.30000,10.00000,15.90000,1137690
2024-03-21,15.70000,22.00000,14.90000,18.10000,297190
2024-03-22,19.90000,21.80000,16.40000,17.40000,111170
2024-03-25,17.90000,18.90000,16.00000,17.50000,46100
2024-03-26,17.50000,20.40000,17.15000,20.00000,33960
2024-03-27,20.00000,20.00000,17.50000,18.20000,18980
2024-03-28,18.10000,20.00000,18.10000,19.70000,32070
2024-04-01,19.10000,21.50000,18.60000,19.50000,31450
2024-04-02,20.20000,22.70000,16.00000,18.00000,227130
2024-04-03,17.00000,17.09000,9.30000,9.99000,191810
2024-04-04,10.20000,11.80000,10.00000,10.90000,52300
2024-04-05,10.60000,13.00000,10.30000,11.60000,34330
2024-04-08,11.70000,11.99000,10.60000,11.20000,117150
2024-04-09,12.10000,14.40000,12.10000,13.30000,369940
2024-04-10,12.40000,13.20000,11.20000,13.00000,42420
2024-04-11,13.00000,13.00000,11.50000,12.60000,27880
2024-04-12,12.00000,12.36000,11.60000,12.20000,13810
2024-04-15,11.90000,12.90000,11.70000,12.70000,40640
2024-04-16,12.40000,12.90000,12.00000,12.70000,26840
2024-04-17,12.60000,12.80000,12.30000,12.70000,4140
2024-04-18,12.40000,12.70000,12.20000,12.40000,6650
2024-04-19,12.70000,12.70000,12.10000,12.10000,4680
2024-04-22,12.10000,12.30000,11.70000,12.10000,3760
2024-04-23,11.90000,12.10000,11.50000,11.90000,4980
2024-04-24,11.70000,11.90000,11.10000,11.60000,8190
2024-04-25,11.30000,11.30000,10.30000,11.10000,11700
2024-04-26,11.07000,11.50000,10.90000,11.30000,2680
2024-04-29,11.40000,11.50000,11.00000,11.10000,3020
2024-04-30,11.00000,11.30000,10.80000,10.90000,5100
2024-05-01,10.80000,11.30000,10.70000,11.00000,6810
2024-05-02,10.70000,11.20000,10.50000,10.80000,3590
2024-05-03,10.80000,11.10000,10.70000,11.00000,3170
2024-05-06,10.90000,11.20000,10.50000,10.70000,4090
2024-05-07,10.60000,10.90000,10.60000,10.85000,1670
2024-05-08,10.70000,10.80000,10.50000,10.60000,4690
2024-05-09,10.80000,10.90000,10.50000,10.90000,1550
2024-05-10,10.90000,11.30000,10.80000,11.10000,3080
2024-05-13,11.10000,11.50000,10.70000,10.80000,5820
2024-05-14,10.90000,10.90000,10.60000,10.80000,4590
2024-05-15,11.10000,11.10000,10.50000,10.51000,5850
2024-05-16,10.50000,10.90000,10.50000,10.60000,3660
2024-05-17,10.70000,10.80000,10.10000,10.40000,3880
2024-05-20,10.10000,10.85000,10.01000,10.60000,3350
2024-05-21,10.70000,11.10000,10.30000,11.00000,2930
2024-05-22,10.80000,11.50000,10.80000,11.02000,1970
2024-05-23,11.40000,11.40000,10.91000,11.10000,960
2024-05-24,11.30000,11.30000,10.90000,11.10000,470
2024-05-28,11.30000,11.30000,10.74000,10.90000,1410
2024-05-29,11.00000,11.00000,10.71000,10.80000,1200
2024-05-30,10.90000,11.26000,10.75000,10.90000,5450
2024-05-31,10.70000,11.20000,10.70000,11.05000,1980
2024-06-03,11.40000,11.40000,10.80000,11.00000,1100
2024-06-04,11.20000,11.20000,10.75000,10.80000,2820
2024-06-05,10.80000,11.00000,10.80000,10.80000,1330
2024-06-06,11.00000,11.00000,10.80000,11.00000,620
2024-06-07,10.90000,11.00000,10.60000,10.60000,1460
2024-06-10,9.80000,10.60000,9.80000,10.20000,5540
2024-06-11,10.40000,10.40000,10.00000,10.20000,1700
2024-06-12,10.40000,10.40000,9.90000,10.20000,4830
2024-06-13,10.40000,10.40000,10.10000,10.30000,1210
2024-06-14,10.20000,10.40000,10.20000,10.29000,400
2024-06-17,10.10000,10.40000,10.10000,10.20000,690
2024-06-18,10.20000,10.40000,10.20000,10.20000,630
2024-06-20,10.30000,10.60000,10.20000,10.60000,3320
2024-06-21,10.40000,10.90000,10.40000,10.58000,3030
2024-06-24,10.50000,10.61000,10.20000,10.30000,2210
2024-06-25,10.60000,10.70000,10.10000,10.30000,1030
2024-06-26,10.20000,10.40000,10.10000,10.40000,1220
2024-06-27,10.30000,10.70000,10.21000,10.60000,2390
2024-06-28,10.70000,10.70000,10.49000,10.70000,1620
2024-07-01,9.90000,10.65000,9.90000,10.45000,3650
2024-07-02,10.30000,10.50000,10.20000,10.40000,310
2024-07-03,10.30000,10.30000,9.85000,9.85000,2260
2024-07-05,9.90000,9.90000,9.50000,9.79000,7680
2024-07-08,9.70000,9.80000,9.40000,9.41000,5020
2024-07-09,9.70000,10.00000,9.10000,9.10000,5450
2024-07-10,9.86000,9.86000,9.30000,9.52000,660
2024-07-11,9.80000,10.40000,9.80000,10.00000,4250
2024-07-12,9.90000,10.20000,9.64000,9.88000,2620
2024-07-15,9.88000,9.88000,9.63000,9.88000,370
2024-07-16,9.90000,10.00000,9.60000,9.80000,900
2024-07-17,9.50000,9.79000,9.50000,9.68000,2140
2024-07-18,9.50000,9.70000,9.50000,9.60000,340
2024-07-19,9.60000,9.63000,9.50000,9.63000,770
2024-07-22,9.50000,9.94000,9.50000,9.70000,1200
2024-07-23,9.60000,10.79000,9.50000,9.70000,2580
2024-07-24,9.90000,10.00000,9.50000,9.60000,1320
2024-07-25,9.63000,9.81000,9.60000,9.81000,1220
2024-07-26,9.70000,10.12000,9.56000,9.78000,730
2024-07-29,9.86000,9.86000,9.40000,9.66000,920
2024-07-30,9.40000,9.80000,9.32000,9.70000,690
2024-07-31,9.56000,9.79000,9.40000,9.50000,680
2024-08-01,9.30000,9.70000,9.30000,9.70000,1160
2024-08-02,9.30000,9.54000,9.22000,9.35000,2310
2024-08-05,9.00000,9.73000,7.18000,8.90000,5410
2024-08-06,8.90000,9.43000,8.70000,8.70000,470
2024-08-07,8.50000,8.92000,8.20000,8.70000,1120
2024-08-08,8.80000,8.80000,8.65000,8.80000,290
2024-08-09,8.28000,9.20000,8.28000,9.00000,2490
2024-08-12,8.40000,9.46000,8.40000,8.72000,330
2024-08-13,8.60000,9.43000,8.52000,8.98000,140
2024-08-14,9.30000,9.37000,8.50000,8.50000,1220
2024-08-15,8.60000,9.46000,8.60000,9.10000,720
2024-08-16,9.30000,9.30000,8.30000,8.32000,1260
2024-08-19,8.70000,9.00000,8.50000,8.50000,1200
2024-08-20,8.77000,8.98000,8.50000,8.50000,970
2024-08-21,8.89000,9.00000,8.52000,8.52000,410
2024-08-22,8.60000,8.98000,8.50000,8.60000,580
2024-08-23,8.80000,9.00000,8.20000,8.81000,1610
2024-08-26,9.00000,9.00000,8.50000,8.70000,490
2024-08-27,8.60000,9.00000,8.60000,9.00000,1170
2024-08-28,9.28000,9.28000,8.80000,9.00000,150
2024-08-29,9.11000,9.31000,8.77000,8.77000,350
2024-08-30,8.80000,9.30000,8.62000,8.77000,520
2024-09-03,8.60000,9.24000,8.60000,8.63000,920
2024-09-04,8.70000,8.70000,8.25000,8.30000,1190
2024-09-05,9.11000,9.46000,8.29000,8.79000,1470
2024-09-06,8.90000,8.99000,8.50000,8.60000,780
2024-09-09,8.94000,9.00000,8.65000,8.65000,1170
2024-09-10,8.65000,8.65000,8.30000,8.35000,1380
2024-09-11,8.42000,8.42000,8.40000,8.40000,270
2024-09-12,8.20000,8.88000,8.20000,8.30000,560
2024-09-13,8.84000,8.84000,8.30000,8.30000,1030
2024-09-16,8.73000,8.75000,8.20000,8.58000,1930
2024-09-17,8.80000,8.80000,8.30000,8.80000,1230
2024-09-18,8.79000,8.79000,8.40000,8.79000,350
2024-09-19,8.31000,8.75000,8.30000,8.75000,1700
2024-09-20,8.35000,8.70000,8.30000,8.60000,1000
2024-09-23,8.60000,8.60000,8.21000,8.21000,1420
2024-09-24,8.60000,8.80000,8.30000,8.80000,940
2024-09-25,8.80000,8.80000,8.38000,8.75000,870
2024-09-26,8.80000,8.80000,8.59000,8.59000,590
2024-09-27,8.40000,8.60000,8.40000,8.40000,1270
2024-09-30,8.50000,8.50000,7.55000,8.50000,8890
2024-10-01,7.60000,8.51000,7.60000,8.36000,1300
2024-10-02,8.20000,8.50000,8.15000,8.15000,740
2024-10-03,8.00000,8.65000,7.90000,7.99000,910
2024-10-04,7.90000,8.68000,7.90000,8.68000,700
2024-10-07,8.59000,8.59000,7.90000,8.32000,1720
2024-10-08,8.40000,8.40000,8.08000,8.15000,1170
2024-10-09,8.15000,8.15000,8.00000,8.00000,600
2024-10-10,8.00000,8.50000,7.70000,8.30000,3640
2024-10-11,7.90000,8.40000,7.90000,8.30000,480
2024-10-14,7.71000,8.00000,7.41000,7.99000,3970
2024-10-15,7.40000,8.10000,7.40000,7.70000,3000
2024-10-16,7.90000,8.14000,7.70000,7.87000,690
2024-10-17,7.79000,7.90000,7.70000,7.90000,850
2024-10-18,7.95000,8.00000,7.80000,8.00000,1880
2024-10-21,7.90000,8.10000,7.90000,8.10000,1620
2024-10-22,8.09000,8.10000,7.80000,7.90000,670
2024-10-23,7.74000,8.10000,7.70000,8.00000,1370
2024-10-24,8.00000,8.10000,8.00000,8.10000,530
2024-10-25,8.00000,8.09000,7.90000,8.00000,510
2024-10-28,8.19000,8.21000,7.70000,8.00000,1030
2024-10-29,8.00000,8.04000,7.52000,7.61000,1030
2024-10-30,7.77000,8.00000,7.50000,7.90000,480
2024-10-31,7.98000,7.98000,7.60000,7.60000,1530
2024-11-01,7.90000,7.90000,7.51000,7.56000,280
2024-11-04,7.60000,7.98000,7.57000,7.61000,1220
2024-11-05,7.70000,7.85000,7.50000,7.50000,1050
2024-11-06,7.50000,7.70000,7.40000,7.50000,4620
2024-11-07,7.40000,8.00000,7.10000,7.60000,4540
2024-11-08,7.41000,7.70000,7.40000,7.59000,1100
2024-11-11,7.45000,7.92000,7.20000,7.55000,3820
2024-11-12,7.30000,7.98000,7.15000,7.60000,1110
2024-11-13,7.60000,7.60000,7.42000,7.50000,1260
2024-11-14,7.30000,7.70000,7.30000,7.60000,660
2024-11-15,7.65000,7.77000,7.40000,7.40000,650
2024-11-18,7.30000,7.68000,7.30000,7.68000,380
2024-11-19,7.68000,7.90000,7.50000,7.90000,1690
2024-11-20,7.80000,7.90000,7.10000,7.34000,2280
2024-11-21,7.50000,7.70000,7.20000,7.20000,620
2024-11-22,7.20000,7.70000,7.20000,7.69000,620
2024-11-25,7.34000,7.70000,7.00000,7.30000,2720
2024-11-26,7.36000,7.63000,7.20000,7.62000,680
2024-11-27,7.60000,7.60000,7.33000,7.39000,2160
2024-11-29,7.34000,7.60000,7.34000,7.43000,240
2024-12-02,7.40000,7.50000,7.01000,7.20000,2370
2024-12-03,7.30000,7.41000,7.15000,7.20000,800
2024-12-04,7.11000,7.11000,6.41000,6.90000,5600
2024-12-05,7.11000,7.26000,6.70000,6.84000,1620
2024-12-06,6.87000,7.00000,6.70000,6.78000,1300
2024-12-09,6.70000,7.53000,6.70000,7.26000,4990
2024-12-10,7.40000,8.60000,7.20000,8.52000,345980
2024-12-11,8.20000,9.40000,7.87000,8.13000,48220
2024-12-12,7.88000,8.80000,7.84000,8.75000,13390
2024-12-13,8.49000,8.49000,7.70000,8.15000,5460
2024-12-16,8.40000,8.88000,7.72000,8.55000,34810
2024-12-17,8.29000,8.40000,7.81000,8.40000,7750
2024-12-18,8.20000,8.40000,7.90000,7.90000,4110
2024-12-19,8.23000,8.23000,7.80000,7.83000,1840
