date,open,high,low,close,volume
2025-03-19,163.92999,167.87000,162.98000,166.25000,638900
2025-03-20,164.39000,168.23000,164.06000,165.69000,315000
2025-03-21,163.83000,167.31000,162.74001,166.81000,443400
2025-03-24,170.37000,175.84000,169.37000,175.21001,530500
2025-03-25,175.19000,177.60001,173.99001,177.02000,423500
2025-03-26,177.67000,177.83000,170.28999,170.72000,441500
2025-03-27,169.48000,169.48000,160.50999,163.27000,665400
2025-03-28,162.57001,164.98000,155.50000,159.08000,710700
2025-03-31,155.98000,162.53999,155.39999,161.92000,531100
2025-04-01,161.05000,165.20000,160.38000,164.12000,430600
2025-04-02,161.98000,168.23000,161.92000,167.42999,394400
2025-04-03,158.14000,160.98000,154.84000,159.37000,844400
2025-04-04,153.41000,162.94000,152.34000,158.55000,688600
2025-04-07,152.56000,163.10001,148.33000,158.00000,1101700
2025-04-08,163.39000,166.50000,152.66000,155.71001,643400
2025-04-09,154.73000,176.27000,154.73000,173.31000,929200
2025-04-10,165.52000,169.87000,159.97000,166.30000,784600
2025-04-11,166.16000,170.00000,163.47000,167.82001,525100
2025-04-14,170.95000,170.95000,161.17999,165.24001,599700
2025-04-15,166.42000,167.00999,163.13000,163.89999,492100
2025-04-16,161.69000,163.98000,159.74001,162.09000,336500
2025-04-17,162.34000,166.88000,162.34000,165.78000,438200
2025-04-21,164.74001,165.74001,161.41000,163.50999,348400
2025-04-22,166.50000,169.83000,166.14999,169.05000,424900
2025-04-23,173.50000,176.39000,168.58000,168.89999,610400
2025-04-24,169.74001,173.45000,165.98000,173.36000,721500
2025-04-25,163.00000,175.17000,155.28999,175.09000,1273300
2025-04-28,174.91000,176.83000,169.89999,171.71001,618400
2025-04-29,170.06000,174.53000,169.88000,174.31000,577400
2025-04-30,171.17000,174.60001,167.83000,174.14999,478300
2025-05-01,176.25999,177.42999,172.70000,175.02000,383400
2025-05-02,177.03999,177.73000,173.75000,176.75999,368700
2025-05-05,176.00999,178.49001,173.87000,175.84000,275900
2025-05-06,173.25999,176.95000,173.25999,176.48000,423500
2025-05-07,177.00000,178.86000,174.34000,175.58000,509900
2025-05-08,176.99001,180.99001,175.80000,179.63000,387200
2025-05-09,179.83000,180.50000,178.41000,179.69000,268500
2025-05-12,189.99001,190.99001,186.59000,188.64999,567700
2025-05-13,189.55000,193.24001,188.75999,190.77000,436700
2025-05-14,191.41000,192.87000,189.42999,189.94000,466600
2025-05-15,190.20000,191.38000,188.87000,190.69000,366400
2025-05-16,192.39000,192.39000,188.64999,190.11000,386100
2025-05-19,186.92000,189.59000,185.88000,188.39999,335500
2025-05-20,187.67000,188.30000,186.07001,187.30000,257900
2025-05-21,183.74001,184.87000,180.36000,181.89999,417800
2025-05-22,181.73000,182.02000,178.87000,180.59000,450600
2025-05-23,177.02000,182.82001,176.25000,182.21001,423300
2025-05-27,184.16000,186.70000,182.03000,185.45000,433000
2025-05-28,186.16000,186.16000,182.31000,182.82001,364100
2025-05-29,183.39000,184.11000,181.16000,182.60001,327400
2025-05-30,181.32001,184.21001,180.45000,183.85001,453300
2025-06-02,183.48000,184.13000,178.17000,181.75999,447200
2025-06-03,181.75999,185.96001,181.03999,185.34000,407400
2025-06-04,184.53999,185.31000,182.19000,183.27000,264000
2025-06-05,182.49001,186.47000,181.80000,185.86000,338000
2025-06-06,187.71001,188.31000,185.75000,187.08000,250100
2025-06-09,188.00000,190.00000,185.49001,189.25000,409000
2025-06-10,189.92000,193.91000,189.75999,193.12000,392600
2025-06-11,194.08000,196.03999,193.37000,194.28000,330700
2025-06-12,192.50000,193.92000,190.86000,191.96001,364700
2025-06-13,189.52000,191.42000,188.16000,189.62000,267200
2025-06-16,192.74001,193.88000,191.02000,193.03999,395800
2025-06-17,192.23000,193.20000,189.89999,190.47000,434300
2025-06-18,190.67999,193.61000,190.67999,192.91000,413300
2025-06-20,195.50000,197.21001,194.57001,196.58000,831600
2025-06-23,195.83000,199.12000,194.11000,198.23000,429200
2025-06-24,199.70000,201.58000,198.36000,201.03000,371200
2025-06-25,201.03000,201.67000,199.69000,199.92000,233200
2025-06-26,200.05000,203.17999,197.73000,200.03000,296900
2025-06-27,200.69000,201.14000,197.06000,198.94000,476600
2025-06-30,198.39999,198.81000,196.16000,198.64999,310900
2025-07-01,197.92999,205.67000,197.31000,204.00000,525200
2025-07-02,205.13000,212.35001,204.21001,211.99001,740700
2025-07-03,211.99001,213.38000,211.28000,212.50000,253300
2025-07-07,210.92000,213.03000,209.80000,211.33000,371000
2025-07-08,211.86000,213.62000,210.00999,210.42999,333200
2025-07-09,212.14000,213.36000,210.87000,213.28000,310300
2025-07-10,214.09000,217.39999,213.60001,214.83000,741900
2025-07-11,213.80000,214.03999,211.72000,212.86000,368900
2025-07-14,212.57001,214.97000,212.06000,214.34000,274700
2025-07-15,214.39000,216.21001,203.35001,205.32001,748300
2025-07-16,205.64000,207.46001,203.74001,204.39999,488300
2025-07-17,202.63000,205.56000,194.86000,196.41000,1039100
2025-07-18,197.92999,198.45000,194.57001,196.75999,420400
2025-07-21,197.33000,201.12000,196.36000,198.89000,388300
2025-07-22,200.24001,202.59000,199.67000,201.91000,372300
2025-07-23,202.28999,206.58000,202.00000,204.67000,694500
2025-07-24,202.63000,205.10001,199.91000,200.25000,636900
2025-07-25,208.42999,208.42999,195.17999,203.25000,970900
2025-07-28,203.41000,205.00000,194.78999,196.25999,877400
2025-07-29,196.11000,196.55000,190.41000,193.23000,952300
2025-07-30,194.96001,195.50000,191.55000,192.28000,459100
2025-07-31,191.25000,194.48000,191.25000,192.64000,379200
2025-08-01,190.61000,192.75999,188.32001,190.58000,370800
2025-08-04,191.07001,192.32001,188.55000,189.27000,588900
2025-08-05,189.97000,195.60001,189.97000,195.50000,690000
2025-08-06,195.91000,196.34000,194.50000,195.50999,313100
2025-08-07,196.96001,196.96001,193.52000,194.39999,458700
2025-08-08,195.37000,196.92999,194.99001,196.23000,241100
2025-08-11,195.44000,198.78999,195.44000,198.62000,330700
2025-08-12,200.17999,205.47000,199.02000,205.37000,403100
2025-08-13,206.82001,212.03000,205.58000,211.28999,384700
2025-08-14,208.61000,210.28999,207.33000,208.00000,317100
2025-08-15,208.22000,208.28000,204.85001,206.17999,339800
2025-08-18,205.25999,208.08000,205.25999,207.17999,310200
2025-08-19,206.87000,211.70000,206.75999,210.99001,267600
2025-08-20,209.39999,210.28000,206.75000,209.60001,313100
2025-08-21,208.14000,210.89000,206.91000,210.31000,303300
2025-08-22,211.45000,220.00000,211.45000,218.80000,357900
2025-08-25,217.87000,219.95000,216.75999,219.11000,495300
2025-08-26,221.53999,222.72000,219.39999,220.92000,397600
2025-08-27,219.53000,224.00000,219.21001,222.08000,373300
2025-08-28,222.13000,223.00000,219.08000,222.34000,334700
2025-08-29,222.72000,223.00000,218.20000,219.08000,317400
2025-09-02,216.78999,220.50000,215.98000,220.14000,416300
2025-09-03,219.14999,222.07001,218.84000,220.28999,273400
2025-09-04,222.27000,226.05000,221.00999,225.66000,453100
2025-09-05,226.80000,228.92000,224.92000,226.82001,437400
2025-09-08,228.11000,228.21001,225.98000,227.17999,604600
2025-09-09,226.66000,227.36000,224.16000,224.99001,556600
2025-09-10,224.09000,225.53999,222.81000,223.25000,372900
2025-09-11,224.05000,228.17999,223.94000,227.00000,616600
2025-09-12,226.45000,227.25000,221.44000,221.98000,525300
