date,open,high,low,close,volume
2016-02-04,42.06000,43.80000,40.49000,40.74000,7533600
2016-02-05,40.30000,40.31000,38.46000,39.05000,6399300
2016-02-08,38.20000,38.36000,36.87000,37.58000,6316300
2016-02-09,36.53000,37.13000,34.29000,35.58000,7548000
2016-02-10,35.41000,36.33000,35.01000,35.33000,5325100
2016-02-11,34.35000,35.04000,33.23000,34.38000,5881100
2016-02-12,34.97000,36.94000,34.66000,36.53000,5812300
2016-02-16,37.19000,37.88000,36.64000,37.47000,4274300
2016-02-17,38.22000,40.34000,37.91000,40.06000,5128700
2016-02-18,40.77000,40.89000,37.92000,38.80000,6684200
2016-02-19,37.90000,37.97000,36.27000,37.33000,5614400
2016-02-22,38.34000,39.75000,38.34000,39.61000,4702700
2016-02-23,38.89000,39.78000,37.86000,37.88000,5480500
2016-02-24,36.95000,38.72000,36.21000,38.60000,7818000
2016-02-25,37.93000,38.93000,36.09000,37.79000,7965100
2016-02-26,39.09000,40.48000,38.40000,39.47000,5546300
2016-02-29,39.49000,39.50000,37.69000,38.28000,5330300
2016-03-01,38.47000,38.68000,36.26000,38.62000,5884700
2016-03-02,38.33000,42.01000,38.16000,41.97000,6606500
2016-03-03,41.75000,45.60000,41.75000,45.09000,10048500
2016-03-04,45.63000,48.94000,45.16000,48.04000,8779100
2016-03-07,48.03000,51.11000,47.62000,51.02000,10459600
2016-03-08,50.32000,50.42000,46.12000,46.17000,8107600
2016-03-09,47.25000,47.69000,45.01000,46.23000,6639800
2016-03-10,45.90000,46.65000,44.75000,46.25000,5159900
2016-03-11,47.38000,49.04000,47.37000,48.97000,6188200
2016-03-14,47.72000,48.90000,47.43000,48.19000,4751900
2016-03-15,47.03000,48.02000,46.83000,47.93000,5146800
2016-03-16,48.51000,49.98000,48.11000,49.25000,5663700
2016-03-17,49.95000,51.02000,49.48000,50.47000,4978500
2016-03-18,51.27000,51.81000,48.53000,49.63000,7009600
2016-03-21,49.14000,50.75000,48.74000,49.88000,3401800
2016-03-22,49.06000,51.32000,49.02000,50.27000,3916500
2016-03-23,49.28000,49.73000,47.65000,47.86000,5682500
2016-03-24,47.01000,48.86000,46.59000,48.85000,4460600
2016-03-28,48.98000,49.08000,47.60000,48.41000,3257300
2016-03-29,47.48000,48.63000,47.05000,48.56000,3133300
2016-03-30,49.25000,49.51000,48.07000,48.64000,3004400
2016-03-31,48.35000,49.18000,48.02000,48.81000,3922700
2016-04-01,47.46000,48.63000,47.09000,47.50000,5578600
2016-04-04,47.54000,48.29000,46.62000,46.82000,2956500
2016-04-05,46.40000,48.18000,46.15000,47.33000,2575400
2016-04-06,47.81000,49.90000,47.31000,49.76000,3655000
2016-04-07,49.21000,50.01000,48.35000,49.19000,2617000
2016-04-08,50.75000,51.64000,50.18000,50.66000,4125500
2016-04-11,51.18000,51.66000,49.92000,49.95000,3240300
2016-04-12,50.59000,53.69000,50.14000,53.29000,5145000
2016-04-13,53.10000,53.11000,51.52000,52.46000,3769300
2016-04-14,52.84000,53.45000,52.35000,52.97000,1954500
2016-04-15,52.31000,52.64000,51.54000,52.05000,2999000
2016-04-18,50.27000,53.87000,50.07000,53.44000,3293800
2016-04-19,53.98000,55.50000,53.21000,55.02000,4722700
2016-04-20,54.48000,55.44000,53.58000,54.68000,3667100
2016-04-21,54.94000,55.62000,54.33000,54.78000,3578700
2016-04-22,55.27000,56.66000,55.16000,56.20000,2865100
2016-04-25,55.66000,55.98000,53.99000,54.41000,3504800
2016-04-26,54.89000,56.01000,53.93000,55.88000,3453700
2016-04-27,56.43000,58.06000,56.31000,57.54000,4883800
2016-04-28,56.88000,57.63000,55.28000,55.43000,2948400
2016-04-29,55.89000,56.27000,53.29000,54.40000,4700100
2016-05-02,54.61000,54.97000,53.17000,54.24000,4649900
2016-05-03,53.05000,53.82000,51.41000,52.13000,5260000
2016-05-04,52.25000,52.73000,50.08000,50.73000,4480400
2016-05-05,51.91000,55.00000,51.52000,54.82000,6807800
2016-05-06,53.95000,55.57000,53.59000,53.84000,6562100
2016-05-09,53.45000,53.45000,51.69000,52.12000,4544500
2016-05-10,52.61000,53.34000,52.06000,53.09000,4842300
2016-05-11,53.08000,54.82000,51.79000,54.01000,5906700
2016-05-12,54.97000,55.60000,54.24000,54.30000,5065300
2016-05-13,53.58000,54.49000,52.47000,53.02000,2973900
2016-05-16,54.38000,55.60000,54.38000,54.80000,4038100
2016-05-17,54.86000,55.81000,54.12000,55.12000,4075700
2016-05-18,57.68000,58.21000,55.21000,56.61000,12947400
2016-05-19,55.82000,57.21000,54.27000,56.98000,6359500
2016-05-20,57.17000,57.61000,56.27000,57.11000,3241400
2016-05-23,56.76000,57.84000,56.44000,57.60000,3111400
2016-05-24,58.14000,59.13000,57.07000,58.25000,4384700
2016-05-25,58.81000,59.59000,57.86000,57.91000,3146400
2016-05-26,58.49000,58.82000,57.45000,58.03000,2408500
2016-05-27,57.66000,58.37000,57.00000,58.29000,2516600
2016-05-31,58.26000,59.25000,57.03000,57.14000,4071000
2016-06-01,56.49000,56.86000,55.18000,56.17000,3818400
2016-06-02,55.51000,56.01000,54.86000,55.84000,2684000
2016-06-03,55.92000,56.34000,54.17000,54.58000,2866300
2016-06-06,55.47000,55.84000,54.87000,55.62000,2460100
2016-06-07,56.22000,58.44000,56.13000,58.21000,4089200
2016-06-08,59.00000,59.02000,56.69000,57.00000,3499000
2016-06-09,56.22000,56.96000,55.65000,55.83000,3068900
2016-06-10,55.16000,55.59000,53.03000,53.52000,3236900
2016-06-13,53.03000,54.55000,52.53000,53.84000,3042500
2016-06-14,53.69000,55.37000,53.47000,54.76000,3349300
2016-06-15,54.31000,55.41000,53.77000,54.53000,2548700
2016-06-16,53.62000,53.62000,51.91000,53.00000,3027900
2016-06-17,53.77000,54.47000,53.54000,53.87000,3163300
2016-06-20,54.99000,55.62000,54.45000,55.32000,2246000
2016-06-21,54.82000,57.00000,54.27000,56.63000,2897000
2016-06-22,56.62000,56.85000,55.75000,56.43000,2806700
2016-06-23,57.14000,58.18000,56.54000,58.16000,3879800
2016-06-24,55.50000,56.92000,54.80000,54.86000,6229100
2016-06-27,53.88000,54.16000,51.38000,52.00000,4043300
2016-06-28,53.42000,54.20000,52.95000,54.18000,2438300
2016-06-29,54.76000,56.23000,54.60000,55.81000,2701700
2016-06-30,55.82000,56.08000,55.09000,55.67000,3052700
2016-07-01,55.76000,57.38000,55.40000,56.67000,2583600
2016-07-05,55.41000,56.13000,53.72000,54.67000,2374900
2016-07-06,54.39000,55.47000,54.18000,55.30000,2420500
