date,open,high,low,close,volume
2025-03-21,1.22000,1.33500,1.18500,1.26000,75600
2025-03-24,1.26000,1.39000,1.24000,1.38000,18300
2025-03-25,1.41000,1.41000,1.30000,1.36000,13500
2025-03-26,1.37000,1.37000,1.26000,1.27000,26500
2025-03-27,1.24000,1.36000,1.16000,1.31000,63000
2025-03-28,1.27000,1.38000,1.16000,1.30000,51900
2025-03-31,1.33000,1.42800,1.22000,1.37000,82700
2025-04-01,1.35000,1.37100,1.25000,1.25000,59100
2025-04-02,1.30000,1.31000,1.21000,1.23000,63800
2025-04-03,1.16000,1.22000,1.15000,1.16000,29200
2025-04-04,0.84000,1.07000,0.75500,0.99000,144100
2025-04-07,0.99000,1.07000,0.85000,1.00000,56600
2025-04-08,1.05000,1.15000,0.85400,0.87200,72500
2025-04-09,0.89000,1.11000,0.87000,0.90000,178200
2025-04-10,1.00000,1.00000,0.85000,0.88000,79500
2025-04-11,0.90000,0.99800,0.89700,0.95800,54300
2025-04-14,1.04000,1.11900,0.95200,1.07000,35200
2025-04-15,1.07000,1.10500,1.02000,1.02000,26400
2025-04-16,1.01000,1.01000,0.92000,0.93000,82000
2025-04-17,0.93000,1.00000,0.93000,0.97500,93300
2025-04-21,0.94000,1.01000,0.91200,0.98000,43600
2025-04-22,1.00000,1.02000,0.89200,0.94300,90500
2025-04-23,0.95000,0.99100,0.90000,0.90000,67800
2025-04-24,0.95000,0.99000,0.89000,0.91000,126900
2025-04-25,0.91100,0.92600,0.82500,0.89100,35800
2025-04-28,0.93500,0.94000,0.88600,0.90000,26700
2025-04-29,0.90000,0.94000,0.84900,0.94000,67800
2025-04-30,0.91000,1.09500,0.90000,1.04000,64000
2025-05-01,1.01000,1.09000,0.97000,1.07000,45500
2025-05-02,1.07000,1.25000,1.06500,1.25000,43300
2025-05-05,1.21000,1.26000,1.16000,1.16000,26100
2025-05-06,1.15000,1.31000,1.04000,1.07000,66200
2025-05-07,1.14000,1.30000,1.11000,1.25000,59100
2025-05-08,1.21000,1.21000,1.14600,1.18000,15300
2025-05-09,1.22000,1.23000,1.12000,1.16000,43700
2025-05-12,1.18000,1.18000,1.08000,1.10500,23000
2025-05-13,1.18000,1.76000,1.14000,1.58000,7825900
2025-05-14,1.45000,1.60000,1.37000,1.41000,314100
2025-05-15,1.37000,1.50000,1.37000,1.48000,106400
2025-05-16,1.50000,1.54000,1.41000,1.43000,63600
2025-05-19,1.42000,1.51000,1.33500,1.49000,49200
2025-05-20,1.45000,1.49000,1.36000,1.49000,86800
2025-05-21,1.45000,1.51000,1.41200,1.48000,48100
2025-05-22,1.42000,1.72500,1.38000,1.66000,134500
2025-05-23,1.64000,1.70000,1.52100,1.54000,67500
2025-05-27,1.59000,1.76000,1.55000,1.76000,123400
2025-05-28,1.75000,1.77000,1.61000,1.67000,22700
2025-05-29,1.65000,1.70000,1.52000,1.60000,29300
2025-05-30,1.60000,1.71700,1.56000,1.56000,45700
2025-06-02,1.57000,1.63000,1.41100,1.62000,39300
2025-06-03,1.63000,1.64000,1.54000,1.62000,28200
2025-06-04,1.59000,1.71000,1.49000,1.66000,164600
2025-06-05,1.61000,1.70700,1.61000,1.66000,55800
2025-06-06,1.73000,1.73000,1.55300,1.67000,19100
2025-06-09,1.73000,1.80000,1.59000,1.73000,68400
2025-06-10,1.73000,1.85000,1.70000,1.82000,88800
2025-06-11,1.81000,1.85000,1.75000,1.76000,24500
2025-06-12,1.73000,1.77000,1.68600,1.71500,17400
2025-06-13,1.72000,1.85000,1.64400,1.75000,33200
2025-06-16,1.83000,2.00000,1.76200,1.86000,61600
2025-06-17,1.85000,1.91500,1.76000,1.76000,27700
2025-06-18,1.79000,2.06000,1.70100,1.71000,156900
2025-06-20,1.87000,2.00000,1.77000,2.00000,79800
2025-06-23,1.93000,2.10000,1.89000,2.00000,150800
2025-06-24,2.06000,2.30000,2.06000,2.27000,140800
2025-06-25,2.28000,2.28000,1.84000,1.90000,83400
2025-06-26,1.93000,2.29000,1.93000,2.24000,99000
2025-06-27,2.23000,2.24500,2.09500,2.16000,54000
2025-06-30,2.17000,2.27000,2.14500,2.25000,53200
2025-07-01,2.24000,2.27000,2.12100,2.24000,90100
2025-07-02,2.22000,2.27000,2.15000,2.15000,29600
2025-07-03,2.16700,2.35000,2.16100,2.29000,78500
2025-07-07,2.30000,2.73000,2.30000,2.58000,276100
2025-07-08,2.72000,2.72000,2.37000,2.37000,123900
2025-07-09,2.33000,2.47000,2.25000,2.28000,97600
2025-07-10,2.26000,2.34900,1.97500,2.16000,234700
2025-07-11,2.16000,2.16000,2.08600,2.10000,33800
2025-07-14,2.09000,2.09000,1.70000,1.97000,225400
2025-07-15,1.93000,2.09300,1.89200,2.05000,67700
2025-07-16,2.04000,2.10500,1.85000,2.09000,85400
2025-07-17,2.12000,2.40400,2.12000,2.28000,53400
2025-07-18,2.35000,2.41000,2.08000,2.26000,39400
2025-07-21,2.25000,2.37000,2.20400,2.24000,39500
2025-07-22,2.25500,2.33000,2.20000,2.25000,41900
2025-07-23,2.26000,2.28000,2.21000,2.28000,14600
2025-07-24,2.27000,2.52000,2.26000,2.37000,197200
2025-07-25,2.46000,2.59000,2.30000,2.54000,232500
2025-07-28,2.59000,2.70000,2.40000,2.42000,116900
2025-07-29,2.40000,2.45000,1.90000,1.96000,348900
2025-07-30,1.96000,2.20000,1.88000,1.90000,65700
2025-07-31,1.92000,2.02300,1.84000,1.91000,34900
2025-08-01,1.89000,1.94000,1.59000,1.75000,117900
2025-08-04,1.76000,1.89000,1.75000,1.85000,40700
2025-08-05,1.86000,1.99000,1.82500,1.91000,28900
2025-08-06,1.90000,2.08800,1.90000,2.04000,63500
