date,open,high,low,close,volume
2023-09-25,40.99000,41.81000,40.84000,41.70000,225900
2023-09-26,41.39000,42.52000,41.26000,42.35000,420500
2023-09-27,42.48000,43.28000,42.08000,42.94000,453100
2023-09-28,43.19000,44.23000,42.99000,43.91000,337600
2023-09-29,44.52000,44.64000,43.54000,43.80000,403800
2023-10-02,43.46000,43.50000,42.25000,43.25000,354900
2023-10-03,43.18000,43.54000,41.72000,41.81000,212900
2023-10-04,41.81000,42.08000,40.91000,41.05000,179700
2023-10-05,41.13000,42.03000,40.23000,41.08000,336800
2023-10-06,40.83000,42.08000,40.29000,41.79000,289300
2023-10-09,41.39000,41.78000,40.34000,40.42000,154100
2023-10-10,40.21000,41.76000,40.20000,40.92000,311400
2023-10-11,40.89000,40.89000,37.97000,38.76000,369600
2023-10-12,38.76000,40.52000,36.22000,36.46000,477400
2023-10-13,36.49000,37.05000,35.98000,36.59000,345800
2023-10-16,36.92000,37.14000,36.34000,36.89000,343400
2023-10-17,36.40000,37.60000,35.39000,35.56000,391700
2023-10-18,35.52000,36.27000,34.90000,35.87000,398600
2023-10-19,35.97000,36.30000,35.02000,35.29000,197800
2023-10-20,35.35000,36.30000,35.03000,35.56000,251000
2023-10-23,36.27000,37.30000,35.16000,35.42000,407600
2023-10-24,35.78000,36.37000,35.62000,35.92000,255700
2023-10-25,35.51000,35.51000,34.20000,34.33000,250700
2023-10-26,34.52000,34.68000,33.45000,33.89000,206100
2023-10-27,33.94000,34.00000,32.90000,33.34000,353300
2023-10-30,33.74000,34.27000,33.13000,33.52000,485700
2023-10-31,33.80000,35.15000,33.55000,34.64000,536300
2023-11-01,34.43000,35.37000,33.87000,35.01000,585900
2023-11-02,37.93000,38.77000,36.02000,36.58000,1140200
2023-11-03,37.38000,37.54000,36.07000,36.98000,651000
2023-11-06,36.98000,38.64000,36.92000,37.86000,449000
2023-11-07,37.78000,37.99000,37.21000,37.48000,189800
2023-11-08,37.71000,37.71000,36.44000,37.04000,189300
2023-11-09,37.04000,37.45000,34.99000,35.47000,370900
2023-11-10,35.55000,35.55000,34.27000,35.07000,420700
2023-11-13,35.88000,37.50000,35.24000,36.89000,603000
2023-11-14,38.20000,40.63000,38.20000,40.62000,752400
2023-11-15,40.61000,42.99000,40.24000,42.53000,735700
2023-11-16,42.47000,42.93000,41.73000,41.93000,310800
2023-11-17,42.10000,42.60000,41.21000,41.50000,302400
2023-11-20,41.76000,42.07000,41.20000,41.94000,195300
2023-11-21,41.66000,42.09000,40.51000,41.70000,294400
2023-11-22,42.26000,43.00000,41.66000,41.80000,384800
2023-11-24,41.49000,42.79000,41.01000,42.08000,166700
2023-11-27,41.80000,42.43000,41.30000,42.00000,305100
2023-11-28,41.63000,42.99000,32.27000,36.70000,2530100
2023-11-29,37.00000,37.66000,35.08000,35.49000,1292500
2023-11-30,35.50000,35.72000,32.89000,35.48000,1925700
2023-12-01,35.38000,37.63000,34.91000,36.57000,1025200
2023-12-04,36.70000,37.30000,35.70000,36.48000,382700
2023-12-05,36.28000,36.28000,33.51000,34.80000,588100
2023-12-06,35.14000,35.19000,32.87000,32.99000,801600
2023-12-07,32.98000,33.83000,32.45000,33.44000,529200
2023-12-08,33.43000,34.46000,32.95000,34.14000,600200
2023-12-11,34.15000,34.43000,33.58000,33.66000,302400
2023-12-12,33.47000,34.34000,32.50000,34.20000,637500
2023-12-13,34.23000,35.82000,33.40000,34.77000,688300
2023-12-14,35.54000,36.84000,35.07000,36.40000,667900
2023-12-15,36.59000,36.90000,34.84000,35.66000,991800
2023-12-18,36.10000,36.40000,35.22000,35.27000,444400
2023-12-19,35.56000,36.61000,35.14000,35.87000,367100
2023-12-20,35.87000,36.28000,34.42000,34.48000,407900
2023-12-21,35.20000,36.04000,34.94000,35.95000,343900
2023-12-22,36.15000,37.21000,35.93000,37.10000,507400
2023-12-26,37.31000,37.72000,36.55000,37.31000,205400
2023-12-27,37.19000,37.82000,36.64000,37.10000,193300
2023-12-28,36.90000,37.40000,36.60000,36.73000,195200
2023-12-29,36.63000,36.82000,35.50000,35.69000,250400
2024-01-02,35.41000,36.34000,34.94000,35.32000,406200
2024-01-03,35.07000,35.10000,33.14000,33.70000,599300
2024-01-04,33.77000,33.77000,32.41000,32.88000,561100
2024-01-05,32.52000,33.31000,32.17000,33.03000,356000
2024-01-08,35.79000,36.13000,33.60000,35.03000,953900
2024-01-09,34.23000,35.61000,33.88000,34.14000,547400
2024-01-10,34.19000,35.49000,34.13000,35.35000,479800
2024-01-11,35.14000,35.52000,34.37000,34.98000,543300
2024-01-12,35.46000,35.81000,34.65000,34.99000,400700
2024-01-16,34.48000,34.94000,33.73000,33.91000,698500
2024-01-17,33.34000,33.59000,32.60000,33.41000,518800
2024-01-18,33.61000,33.61000,32.44000,33.00000,353200
2024-01-19,33.12000,33.62000,32.30000,33.52000,352800
2024-01-22,34.28000,34.97000,33.84000,34.28000,492900
2024-01-23,34.77000,35.48000,33.62000,34.00000,853500
2024-01-24,34.41000,34.44000,33.50000,33.58000,356800
2024-01-25,34.23000,34.23000,33.11000,33.50000,325400
2024-01-26,33.79000,34.07000,32.87000,33.25000,441200
2024-01-29,33.13000,34.59000,33.06000,34.20000,526500
2024-01-30,33.99000,34.49000,33.55000,33.92000,413300
2024-01-31,34.05000,35.84000,33.92000,34.06000,541700
2024-02-01,34.15000,34.47000,33.45000,33.68000,606700
2024-02-02,33.09000,33.78000,32.57000,33.30000,530800
2024-02-05,32.97000,33.74000,32.86000,33.08000,521700
2024-02-06,32.91000,33.40000,32.84000,33.17000,513700
2024-02-07,33.17000,33.53000,32.85000,33.01000,432800
2024-02-08,32.83000,32.83000,30.74000,32.39000,656900
2024-02-09,32.37000,32.95000,32.15000,32.92000,532800
2024-02-12,32.88000,33.65000,32.41000,33.52000,483300
2024-02-13,32.04000,32.53000,31.48000,31.71000,460600
2024-02-14,32.09000,32.57000,31.76000,32.54000,567100
2024-02-15,32.93000,34.32000,32.50000,34.21000,1105400
2024-02-16,34.15000,34.38000,29.68000,32.72000,1650200
2024-02-20,32.37000,33.46000,32.28000,33.01000,639400
2024-02-21,32.83000,33.10000,32.16000,33.03000,379400
2024-02-22,32.89000,34.51000,32.89000,34.00000,511500
2024-02-23,33.83000,34.00000,32.91000,33.56000,418300
2024-02-26,33.32000,33.73000,33.00000,33.14000,708700
2024-02-27,33.12000,35.10000,33.08000,34.19000,713800
2024-02-28,33.80000,34.15000,33.51000,33.96000,1076500
2024-02-29,34.72000,35.26000,34.49000,34.97000,987900
2024-03-01,35.01000,36.32000,34.64000,36.28000,948200
2024-03-04,36.28000,37.56000,35.85000,37.52000,526100
2024-03-05,37.36000,37.86000,36.57000,37.78000,950400
2024-03-06,38.00000,38.65000,37.55000,37.76000,889200
2024-03-07,38.06000,39.05000,37.09000,37.17000,680400
2024-03-08,37.45000,38.12000,36.14000,36.15000,474000
2024-03-11,36.00000,37.31000,35.59000,36.92000,1186500
2024-03-12,36.72000,36.83000,34.61000,34.95000,623900
2024-03-13,34.63000,35.04000,33.68000,33.99000,636900
2024-03-14,33.82000,33.88000,32.42000,32.52000,1164900
2024-03-15,32.26000,32.66000,31.38000,32.14000,674700
2024-03-18,32.16000,32.53000,31.49000,31.94000,606100
2024-03-19,31.69000,32.08000,31.47000,31.51000,706600
