date,open,high,low,close,volume
2025-03-28,37.75000,38.16000,36.65000,36.98000,3928100
2025-03-31,37.40000,37.54000,36.63000,37.12000,3478000
2025-04-01,38.00000,38.63000,37.40000,37.48000,3951200
2025-04-02,37.41000,37.68000,36.70000,37.60000,2683300
2025-04-03,35.43000,37.67000,35.41000,36.97000,2771500
2025-04-04,35.35000,35.53000,33.09000,33.55000,4230700
2025-04-07,32.86000,34.93000,31.91000,33.36000,3234300
2025-04-08,34.34000,34.62000,32.87000,33.16000,2588400
2025-04-09,36.29000,36.99000,34.94000,36.42000,6360700
2025-04-10,37.55000,39.32000,37.34000,38.85000,4087900
2025-04-11,41.74000,43.23000,41.37000,42.79000,6975300
2025-04-14,41.65000,42.95000,41.47000,42.57000,4597000
2025-04-15,43.83000,44.07000,42.73000,43.83000,3393700
2025-04-16,46.62000,46.90000,45.05000,45.62000,4591300
2025-04-17,44.02000,44.38000,42.95000,43.25000,5485000
2025-04-21,44.92000,45.25000,43.60000,44.17000,3855000
2025-04-22,44.37000,44.37000,42.62000,43.14000,5782700
2025-04-23,39.99000,40.69000,39.49000,40.57000,7450900
2025-04-24,40.63000,40.74000,39.95000,40.56000,2524500
2025-04-25,39.06000,39.69000,39.06000,39.60000,2556300
2025-04-28,39.79000,41.25000,39.43000,41.24000,2575000
2025-04-29,40.88000,41.19000,40.27000,40.68000,1689400
2025-04-30,40.96000,42.32000,40.81000,42.16000,2837600
2025-05-01,40.17000,40.75000,39.37000,39.83000,2059500
2025-05-02,40.69000,40.85000,39.58000,40.18000,2162000
2025-05-05,42.64000,42.65000,41.69000,42.14000,1940100
2025-05-06,43.62000,44.14000,42.97000,44.07000,2859000
2025-05-07,42.91000,43.78000,42.80000,43.68000,2322500
2025-05-08,43.09000,43.27000,41.81000,41.87000,3770400
2025-05-09,44.33000,45.30000,43.63000,44.80000,4042200
2025-05-12,40.54000,40.66000,39.61000,40.16000,5932100
2025-05-13,40.40000,41.25000,40.05000,41.21000,2727200
2025-05-14,38.77000,39.91000,38.61000,39.87000,3778200
2025-05-15,40.04000,40.93000,39.62000,40.45000,5295500
2025-05-16,39.64000,40.74000,39.51000,40.74000,2743600
2025-05-19,41.54000,42.23000,41.01000,42.18000,2996100
2025-05-20,42.43000,43.41000,42.31000,43.37000,2199500
2025-05-21,43.59000,44.28000,43.01000,43.23000,2332300
2025-05-22,42.83000,43.29000,42.17000,42.88000,1716200
2025-05-23,44.46000,44.52000,43.88000,44.04000,2420100
2025-05-27,42.86000,43.84000,42.74000,43.10000,2863200
2025-05-28,44.00000,44.27000,43.65000,44.04000,2453500
2025-05-29,44.44000,44.64000,43.53000,44.05000,2389500
2025-05-30,42.68000,43.85000,42.62000,43.81000,4360400
2025-06-02,45.54000,47.77000,45.36000,47.42000,4476800
2025-06-03,46.45000,46.69000,45.85000,46.44000,2516200
2025-06-04,47.01000,47.15000,46.02000,46.13000,1757900
2025-06-05,47.73000,48.10000,46.11000,47.09000,3393200
2025-06-06,46.46000,46.84000,45.55000,45.96000,2987800
2025-06-09,45.83000,46.43000,45.72000,46.38000,1856300
2025-06-10,46.78000,46.83000,44.94000,45.11000,2535900
2025-06-11,45.13000,45.90000,44.90000,45.87000,2708100
2025-06-12,48.43000,49.15000,47.86000,48.82000,4599200
2025-06-13,49.45000,51.11000,49.13000,50.84000,5242900
2025-06-16,49.76000,50.36000,49.32000,49.68000,3343800
2025-06-17,48.92000,49.27000,48.03000,48.33000,2725800
2025-06-18,47.96000,48.57000,47.33000,48.12000,2841900
2025-06-20,47.76000,48.62000,47.59000,47.98000,6127600
2025-06-23,47.74000,49.31000,47.54000,48.30000,2397400
2025-06-24,45.93000,46.84000,45.10000,46.40000,3462000
2025-06-25,46.30000,46.79000,46.20000,46.45000,2026000
2025-06-26,46.08000,46.76000,45.76000,46.36000,3063200
2025-06-27,44.45000,44.47000,43.44000,43.88000,37390600
2025-06-30,44.77000,45.69000,44.34000,45.57000,3499900
2025-07-01,47.18000,47.39000,45.53000,45.80000,3171700
2025-07-02,45.91000,46.69000,45.58000,46.66000,2982200
2025-07-03,46.30000,46.81000,46.14000,46.71000,1914500
2025-07-07,46.75000,48.05000,46.10000,47.93000,3003400
2025-07-08,47.95000,48.01000,44.67000,45.22000,3133800
2025-07-09,45.62000,46.64000,45.28000,46.53000,1512500
2025-07-10,46.62000,46.70000,45.62000,46.53000,1847300
2025-07-11,46.73000,47.26000,46.24000,47.11000,2267100
2025-07-14,47.32000,48.17000,47.17000,47.97000,2091200
2025-07-15,48.81000,48.86000,46.54000,47.46000,3267100
2025-07-16,47.20000,47.79000,46.08000,47.12000,2307500
2025-07-17,46.26000,47.26000,45.98000,47.05000,1700800
2025-07-18,48.38000,48.38000,47.48000,47.66000,2362200
2025-07-21,49.02000,50.84000,49.02000,50.62000,2482600
2025-07-22,50.77000,51.93000,50.55000,51.93000,2651300
2025-07-23,51.15000,51.42000,50.43000,51.08000,2159400
2025-07-24,49.63000,50.91000,49.04000,50.52000,2146200
2025-07-25,48.89000,50.35000,48.88000,50.16000,2945900
2025-07-28,49.53000,49.74000,48.64000,49.51000,2159900
2025-07-29,49.28000,50.12000,49.01000,50.02000,1412600
2025-07-30,48.10000,48.92000,47.28000,47.44000,3119300
2025-07-31,45.52000,46.84000,45.36000,46.25000,4932100
2025-08-01,47.50000,49.24000,46.70000,48.76000,4254800
2025-08-04,50.34000,53.18000,50.20000,53.17000,3503700
2025-08-05,53.96000,56.99000,53.25000,56.46000,4635300
2025-08-06,56.45000,58.32000,56.45000,58.28000,3186900
2025-08-07,58.72000,59.19000,57.67000,58.04000,3039700
2025-08-08,58.01000,58.26000,56.71000,57.42000,2355000
2025-08-11,55.93000,57.40000,55.76000,56.80000,1864500
2025-08-12,56.82000,57.31000,56.25000,57.25000,1774900
2025-08-13,57.08000,57.19000,55.66000,55.79000,2618600
2025-08-14,54.87000,55.62000,54.44000,54.71000,2037400
2025-08-15,53.76000,55.10000,53.64000,54.31000,2522700
2025-08-18,54.66000,54.70000,53.56000,53.70000,1580400
2025-08-19,53.04000,53.57000,52.07000,52.15000,2211800
2025-08-20,52.12000,53.84000,52.05000,53.72000,2270400
2025-08-21,53.84000,55.47000,53.84000,54.83000,2808700
2025-08-22,52.77000,55.18000,52.26000,54.61000,3137700
2025-08-25,54.76000,55.18000,53.94000,54.45000,2917500
2025-08-26,54.33000,55.50000,54.32000,55.40000,1920100
2025-08-27,54.52000,55.50000,54.41000,55.35000,2502900
2025-08-28,54.73000,55.61000,54.41000,55.20000,3164600
2025-08-29,55.08000,56.90000,55.08000,56.66000,3967400
2025-09-02,57.78000,58.95000,56.62000,58.14000,5775700
2025-09-03,60.00000,60.36000,58.83000,59.33000,3386000
2025-09-04,56.93000,58.76000,56.68000,57.95000,4414100
2025-09-05,59.62000,60.38000,58.83000,59.77000,3207400
2025-09-08,61.36000,62.65000,60.46000,62.19000,4788000
