date,open,high,low,close,volume
2023-10-05,183.03999,184.92000,182.03999,182.78999,475400
2023-10-06,181.85001,184.69000,180.46001,183.80000,481900
2023-10-09,183.35001,185.03000,182.07001,184.71001,337900
2023-10-10,185.47000,186.20000,184.08000,184.31000,392100
2023-10-11,185.06000,186.67000,184.42999,186.50999,448200
2023-10-12,186.39000,186.39000,181.80000,183.27000,335500
2023-10-13,184.35001,184.35001,180.97000,182.69000,331900
2023-10-16,184.73000,185.36000,182.52000,182.70000,330800
2023-10-17,181.00999,184.86000,180.49001,184.27000,326600
2023-10-18,183.03000,184.98000,179.12000,179.22000,356600
2023-10-19,177.78999,181.39999,176.72000,176.92999,392300
2023-10-20,177.28000,177.30000,173.80000,173.87000,422400
2023-10-23,172.94000,173.94000,171.16000,171.27000,526200
2023-10-24,173.39999,176.09000,172.42999,173.07001,827400
2023-10-25,168.36000,172.17000,165.75999,168.33000,1216400
2023-10-26,165.59000,172.46001,165.21001,170.85001,619100
2023-10-27,171.64000,172.84000,169.85001,170.53999,476800
2023-10-30,172.03999,173.49001,170.42000,172.63000,431100
2023-10-31,172.69000,174.46001,171.75000,174.07001,432900
2023-11-01,174.42000,174.44000,171.05000,173.87000,402500
2023-11-02,175.83000,177.75999,175.10001,176.21001,463600
2023-11-03,178.49001,181.31000,177.89999,181.24001,690000
2023-11-06,181.36000,182.03999,177.84000,179.11000,470500
2023-11-07,178.67000,179.44000,176.91000,177.25000,300100
2023-11-08,177.63000,178.73000,176.75000,178.63000,376100
2023-11-09,179.98000,180.44000,177.11000,177.84000,396900
2023-11-10,178.17000,180.14999,176.78000,180.09000,365300
2023-11-13,179.45000,181.21001,178.30000,179.67000,411100
2023-11-14,182.80000,188.00000,182.67999,187.95000,386200
2023-11-15,188.59000,192.05000,188.25999,188.97000,447000
2023-11-16,188.73000,189.63000,187.46001,189.17000,376700
2023-11-17,190.63000,190.83000,189.17000,189.96001,378100
2023-11-20,189.59000,189.87000,186.66000,189.64000,352000
2023-11-21,189.78000,190.57001,188.23000,189.47000,354600
2023-11-22,190.07001,190.32001,188.59000,189.80000,262700
2023-11-24,190.39999,190.39999,188.83000,189.74001,132000
2023-11-27,188.66000,190.62000,187.92999,190.23000,352800
2023-11-28,190.56000,190.57001,188.92000,189.70000,303600
2023-11-29,190.53000,192.39000,190.53000,192.36000,376800
2023-11-30,192.77000,194.67000,190.28999,194.50000,1473100
2023-12-01,194.25000,196.57001,193.71001,195.19000,433800
2023-12-04,194.05000,197.47000,194.05000,195.52000,509300
2023-12-05,193.60001,193.69000,190.94000,193.21001,517700
