date,open,high,low,close,volume
2023-10-02,2.41000,2.41000,2.37000,2.39000,109100
2023-10-03,2.39000,2.42000,2.36000,2.40000,120100
2023-10-04,2.39000,2.52000,2.38000,2.51000,102300
2023-10-05,2.50000,2.53000,2.49000,2.50000,134400
2023-10-06,2.50000,2.50000,2.44000,2.49000,78800
2023-10-09,2.47000,2.47000,2.40000,2.43000,127000
2023-10-10,2.42000,2.51000,2.41000,2.48000,94400
2023-10-11,2.51000,2.54000,2.45000,2.49000,156000
2023-10-12,2.49000,2.50000,2.42000,2.44000,150000
2023-10-13,2.43000,2.43000,2.30000,2.33000,105300
2023-10-16,2.32000,2.38000,2.30000,2.35000,200900
2023-10-17,2.35000,2.38000,2.32000,2.34000,156600
2023-10-18,2.33000,2.33000,2.26000,2.28000,200800
2023-10-19,2.29000,2.33000,2.26000,2.28000,146400
2023-10-20,2.30000,2.31000,2.21000,2.24000,167600
2023-10-23,2.25000,2.29000,2.23000,2.25000,118100
2023-10-24,2.28000,2.28000,2.15000,2.21000,257100
2023-10-25,2.21000,2.21000,2.13000,2.14000,248300
2023-10-26,2.12000,2.16000,2.08000,2.08000,393000
2023-10-27,2.09000,2.12000,2.06000,2.07000,192500
2023-10-30,2.09000,2.10000,2.01000,2.03000,128200
2023-10-31,2.00000,2.10000,1.98000,1.99000,362600
2023-11-01,1.98000,2.01000,1.90000,1.93000,361600
2023-11-02,1.89000,2.10000,1.89000,2.05000,327600
2023-11-03,2.01000,2.28000,2.01000,2.25000,258800
2023-11-06,2.23000,2.31000,2.23000,2.30000,98500
2023-11-07,2.27000,2.28000,2.15000,2.17000,88700
2023-11-08,2.20000,2.20000,2.10000,2.10000,275400
2023-11-09,2.09000,2.15000,2.05000,2.07000,303300
2023-11-10,2.08000,2.09000,1.95000,1.98000,109500
2023-11-13,1.98000,2.02000,1.97000,2.01000,83700
2023-11-14,2.07000,2.15000,2.07000,2.10000,106800
2023-11-15,2.14000,2.20000,2.11000,2.13000,137900
2023-11-16,2.14000,2.15000,2.02000,2.03000,140500
2023-11-17,2.02000,2.05000,1.98000,2.04000,79100
2023-11-20,2.03000,2.05000,2.02000,2.05000,79700
2023-11-21,2.05000,2.06000,1.98000,1.99000,80600
2023-11-22,1.98000,2.02000,1.94000,1.98000,81700
2023-11-24,2.00000,2.01000,1.98000,1.99000,14900
2023-11-27,1.96000,2.06000,1.95000,1.98000,461600
2023-11-28,2.00000,2.09000,1.97000,2.08000,188100
2023-11-29,2.10000,2.18000,2.07000,2.07000,141800
2023-11-30,2.07000,2.11000,1.98000,1.99000,187600
2023-12-01,2.00000,2.03000,1.97000,2.02000,160400
2023-12-04,2.01000,2.05000,1.98000,2.03000,215600
2023-12-05,2.04000,2.08000,2.01000,2.01000,182500
2023-12-06,2.02000,2.06000,2.00000,2.01000,159100
2023-12-07,2.01000,2.12000,1.99000,2.05000,141200
2023-12-08,2.06000,2.34000,2.06000,2.33000,307800
2023-12-11,2.32000,2.69000,2.30000,2.44000,428500
2023-12-12,2.47000,2.52000,2.30000,2.30000,177000
2023-12-13,2.30000,2.32000,2.20000,2.28000,155800
2023-12-14,2.36000,2.68000,2.36000,2.65000,267700
2023-12-15,2.69000,2.75000,2.63000,2.70000,224300
2023-12-18,2.70000,2.70000,2.54000,2.56000,189100
2023-12-19,2.56000,2.56000,2.47000,2.48000,91200
2023-12-20,2.51000,2.55000,2.31000,2.32000,197800
2023-12-21,2.34000,2.45000,2.31000,2.45000,119000
2023-12-22,2.44000,2.49000,2.43000,2.48000,111500
2023-12-26,2.46000,2.53000,2.45000,2.48000,164100
2023-12-27,2.48000,2.53000,2.40000,2.40000,235800
2023-12-28,2.41000,2.44000,2.31000,2.35000,238700
2023-12-29,2.32000,2.40000,2.28000,2.40000,295100
2024-01-02,2.40000,2.52000,2.38000,2.47000,101800
2024-01-03,2.46000,2.49000,2.36000,2.47000,142200
