date,open,high,low,close,volume
2023-09-28,92.35000,92.80000,91.00000,91.10000,7985
2023-09-29,91.95000,92.50000,89.35000,90.05000,8684
2023-10-03,90.50000,91.50000,90.50000,91.10000,4932
2023-10-04,91.00000,93.75000,91.00000,91.05000,21215
2023-10-05,91.65000,91.65000,91.00000,91.05000,7137
2023-10-06,92.00000,93.30000,91.00000,91.95000,28103
2023-10-09,91.00000,91.90000,90.75000,91.05000,18739
2023-10-10,91.30000,92.55000,91.30000,91.90000,7302
2023-10-11,91.50000,93.05000,91.05000,91.35000,7463
2023-10-12,91.85000,92.65000,91.05000,91.70000,5809
2023-10-13,92.00000,93.95000,91.35000,92.10000,28436
2023-10-16,93.00000,93.00000,91.30000,91.50000,9169
2023-10-17,91.90000,93.10000,91.80000,92.75000,11110
2023-10-18,92.95000,93.00000,91.15000,91.20000,3034
2023-10-19,91.30000,93.75000,91.00000,91.20000,22600
2023-10-20,91.30000,93.10000,91.25000,91.40000,9966
2023-10-23,92.05000,92.15000,91.00000,91.00000,17350
2023-10-25,91.45000,92.95000,91.00000,91.00000,12451
2023-10-26,91.95000,91.95000,90.50000,90.55000,6167
2023-10-27,90.50000,91.95000,90.50000,90.70000,3307
2023-10-30,91.55000,91.75000,90.50000,90.80000,2754
2023-10-31,91.95000,92.00000,90.50000,91.55000,11234
2023-11-01,92.95000,93.50000,90.55000,91.85000,30086
2023-11-02,92.70000,93.10000,91.10000,91.70000,23463
2023-11-03,92.05000,92.35000,91.15000,91.50000,6180
2023-11-06,91.80000,93.95000,90.95000,91.60000,73498
2023-11-07,92.00000,92.60000,91.05000,91.20000,11535
2023-11-08,91.25000,92.45000,90.60000,91.05000,8249
2023-11-09,91.50000,92.00000,90.75000,90.85000,3353
2023-11-10,90.90000,91.65000,90.30000,90.50000,15623
2023-11-13,91.45000,91.95000,90.50000,90.90000,4591
2023-11-15,91.35000,91.55000,90.50000,90.75000,4282
2023-11-16,91.45000,92.90000,90.95000,92.60000,13918
2023-11-17,93.00000,97.00000,92.40000,95.20000,137747
2023-11-20,96.90000,96.90000,92.00000,92.90000,27540
2023-11-21,93.30000,95.10000,91.80000,92.65000,15927
2023-11-22,92.95000,95.00000,91.75000,92.35000,6823
2023-11-23,92.35000,93.90000,91.50000,91.65000,14062
2023-11-24,92.30000,92.80000,91.50000,91.60000,3415
2023-11-28,92.05000,92.05000,91.50000,91.60000,4333
2023-11-29,90.85000,93.00000,90.85000,91.85000,5131
2023-11-30,92.30000,92.45000,91.50000,91.50000,4080
2023-12-01,92.00000,92.60000,91.50000,91.50000,4748
2023-12-04,91.90000,93.00000,91.50000,91.60000,8168
2023-12-05,91.55000,92.70000,91.55000,91.65000,3525
2023-12-06,92.00000,92.45000,91.45000,91.65000,13658
2023-12-07,92.00000,92.05000,91.50000,91.50000,6678
2023-12-08,90.95000,92.00000,90.95000,91.55000,9856
2023-12-11,92.05000,96.00000,91.50000,95.05000,246197
2023-12-12,95.40000,96.50000,92.10000,93.60000,43506
2023-12-13,93.65000,93.65000,92.00000,92.40000,12429
2023-12-14,93.05000,106.45000,93.00000,98.95000,315561
2023-12-15,101.80000,102.00000,94.00000,94.95000,52812
2023-12-18,95.50000,97.45000,93.85000,94.35000,17885
2023-12-19,95.15000,95.40000,92.80000,93.25000,23688
2023-12-20,94.05000,100.95000,91.80000,92.15000,87960
2023-12-21,92.55000,96.20000,92.00000,94.50000,14778
2023-12-22,95.35000,97.15000,93.10000,93.85000,12900
2023-12-26,94.65000,95.85000,93.85000,94.25000,6189
2023-12-27,94.95000,95.75000,93.50000,93.60000,6212
2023-12-28,94.55000,98.00000,93.65000,96.70000,30160
2023-12-29,97.75000,97.75000,95.00000,95.60000,9351
2024-01-01,94.60000,97.95000,94.60000,95.10000,11832
