date,open,high,low,close,volume
2025-03-26,9.37000,9.45000,9.36000,9.37000,126600
2025-03-27,9.37000,9.45000,9.30000,9.43000,135500
2025-03-28,9.41000,9.43000,9.28000,9.34000,102300
2025-03-31,9.27000,9.36000,9.21000,9.33000,292000
2025-04-01,9.39000,9.43000,9.28000,9.37000,201000
2025-04-02,9.37000,9.38000,9.29000,9.38000,145100
2025-04-03,9.20000,9.20000,9.00000,9.01000,319500
2025-04-04,8.90000,8.90000,8.25000,8.31000,595600
2025-04-07,8.05000,8.31000,7.88000,8.00000,573000
2025-04-08,8.24000,8.44000,8.00000,8.08000,526800
2025-04-09,8.10000,8.57000,7.84000,8.53000,938000
2025-04-10,8.49000,8.58000,8.34000,8.42000,398200
2025-04-11,8.29000,8.52000,8.27000,8.45000,662200
2025-04-14,8.60000,8.68000,8.50000,8.66000,566000
2025-04-15,8.59000,8.68000,8.59000,8.62000,280800
2025-04-16,8.62000,8.78000,8.62000,8.67000,262400
2025-04-17,8.77000,8.86000,8.67000,8.77000,190000
2025-04-21,8.70000,8.75000,8.57000,8.60000,303200
2025-04-22,8.64000,8.80000,8.64000,8.75000,257900
2025-04-23,8.88000,8.88000,8.74000,8.83000,325400
2025-04-24,8.88000,8.94000,8.85000,8.93000,206700
2025-04-25,8.89000,8.95000,8.85000,8.92000,217000
2025-04-28,8.95000,9.05000,8.94000,9.05000,124600
2025-04-29,9.04000,9.10000,8.99000,9.08000,154000
2025-04-30,9.06000,9.10000,8.88000,8.97000,269500
2025-05-01,8.99000,9.09000,8.92000,9.00000,229700
2025-05-02,9.04000,9.10000,9.01000,9.05000,144200
2025-05-05,9.00000,9.03000,8.95000,8.98000,132100
2025-05-06,8.98000,9.05000,8.96000,9.00000,97700
2025-05-07,9.01000,9.05000,8.96000,9.00000,70300
2025-05-08,9.04000,9.11000,9.03000,9.05000,106100
2025-05-09,9.12000,9.15000,9.08000,9.13000,89100
2025-05-12,9.30000,9.35000,9.20000,9.22000,170600
2025-05-13,9.25000,9.36000,9.20000,9.35000,166100
2025-05-14,9.35000,9.35000,9.28000,9.32000,199900
2025-05-15,9.21000,9.27000,9.18000,9.18000,94100
2025-05-16,9.18000,9.32000,9.15000,9.23000,116600
2025-05-19,9.21000,9.23000,9.12000,9.18000,102400
2025-05-20,9.14000,9.23000,9.12000,9.18000,62000
2025-05-21,9.16000,9.25000,9.16000,9.20000,90600
2025-05-22,9.21000,9.23000,9.15000,9.22000,76600
2025-05-23,9.12000,9.27000,9.12000,9.24000,91200
2025-05-27,9.32000,9.35000,9.29000,9.35000,115100
2025-05-28,9.37000,9.37000,9.24000,9.25000,158500
2025-05-29,9.30000,9.34000,9.25000,9.32000,199900
2025-05-30,9.32000,9.32000,9.23000,9.23000,222700
2025-06-02,9.29000,9.34000,9.28000,9.28000,240600
2025-06-03,9.31000,9.44000,9.26000,9.44000,298100
2025-06-04,9.44000,9.59000,9.42000,9.48000,438800
2025-06-05,9.53000,9.56000,9.43000,9.47000,213600
2025-06-06,9.53000,9.53000,9.45000,9.52000,168400
2025-06-09,9.46000,9.51000,9.42000,9.44000,209400
2025-06-10,9.51000,9.55000,9.49000,9.55000,163600
2025-06-11,9.55000,9.55000,9.42000,9.46000,172900
2025-06-12,9.49000,9.50000,9.42000,9.43000,170900
2025-06-13,9.43000,9.49000,9.38000,9.45000,263200
2025-06-16,9.46000,9.50000,9.45000,9.48000,131300
2025-06-17,9.48000,9.54000,9.46000,9.48000,118000
2025-06-18,9.51000,9.52000,9.45000,9.46000,107300
2025-06-20,9.49000,9.51000,9.36000,9.39000,121600
2025-06-23,9.40000,9.45000,9.34000,9.34000,125800
2025-06-24,9.35000,9.37000,9.30000,9.33000,149200
2025-06-25,9.33000,9.43000,9.22000,9.25000,167100
2025-06-26,9.31000,9.40000,9.30000,9.36000,167900
2025-06-27,9.44000,9.44000,9.35000,9.41000,170600
2025-06-30,9.42000,9.46000,9.38000,9.45000,205500
2025-07-01,9.46000,9.59000,9.46000,9.55000,145800
2025-07-02,9.60000,9.70000,9.58000,9.67000,196700
2025-07-03,9.68000,9.75000,9.67000,9.75000,103500
2025-07-07,9.65000,9.66000,9.58000,9.63000,199800
2025-07-08,9.67000,9.74000,9.64000,9.74000,132200
2025-07-09,9.74000,9.75000,9.68000,9.72000,100700
2025-07-10,9.73000,9.78000,9.68000,9.78000,169900
2025-07-11,9.73000,9.79000,9.70000,9.75000,119000
2025-07-14,9.73000,9.77000,9.66000,9.69000,228700
2025-07-15,9.64000,9.65000,9.49000,9.51000,155500
2025-07-16,9.51000,9.58000,9.46000,9.55000,205500
2025-07-17,9.54000,9.61000,9.50000,9.59000,217600
2025-07-18,9.63000,9.64000,9.57000,9.60000,1069200
2025-07-21,9.65000,9.65000,9.60000,9.64000,118500
2025-07-22,9.69000,9.72000,9.67000,9.69000,330900
2025-07-23,9.75000,9.76000,9.67000,9.76000,240000
2025-07-24,9.73000,9.83000,9.72000,9.78000,241700
2025-07-25,9.78000,9.79000,9.72000,9.77000,104500
2025-07-28,9.77000,9.83000,9.70000,9.71000,117200
2025-07-29,9.64000,9.75000,9.64000,9.70000,125900
2025-07-30,9.67000,9.70000,9.52000,9.56000,151200
2025-07-31,9.58000,9.64000,9.49000,9.55000,168900
2025-08-01,9.55000,9.55000,9.42000,9.44000,132300
2025-08-04,9.45000,9.49000,9.40000,9.46000,142200
2025-08-05,9.52000,9.58000,9.45000,9.58000,132500
2025-08-06,9.65000,9.67000,9.60000,9.61000,102600
2025-08-07,9.62000,9.68000,9.54000,9.55000,102300
2025-08-08,9.60000,9.63000,9.57000,9.60000,114300
2025-08-11,9.62000,9.64000,9.57000,9.58000,156000
2025-08-12,9.58000,9.68000,9.58000,9.66000,131200
2025-08-13,9.66000,9.71000,9.65000,9.70000,122000
2025-08-14,9.68000,9.74000,9.59000,9.67000,115700
2025-08-15,9.61000,9.68000,9.53000,9.53000,92000
2025-08-18,9.55000,9.64000,9.54000,9.57000,178800
2025-08-19,9.61000,9.64000,9.57000,9.60000,93700
2025-08-20,9.59000,9.64000,9.55000,9.59000,123100
2025-08-21,9.59000,9.67000,9.56000,9.66000,68400
2025-08-22,9.71000,9.88000,9.67000,9.84000,226600
2025-08-25,9.87000,9.92000,9.87000,9.90000,184500
2025-08-26,9.94000,9.99000,9.88000,9.99000,202100
2025-08-27,9.96000,10.00000,9.92000,9.93000,182000
2025-08-28,9.98000,10.08000,9.95000,10.05000,174000
2025-08-29,10.14000,10.19000,10.08000,10.11000,277500
2025-09-02,10.04000,10.09000,9.97000,10.00000,259500
2025-09-03,10.03000,10.07000,9.97000,10.01000,315200
2025-09-04,10.04000,10.04000,9.98000,9.99000,104100
2025-09-05,9.99000,10.06000,9.98000,10.03000,99100
2025-09-08,10.01000,10.12000,10.01000,10.08000,143600
2025-09-09,10.12000,10.12000,10.05000,10.06000,187600
2025-09-10,10.09000,10.15000,10.09000,10.14000,170900
2025-09-11,10.15000,10.19000,10.07000,10.16000,278900
2025-09-12,10.15000,10.19000,10.11000,10.13000,106000
2025-09-15,10.14000,10.20000,10.01000,10.02000,203300
2025-09-16,10.05000,10.05000,10.01000,10.01000,134800
2025-09-17,10.04000,10.08000,9.93000,10.02000,173000
2025-09-18,10.01000,10.04000,9.96000,10.04000,129600
2025-09-19,10.04000,10.05000,10.00000,10.01000,133300
2025-09-22,10.02000,10.06000,10.00000,10.06000,235500
2025-09-23,10.05000,10.20000,10.05000,10.17000,239500
2025-09-24,10.19000,10.22000,10.16000,10.21000,194800
2025-09-25,10.19000,10.22000,10.14000,10.22000,207200
