date,open,high,low,close,volume
2023-10-05,3.48000,3.48000,3.35000,3.41000,1655600
2023-10-06,3.36000,3.59000,3.35000,3.59000,3214400
2023-10-09,3.52000,3.58000,3.37000,3.49000,1487900
2023-10-10,3.50000,3.74000,3.50000,3.74000,2968500
2023-10-11,3.77000,3.90000,3.76000,3.80000,2913800
2023-10-12,3.80000,3.83000,3.65000,3.68000,1791600
2023-10-13,3.68000,3.73000,3.60000,3.64000,1866600
2023-10-16,3.65000,3.73000,3.53000,3.70000,1779800
2023-10-17,3.66000,3.75000,3.60000,3.71000,1538700
2023-10-18,3.62000,3.62000,3.45000,3.51000,3250600
2023-10-19,3.48000,3.57000,3.37000,3.39000,3184800
2023-10-20,3.33000,3.39000,3.17000,3.33000,2489200
2023-10-23,3.26000,3.40000,3.23000,3.30000,1749300
2023-10-24,3.45000,3.65000,3.44000,3.50000,3493200
2023-10-25,3.45000,3.47000,3.34000,3.38000,2625300
2023-10-26,3.38000,3.46000,3.26000,3.28000,3176400
2023-10-27,3.29000,3.30000,3.16000,3.16000,2284100
2023-10-30,3.20000,3.26000,3.13000,3.19000,2136700
2023-10-31,3.17000,3.36000,3.15000,3.33000,2557600
2023-11-01,3.34000,3.36000,3.23000,3.29000,1791000
2023-11-02,3.39000,3.54000,3.38000,3.53000,2357700
2023-11-03,3.61000,3.71000,3.59000,3.66000,2203900
2023-11-06,3.62000,3.69000,3.50000,3.56000,2051200
2023-11-07,3.57000,3.58000,3.31000,3.55000,2113600
2023-11-08,3.51000,3.51000,3.37000,3.40000,1258100
2023-11-09,3.43000,3.62000,3.43000,3.46000,2080800
2023-11-10,3.16000,3.46000,3.14000,3.32000,4062100
2023-11-13,3.25000,3.34000,3.21000,3.27000,2471100
2023-11-14,3.43000,3.67000,3.42000,3.64000,3490200
2023-11-15,3.63000,3.79000,3.63000,3.69000,1957000
2023-11-16,3.64000,3.68000,3.56000,3.63000,1980000
2023-11-17,3.67000,3.67000,3.57000,3.66000,1803800
2023-11-20,3.64000,3.69000,3.59000,3.62000,1209200
2023-11-21,3.56000,3.57000,3.46000,3.49000,1013600
2023-11-22,3.52000,3.56000,3.46000,3.50000,1223000
2023-11-24,3.46000,3.53000,3.45000,3.46000,610800
2023-11-27,3.44000,3.44000,3.34000,3.40000,1665000
2023-11-28,3.36000,3.47000,3.30000,3.46000,1488800
2023-11-29,3.47000,3.63000,3.46000,3.54000,2133000
2023-11-30,3.55000,3.60000,3.48000,3.51000,1780100
2023-12-01,3.48000,3.72000,3.40000,3.71000,2541300
2023-12-04,3.72000,3.85000,3.70000,3.80000,1704900
2023-12-05,3.79000,3.79000,3.64000,3.66000,1614700
2023-12-06,3.62000,3.82000,3.60000,3.66000,2154900
2023-12-07,3.66000,3.69000,3.61000,3.66000,1647600
2023-12-08,3.66000,3.76000,3.63000,3.65000,1266800
2023-12-11,3.63000,3.66000,3.58000,3.60000,1266300
2023-12-12,3.56000,3.58000,3.42000,3.50000,1707000
2023-12-13,3.48000,3.78000,3.43000,3.78000,10243400
2023-12-14,3.84000,4.01000,3.84000,3.92000,5650800
2023-12-15,3.93000,3.99000,3.69000,3.72000,9992900
2023-12-18,3.69000,3.72000,3.54000,3.56000,2578100
2023-12-19,3.54000,3.73000,3.54000,3.69000,2245300
2023-12-20,3.65000,3.73000,3.51000,3.51000,2479300
