date,open,high,low,close,volume
2023-09-25,24.05000,24.47000,23.84000,24.12000,265500
2023-09-26,23.94000,24.79000,23.92000,24.15000,251500
2023-09-27,24.33000,24.76000,24.17000,24.22000,213200
2023-09-28,24.27000,25.16000,24.27000,25.00000,175800
2023-09-29,25.03000,25.03000,24.21000,24.47000,231600
2023-10-02,24.29000,24.72000,23.74000,23.81000,184400
2023-10-03,23.58000,23.85000,23.06000,23.36000,164500
2023-10-04,23.16000,23.34000,22.11000,22.13000,167100
2023-10-05,21.80000,22.56000,21.72000,21.72000,178900
2023-10-06,21.62000,22.09000,21.11000,21.79000,180000
2023-10-09,22.18000,22.47000,21.69000,22.09000,179600
2023-10-10,22.08000,22.80000,22.00000,22.55000,136700
2023-10-11,22.43000,22.72000,21.88000,22.02000,135600
2023-10-12,22.28000,22.28000,21.01000,21.15000,159100
2023-10-13,21.40000,21.59000,20.83000,20.89000,165100
2023-10-16,21.00000,21.28000,20.50000,20.53000,150300
2023-10-17,20.49000,21.22000,20.36000,20.66000,211600
2023-10-18,20.57000,20.87000,20.10000,20.43000,230600
2023-10-19,20.33000,20.58000,20.05000,20.15000,126400
2023-10-20,20.21000,20.34000,19.60000,19.80000,126800
2023-10-23,19.58000,19.65000,19.24000,19.41000,134300
2023-10-24,19.41000,19.61000,19.14000,19.23000,132700
2023-10-25,19.19000,19.19000,18.34000,18.63000,206000
2023-10-26,18.76000,18.76000,18.20000,18.58000,149700
2023-10-27,18.48000,18.90000,18.22000,18.71000,132100
2023-10-30,18.76000,18.98000,18.38000,18.82000,143200
2023-10-31,18.78000,19.18000,18.58000,18.95000,161000
2023-11-01,18.90000,19.07000,18.50000,18.79000,172900
2023-11-02,18.94000,19.34000,18.16000,18.99000,355500
2023-11-03,16.94000,17.70000,16.52000,17.10000,843800
2023-11-06,17.04000,17.34000,16.31000,16.80000,248100
2023-11-07,16.69000,16.69000,16.04000,16.32000,356000
2023-11-08,16.23000,16.59000,16.00000,16.28000,262400
2023-11-09,16.52000,16.56000,15.82000,15.84000,163600
2023-11-10,16.02000,16.25000,15.88000,16.05000,112300
2023-11-13,16.02000,16.26000,15.80000,15.95000,124800
2023-11-14,16.30000,17.00000,16.30000,16.86000,183400
2023-11-15,16.76000,17.18000,16.43000,16.56000,149900
2023-11-16,16.35000,16.55000,15.69000,15.87000,141000
2023-11-17,16.29000,16.29000,15.78000,15.87000,120300
2023-11-20,16.06000,16.20000,15.90000,16.05000,123000
2023-11-21,16.10000,16.22000,15.77000,15.81000,117000
2023-11-22,15.75000,16.15000,15.61000,16.11000,148500
2023-11-24,16.15000,16.49000,16.15000,16.24000,45100
