date,open,high,low,close,volume
2025-03-21,8.88000,9.72000,8.52000,9.72000,5333
2025-03-24,9.84000,9.89400,9.42000,9.42000,2450
2025-03-25,9.42000,9.89400,9.42000,9.72000,4733
2025-03-26,9.72000,10.68000,9.72000,10.38000,4067
2025-03-27,11.04000,11.04000,10.38000,10.68000,4333
2025-03-28,10.68000,10.68000,9.42000,9.60000,3433
2025-03-31,9.36000,9.36000,8.46000,8.76000,5717
2025-04-01,8.76000,8.76000,8.47200,8.64000,1983
2025-04-02,8.64000,9.36000,8.64000,9.00000,2267
2025-04-03,8.94000,9.06000,8.46000,8.46000,8300
2025-04-04,8.28000,8.46000,7.64400,7.68000,6117
2025-04-07,7.08000,7.17600,6.66000,6.90000,5500
2025-04-08,6.90000,7.48200,6.36000,6.66000,4917
2025-04-09,6.78000,7.32000,6.36000,7.08000,6817
2025-04-10,7.14000,8.28000,7.08000,7.52400,13433
2025-04-11,7.92000,7.92000,7.20000,7.66800,2567
2025-04-14,7.92000,8.88000,7.74000,8.88000,2833
2025-04-15,8.52000,9.90600,8.10600,8.76000,6133
2025-04-16,9.06000,9.06000,8.40000,8.82000,800
2025-04-17,8.76000,8.88000,8.16000,8.58000,2083
2025-04-21,8.40000,9.66000,7.24200,9.24000,3750
2025-04-22,9.12000,9.60000,8.88000,9.30000,867
2025-04-23,9.78000,9.78000,8.64000,9.12000,2750
2025-04-24,9.78000,9.78000,8.88000,8.88000,3033
2025-04-25,9.12000,9.60000,8.94000,9.30000,2517
2025-04-28,9.30000,10.68000,9.06000,10.32000,11533
2025-04-29,10.08000,10.08000,9.54000,9.60000,3633
2025-04-30,9.48000,10.14000,9.36000,9.78000,683
2025-05-01,9.78000,9.78000,8.82000,9.03000,5567
2025-05-02,8.76000,9.30000,8.64000,9.18000,2200
2025-05-05,9.18000,9.45000,8.85000,9.24000,2700
2025-05-06,9.30600,9.66000,8.94000,9.24000,2133
2025-05-07,9.30000,9.30000,8.58000,9.23400,1917
2025-05-08,9.30000,9.30000,8.94000,9.06000,1483
2025-05-09,9.12000,9.42000,8.58000,9.00000,2533
2025-05-12,9.12000,9.90000,9.00000,9.90000,4383
2025-05-13,9.90000,10.14000,9.60000,10.14000,4100
2025-05-14,9.72000,9.93000,9.36000,9.60000,2383
2025-05-15,9.60000,9.90000,9.30000,9.72000,1383
2025-05-16,10.02000,10.44000,9.48600,10.29000,3200
2025-05-19,10.26000,10.28400,9.85200,10.27200,583
2025-05-20,9.67800,10.50000,9.67800,10.08000,1967
2025-05-21,10.20000,10.50000,10.20000,10.32000,1683
2025-05-22,10.50000,10.68000,9.84000,10.32000,1300
2025-05-23,10.50000,10.50000,10.02000,10.02000,783
2025-05-27,10.38000,10.68000,9.97800,10.38000,667
2025-05-28,10.38000,12.24000,10.15800,12.18000,15400
2025-05-29,12.66000,13.02000,11.10000,11.46000,10050
2025-05-30,11.19000,11.40000,10.11600,10.56000,3467
2025-06-02,11.58000,11.58000,9.84000,10.20000,3450
2025-06-03,10.20000,10.80000,10.14000,10.50000,1367
2025-06-04,10.74000,11.40000,10.74000,11.40000,1133
2025-06-05,11.52000,11.70000,11.16000,11.25000,2867
2025-06-06,11.70000,11.75400,10.92600,10.93200,5167
2025-06-09,10.92000,11.46000,10.32000,10.50000,1717
2025-06-10,10.62000,11.17800,10.62000,10.98000,1267
2025-06-11,10.98000,12.27000,10.32000,11.56200,13933
2025-06-12,12.12000,12.12000,11.04000,11.16000,6333
2025-06-13,11.16000,11.20800,10.29600,10.78200,867
2025-06-16,10.74000,11.16600,10.47600,11.10000,1917
2025-06-17,11.58000,11.58000,10.80000,10.86000,1083
2025-06-18,10.53600,11.16000,10.50000,11.11200,3867
2025-06-20,10.86000,11.27400,10.50000,10.62000,1067
2025-06-23,10.44000,11.25000,9.60000,10.20000,2633
2025-06-24,10.20000,10.77000,10.20000,10.62000,1733
2025-06-25,10.80000,10.80000,10.32000,10.44000,617
2025-06-26,10.68000,10.71000,10.47000,10.56000,933
2025-06-27,10.74000,10.74000,10.32600,10.50000,1083
2025-06-30,10.68000,11.33400,10.50000,10.56000,4483
2025-07-01,10.56000,11.16000,10.56000,11.10000,1900
2025-07-02,11.10000,11.94000,11.10000,11.58600,6800
2025-07-03,11.52000,12.06000,11.52000,11.94000,1183
2025-07-07,11.70000,12.48000,11.62800,12.30000,3600
2025-07-08,12.24000,12.72000,12.05400,12.48000,3533
2025-07-09,12.51000,13.08000,12.48000,12.90000,6617
2025-07-10,12.84000,12.84000,12.42000,12.84000,2467
2025-07-11,12.48000,12.84000,12.42000,12.84000,1267
2025-07-14,12.36000,13.20000,12.36000,13.20000,2833
2025-07-15,13.29000,14.79000,13.15800,14.79000,15083
2025-07-16,14.94000,15.30000,14.52000,15.06000,4283
2025-07-17,14.88000,15.16800,14.22000,14.34000,5817
2025-07-18,14.58000,15.24000,12.74400,12.84000,11000
2025-07-21,13.26000,13.94400,12.90000,13.86000,2250
2025-07-22,13.50000,13.62000,13.38000,13.44000,683
2025-07-23,13.44000,13.44000,12.78600,13.26000,1950
2025-07-24,13.20000,13.26000,12.78000,12.90000,2150
2025-07-25,13.08000,13.08000,12.72000,13.02000,1583
2025-07-28,13.20000,13.32000,12.52200,12.54000,1133
2025-07-29,12.52800,12.81600,12.36000,12.66000,5783
2025-07-30,12.30000,12.90000,11.04000,11.52000,2917
2025-07-31,11.52000,12.53400,11.10000,12.18000,11117
2025-08-01,12.46800,12.46800,11.40000,11.78400,1217
2025-08-04,11.76000,12.48000,11.40000,12.30000,5750
2025-08-05,12.48000,12.48000,12.35400,12.36000,800
2025-08-06,12.12000,12.78000,12.12000,12.78000,1133
2025-08-07,13.02000,13.14000,11.88000,11.94000,1717
2025-08-08,11.94000,12.90000,11.94000,12.72000,2283
2025-08-11,12.72000,14.58000,12.72000,14.01600,13567
2025-08-12,14.04000,14.16000,13.32000,13.74000,4383
2025-08-13,13.32000,13.96200,12.00000,12.54000,5100
2025-08-14,12.54000,12.75600,11.46000,11.70000,2467
2025-08-15,11.79000,11.82000,11.16000,11.16000,3567
2025-08-18,11.30400,11.40000,9.42000,10.69200,5217
2025-08-19,10.80000,11.04000,10.68000,10.68000,1600
2025-08-20,10.80000,10.80000,10.20000,10.32000,950
2025-08-21,10.44000,10.60800,10.24800,10.50000,750
2025-08-22,10.38000,10.92000,10.20000,10.74000,3550
2025-08-25,11.04000,11.70000,10.90800,11.28000,2017
2025-08-26,11.28000,11.65800,10.80600,10.80600,1950
2025-08-27,10.80000,11.40000,10.80000,11.10000,1467
2025-08-28,11.10000,11.40000,11.10000,11.10000,683
2025-08-29,11.10000,11.22000,10.20000,10.74000,1483
2025-09-02,10.56000,11.18400,10.20000,11.15400,2050
2025-09-03,10.80000,10.80600,10.20600,10.26000,1717
2025-09-04,10.44000,10.47000,10.26000,10.26000,867
2025-09-05,10.14000,10.26000,9.90000,10.14000,1000
2025-09-08,9.84000,10.18800,9.78000,10.08000,883
2025-09-09,10.14000,10.38000,10.09200,10.32000,583
2025-09-10,10.44000,10.47600,10.26000,10.26000,367
2025-09-11,10.44000,10.56000,10.38000,10.48200,1017
2025-09-12,10.50000,11.06400,10.50000,10.92000,1383
2025-09-15,10.80000,10.80600,10.38000,10.38000,1900
2025-09-16,10.38000,19.50000,10.35000,15.12000,7231900
2025-09-17,11.76000,11.94000,9.87000,9.90000,361450
2025-09-18,9.66000,10.14000,8.40000,9.18000,158233
2025-09-19,9.30000,9.78000,8.73600,9.36000,87733
2025-09-22,36.36000,60.90000,27.36000,28.62000,36457933
2025-09-23,21.00000,21.48000,16.50000,17.16000,854350
2025-09-24,16.98000,18.45600,15.12000,17.58000,327250
2025-09-25,17.22000,17.77200,14.70000,15.24000,172483
2025-09-26,15.48000,16.70400,15.24000,15.66000,143817
2025-09-29,15.72000,16.08000,14.52000,14.70000,74617
2025-09-30,15.06000,15.06000,13.92000,14.46000,66750
2025-10-01,14.70000,14.88000,14.16000,14.34000,33083
2025-10-02,15.12000,16.14000,13.86000,13.86000,105400
2025-10-03,14.04000,14.34000,13.50000,13.86000,72833
2025-10-06,13.50000,13.86000,11.76000,13.20000,109500
2025-10-07,13.62000,13.80000,13.20000,13.38000,32317
2025-10-08,12.96000,13.20000,12.60000,12.90000,41450
2025-10-09,12.78000,12.90000,12.36000,12.48000,37567
2025-10-10,12.90000,12.93000,11.10000,11.40000,51667
2025-10-13,11.70000,12.34800,11.40000,11.70000,26983
2025-10-14,12.00000,12.30000,11.58000,12.06000,31650
2025-10-15,11.58000,12.06000,10.92000,11.34000,34433
2025-10-16,11.52000,11.64000,10.56000,10.98000,28250
2025-10-17,10.50000,11.04000,10.26000,10.62000,25217
2025-10-20,10.50000,10.65000,10.08000,10.26000,23250
2025-10-21,10.14000,10.65000,9.60000,10.20000,33083
2025-10-22,10.26000,10.29000,9.48000,9.84000,23717
2025-10-23,9.78000,10.20000,9.54000,10.20000,27750
2025-10-24,9.96000,10.44000,9.90600,10.08000,23383
2025-10-27,9.96000,10.26000,9.78000,9.78000,19933
2025-10-28,9.78000,10.08000,9.60000,9.96000,34883
2025-10-29,9.96000,10.02000,9.00000,9.30000,35267
2025-10-30,9.24000,9.51600,8.92200,9.12000,25217
2025-10-31,9.00000,9.36000,9.00000,9.12000,14117
2025-11-03,8.88000,9.12000,7.80000,8.34000,44450
2025-11-04,7.98000,8.52000,7.92000,7.98000,24650
2025-11-05,7.92000,8.52000,7.74000,8.28000,17600
2025-11-06,8.40000,8.46000,6.96000,7.08000,65733
2025-11-07,6.54000,7.26000,5.70600,6.96000,119050
2025-11-10,7.38000,8.04000,7.14000,7.50000,44917
2025-11-11,7.44000,7.56000,6.54000,6.66000,41933
2025-11-12,6.66000,7.29000,6.54000,6.66000,27100
2025-11-13,6.42000,6.96000,6.12000,6.30000,32267
2025-11-14,6.12000,7.02000,6.12000,6.54000,29817
2025-11-17,6.30000,6.54000,5.40000,5.52000,77383
2025-11-18,5.88000,5.88000,5.07600,5.24400,77667
2025-11-19,5.16000,5.47800,4.98000,5.15400,22083
2025-11-20,5.40000,5.50200,4.68000,4.75800,28650
2025-11-21,4.98600,4.98600,4.38000,4.56000,26150
2025-11-24,4.62000,5.07600,4.62000,4.92000,15483
2025-11-25,4.98000,5.22000,4.92000,5.15400,12767
2025-11-26,5.22000,5.70000,5.22000,5.44200,18800
2025-11-28,5.58000,5.58000,5.40000,5.46000,4383
2025-12-01,5.56800,5.56800,5.16000,5.16000,7533
2025-12-02,5.28000,5.28000,4.86000,4.89000,14200
2025-12-03,5.10600,5.28000,4.89000,5.07600,18633
2025-12-04,5.10000,5.70000,4.95600,5.57400,40967
2025-12-05,5.70000,5.79600,4.74600,4.85400,33633
2025-12-08,5.10000,5.24400,4.80000,4.86000,17233
2025-12-09,4.86000,5.38200,4.86000,5.24400,20600
2025-12-10,5.10000,5.46000,5.03400,5.23200,16433
2025-12-11,5.22000,5.36400,4.88400,5.22000,32517
2025-12-12,5.11800,5.36400,4.99800,4.99800,10200
2025-12-15,5.34000,5.34000,4.56600,4.62000,24150
2025-12-16,4.62000,4.66800,4.39200,4.42200,16417
2025-12-17,4.54200,4.54200,4.09800,4.14600,23150
2025-12-18,4.14000,4.16400,3.87000,4.04400,43733
2025-12-19,3.96000,3.96000,3.61800,3.96000,88250
2025-12-22,4.02600,4.19400,3.00000,3.24000,152450
2025-12-23,3.05000,3.23000,2.50000,2.64000,605600
2025-12-24,2.54000,2.73000,2.23000,2.31000,336200
2025-12-26,2.28000,2.30000,2.01100,2.19000,206300
2025-12-29,2.20000,2.85000,1.97000,2.00000,1781100
2025-12-30,2.08000,2.25000,1.86000,1.91000,714000
2025-12-31,1.90000,1.90000,1.51000,1.70000,217400
2026-01-02,1.71000,1.83900,1.63500,1.73000,218400
2026-01-05,1.76000,1.77300,1.55000,1.64000,357500
2026-01-06,1.64000,1.75000,1.60000,1.71000,146700
2026-01-07,1.71000,1.73000,1.58000,1.65000,212300
2026-01-08,1.67000,1.68000,1.59000,1.64000,171400
2026-01-09,1.73400,1.96000,1.64000,1.70000,775700
2026-01-12,1.67000,1.76000,1.60000,1.66000,573300
2026-01-13,1.68000,1.84000,1.51000,1.68000,4850400
2026-01-14,1.64000,1.64000,1.19000,1.42000,2092000
2026-01-15,1.37000,1.44000,1.24000,1.31000,774800
2026-01-16,1.29000,1.44000,1.29000,1.35000,643700
2026-01-20,1.24000,1.31000,1.23000,1.25000,8187500
2026-01-21,2.18000,2.53000,1.76000,1.82000,112147900
2026-01-22,1.63000,1.75000,1.52000,1.67000,2537600
2026-01-23,1.59000,1.71000,1.53000,1.58000,966100
2026-01-26,1.43000,1.66000,1.40000,1.50000,722900
2026-01-27,1.41000,1.56000,1.41000,1.53000,309200
2026-01-28,1.49000,1.49000,1.40000,1.42000,263600
2026-01-29,1.40300,1.40300,1.21000,1.27000,438900
2026-01-30,1.27000,1.34000,1.22000,1.23000,320600
2026-02-02,1.22000,1.30000,1.19200,1.25000,428800
2026-02-03,1.25000,1.33000,1.21000,1.29000,468100
2026-02-04,1.70000,2.37000,1.60000,2.02000,173424800
2026-02-05,1.78500,1.90000,1.63000,1.88000,3395100
2026-02-06,2.13000,2.75000,1.47000,1.57000,42640700
2026-02-09,1.57000,1.79000,1.48000,1.79000,1546400
2026-02-10,1.68000,1.79000,1.63000,1.73000,575000
2026-02-11,1.65000,1.66700,1.33000,1.37000,722000
2026-02-12,1.39000,1.41000,1.32000,1.40000,459500
2026-02-13,1.35000,1.45000,1.26500,1.33000,529500
2026-02-17,1.29000,1.33000,1.19000,1.26000,381500
2026-02-18,1.25000,1.35000,1.23000,1.30000,6298000
2026-02-19,1.58000,1.88000,1.39000,1.43000,31494100
2026-02-20,1.53000,1.58000,1.44000,1.46000,1061700
2026-02-23,1.46000,1.53700,1.40100,1.47000,2345600
2026-02-24,1.62000,1.70000,1.54000,1.65000,1326500
2026-02-25,1.64000,1.64000,1.48000,1.55000,399700
2026-02-26,1.50000,1.56300,1.47000,1.49000,142600
2026-02-27,1.45000,1.45000,1.33000,1.37000,278700
2026-03-02,1.31500,1.40000,1.25000,1.33000,288400
2026-03-03,1.28000,1.37000,1.27000,1.36000,222200
2026-03-04,1.33000,1.35000,1.28000,1.33000,138800
2026-03-05,1.31000,1.35600,1.28400,1.30000,121600
2026-03-06,1.28000,1.31000,1.26500,1.30000,131400
2026-03-09,1.28000,1.29000,1.23200,1.29000,139400
2026-03-10,1.26000,1.32000,1.25500,1.31000,88700
2026-03-11,1.30000,1.30000,1.25000,1.26000,83200
2026-03-12,1.27000,1.32000,1.25000,1.29000,144800
