date,open,high,low,close,volume
2023-09-25,4.53000,4.53000,4.30000,4.30000,15500
2023-09-26,4.26000,4.38000,4.26000,4.28500,24200
2023-09-27,4.47000,4.98000,4.45000,4.91000,100500
2023-09-28,4.81000,4.91000,4.75000,4.82000,28000
2023-09-29,4.80000,5.03000,4.72000,4.86000,32500
2023-10-02,4.71000,4.86000,4.68000,4.72000,29500
2023-10-03,4.67500,4.67500,4.55000,4.58500,31700
2023-10-04,4.53100,4.68000,4.53000,4.58000,33200
2023-10-05,4.65000,4.69500,4.43000,4.48000,45400
2023-10-06,4.54000,4.72000,4.54000,4.72000,11300
2023-10-09,4.60000,4.90000,4.56000,4.56000,1500
2023-10-10,4.74000,4.84000,4.73000,4.79000,10400
2023-10-11,4.81000,4.93700,4.72100,4.74000,46000
2023-10-12,4.75000,4.75000,4.51000,4.57000,16900
2023-10-13,4.50000,4.59000,4.45000,4.56000,9400
2023-10-16,4.60000,4.60000,4.36000,4.40000,13000
2023-10-17,4.29000,4.54000,4.29000,4.52000,11600
2023-10-18,4.45000,4.51000,4.38000,4.49000,3700
2023-10-19,4.32900,4.45000,4.32900,4.38000,6900
2023-10-20,4.38000,4.50000,4.38000,4.50000,7500
2023-10-23,4.38000,4.44000,4.28000,4.28000,10900
2023-10-24,4.29000,4.33000,4.21000,4.28000,10000
2023-10-25,4.21000,4.33500,4.21000,4.27000,13000
2023-10-26,4.27000,4.28000,4.05000,4.14000,18200
2023-10-27,4.15000,4.37000,4.13000,4.16000,7500
2023-10-30,4.20000,4.24000,4.17000,4.18000,4800
2023-10-31,4.11100,4.43600,4.11000,4.35000,6500
2023-11-01,4.35000,4.36500,4.33700,4.33700,6600
2023-11-02,4.53000,4.53000,4.33000,4.40200,27800
2023-11-03,4.33000,4.68000,4.29500,4.50000,19100
2023-11-06,4.51000,4.57000,4.46000,4.53000,5200
2023-11-07,4.53000,4.55000,4.34000,4.49000,34600
2023-11-08,4.69000,4.88000,4.52000,4.84000,69800
2023-11-09,4.71000,4.95600,4.56000,4.78000,94000
2023-11-10,4.93000,4.96000,4.70000,4.78000,84900
2023-11-13,4.86000,4.87000,4.68000,4.72000,26100
2023-11-14,4.85000,5.08000,4.76000,4.93000,64700
2023-11-15,5.00000,5.19000,4.91500,5.09000,25300
2023-11-16,4.96000,5.14000,4.60000,4.65000,70600
2023-11-17,4.71000,4.82000,4.69100,4.82000,6700
2023-11-20,4.82000,4.82000,4.50000,4.59000,39900
2023-11-21,4.61000,4.61700,4.55000,4.58000,12800
2023-11-22,4.72000,5.76000,4.58000,5.65000,444800
2023-11-24,5.52000,5.80000,5.43000,5.73000,65600
2023-11-27,5.70000,5.70000,5.46100,5.58000,51900
2023-11-28,5.55000,5.55000,5.21300,5.30000,48500
2023-11-29,5.30000,5.34000,5.02000,5.11000,37100
2023-11-30,5.03000,5.17500,4.94000,5.08000,14900
2023-12-01,5.16500,5.31000,5.02000,5.31000,29500
2023-12-04,5.30000,5.34000,5.09800,5.27000,35300
2023-12-05,5.29000,5.50000,5.10900,5.50000,53700
2023-12-06,5.48200,5.85000,5.39400,5.55000,102800
2023-12-07,5.73000,5.77000,5.38000,5.49000,79300
2023-12-08,5.47000,5.60000,5.40000,5.47000,45400
2023-12-11,5.55000,5.55000,5.15000,5.20000,37600
2023-12-12,5.11000,5.14000,4.93000,4.95000,72300
2023-12-13,4.96000,4.98000,4.82900,4.91000,57800
2023-12-14,4.91000,5.23000,4.91000,5.16000,32400
2023-12-15,5.14000,5.22500,5.04000,5.06000,16300
2023-12-18,5.06000,5.18000,5.03600,5.06000,22100
2023-12-19,5.05000,5.18000,5.04000,5.04000,15100
2023-12-20,5.01000,5.17000,5.01000,5.03000,10500
2023-12-21,5.14000,5.25000,5.06000,5.22000,19400
2023-12-22,5.16000,5.33000,5.16000,5.19000,11500
2023-12-26,5.30000,5.30000,5.22000,5.26000,6000
2023-12-27,5.33000,5.33000,5.17000,5.20000,1000
2023-12-28,5.30000,5.30000,5.11400,5.17000,23000
2023-12-29,5.14000,5.15000,5.05000,5.05000,9300
2024-01-02,5.02000,5.25000,5.00000,5.18000,34900
2024-01-03,5.13000,5.27000,5.00000,5.15000,4100
2024-01-04,5.15000,5.23000,5.09500,5.17000,6700
2024-01-05,5.14000,5.21000,5.05000,5.07000,7200
2024-01-08,5.10000,5.19500,5.10000,5.18000,16800
2024-01-09,5.10000,5.19400,5.10000,5.16000,8700
2024-01-10,5.14000,5.23000,5.14000,5.15000,10200
2024-01-11,5.20000,5.20000,5.06000,5.14000,4200
2024-01-12,5.14000,5.19000,5.06000,5.09000,22800
2024-01-16,5.06000,5.08000,4.81000,4.98000,45300
2024-01-17,5.13000,5.13000,4.81600,4.89000,24500
2024-01-18,4.92100,5.01000,4.80000,4.90000,24000
2024-01-19,4.87000,4.89000,4.43000,4.59000,55800
2024-01-22,4.53000,4.82500,4.51000,4.52000,18400
2024-01-23,4.52000,4.60000,4.40000,4.44000,31200
2024-01-24,4.47000,4.62000,4.34000,4.45000,65700
2024-01-25,4.37000,5.04000,4.37000,4.93000,12500
2024-01-26,4.99000,5.27000,4.91000,5.27000,34200
2024-01-29,5.38000,5.69000,5.12000,5.55000,114800
2024-01-30,5.65000,5.79000,5.41000,5.79000,52900
2024-01-31,5.71000,5.79000,5.50000,5.50000,32600
2024-02-01,5.50000,5.64000,5.33000,5.64000,26200
2024-02-02,5.67000,5.67000,5.35000,5.38000,18000
2024-02-05,5.38000,5.38000,5.27000,5.27000,18600
2024-02-06,5.33000,5.42000,5.31000,5.35000,15200
2024-02-07,5.35500,5.37000,5.22500,5.33000,6000
2024-02-08,5.33000,5.39100,5.21000,5.26100,10500
2024-02-09,5.25700,5.66000,5.25700,5.62000,44400
2024-02-12,5.48000,5.72000,5.45000,5.68500,23600
2024-02-13,5.69000,5.84000,5.48000,5.64000,18000
2024-02-14,5.55000,5.74000,5.39000,5.39000,15500
2024-02-15,5.46000,5.61000,5.30000,5.30000,20200
2024-02-16,5.37000,5.45000,5.31100,5.34000,9900
2024-02-20,5.36000,5.40000,5.25000,5.30000,41000
2024-02-21,5.29000,5.38000,5.20000,5.38000,38200
2024-02-22,5.38000,5.40000,5.28000,5.38000,17200
2024-02-23,5.27000,5.50000,5.26000,5.34000,12500
2024-02-26,5.41000,5.73000,5.40000,5.55000,49300
2024-02-27,5.50000,5.50000,5.31000,5.37000,18000
2024-02-28,5.27000,5.37900,5.27000,5.36000,8000
2024-02-29,5.31500,5.32000,5.17000,5.25000,15100
2024-03-01,5.47000,5.63000,5.39300,5.63000,45400
2024-03-04,5.51000,5.60000,5.37700,5.53000,11000
2024-03-05,5.40000,5.41000,5.18000,5.30000,32900
2024-03-06,5.43000,5.43000,5.20900,5.30000,17200
2024-03-07,5.25000,5.39000,5.09700,5.30000,8300
2024-03-08,5.43000,5.48000,5.16000,5.16000,4800
2024-03-11,5.16000,5.49000,5.16000,5.30000,24200
2024-03-12,5.22000,5.30000,5.16000,5.16000,8900
2024-03-13,5.22000,5.28000,5.19000,5.28000,6400
2024-03-14,5.16000,5.16000,5.05000,5.06500,11000
2024-03-15,5.16000,5.24000,4.92100,5.01000,24200
2024-03-18,5.14000,5.14000,5.03900,5.05000,10800
2024-03-19,5.05000,5.10000,4.95000,4.95000,19900
2024-03-20,5.01000,5.01000,4.90000,4.98000,23700
2024-03-21,5.09000,5.25000,4.94000,5.15000,63500
2024-03-22,5.15000,5.29000,5.10000,5.25000,21900
2024-03-25,5.31000,5.31000,4.97000,5.22500,150000
2024-03-26,5.22000,5.52000,5.11900,5.29000,204700
2024-03-27,5.66000,6.25000,5.65000,6.23000,791400
2024-03-28,6.44000,6.45000,5.95000,6.17000,218500
2024-04-01,6.05000,6.66000,6.05000,6.55000,172600
2024-04-02,6.54000,6.62500,6.30000,6.55000,63600
2024-04-03,6.59000,7.00000,6.54000,6.79000,129300
2024-04-04,6.91000,6.91000,6.49000,6.53000,102700
2024-04-05,6.51000,6.63000,6.33000,6.60000,107700
2024-04-08,6.58000,6.62000,6.24000,6.32000,167000
2024-04-09,6.42000,6.45000,6.18000,6.34000,76200
2024-04-10,6.26500,6.26500,5.96000,6.13000,86500
2024-04-11,6.17200,6.18000,5.88000,6.08000,48700
2024-04-12,5.98000,6.13000,5.85000,5.91000,67600
2024-04-15,5.93000,6.01000,5.76000,5.97000,78900
2024-04-16,5.88000,6.01000,5.76000,5.94000,76100
2024-04-17,5.94000,6.24000,5.87000,5.96000,78000
2024-04-18,6.19000,6.19000,5.93000,6.12000,26100
2024-04-19,6.05000,6.36000,6.01400,6.17000,42100
2024-04-22,6.32000,6.34000,6.02000,6.04000,75800
2024-04-23,6.07000,6.26000,6.07000,6.17000,26000
2024-04-24,6.23000,6.47000,6.08000,6.17000,63100
2024-04-25,6.11000,6.17000,5.90000,6.06000,74100
2024-04-26,6.00000,6.22000,6.00000,6.07000,16900
2024-04-29,5.99000,5.99000,5.55000,5.66000,164500
2024-04-30,5.66000,5.66000,5.45000,5.46000,120900
2024-05-01,5.39000,5.68000,5.39000,5.68000,49900
2024-05-02,5.68000,5.90000,5.68000,5.75000,17600
2024-05-03,5.70000,5.84000,5.53000,5.54000,21300
2024-05-06,5.50000,5.84000,5.48000,5.70000,50300
2024-05-07,5.79000,5.82000,5.61000,5.64000,33100
2024-05-08,5.55000,5.69000,5.55000,5.59000,15400
2024-05-09,5.70000,6.08000,5.70000,5.87000,85000
2024-05-10,6.19000,6.33000,6.04000,6.33000,77700
2024-05-13,6.47000,6.47000,6.17000,6.22000,44500
2024-05-14,6.18000,6.46000,6.18000,6.41000,20900
2024-05-15,6.47000,6.59000,6.35000,6.38000,18500
2024-05-16,6.48000,6.48000,6.27000,6.31000,12900
2024-05-17,6.33000,6.38000,6.20000,6.20000,23200
2024-05-20,6.16900,6.36000,6.15000,6.22000,30200
2024-05-21,6.25000,6.27000,6.06000,6.10000,36500
2024-05-22,6.02000,6.20000,6.02000,6.06000,16000
2024-05-23,6.04000,6.16500,5.91000,5.95000,27700
2024-05-24,5.98300,6.07000,5.94000,6.00000,12500
2024-05-28,5.93000,6.43000,5.93000,6.11000,44700
2024-05-29,6.04000,6.20000,6.02000,6.17000,17700
2024-05-30,6.22000,6.68000,6.08000,6.66500,189600
2024-05-31,6.64000,6.70000,6.40000,6.56000,38100
2024-06-03,6.60000,6.63000,6.27000,6.40000,56300
2024-06-04,6.44500,6.48000,6.04200,6.14000,43900
2024-06-05,6.09000,6.21000,6.01000,6.02000,24200
2024-06-06,6.19000,6.20000,5.85000,6.00000,121800
2024-06-07,5.99000,6.00000,5.82000,5.83000,12900
2024-06-10,5.81000,5.84000,5.67000,5.75000,44500
2024-06-11,5.82000,5.83000,5.55000,5.68000,41400
2024-06-12,5.68000,5.77400,5.58000,5.58000,20900
2024-06-13,5.63000,5.64000,5.49000,5.54000,27600
2024-06-14,5.63500,5.65000,5.59000,5.59000,6700
2024-06-17,5.56000,5.64000,5.47000,5.52000,27400
2024-06-18,5.47000,5.59000,5.45000,5.56000,31300
2024-06-20,5.66000,5.75000,5.48000,5.56000,11700
2024-06-21,5.53000,5.87500,5.53000,5.70000,156700
2024-06-24,5.80000,6.04300,5.80000,5.94000,72200
2024-06-25,5.86000,6.00000,5.77000,5.80000,42500
2024-06-26,5.90000,5.99000,5.78000,5.83000,12400
2024-06-27,5.88000,5.88000,5.74000,5.74000,9500
2024-06-28,5.80000,5.87000,5.76000,5.77000,6600
2024-07-01,5.78000,5.96000,5.74000,5.74000,13100
2024-07-02,5.75000,5.88000,5.72000,5.81000,66600
2024-07-03,5.72000,5.84000,5.71000,5.76000,29100
