date,open,high,low,close,volume
2025-03-27,23.57000,23.66000,23.32000,23.49000,238900
2025-03-28,23.33000,23.42000,23.08000,23.15000,279300
2025-03-31,22.79000,22.89000,22.59000,22.80000,253100
2025-04-01,22.89000,23.49000,22.75000,23.44000,341600
2025-04-02,23.35000,23.42000,23.04000,23.29000,337700
2025-04-03,22.94000,23.73000,22.94000,23.12000,379100
2025-04-04,22.30000,22.54000,21.57000,21.72000,427000
2025-04-07,21.07000,21.88000,20.80000,21.04000,728600
2025-04-08,21.64000,21.64000,20.79000,20.93000,627500
2025-04-09,21.00000,22.48000,20.77000,22.32000,663400
2025-04-10,21.96000,22.16000,21.17000,21.67000,954100
2025-04-11,21.73000,22.51000,21.73000,22.31000,467000
2025-04-14,22.51000,22.97000,22.44000,22.87000,339800
2025-04-15,22.87000,23.17000,22.57000,23.12000,470800
2025-04-16,23.58000,23.81000,23.20000,23.49000,891200
2025-04-17,23.70000,24.05000,23.64000,23.97000,603700
2025-04-21,24.15000,24.64000,23.96000,24.16000,949400
2025-04-22,24.41000,24.90000,24.40000,24.84000,617500
2025-04-23,23.88000,24.07000,23.58000,23.72000,541500
2025-04-24,23.80000,24.63000,23.77000,24.31000,599500
2025-04-25,24.26000,24.65000,24.04000,24.52000,339400
2025-04-28,24.55000,24.77000,24.19000,24.35000,367400
2025-04-29,24.49000,24.65000,24.09000,24.23000,534200
2025-04-30,24.13000,24.13000,23.70000,24.09000,441200
2025-05-01,23.72000,23.88000,23.12000,23.40000,486500
2025-05-02,23.87000,24.08000,23.55000,23.78000,492900
2025-05-05,23.84000,24.24000,23.79000,23.93000,392400
2025-05-06,23.94000,24.32000,23.94000,24.16000,413700
2025-05-07,24.30000,24.60000,24.12000,24.14000,572800
2025-05-08,24.43000,24.74000,24.30000,24.50000,613700
2025-05-09,24.73000,24.94000,24.49000,24.65000,249600
2025-05-12,24.83000,24.92000,24.19000,24.31000,408600
2025-05-13,24.36000,24.72000,24.29000,24.65000,310600
2025-05-14,24.75000,25.27000,24.75000,24.99000,451200
2025-05-15,25.00000,25.19000,24.81000,25.19000,343300
2025-05-16,25.10000,25.15000,24.75000,25.08000,364400
2025-05-19,24.98000,25.53000,24.89000,25.27000,206000
2025-05-20,25.30000,25.42000,25.10000,25.32000,301600
2025-05-21,25.31000,25.40000,25.09000,25.20000,181200
2025-05-22,25.09000,25.26000,24.89000,24.91000,204100
2025-05-23,24.59000,25.06000,24.28000,25.04000,166000
2025-05-27,25.05000,25.12000,24.67000,24.74000,420400
2025-05-28,24.74000,24.74000,24.40000,24.41000,241700
2025-05-29,24.44000,24.57000,24.16000,24.57000,283300
2025-05-30,24.47000,24.58000,24.04000,24.14000,609400
2025-06-02,24.17000,24.86000,23.98000,24.64000,801900
2025-06-03,24.49000,24.64000,24.12000,24.59000,470000
2025-06-04,24.65000,24.97000,24.63000,24.66000,387000
2025-06-05,24.81000,24.91000,24.55000,24.82000,358400
2025-06-06,24.80000,25.01000,24.66000,24.83000,240000
2025-06-09,24.74000,24.85000,24.44000,24.46000,288900
2025-06-10,24.46000,24.73000,24.44000,24.57000,215600
2025-06-11,24.56000,25.45000,24.56000,25.35000,353600
2025-06-12,25.41000,25.53000,25.28000,25.39000,265400
2025-06-13,25.01000,25.30000,24.27000,24.76000,584800
2025-06-16,24.37000,24.89000,24.16000,24.72000,1571000
2025-06-17,24.46000,24.60000,24.18000,24.29000,473000
2025-06-18,24.26000,24.43000,24.08000,24.16000,440300
2025-06-20,24.00000,24.03000,23.56000,23.81000,422400
2025-06-23,23.59000,23.91000,23.44000,23.66000,653000
2025-06-24,23.93000,24.56000,23.90000,24.44000,456300
2025-06-25,24.31000,24.71000,24.24000,24.39000,521300
2025-06-26,24.54000,24.90000,24.52000,24.54000,268400
2025-06-27,24.59000,24.70000,24.43000,24.57000,278100
2025-06-30,24.69000,25.27000,24.55000,25.22000,678600
2025-07-01,25.30000,25.44000,24.96000,25.03000,519300
2025-07-02,25.11000,25.30000,24.91000,25.12000,415100
2025-07-03,25.21000,25.29000,25.05000,25.13000,331500
2025-07-07,25.02000,25.20000,24.51000,24.63000,513700
2025-07-08,24.59000,24.96000,24.59000,24.76000,541900
2025-07-09,24.90000,24.91000,24.47000,24.53000,280800
2025-07-10,24.44000,24.53000,24.32000,24.49000,364700
2025-07-11,24.30000,24.39000,23.93000,23.94000,432500
2025-07-14,23.93000,24.00000,23.69000,23.73000,303400
2025-07-15,23.81000,23.86000,23.49000,23.55000,304400
2025-07-16,23.65000,23.77000,23.41000,23.48000,383000
2025-07-17,23.35000,23.62000,23.35000,23.58000,518800
2025-07-18,23.62000,23.88000,23.56000,23.63000,279100
2025-07-21,23.75000,24.10000,23.70000,23.97000,411700
2025-07-22,24.00000,24.00000,23.62000,23.62000,219100
2025-07-23,23.68000,23.94000,23.60000,23.90000,158500
2025-07-24,23.86000,23.91000,23.68000,23.69000,230400
2025-07-25,23.72000,23.72000,23.42000,23.42000,231300
2025-07-28,23.26000,23.40000,23.00000,23.11000,178100
2025-07-29,23.06000,23.33000,23.00000,23.29000,288400
2025-07-30,23.07000,23.21000,22.87000,22.88000,183600
2025-07-31,22.77000,23.27000,22.77000,23.01000,240600
2025-08-01,22.93000,23.28000,22.85000,23.13000,392100
2025-08-04,23.34000,23.55000,23.22000,23.52000,295700
2025-08-05,23.51000,23.57000,23.19000,23.32000,204200
2025-08-06,23.38000,23.38000,23.11000,23.22000,196700
2025-08-07,23.37000,23.69000,23.26000,23.68000,230100
2025-08-08,23.79000,24.05000,23.68000,24.05000,278600
2025-08-11,24.07000,24.41000,23.95000,23.97000,435000
