date,open,high,low,close,volume
2023-10-02,2.15000,2.22000,2.10000,2.22000,1500
2023-10-04,2.30000,2.40000,2.30000,2.40000,1700
2023-10-05,2.35000,2.35000,2.34900,2.35000,2100
2023-10-06,2.02700,2.23000,2.02700,2.23000,1900
2023-10-11,2.30000,2.40000,2.30000,2.40000,1100
2023-10-13,2.20000,2.30000,2.20000,2.30000,1400
2023-10-16,2.22500,2.22500,2.10000,2.10000,600
2023-10-17,2.40000,2.40000,2.30000,2.30000,3000
2023-10-20,2.28000,2.28000,2.28000,2.28000,200
2023-10-23,2.10000,2.10000,2.10000,2.10000,200
2023-10-25,2.01000,2.14000,2.01000,2.10000,3700
2023-10-26,1.80000,2.25000,1.80000,2.25000,3400
2023-10-27,2.19000,2.20000,2.19000,2.20000,400
2023-10-30,1.80000,1.97000,1.50000,1.92000,13900
2023-11-01,1.90000,1.90000,1.74000,1.74000,1300
2023-11-02,1.79000,1.95500,1.76000,1.95500,1000
2023-11-03,1.95500,1.95500,1.95500,1.95500,500
2023-11-06,1.95000,1.96000,1.95000,1.96000,800
2023-11-07,2.00000,2.00000,2.00000,2.00000,700
2023-11-08,2.08000,2.08000,1.90000,1.90000,900
2023-11-09,1.93500,1.93500,1.93500,1.93500,300
2023-11-13,1.81000,1.81000,1.81000,1.81000,300
2023-11-15,1.79000,1.79000,1.79000,1.79000,200
2023-11-16,1.79000,1.80000,1.79000,1.80000,600
2023-11-17,1.74000,1.74000,1.74000,1.74000,1200
2023-11-20,1.57000,1.59000,1.57000,1.59000,600
2023-11-21,1.48800,1.48800,1.48800,1.48800,2300
2023-11-22,1.55000,1.55000,1.55000,1.55000,300
2023-11-24,1.50000,1.50000,1.50000,1.50000,200
2023-11-27,1.72000,1.81000,1.60000,1.60000,1300
2023-11-29,1.53000,1.53000,1.53000,1.53000,400
2023-11-30,1.58000,1.60000,1.58000,1.60000,700
2023-12-01,1.60000,1.88700,1.45000,1.70000,17600
2023-12-04,1.93000,1.93000,1.51000,1.52000,2200
2023-12-05,1.53000,1.57000,1.46000,1.46000,3900
2023-12-06,1.49000,1.49000,1.48000,1.48000,800
2023-12-07,1.45000,1.62000,1.45000,1.62000,7300
2023-12-08,1.50000,1.50000,1.46000,1.46000,800
2023-12-11,1.48000,1.50000,1.48000,1.50000,900
2023-12-12,1.55000,1.55000,1.55000,1.55000,3600
2023-12-13,1.55300,1.89000,1.55000,1.88000,7000
2023-12-14,1.97000,1.97000,1.55000,1.87000,7100
2023-12-15,2.00000,2.45000,1.85000,2.45000,36300
2023-12-18,2.49000,2.49000,1.97000,2.29000,10800
2023-12-19,2.10000,2.66000,2.10000,2.66000,3600
2023-12-20,2.76000,2.76000,2.40900,2.75000,2900
2023-12-21,2.63000,2.63000,2.10000,2.25000,13500
2023-12-22,2.25000,2.50000,2.25000,2.50000,2400
2023-12-26,2.05000,2.46000,2.05000,2.46000,2800
2023-12-27,2.50000,2.50000,2.37500,2.49000,3600
2023-12-28,2.41000,2.41000,2.25000,2.40000,7600
2023-12-29,2.41000,2.50000,2.40000,2.50000,5900
2024-01-02,2.37000,2.47800,2.08000,2.47800,1600
2024-01-03,2.47800,2.47800,2.47800,2.47800,300
2024-01-04,2.42000,2.42000,2.42000,2.42000,300
2024-01-05,2.40000,2.44500,2.40000,2.42000,7600
2024-01-08,1.89700,1.89700,1.89700,1.89700,500
2024-01-09,2.95000,3.05000,2.43000,2.57000,9499300
2024-01-10,2.45000,2.67000,2.14000,2.41000,322300
2024-01-11,2.29000,2.62000,2.19000,2.62000,100100
2024-01-12,2.57000,2.62000,2.21000,2.32800,48500
2024-01-16,2.33000,2.60000,2.12000,2.45000,50500
2024-01-17,2.40300,2.47500,2.21000,2.21000,46900
2024-01-18,2.21000,2.25500,1.95000,2.10100,10100
2024-01-19,2.01000,2.29000,2.01000,2.26000,31900
2024-01-22,2.21000,2.26000,1.90000,2.17000,13400
2024-01-23,2.12000,2.12000,2.07000,2.08000,3700
2024-01-24,2.08000,2.16100,2.01000,2.16100,5700
2024-01-25,2.07100,2.16000,1.99000,2.15000,10800
2024-01-26,2.20000,2.20000,2.02000,2.17000,12200
2024-01-29,2.11000,2.32000,2.11000,2.13000,4400
2024-01-30,2.13200,2.18000,1.99000,1.99000,16000
2024-01-31,2.07000,2.09000,2.05000,2.05000,4800
2024-02-01,2.07800,2.08300,1.97000,2.03000,2700
2024-02-02,1.97000,2.07000,1.96000,2.07000,17900
2024-02-06,1.93000,2.04400,1.90200,2.04000,7600
