date,open,high,low,close,volume
2023-10-02,1.39000,1.48000,1.33000,1.36000,36500
2023-10-03,1.33200,1.36000,1.30000,1.33000,43000
2023-10-04,1.34000,1.48900,1.27000,1.37000,90800
2023-10-05,1.32500,1.40000,1.32000,1.32000,23000
2023-10-06,1.27000,1.34000,1.26000,1.29000,56800
2023-10-09,1.26900,1.29500,1.21000,1.24000,37000
2023-10-10,1.23000,1.40000,1.22000,1.35000,31900
2023-10-11,1.43000,1.43000,1.21000,1.24000,65100
2023-10-12,1.09000,1.23500,1.08000,1.13000,55200
2023-10-13,1.24000,1.24000,1.11000,1.12000,33100
2023-10-16,1.12000,1.27000,1.12000,1.22000,78900
2023-10-17,1.33000,1.33000,1.24000,1.26000,37900
2023-10-18,1.30000,1.35000,1.23000,1.30000,56800
2023-10-19,1.30000,1.30000,1.27000,1.27000,21400
2023-10-20,1.24000,1.29000,1.24000,1.29000,22100
2023-10-23,1.21800,1.26600,1.21000,1.24000,18500
2023-10-24,1.23000,1.25000,1.20500,1.22000,68000
2023-10-25,1.13000,1.35000,1.02000,1.28000,2388900
2023-10-26,1.06000,1.16000,1.05000,1.12000,186900
2023-10-27,1.03000,1.29000,1.00000,1.14000,360000
2023-10-30,1.17000,1.18000,1.09000,1.09000,106200
2023-10-31,1.11000,1.18000,1.06000,1.12000,26100
2023-11-01,1.08000,1.12000,1.06000,1.09000,61300
2023-11-02,1.06000,1.08000,1.01000,1.02000,99900
2023-11-03,1.06000,1.07000,1.02000,1.06000,73600
2023-11-06,1.05100,1.10000,1.05000,1.06000,21500
2023-11-07,1.03000,1.10000,1.02000,1.04000,77300
2023-11-08,1.08000,1.14000,1.03000,1.14000,673400
2023-11-09,1.06000,1.11000,0.95000,1.00000,143200
2023-11-10,0.97000,1.14000,0.90000,1.06500,97200
2023-11-13,1.00000,1.11000,0.91200,1.03000,52900
2023-11-14,1.03000,1.08000,1.01000,1.05000,31000
2023-11-15,1.04000,1.10000,1.04000,1.05000,129400
2023-11-16,1.08000,1.08000,1.00000,1.00000,102300
2023-11-17,1.03000,1.05500,1.02000,1.03000,34800
2023-11-20,1.03000,1.06000,1.02000,1.04000,29800
2023-11-21,1.03500,1.05000,1.00000,1.00000,35000
2023-11-22,1.08000,1.08000,0.90000,0.96000,57300
2023-11-24,1.04000,1.04000,0.94000,1.01000,48900
2023-11-27,0.98000,1.05500,0.91500,1.01000,66300
2023-11-28,0.99000,1.05300,0.97500,1.03000,59000
2023-11-29,1.02000,1.10000,1.02000,1.07000,40700
2023-11-30,1.17500,1.19000,1.07000,1.11000,87400
2023-12-01,1.11000,1.20000,1.10000,1.20000,70800
2023-12-04,1.29000,1.42000,1.17000,1.37000,146600
2023-12-05,1.33000,1.41000,1.26000,1.31000,40300
2023-12-06,1.38000,1.42000,1.32100,1.36000,70600
2023-12-07,1.43000,1.43000,1.32000,1.42000,83000
2023-12-08,1.45000,1.72000,1.44000,1.66000,269400
2023-12-11,1.73000,2.25000,1.68000,2.02000,832000
2023-12-12,2.00000,2.00000,1.60000,1.61000,920200
2023-12-13,1.63000,1.77000,1.54000,1.76000,168500
2023-12-14,1.73000,2.73000,1.57000,2.42000,920400
2023-12-15,2.40000,2.40000,2.04000,2.04000,249700
2023-12-18,2.10000,2.12000,1.61000,1.70000,434300
2023-12-19,1.74000,2.00000,1.70300,1.85000,182100
2023-12-20,1.85000,1.89000,1.55000,1.67000,448000
2023-12-21,1.65000,1.80000,1.50000,1.70000,409800
2023-12-22,1.64000,1.85000,1.64000,1.70000,69000
2023-12-26,1.81000,1.87200,1.76000,1.76000,70500
2023-12-27,1.75000,1.95000,1.70000,1.89000,146000
2023-12-28,1.85000,2.02700,1.74000,1.88000,62900
2023-12-29,1.90000,1.94000,1.83200,1.85000,74500
2024-01-02,1.83000,2.00000,1.83000,1.94000,70200
2024-01-03,1.97000,1.97000,1.86000,1.90000,33900
2024-01-04,1.82000,2.25000,1.82000,1.97000,759800
2024-01-05,1.92000,1.99000,1.82000,1.93000,101800
2024-01-08,1.95000,2.02500,1.86000,1.99000,82800
2024-01-09,1.97000,2.05000,1.95000,2.02000,47800
2024-01-10,2.00000,2.13800,1.91500,1.99000,83900
2024-01-11,2.01500,2.02000,1.97000,2.02000,27800
2024-01-12,1.98000,2.04000,1.94000,2.02000,55300
2024-01-16,2.05000,2.22000,1.95900,2.07000,168100
2024-01-17,2.10000,2.60000,2.10000,2.39000,597100
2024-01-18,2.35000,2.40000,2.22000,2.30000,204900
2024-01-19,2.27000,2.35000,2.09700,2.30000,128500
2024-01-22,2.44000,2.57000,2.30000,2.53000,170300
2024-01-23,2.49000,2.79000,2.37000,2.39000,236900
2024-01-24,2.44000,2.56000,2.33000,2.43000,160400
2024-01-25,2.38000,2.49000,2.20000,2.27000,102200
2024-01-26,2.40000,2.48000,2.27700,2.40000,112900
2024-01-29,2.43000,2.43000,2.25000,2.35000,71500
2024-01-30,2.43000,2.47000,2.31000,2.35000,182900
2024-01-31,2.40000,2.47000,2.27000,2.27000,61900
2024-02-01,2.23000,2.35000,2.23000,2.29000,18400
2024-02-02,2.30000,2.35400,2.22000,2.29000,179900
2024-02-05,2.27000,2.35000,2.20000,2.31000,25700
2024-02-06,2.34000,2.46000,2.18000,2.25000,130900
2024-02-07,2.20000,2.34000,2.20000,2.34000,89600
2024-02-08,2.43000,2.43000,2.21000,2.25000,113900
2024-02-09,2.25000,2.34000,2.22000,2.27000,29600
2024-02-12,2.23000,2.28000,2.15000,2.18000,108600
2024-02-13,2.12000,2.24000,2.07000,2.10000,143400
2024-02-14,2.18000,2.22000,1.90000,1.97000,301000
2024-02-15,1.96000,2.43000,1.96000,1.98000,2094000
2024-02-16,2.02000,2.04000,1.96000,1.96000,415300
2024-02-20,2.02000,2.05000,1.98000,2.00000,111700
2024-02-21,1.96000,2.05000,1.96000,1.99000,298500
2024-02-22,1.96000,2.05000,1.96000,2.01000,117200
2024-02-23,1.99000,2.05000,1.90000,2.00000,113500
2024-02-26,2.04000,2.09000,1.90000,1.97000,212200
2024-02-27,1.95000,2.10000,1.95000,1.97000,114800
2024-02-28,1.99000,2.06000,1.90000,2.04000,159900
2024-02-29,2.09000,2.28000,2.03000,2.07000,259900
2024-03-01,2.10000,2.11000,1.98000,2.00000,216600
2024-03-04,2.00000,2.06000,1.90000,1.94000,254900
2024-03-05,1.96000,2.15000,1.95000,2.10000,300400
2024-03-06,2.06000,2.10000,1.98000,2.04000,146900
2024-03-07,2.06000,2.08000,1.95000,1.97000,199100
2024-03-08,2.05000,2.09000,1.91000,1.97000,139600
2024-03-11,2.00000,2.05000,1.93000,1.97000,134100
2024-03-12,1.95000,1.95000,1.76000,1.84000,1119000
2024-03-13,1.87000,1.87000,1.75000,1.80000,244600
2024-03-14,1.80000,1.85000,1.76000,1.78000,249200
2024-03-15,1.82000,1.86000,1.75000,1.82000,275000
2024-03-18,1.83000,1.91000,1.81000,1.86000,93000
2024-03-19,1.87000,1.87000,1.78000,1.83000,160900
2024-03-20,1.86000,2.01500,1.85000,1.97000,266700
2024-03-21,1.97000,2.00000,1.87000,1.89000,138100
2024-03-22,1.88000,1.93000,1.78000,1.81000,168500
2024-03-25,1.83000,1.85000,1.78000,1.82000,180600
2024-03-26,1.87000,1.87000,1.77000,1.83000,51200
2024-03-27,1.88000,1.88000,1.80000,1.82000,86100
2024-03-28,1.81000,1.88000,1.78000,1.82000,192100
2024-04-01,1.90000,1.92000,1.79000,1.90000,176700
2024-04-02,1.91000,1.91000,1.80000,1.81000,78100
2024-04-03,1.82000,1.98000,1.81000,1.97000,88000
2024-04-04,1.99000,2.00000,1.88000,1.93000,165900
2024-04-05,1.93000,2.09000,1.87000,2.05000,299800
2024-04-08,2.10000,2.12500,1.96000,2.07000,84700
2024-04-09,2.07000,2.13000,1.98000,2.03000,160700
2024-04-10,1.97000,2.00000,1.97000,1.98000,55600
2024-04-11,2.01000,2.16000,1.90000,2.09000,274100
2024-04-12,2.07000,2.08000,1.95000,1.96000,253600
2024-04-15,2.02000,2.02000,1.88000,1.91000,62000
2024-04-16,1.89000,1.94000,1.82000,1.89000,122000
2024-04-17,1.93000,1.94000,1.86000,1.90000,75900
2024-04-18,1.91000,1.93000,1.82000,1.84000,100100
2024-04-19,1.87000,1.89000,1.79000,1.84000,116800
2024-04-22,1.80000,1.94000,1.80000,1.86000,95000
2024-04-23,1.86000,2.05100,1.84000,2.00000,136500
2024-04-24,2.00000,2.10000,1.93000,1.99000,114800
2024-04-25,1.93000,2.00000,1.85000,1.93000,133300
2024-04-26,1.93000,1.97000,1.87000,1.95000,55100
