date,open,high,low,close,volume
2025-03-21,117.75000,119.09000,116.84000,118.12000,276800
2025-03-24,119.71000,120.07000,117.78000,119.85000,84300
2025-03-25,119.82000,120.19000,118.89000,119.00000,53300
2025-03-26,119.62000,121.00000,119.36000,120.21000,43200
2025-03-27,120.03000,120.41000,119.16000,119.73000,52900
2025-03-28,118.93000,120.00000,116.92000,117.50000,43700
2025-03-31,116.87000,118.11000,116.25000,117.47000,63400
2025-04-01,116.56000,119.25000,115.47000,117.44000,46900
2025-04-02,116.53000,118.20000,116.20000,118.02000,74900
2025-04-03,114.12000,115.01000,112.65000,112.66000,133900
2025-04-04,106.70000,113.08000,106.38000,112.43000,149200
2025-04-07,106.65000,113.79000,106.65000,110.14000,154800
2025-04-08,112.45000,113.27000,109.44000,110.43000,91100
2025-04-09,108.91000,117.03000,108.91000,113.68000,224600
2025-04-10,112.16000,112.16000,108.06000,108.93000,120700
2025-04-11,108.10000,110.42000,102.22000,109.57000,111400
2025-04-14,109.86000,111.69000,108.93000,111.33000,67300
2025-04-15,110.63000,112.74000,110.63000,112.38000,51500
2025-04-16,112.68000,113.38000,111.99000,113.10000,73100
2025-04-17,112.86000,114.26000,111.30000,113.74000,69000
2025-04-21,113.21000,113.21000,111.99000,112.29000,65700
2025-04-22,113.60000,115.79000,112.88000,115.21000,74400
2025-04-23,117.82000,119.48000,115.51000,117.14000,63200
2025-04-24,117.93000,119.06000,115.84000,118.70000,58300
2025-04-25,116.67000,117.66000,115.00000,116.78000,56600
2025-04-28,116.62000,117.62000,115.79000,116.75000,44600
2025-04-29,116.57000,118.00000,115.59000,117.47000,61200
2025-04-30,116.24000,116.65000,114.40000,115.87000,73400
2025-05-01,116.02000,117.60000,114.70000,116.40000,56100
2025-05-02,117.82000,118.64000,117.13000,117.46000,55200
2025-05-05,117.14000,119.36000,117.14000,117.88000,68000
2025-05-06,117.41000,117.41000,115.51000,116.45000,49400
2025-05-07,117.72000,118.32000,116.31000,116.73000,48300
2025-05-08,117.58000,119.90000,117.08000,119.14000,49200
2025-05-09,118.76000,119.25000,118.27000,118.80000,51000
2025-05-12,121.83000,123.40000,121.01000,121.48000,91900
2025-05-13,122.68000,125.58000,121.42000,121.61000,41600
2025-05-14,120.91000,122.11000,120.91000,121.24000,45400
2025-05-15,122.34000,123.93000,121.65000,123.42000,55400
2025-05-16,123.07000,123.18000,122.08000,122.80000,44300
2025-05-19,120.78000,122.81000,120.78000,122.76000,30100
2025-05-20,122.47000,122.81000,121.52000,122.20000,26700
2025-05-21,121.18000,121.34000,119.06000,119.55000,51900
2025-05-22,118.92000,119.81000,118.17000,118.81000,34700
2025-05-23,117.15000,118.30000,116.27000,118.16000,48100
2025-05-27,119.11000,121.11000,117.81000,119.89000,41400
2025-05-28,119.43000,120.37000,118.01000,118.05000,32000
2025-05-29,118.26000,120.02000,117.24000,119.27000,48500
2025-05-30,118.53000,118.60000,117.71000,117.89000,61300
2025-06-02,117.81000,117.81000,115.93000,117.44000,59400
2025-06-03,117.05000,119.02000,116.60000,118.45000,35700
2025-06-04,117.99000,117.99000,116.43000,116.80000,39600
2025-06-05,116.67000,116.90000,115.76000,116.17000,103100
2025-06-06,117.58000,117.90000,116.53000,117.90000,79500
2025-06-09,118.06000,119.30000,116.67000,118.64000,54300
2025-06-10,118.77000,120.17000,118.36000,119.53000,49100
2025-06-11,119.81000,120.33000,118.48000,118.71000,63900
2025-06-12,117.98000,118.68000,117.12000,118.65000,47700
2025-06-13,117.26000,117.86000,115.83000,116.69000,83200
2025-06-16,117.80000,118.83000,115.11000,115.58000,58500
2025-06-17,114.78000,116.30000,114.78000,115.68000,74900
2025-06-18,115.57000,117.12000,115.57000,116.09000,55900
2025-06-20,116.34000,117.04000,115.89000,116.47000,138800
2025-06-23,116.63000,119.68000,116.63000,119.58000,57900
2025-06-24,120.22000,121.80000,120.10000,120.12000,159000
2025-06-25,120.00000,120.71000,118.81000,119.94000,78200
2025-06-26,120.32000,123.00000,120.30000,122.80000,92900
2025-06-27,122.99000,123.60000,121.71000,123.25000,359300
2025-06-30,123.71000,124.04000,122.36000,122.42000,115500
2025-07-01,122.38000,127.15000,121.77000,126.08000,94400
2025-07-02,126.22000,127.67000,124.31000,127.35000,140500
2025-07-03,127.85000,129.45000,126.55000,128.88000,155300
2025-07-07,128.55000,129.92999,126.01000,127.06000,141800
2025-07-08,126.70000,128.66000,124.85000,127.48000,187700
2025-07-09,127.74000,127.77000,125.49000,126.33000,254900
2025-07-10,126.60000,127.57000,125.54000,125.78000,286900
2025-07-11,125.30000,126.15000,124.00000,124.86000,320400
2025-07-14,124.36000,126.80000,124.36000,125.92000,314600
2025-07-15,125.01000,125.53000,122.45000,122.45000,278200
2025-07-16,122.96000,123.95000,121.72000,123.70000,94200
2025-07-17,123.81000,125.57000,122.93000,125.34000,90000
2025-07-18,126.36000,126.36000,120.50000,124.98000,102200
2025-07-21,125.05000,125.27000,123.94000,124.07000,95700
2025-07-22,125.46000,131.06000,124.89000,128.77000,154000
2025-07-23,129.97000,133.59000,129.20000,133.58000,117000
2025-07-24,133.53000,133.53000,129.61000,130.00000,131500
2025-07-25,130.07001,130.07001,127.28000,127.66000,87200
2025-07-28,127.67000,127.67000,126.18000,126.66000,100000
2025-07-29,127.55000,128.42999,125.36000,125.41000,96100
2025-07-30,126.30000,127.21000,122.66000,123.83000,113800
2025-07-31,122.83000,124.50000,120.73000,122.10000,124300
2025-08-01,121.54000,122.00000,119.70000,120.76000,124300
2025-08-04,121.03000,122.25000,120.34000,120.95000,79900
2025-08-05,121.16000,121.59000,119.61000,120.90000,98000
2025-08-06,120.55000,121.15000,119.73000,119.98000,84100
