date,open,high,low,close,volume
2023-09-27,366.95001,375.00000,366.95001,373.00000,10829
2023-09-28,373.50000,375.95001,366.75000,370.25000,10732
2023-09-29,370.25000,378.45001,365.50000,368.20001,32896
2023-10-03,368.75000,370.85001,361.75000,365.14999,17932
2023-10-04,365.39999,377.70001,357.54999,370.04999,26121
2023-10-05,371.04999,374.85001,369.04999,371.04999,14951
2023-10-06,370.00000,374.45001,364.04999,368.10001,19695
2023-10-09,365.00000,367.00000,355.00000,359.89999,18964
2023-10-10,362.14999,368.60001,358.04999,361.70001,22929
2023-10-11,369.00000,381.89999,368.00000,372.95001,32048
2023-10-12,372.95001,378.45001,366.60001,368.20001,16782
2023-10-13,370.00000,380.95001,363.20001,378.64999,32042
2023-10-16,382.39999,392.60001,373.54999,387.75000,30760
2023-10-17,390.00000,395.89999,385.00000,392.75000,36329
2023-10-18,398.00000,399.00000,385.00000,388.64999,22269
2023-10-19,392.10001,394.45001,379.50000,390.50000,22218
2023-10-20,391.00000,397.79999,388.00000,390.04999,27460
2023-10-23,390.54999,390.75000,372.00000,372.89999,31825
2023-10-25,371.50000,378.35001,365.60001,374.45001,25985
2023-10-26,368.85001,377.45001,365.00000,371.29999,15543
2023-10-27,350.00000,356.95001,337.45001,353.89999,79405
2023-10-30,352.10001,364.00000,337.60001,352.50000,50995
2023-10-31,354.50000,367.95001,350.20001,352.85001,18499
2023-11-01,350.04999,364.79999,350.04999,362.04999,13432
2023-11-02,368.00000,374.00000,362.14999,370.29999,17828
2023-11-03,372.45001,374.79999,364.00000,365.39999,18781
2023-11-06,365.00000,372.00000,364.10001,366.54999,11782
2023-11-07,362.75000,367.79999,358.50000,360.04999,11179
2023-11-08,365.25000,369.60001,356.10001,359.20001,10176
2023-11-09,359.25000,365.89999,357.04999,361.45001,10100
2023-11-10,364.89999,364.89999,358.20001,358.75000,4905
2023-11-13,362.10001,377.00000,358.39999,365.60001,15383
2023-11-15,373.00000,373.00000,362.39999,367.10001,12985
2023-11-16,366.89999,368.10001,365.00000,366.10001,5000
