date,open,high,low,close,volume
2023-09-27,516.82001,517.00000,508.48001,514.40997,72500
2023-09-28,516.27002,522.26001,514.71002,522.00000,76100
2023-09-29,522.07001,522.39001,514.25000,519.70001,129100
2023-10-02,510.50000,521.96997,510.50000,516.00000,62400
2023-10-03,516.32001,517.33002,505.89001,507.50000,50900
2023-10-04,510.76001,511.35001,505.20001,507.04999,50000
2023-10-05,504.23999,510.57001,504.23999,510.51999,30200
2023-10-06,513.38000,518.88000,507.31000,516.46002,36900
2023-10-09,514.96997,519.52002,514.35999,516.96997,41000
2023-10-10,516.92999,521.47998,515.28003,519.96997,71100
2023-10-11,517.90002,518.78998,512.00000,516.28998,45100
2023-10-12,514.94000,515.02002,505.62000,506.22000,54100
2023-10-13,506.75000,506.75000,497.37000,502.70999,83100
2023-10-16,506.72000,518.62000,506.72000,513.79999,62800
2023-10-17,512.88000,522.97998,512.88000,520.28003,60800
2023-10-18,519.06000,519.21997,513.09003,518.45001,50800
2023-10-19,518.29999,520.81000,513.07001,519.03003,90100
2023-10-20,521.90002,521.90002,511.32999,512.10999,59500
2023-10-23,509.35999,514.21002,507.10001,511.28000,66100
2023-10-24,509.48001,513.35999,505.26999,507.10001,58800
2023-10-25,505.22000,516.28003,502.64001,507.00000,115600
2023-10-26,528.07001,555.91998,516.03003,554.23999,211000
2023-10-27,557.62000,566.45001,549.42999,564.73999,116000
2023-10-30,567.59998,568.76001,555.87000,562.23999,90900
2023-10-31,564.89001,564.89001,556.57001,562.65002,80100
2023-11-01,559.34003,576.27002,559.00000,576.00000,93700
2023-11-02,576.00000,583.53998,573.23999,579.15997,123900
2023-11-03,580.98999,589.90002,574.23999,587.23999,121100
2023-11-06,590.00000,590.00000,578.58002,582.46002,112300
2023-11-07,582.14001,585.97998,579.91998,579.96997,68600
2023-11-08,577.82001,586.28003,577.69000,582.71997,77400
2023-11-09,581.96997,584.46002,579.26001,579.77002,43500
2023-11-10,580.53003,584.04999,579.16998,582.04999,78000
2023-11-13,582.59003,590.58002,579.75000,582.94000,78600
2023-11-14,585.37000,589.84998,584.40002,587.00000,83900
2023-11-15,583.22998,586.70001,577.63000,577.77002,108200
2023-11-16,578.59003,586.23999,578.59003,585.90997,57700
2023-11-17,589.71002,589.71002,577.53998,581.82001,67900
2023-11-20,580.12000,583.13000,577.96002,579.67999,76100
2023-11-21,580.09003,581.96997,578.96002,579.78998,89400
2023-11-22,582.83002,583.01001,579.04999,580.71997,74400
2023-11-24,578.62000,583.16998,577.33002,579.87000,24100
2023-11-27,579.70001,581.41998,576.62000,577.96002,102500
2023-11-28,579.15002,582.41998,573.53998,575.03998,71800
2023-11-29,575.08002,575.08002,566.35999,566.96002,79800
2023-11-30,566.25000,568.15002,564.92999,567.00000,146400
2023-12-01,568.28998,572.50000,566.09998,566.65002,69800
2023-12-04,566.96997,579.10999,566.96997,578.76001,68200
2023-12-05,577.71002,580.12000,571.97998,576.65002,66000
2023-12-06,578.90997,578.90997,570.81000,576.90997,61200
2023-12-07,577.82001,577.82001,570.22998,571.08002,45400
2023-12-08,572.44000,575.78003,570.90002,573.17999,49200
2023-12-11,573.31000,575.19000,570.02002,574.50000,58400
2023-12-12,576.46997,579.91998,575.34003,576.03998,51200
2023-12-13,575.38000,585.00000,574.71997,584.69000,92500
2023-12-14,586.12000,586.27002,574.44000,578.46002,112800
2023-12-15,575.01001,579.57001,573.39001,574.51001,152900
2023-12-18,576.39001,579.46997,575.38000,577.64001,57300
2023-12-19,579.19000,588.81000,579.19000,587.33002,74100
2023-12-20,586.45001,589.53998,581.92999,581.92999,53400
2023-12-21,583.51001,589.16998,580.46002,586.87000,60200
2023-12-22,588.21002,595.17999,588.16998,593.00000,58200
2023-12-26,591.62000,596.90997,591.62000,592.12000,73000
2023-12-27,591.47998,594.20001,589.57001,589.76001,50500
2023-12-28,586.84998,589.70001,583.12000,584.32001,38800
2023-12-29,581.60999,586.82001,579.89001,584.75000,81900
2024-01-02,583.47998,585.79999,579.47998,584.57001,63400
2024-01-03,579.91998,585.08002,572.79999,573.42999,78100
2024-01-04,573.97998,576.70001,568.10999,570.19000,69700
2024-01-05,567.03998,569.59998,564.09998,566.17999,62400
2024-01-08,567.57001,573.70001,566.90002,573.21997,60100
2024-01-09,572.83002,574.53003,569.89001,574.50000,76200
2024-01-10,577.64001,584.41998,576.96002,583.78998,73300
2024-01-11,582.82001,584.78998,576.23999,582.00000,93300
2024-01-12,583.87000,584.59003,580.53003,582.69000,60400
2024-01-16,582.00000,592.15997,580.41998,590.51001,58700
2024-01-17,592.21997,595.85999,582.97998,586.72998,68400
2024-01-18,587.62000,593.59998,584.20001,593.06000,70200
2024-01-19,594.00000,596.98999,590.98999,594.40997,58700
2024-01-22,597.71997,610.34998,597.71997,604.41998,90900
2024-01-23,604.01001,604.01001,594.90997,599.71997,56700
2024-01-24,601.53003,601.53003,592.53998,592.53998,44200
2024-01-25,593.42999,595.69000,588.01001,593.90002,56600
2024-01-26,595.90002,597.40002,588.70001,591.53003,65100
2024-01-29,591.00000,597.07001,588.81000,596.94000,67900
2024-01-30,597.89001,607.90002,596.92999,602.04999,70000
2024-01-31,605.01001,605.01001,591.28998,592.78998,201000
2024-02-01,591.70001,598.95001,589.45001,598.17999,64200
2024-02-02,599.84003,604.57001,596.73999,601.08002,50000
2024-02-05,600.82001,601.37000,588.40997,588.44000,75000
2024-02-06,589.13000,595.00000,586.21997,592.15002,94200
2024-02-07,593.97998,597.60999,587.82001,592.79999,75000
2024-02-08,591.46002,595.97998,591.14001,592.40997,128700
2024-02-09,594.31000,594.31000,587.73999,589.00000,96000
2024-02-12,589.00000,589.87000,583.82001,589.04999,191100
2024-02-13,584.79999,586.25000,569.07001,571.73999,98700
2024-02-14,575.19000,579.78003,571.90002,579.29999,83400
2024-02-15,581.88000,585.65002,578.26001,584.57001,74000
2024-02-16,585.97998,589.84003,583.14001,583.42999,101200
2024-02-20,583.78998,589.96997,582.20001,586.03998,76800
2024-02-21,586.88000,588.63000,582.67999,588.59998,77200
2024-02-22,591.35999,596.77002,586.66998,596.71002,78800
2024-02-23,598.54999,598.84998,593.01001,597.83002,59200
2024-02-26,594.52002,598.72998,592.72998,598.46997,78100
2024-02-27,599.73999,599.73999,589.33002,596.59998,94100
2024-02-28,615.00000,649.90002,615.00000,628.84003,148900
2024-02-29,628.64001,637.53003,622.08002,626.13000,130100
2024-03-01,605.00000,625.20001,605.00000,613.81000,102100
2024-03-04,617.57001,636.23999,617.57001,632.07001,76200
2024-03-05,635.41998,637.27002,629.88000,636.71997,88000
2024-03-06,637.40997,638.89001,635.27002,636.23999,61400
2024-03-07,641.65997,651.34998,640.10999,650.00000,69400
2024-03-08,651.12000,652.34003,638.00000,640.26001,62400
2024-03-11,643.35999,649.88000,639.57001,647.79999,68000
2024-03-12,644.53003,650.29999,643.69000,643.83002,68800
2024-03-13,643.00000,650.81000,643.00000,646.63000,78200
2024-03-14,648.23999,650.26001,643.59998,650.03998,61800
2024-03-15,642.20001,654.62000,642.20001,646.98999,227300
2024-03-18,647.40997,653.21002,646.29999,649.03998,77800
2024-03-19,647.94000,653.75000,647.94000,650.70001,52300
2024-03-20,651.88000,653.13000,641.73999,641.81000,108700
2024-03-21,643.31000,646.01001,642.14001,643.90997,62200
2024-03-22,644.46002,648.75000,640.78998,648.71997,79800
2024-03-25,648.28998,648.28998,644.28003,644.79999,50400
2024-03-26,645.91998,645.91998,634.89001,638.00000,69700
2024-03-27,641.25000,644.45001,635.35999,644.26001,62200
2024-03-28,643.00000,646.71002,640.84003,641.92999,53500
2024-04-01,642.67999,642.67999,637.23999,640.63000,49900
2024-04-02,638.51001,638.51001,632.20001,636.82001,59300
2024-04-03,633.56000,636.78998,630.46002,633.81000,44500
2024-04-04,637.44000,639.60999,627.60999,629.32001,35400
2024-04-05,631.60999,632.53003,627.62000,630.25000,48400
2024-04-08,631.17999,632.21997,622.67999,623.09003,71800
2024-04-09,624.88000,625.15002,619.65002,625.10999,65400
2024-04-10,620.52002,627.12000,617.08002,620.57001,57900
2024-04-11,621.23999,621.23999,613.87000,618.78998,53700
2024-04-12,614.40002,618.88000,613.23999,618.51001,72800
2024-04-15,619.32001,625.09003,614.34998,615.89001,57700
2024-04-16,617.79999,617.79999,608.32001,609.96997,66800
2024-04-17,611.79999,611.79999,602.89001,604.16998,66600
2024-04-18,604.08002,605.51001,595.69000,597.41998,69800
2024-04-19,601.07001,603.90002,597.26001,600.40997,83500
2024-04-22,602.78003,609.02002,598.15997,604.41998,65700
2024-04-23,607.47998,621.63000,607.47998,616.51001,87400
2024-04-24,612.59003,622.33002,612.59003,617.95001,68000
2024-04-25,593.35999,593.35999,561.00000,573.34003,260700
2024-04-26,570.21997,577.16998,557.90002,560.41998,102400
2024-04-29,561.97998,568.91998,561.97998,566.51001,92500
2024-04-30,566.03998,570.90997,564.63000,568.00000,103500
2024-05-01,565.97998,573.98999,564.21997,566.09998,90100
2024-05-02,569.37000,569.37000,558.77002,559.65002,91300
2024-05-03,564.38000,566.28003,556.88000,561.65002,70800
2024-05-06,565.96002,571.15997,564.59998,571.06000,71400
2024-05-07,575.21002,583.63000,570.26001,580.35999,127200
2024-05-08,580.29999,580.29999,570.15997,572.71002,102900
2024-05-09,573.21002,577.91998,571.65002,574.13000,96400
2024-05-10,574.48999,577.31000,568.35999,575.23999,123100
2024-05-13,575.89001,575.89001,568.77002,568.78998,58300
2024-05-14,568.87000,573.15002,567.37000,569.00000,54900
2024-05-15,572.63000,573.29999,566.64001,567.96002,74400
2024-05-16,567.31000,570.01001,566.58002,568.37000,58900
2024-05-17,567.63000,569.02002,564.23999,565.52002,61800
