date,open,high,low,close,volume
2023-10-03,212.27499,212.50000,210.50000,210.89999,691390
2023-10-04,211.50000,212.62500,210.17500,211.10001,793348
2023-10-05,212.47501,213.20000,210.62500,211.10001,1543826
2023-10-06,212.25000,213.39999,211.85001,212.67500,634914
2023-10-09,213.87500,213.87500,209.47501,210.00000,1054952
2023-10-10,211.45000,212.10001,209.07500,210.07500,596930
2023-10-11,211.37500,211.70000,207.97501,208.87500,1061860
2023-10-12,209.25000,211.00000,208.55000,210.12500,387338
2023-10-13,211.32500,212.35001,210.62500,211.60001,866718
2023-10-16,213.45000,218.62500,211.64999,214.25000,2184196
2023-10-17,219.50000,220.50000,215.27499,217.35001,1454816
2023-10-18,218.97501,219.30000,216.50000,217.17500,728986
2023-10-19,217.87500,218.39999,214.70000,215.62500,1125148
2023-10-20,215.50000,216.47501,211.77499,213.22501,680676
2023-10-23,213.22501,214.35001,203.50000,205.07500,1393512
2023-10-25,205.77499,207.14999,198.10001,201.25000,420918
2023-10-26,200.52499,201.10001,193.50000,198.89999,504650
2023-10-27,200.87500,208.10001,197.52499,204.14999,847470
2023-10-30,204.95000,205.42500,201.47501,204.22501,653262
2023-10-31,204.50000,206.97501,201.00000,204.95000,792302
2023-11-01,205.17500,205.37500,203.05000,204.39999,371340
2023-11-02,204.50000,206.22501,202.64999,205.37500,661220
2023-11-03,207.42500,207.42500,203.50000,204.22501,616018
2023-11-06,206.45000,206.75000,202.80000,206.17500,685756
2023-11-07,206.50000,208.95000,206.50000,208.35001,602150
2023-11-08,211.00000,217.20000,209.00000,215.52499,1919172
2023-11-09,217.70000,219.85001,215.85001,217.02499,1366178
2023-11-10,224.00000,224.00000,218.45000,220.55000,1288660
2023-11-13,226.87500,226.92500,223.75000,224.62500,1079314
2023-11-15,227.00000,227.82500,220.07500,221.39999,866108
2023-11-16,222.39999,222.39999,216.80000,219.22501,998568
2023-11-17,219.50000,221.39999,218.00000,220.14999,536024
2023-11-20,220.75000,221.45000,218.55000,219.70000,542936
2023-11-21,220.35001,220.75000,218.32500,219.02499,307446
2023-11-22,219.39999,219.52499,217.64999,218.87500,280374
2023-11-23,220.45000,220.45000,218.50000,219.25000,497638
2023-11-24,219.95000,220.52499,218.00000,218.57500,686086
2023-11-28,220.39999,221.35001,219.32500,219.87500,407994
2023-11-29,221.97501,223.20000,219.14999,220.39999,442704
2023-11-30,221.30000,221.30000,216.00000,217.14999,436092
2023-12-01,217.97501,219.35001,215.80000,218.25000,441154
2023-12-04,220.47501,221.87500,216.50000,220.39999,1007318
2023-12-05,222.60001,222.60001,218.52499,219.87500,1975840
2023-12-06,220.50000,220.95000,217.72501,218.55000,1739806
2023-12-07,218.95000,224.25000,216.75000,220.77499,1486232
2023-12-08,227.50000,227.50000,220.57500,221.55000,1116018
2023-12-11,228.75000,228.75000,223.75000,225.02499,1116974
2023-12-12,227.20000,228.35001,223.05000,224.02499,891710
2023-12-13,228.00000,228.45000,224.30000,224.97501,1842734
2023-12-14,225.92500,227.17500,223.50000,224.67500,813064
2023-12-15,225.95000,227.35001,220.60001,221.60001,1380510
2023-12-18,222.70000,224.22501,221.25000,221.77499,913374
2023-12-19,222.02499,223.00000,219.77499,221.85001,394924
2023-12-20,222.70000,229.00000,218.64999,219.89999,992764
2023-12-21,219.87500,221.50000,217.02499,220.45000,186330
2023-12-22,220.45000,221.60001,217.12500,218.22501,145774
2023-12-26,218.95000,221.35001,214.89999,219.67500,529856
2023-12-27,221.39999,224.85001,219.70000,222.57500,816930
2023-12-28,224.75000,230.72501,221.75000,228.05000,2069444
2023-12-29,229.25000,231.30000,227.82500,230.12500,1061134
2024-01-01,233.50000,235.32500,231.62500,232.57500,1226584
2024-01-02,234.00000,234.72501,229.57500,230.32500,857038
2024-01-03,230.97501,239.00000,229.00000,235.85001,718576
2024-01-04,238.25000,240.85001,237.17500,238.82500,749788
2024-01-05,239.72501,242.75000,238.95000,240.27499,701196
2024-01-08,241.95000,245.80000,241.05000,243.92500,1360830
2024-01-09,246.52499,253.25000,246.25000,251.75000,2037372
2024-01-10,264.75000,266.89999,257.07501,258.85001,3238934
2024-01-11,261.50000,264.37500,259.70001,261.45001,1455736
2024-01-12,264.45001,272.25000,262.82501,267.97501,2744946
2024-01-16,280.00000,280.00000,265.62500,269.82501,5412990
2024-01-17,269.82501,271.39999,266.25000,267.97501,914090
2024-01-18,269.00000,269.89999,262.50000,268.02499,564284
2024-01-19,271.87500,273.62500,268.62500,270.82501,604156
2024-01-23,269.72501,270.22501,261.54999,263.45001,382514
2024-01-24,264.97501,271.79999,260.50000,269.95001,1148814
2024-01-25,271.25000,275.35001,269.89999,270.60001,746906
2024-01-29,271.42499,273.35001,268.00000,269.54999,316750
2024-01-30,270.39999,271.75000,267.87500,268.89999,580860
2024-01-31,269.64999,272.64999,266.27499,271.07501,392430
2024-02-01,272.27499,274.45001,269.22501,273.54999,801532
2024-02-02,276.00000,280.45001,275.62500,276.67499,1104530
2024-02-05,280.50000,282.32501,277.52499,278.54999,676600
2024-02-06,281.25000,282.37500,278.60001,279.20001,446110
2024-02-07,280.89999,282.12500,275.00000,276.52499,383404
2024-02-08,277.50000,280.50000,271.10001,276.85001,1197272
2024-02-09,282.00000,284.00000,273.64999,281.70001,815026
2024-02-12,284.12500,284.25000,276.02499,278.72501,648320
2024-02-13,280.50000,280.50000,270.00000,271.10001,396500
2024-02-14,270.50000,273.20001,266.04999,270.95001,405824
2024-02-15,272.77499,278.00000,272.14999,273.47501,514548
2024-02-16,275.00000,277.35001,269.45001,271.95001,577236
2024-02-19,275.00000,283.27499,275.00000,281.54999,1053640
2024-02-20,296.00000,302.00000,282.04999,289.54999,1234622
2024-02-21,290.00000,292.20001,283.04999,286.00000,574145
2024-02-22,291.50000,293.25000,286.00000,289.14999,493342
2024-02-23,290.00000,291.45001,285.25000,288.54999,242810
2024-02-26,289.89999,289.89999,283.50000,285.10001,242255
2024-02-27,285.60001,286.50000,275.25000,279.85001,148774
2024-02-28,280.89999,282.95001,272.14999,279.64999,919401
2024-02-29,276.00000,278.89999,270.35001,274.95001,455799
2024-03-01,276.20001,277.79999,271.75000,273.79999,383393
2024-03-04,280.00000,280.00000,270.10001,274.85001,274316
2024-03-05,277.50000,277.50000,269.14999,274.60001,423542
2024-03-06,274.60001,275.00000,268.00000,274.10001,657991
2024-03-07,274.79999,275.70001,268.00000,270.29999,293855
2024-03-11,270.70001,270.75000,260.25000,262.00000,286333
2024-03-12,262.00000,262.35001,250.30000,255.50000,538033
2024-03-13,258.79999,258.79999,243.85001,246.05000,592596
2024-03-14,246.80000,258.00000,244.00000,253.70000,303617
2024-03-15,254.00000,255.45000,247.00000,250.89999,391347
2024-03-18,253.89999,254.80000,247.60001,250.10001,260601
2024-03-19,250.95000,252.00000,246.10001,249.05000,511953
2024-03-20,250.20000,252.80000,245.55000,249.89999,666416
2024-03-21,253.00000,257.35001,250.20000,252.35001,575649
2024-03-22,255.95000,262.54999,254.14999,258.50000,500296
2024-03-26,258.64999,263.50000,256.00000,261.64999,535326
2024-03-27,261.85001,264.50000,259.14999,260.39999,784066
2024-03-28,264.50000,275.79999,262.25000,273.39999,702145
2024-04-01,279.00000,282.29999,275.60001,280.00000,623886
2024-04-02,288.50000,296.64999,285.39999,289.70001,1087215
2024-04-03,296.00000,296.79999,289.00000,290.50000,729718
2024-04-04,295.00000,295.89999,287.50000,289.00000,583486
2024-04-05,290.14999,294.29999,287.35001,292.39999,948825
2024-04-08,294.89999,307.50000,294.00000,304.29999,2315033
2024-04-09,308.50000,310.29999,304.50000,307.00000,995668
2024-04-10,308.79999,311.79999,307.04999,308.14999,739713
2024-04-12,309.20001,311.85001,302.50000,303.14999,576324
2024-04-15,301.50000,304.39999,291.00000,297.14999,588737
2024-04-16,297.04999,305.75000,296.35001,301.54999,897437
2024-04-18,308.95001,316.20001,308.00000,310.25000,1633025
2024-04-19,309.54999,316.00000,304.20001,314.45001,789111
2024-04-22,323.85001,328.50000,322.00000,327.10001,2091452
2024-04-23,331.95001,335.50000,329.45001,330.29999,1878796
2024-04-24,334.39999,334.39999,320.89999,324.95001,941234
2024-04-25,326.64999,326.64999,320.39999,322.50000,401038
2024-04-26,325.29999,328.50000,323.50000,325.04999,403579
2024-04-29,328.00000,328.50000,323.50000,326.14999,484831
2024-04-30,326.85001,330.25000,323.29999,325.20001,486556
2024-05-02,328.85001,332.89999,324.54999,330.54999,651632
2024-05-03,333.95001,337.79999,330.29999,335.79999,1077671
2024-05-06,342.00000,345.25000,338.10001,341.50000,1142527
2024-05-07,344.00000,344.79999,335.04999,341.00000,1693449
2024-05-08,341.35001,342.79999,331.29999,332.35001,847547
2024-05-09,332.00000,333.60001,321.04999,322.64999,363976
2024-05-10,323.00000,324.50000,318.25000,322.35001,636883
2024-05-13,323.00000,324.70001,313.64999,315.50000,376328
2024-05-14,316.85001,322.00000,315.00000,319.54999,959264
2024-05-15,322.39999,334.50000,321.70001,330.14999,864894
2024-05-16,337.00000,337.54999,330.45001,336.14999,660716
2024-05-17,338.00000,339.00000,332.60001,337.95001,544179
2024-05-21,342.95001,343.25000,338.25000,340.00000,367208
2024-05-22,342.00000,344.00000,335.50000,339.75000,640248
2024-05-23,338.79999,348.89999,335.10001,345.00000,1282982
2024-05-24,347.00000,347.64999,342.10001,344.45001,418180
2024-05-27,348.50000,349.00000,344.00000,345.20001,622015
2024-05-28,345.89999,346.54999,338.70001,339.29999,480477
2024-05-29,340.10001,350.10001,336.79999,342.35001,668941
2024-05-30,343.10001,345.00000,341.54999,343.39999,665458
2024-05-31,348.00000,360.50000,346.00000,356.35001,3238956
2024-06-03,369.89999,374.00000,359.20001,365.50000,721486
2024-06-04,368.89999,368.89999,324.00000,331.95001,923081
2024-06-05,339.79999,359.39999,321.60001,353.64999,931167
2024-06-06,357.70001,362.00000,354.50000,356.00000,515998
2024-06-07,357.89999,363.10001,354.54999,361.10001,462644
2024-06-10,363.95001,364.60001,358.50000,360.75000,382092
2024-06-11,362.50000,365.89999,358.10001,363.29999,461982
2024-06-12,365.25000,368.79999,363.35001,365.35001,1092878
2024-06-13,366.89999,369.00000,366.00000,366.89999,691209
2024-06-14,368.25000,375.89999,367.29999,370.00000,741261
2024-06-18,375.85001,375.85001,371.00000,372.54999,438937
2024-06-19,374.70001,378.00000,367.25000,374.00000,749274
2024-06-20,375.45001,379.60001,373.60001,377.04999,639543
2024-06-21,379.00000,380.45001,376.00000,378.54999,520803
2024-06-24,378.00000,382.50000,374.70001,380.79999,324804
2024-06-25,382.45001,385.29999,380.50000,382.45001,690588
2024-06-26,383.50000,451.20001,382.14999,383.95001,1197222
2024-06-27,385.00000,388.25000,382.00000,384.75000,506518
2024-06-28,385.00000,388.00000,384.25000,386.75000,504288
2024-07-01,388.50000,394.79999,387.35001,392.10001,473372
