date,open,high,low,close,volume
2023-10-05,39.70000,40.50000,36.60000,37.30000,1880
2023-10-06,37.70000,38.00000,34.60000,35.30000,2150
2023-10-09,35.00000,37.30000,35.00000,35.40000,2120
2023-10-10,35.00000,37.50000,34.00000,36.90000,2550
2023-10-11,35.60000,39.50000,35.60000,37.90000,3650
2023-10-12,38.00000,39.50000,36.30000,39.10000,3550
2023-10-13,39.50000,39.50000,38.60000,39.30000,2750
2023-10-16,39.40000,41.00000,36.90000,39.30000,2640
2023-10-17,39.30000,39.30000,35.20000,36.20000,2670
2023-10-18,36.00000,36.00000,32.40000,33.00000,3010
2023-10-19,32.30000,33.00000,28.80000,29.80000,3490
2023-10-20,30.80000,32.60000,29.80000,30.40000,6730
2023-10-23,30.70000,31.10000,29.10000,29.50000,4260
2023-10-24,30.00000,30.50000,28.10000,29.20000,2070
2023-10-25,29.60000,29.80000,26.10000,26.80000,3940
2023-10-26,26.90000,26.90000,24.70000,24.70000,1580
2023-10-27,25.80000,25.80000,24.90000,25.00000,3870
2023-10-30,24.70000,25.80000,24.70000,25.30000,1790
2023-10-31,25.90000,25.90000,25.00000,25.10000,2000
2023-11-01,25.50000,25.60000,25.20000,25.60000,1280
2023-11-02,25.40000,25.70000,24.10000,24.60000,1450
2023-11-03,25.40000,26.20000,24.20000,24.80000,1630
2023-11-06,23.50000,24.90000,23.50000,24.00000,2510
2023-11-07,24.00000,25.10000,23.00000,23.70000,6650
2023-11-08,23.10000,23.90000,21.10000,21.90000,2200
2023-11-09,21.90000,22.20000,20.10000,20.50000,1360
2023-11-10,20.80000,21.00000,19.00000,19.00000,3810
2023-11-13,18.60000,19.40000,18.60000,18.80000,540
2023-11-14,19.00000,19.00000,18.80000,18.90000,420
2023-11-15,19.00000,19.00000,17.90000,17.90000,690
2023-11-16,18.00000,18.20000,17.50000,18.00000,500
2023-11-17,18.20000,18.30000,15.30000,17.40000,3050
2023-11-20,17.70000,19.40000,17.30000,19.20000,1390
2023-11-21,19.00000,21.60000,19.00000,20.40000,470
2023-11-22,21.80000,22.10000,20.60000,21.00000,1100
2023-11-24,22.00000,22.40000,21.40000,22.00000,940
2023-11-27,22.30000,22.40000,21.80000,21.90000,1940
2023-11-28,22.10000,22.20000,21.40000,21.60000,1170
