date,open,high,low,close,volume
2023-10-05,105.69000,107.11000,105.44000,106.62000,1152500
2023-10-06,106.18000,107.63000,105.70000,107.12000,837600
2023-10-09,106.74000,108.94000,106.66000,108.46000,773800
2023-10-10,108.66000,109.73000,107.88000,108.76000,1178100
2023-10-11,109.36000,109.36000,108.47000,109.16000,1062200
2023-10-12,109.18000,109.18000,106.94000,107.77000,1085600
2023-10-13,108.23000,108.79000,107.18000,107.74000,1189900
2023-10-16,108.44000,109.93000,107.88000,109.38000,1154500
2023-10-17,108.23000,109.64000,108.01000,108.94000,676400
2023-10-18,108.46000,108.72000,105.33000,105.38000,1005600
2023-10-19,106.21000,106.36000,104.81000,105.08000,1166200
2023-10-20,105.03000,106.55000,104.62000,106.45000,1957200
2023-10-23,105.48000,107.41000,105.48000,105.68000,1451200
2023-10-24,106.07000,106.46000,105.01000,105.67000,1546100
2023-10-25,104.62000,107.84000,104.00000,106.24000,2433900
2023-10-26,106.05000,108.16000,104.49000,104.59000,1497200
2023-10-27,105.32000,105.32000,103.96000,104.53000,1309200
2023-10-30,105.56000,107.09000,105.56000,105.98000,1753800
2023-10-31,106.15000,106.35000,105.17000,105.78000,1493600
2023-11-01,106.09000,107.50000,105.80000,106.70000,1069900
2023-11-02,107.56000,109.47000,107.56000,108.91000,1262700
2023-11-03,109.66000,111.17000,109.29000,110.98000,1066100
2023-11-06,111.49000,111.88000,110.03000,110.58000,1074200
2023-11-07,110.06000,110.40000,109.29000,109.99000,1364100
2023-11-08,109.99000,110.59000,109.67000,110.24000,1325600
2023-11-09,110.98000,112.26000,110.07000,110.35000,1845100
2023-11-10,110.55000,111.87000,110.14000,111.70000,1897000
2023-11-13,111.41000,113.04000,111.05000,112.54000,1721800
2023-11-14,114.27000,115.13000,113.32000,114.64000,1547200
2023-11-15,115.21000,116.10000,113.72000,114.20000,1153100
2023-11-16,113.82000,114.72000,113.42000,114.09000,835800
2023-11-17,114.80000,115.56000,114.50000,115.32000,1263900
2023-11-20,115.06000,115.24000,114.36000,114.65000,740800
2023-11-21,115.00000,115.34000,114.16000,114.46000,1273100
2023-11-22,114.46000,114.64000,113.35000,113.81000,1124700
2023-11-24,115.00000,115.80000,114.60000,115.32000,561900
2023-11-27,114.03000,114.36000,111.94000,111.96000,1282900
2023-11-28,112.16000,113.37000,112.01000,112.90000,1146900
2023-11-29,113.16000,114.87000,112.66000,114.41000,1031100
2023-11-30,114.98000,116.40000,113.93000,115.95000,1368400
2023-12-01,116.09000,118.87000,115.80000,118.72000,1165600
2023-12-04,117.67000,118.86000,117.25000,118.68000,891600
2023-12-05,118.04000,118.23000,117.07000,117.21000,2095400
2023-12-06,117.42000,118.42000,117.35000,117.81000,750400
2023-12-07,118.33000,119.14000,117.28000,118.38000,1105200
2023-12-08,118.30000,119.45000,117.77000,117.78000,806700
2023-12-11,117.92000,119.08000,117.78000,118.99000,866100
2023-12-12,119.00000,119.10000,117.79000,119.07000,908200
2023-12-13,118.85000,120.04000,117.31000,119.96000,863500
2023-12-14,119.68000,121.45000,119.58000,120.88000,1782100
2023-12-15,120.57000,121.43000,119.97000,120.39000,1028300
2023-12-18,120.93000,121.71000,120.26000,120.90000,739500
2023-12-19,120.78000,122.96000,120.65000,122.96000,801800
2023-12-20,122.45000,124.53000,122.13000,122.20000,1070000
2023-12-21,122.99000,124.12000,122.87000,123.61000,877800
2023-12-22,124.00000,125.38000,124.00000,124.96000,701200
2023-12-26,124.84000,125.90000,124.70000,125.55000,501300
2023-12-27,125.09000,126.68000,125.09000,125.83000,524900
2023-12-28,125.83000,126.48000,124.78000,125.10000,644100
2023-12-29,125.11000,125.86000,124.78000,125.63000,712200
2024-01-02,124.36000,125.75000,124.05000,125.44000,815000
2024-01-03,124.91000,125.95000,124.69000,125.06000,865000
2024-01-04,125.32000,126.21000,124.88000,125.81000,1020800
2024-01-05,125.72000,127.15000,125.18000,125.88000,794100
2024-01-08,125.43000,125.66000,124.13000,125.25000,755900
2024-01-09,124.63000,124.96000,123.54000,123.69000,851400
2024-01-10,123.37000,124.44000,123.05000,124.35000,942400
2024-01-11,124.36000,124.77000,122.97000,124.51000,1042800
2024-01-12,124.74000,126.25000,124.48000,126.21000,1132100
2024-01-16,125.16000,125.86000,123.98000,125.09000,683900
2024-01-17,124.65000,124.65000,122.38000,122.76000,816400
2024-01-18,122.75000,125.10000,122.75000,124.73000,877700
2024-01-19,124.49000,126.62000,123.35000,126.15000,1082100
2024-01-22,126.66000,126.69000,124.49000,124.74000,1725600
2024-01-23,124.83000,125.99000,124.54000,125.79000,1589100
2024-01-24,126.66000,127.43000,122.23000,123.01000,2784500
2024-01-25,123.81000,124.30000,122.36000,123.66000,1605100
2024-01-26,124.03000,124.82000,123.45000,123.94000,1012100
2024-01-29,123.44000,124.22000,122.63000,124.12000,1162700
2024-01-30,123.73000,125.55000,123.62000,125.02000,937200
2024-01-31,125.30000,126.23000,123.96000,124.04000,1153500
2024-02-01,124.48000,127.15000,124.48000,126.92000,1297500
2024-02-02,126.67000,127.06000,125.20000,126.70000,820000
2024-02-05,126.51000,127.15000,125.86000,126.35000,766100
2024-02-06,126.30000,128.42999,126.17000,128.27000,918100
2024-02-07,128.75000,129.66000,128.14999,129.13000,803300
2024-02-08,129.06000,129.19000,128.05000,128.19000,1038600
2024-02-09,128.47000,129.00000,127.91000,128.57001,768800
2024-02-12,128.47000,129.05000,127.94000,128.38000,618600
2024-02-13,126.61000,127.00000,124.96000,125.53000,1110200
2024-02-14,126.12000,128.89000,125.92000,128.86000,1734400
2024-02-15,128.89999,129.96001,128.86000,129.91000,766300
2024-02-16,129.59000,130.53000,129.19000,129.85001,514400
2024-02-20,129.78000,129.88000,127.60000,128.00999,1038900
2024-02-21,128.22000,129.14999,127.51000,129.07001,588300
2024-02-22,130.00000,131.67999,129.63000,131.42999,1422300
2024-02-23,131.75000,132.12000,131.14999,131.61000,681200
2024-02-26,131.10001,132.10001,130.67000,131.61000,798400
2024-02-27,131.28000,131.85001,130.67000,131.34000,810800
2024-02-28,130.78999,130.89999,129.52000,129.75000,980400
2024-02-29,130.05000,130.19000,129.39000,129.69000,788300
2024-03-01,129.37000,131.17999,129.19000,130.31000,762600
2024-03-04,130.42999,130.42999,128.71001,129.66000,1069500
2024-03-05,129.75000,130.47000,129.30000,129.59000,1871700
2024-03-06,129.80000,129.87000,126.48000,126.95000,2481200
2024-03-07,127.59000,129.33000,127.20000,129.05000,842000
2024-03-08,129.59000,129.87000,128.28000,128.72000,688100
2024-03-11,128.34000,128.87000,127.48000,128.77000,682400
2024-03-12,128.50000,130.17000,128.42000,129.96001,655100
2024-03-13,129.99001,130.52000,129.53000,130.36000,620300
2024-03-14,130.17999,130.22000,127.41000,128.17999,812700
2024-03-15,127.83000,129.00999,127.67000,128.62000,839000
2024-03-18,129.33000,130.50999,127.35000,130.08000,1301600
2024-03-19,129.69000,130.46001,129.00999,129.05000,777600
2024-03-20,128.89000,131.99001,128.89000,131.88000,697900
2024-03-21,132.00999,134.02000,131.83000,132.83000,1438900
2024-03-22,133.00000,133.10001,131.52000,131.83000,620700
2024-03-25,131.70000,131.78000,129.69000,129.78000,1032400
2024-03-26,129.99001,131.02000,129.89000,130.17000,895800
2024-03-27,130.70000,131.69000,130.48000,131.64999,684000
2024-03-28,131.75000,132.73000,131.39999,131.71001,786900
2024-04-01,131.98000,131.98000,130.88000,131.52000,739000
2024-04-02,130.84000,131.75999,129.94000,130.28000,809900
2024-04-03,129.67999,131.69000,129.67999,130.57001,693700
2024-04-04,131.35001,131.75999,128.50000,129.00000,1353300
2024-04-05,129.00000,130.20000,128.46001,129.74001,1311900
2024-04-08,129.17000,130.87000,129.17000,130.50000,1094000
2024-04-09,131.14000,131.62000,129.46001,130.99001,851300
2024-04-10,130.81000,131.59000,129.39999,131.25999,1160800
2024-04-11,131.56000,132.27000,128.92000,129.42999,802000
2024-04-12,128.50000,129.00000,127.64000,128.45000,767900
2024-04-15,129.69000,130.19000,127.97000,128.78999,724700
2024-04-16,128.14999,128.48000,127.07000,127.28000,691300
2024-04-17,127.90000,128.10001,125.10000,127.03000,1014300
2024-04-18,127.58000,127.92000,126.44000,127.16000,713000
2024-04-19,127.29000,128.85001,127.09000,127.65000,740900
2024-04-22,128.20000,129.92999,127.91000,129.32001,1531700
2024-04-23,129.44000,130.63000,128.98000,129.39999,1617700
2024-04-24,130.34000,130.60001,122.20000,122.86000,2433800
2024-04-25,122.26000,125.90000,121.68000,124.78000,1450400
2024-04-26,124.48000,125.60000,124.20000,125.23000,847400
2024-04-29,125.62000,125.81000,123.55000,124.05000,822000
2024-04-30,123.13000,123.52000,121.37000,121.44000,1079400
2024-05-01,121.36000,121.84000,120.08000,121.01000,1008400
2024-05-02,122.06000,122.36000,121.14000,121.96000,792800
2024-05-03,123.07000,123.77000,122.45000,123.54000,795200
2024-05-06,123.83000,126.32000,123.80000,126.19000,1191000
2024-05-07,126.86000,127.45000,124.78000,125.28000,938400
2024-05-08,124.55000,126.25000,124.36000,125.85000,813000
2024-05-09,126.06000,128.30000,126.05000,127.25000,1067000
2024-05-10,128.08000,128.38000,126.87000,127.42000,580300
2024-05-13,127.54000,127.70000,125.89000,126.61000,1097400
2024-05-14,126.70000,127.37000,125.86000,126.42000,790400
2024-05-15,126.78000,126.96000,124.88000,125.39000,1325900
2024-05-16,125.34000,126.59000,125.00000,126.57000,777200
2024-05-17,126.69000,127.58000,125.92000,127.34000,644900
2024-05-20,127.31000,129.17999,127.31000,128.21001,635100
2024-05-21,127.09000,127.90000,126.33000,126.69000,1059700
2024-05-22,126.25000,127.65000,126.03000,127.52000,1022600
2024-05-23,128.17000,128.19000,125.71000,126.35000,575000
2024-05-24,126.98000,127.60000,126.59000,126.91000,479800
2024-05-28,126.89000,127.19000,124.04000,124.08000,853500
2024-05-29,123.25000,124.25000,122.98000,123.17000,671200
2024-05-30,123.29000,124.64000,122.86000,124.07000,603600
2024-05-31,124.63000,127.44000,124.63000,127.33000,952600
2024-06-03,127.14000,127.89000,124.68000,125.91000,703500
2024-06-04,125.60000,126.09000,124.32000,125.41000,534900
2024-06-05,125.96000,126.17000,125.03000,126.05000,1903000
2024-06-06,125.71000,126.78000,125.71000,126.64000,1621400
2024-06-07,125.35000,126.41000,124.00000,124.12000,1110200
2024-06-10,123.94000,124.78000,123.32000,124.31000,2157700
2024-06-11,123.60000,124.29000,122.85000,123.17000,572000
2024-06-12,124.49000,125.87000,122.81000,123.16000,726300
2024-06-13,122.92000,123.13000,121.07000,121.70000,806200
2024-06-14,121.20000,122.03000,120.07000,121.84000,902400
2024-06-17,120.81000,121.54000,120.02000,120.73000,1968900
2024-06-18,120.95000,121.62000,117.75000,118.45000,2228000
2024-06-20,116.91000,118.37000,116.33000,118.00000,2279600
2024-06-21,117.94000,117.94000,116.43000,116.77000,1643700
2024-06-24,117.71000,118.93000,117.53000,118.31000,1543900
2024-06-25,118.11000,118.33000,116.80000,117.88000,1032300
2024-06-26,117.31000,118.56000,116.13000,118.24000,1063500
2024-06-27,119.23000,119.82000,115.24000,117.99000,4116500
2024-06-28,118.30000,119.32000,117.78000,118.13000,1147100
2024-07-01,118.93000,119.09000,116.37000,116.69000,786800
2024-07-02,117.31000,117.84000,116.69000,117.58000,1018500
2024-07-03,117.85000,120.18000,117.85000,119.09000,509000
2024-07-05,119.39000,119.67000,117.89000,117.92000,517700
2024-07-08,116.47000,117.71000,116.09000,116.70000,1166700
2024-07-09,116.49000,116.71000,115.30000,115.57000,2291200
2024-07-10,116.62000,118.60000,116.26000,118.56000,1056600
2024-07-11,119.03000,119.74000,118.15000,119.41000,1072100
2024-07-12,119.80000,121.06000,119.58000,120.22000,836900
2024-07-15,120.74000,121.79000,120.35000,121.58000,1023300
2024-07-16,121.49000,123.96000,120.78000,123.65000,1329200
2024-07-17,123.33000,123.50000,122.01000,123.04000,845100
2024-07-18,122.02000,123.37000,120.72000,121.11000,750900
2024-07-19,120.92000,121.33000,120.19000,120.67000,705000
2024-07-22,120.97000,122.19000,120.68000,122.19000,833100
2024-07-23,121.91000,122.06000,119.89000,119.98000,1311200
2024-07-24,113.14000,116.12000,111.85000,115.80000,3383000
2024-07-25,115.98000,116.28000,113.38000,113.42000,2221300
