date,open,high,low,close,volume
2025-03-27,76.54000,79.13000,76.17000,78.53000,598900
2025-03-28,77.98000,78.46300,75.93000,77.09000,1003600
2025-03-31,75.92000,77.58000,74.20000,77.10000,761600
2025-04-01,76.75000,78.49000,76.50000,77.92000,851500
2025-04-02,77.01000,77.51000,74.01000,74.44000,672900
2025-04-03,70.88000,70.92000,66.75000,67.70000,991300
2025-04-04,65.19000,65.93000,58.19000,63.72000,1652100
2025-04-07,61.51000,67.01000,59.35000,64.91000,1304600
2025-04-08,69.96500,74.50000,67.29000,69.16000,2835000
2025-04-09,68.53000,72.34000,65.45000,70.03000,1793100
2025-04-10,68.85000,69.72000,65.83000,67.66000,781000
2025-04-11,68.65000,74.08000,67.89000,73.65000,908400
2025-04-14,74.96000,75.05000,71.40000,72.84000,745200
2025-04-15,72.84000,74.05000,71.60000,73.93000,524800
2025-04-16,73.76000,75.10000,71.87000,72.74000,476700
2025-04-17,73.51000,75.85000,72.47000,75.55000,593100
2025-04-21,75.44000,75.70500,71.83000,73.00000,549300
2025-04-22,74.27000,74.59000,71.34000,74.10000,446800
2025-04-23,75.58000,76.07600,72.60000,73.78000,473300
2025-04-24,74.00000,75.60000,72.53000,75.19000,438000
2025-04-25,73.90000,74.55000,72.39000,74.12000,337300
2025-04-28,73.40000,75.19000,73.02000,74.66000,470300
2025-04-29,73.85000,75.61000,73.01000,74.91000,416300
2025-04-30,73.11000,73.73000,71.11500,72.21000,670200
2025-05-01,73.29000,73.64000,70.30000,71.19000,762500
2025-05-02,72.42000,74.55700,71.57000,74.05000,446200
2025-05-05,74.25000,74.60000,72.86000,74.17000,450900
2025-05-06,74.38000,76.18000,72.07000,75.78000,630000
2025-05-07,75.79000,75.79000,72.72000,75.26000,987800
2025-05-08,72.62500,72.62500,65.22000,67.80000,2838400
2025-05-09,68.50000,68.53000,63.36000,67.23000,1890300
2025-05-12,69.85000,70.93000,66.67000,68.41000,1433200
2025-05-13,69.91000,75.25000,69.48000,74.84000,1288800
2025-05-14,74.00000,74.51500,70.74000,70.78000,968600
2025-05-15,69.92500,72.61000,69.44000,72.57000,775100
2025-05-16,72.63000,75.86000,70.43000,75.03000,754100
2025-05-19,73.29000,73.63000,71.01000,73.42000,520900
