date,open,high,low,close,volume
2016-02-08,3.56000,3.72000,3.56000,3.72000,700
2016-02-10,3.50000,3.53000,3.50000,3.50000,900
2016-02-12,3.55000,3.55000,3.40000,3.45000,2900
2016-02-17,3.40000,3.40000,3.40000,3.40000,400
2016-02-18,3.96000,3.96000,3.50000,3.60000,3100
2016-02-19,3.50000,3.98000,3.50000,3.65000,26100
2016-02-22,3.52000,3.60000,3.52000,3.60000,900
2016-02-29,3.25000,3.65000,3.25000,3.65000,3000
2016-03-01,3.65000,3.66000,3.65000,3.66000,500
2016-03-02,3.50000,4.21000,3.50000,4.10000,31600
2016-03-03,3.99000,4.30000,3.80000,3.85000,58300
2016-03-04,3.46000,3.70000,3.46000,3.70000,300
2016-03-07,3.71000,3.71000,3.45000,3.45000,500
2016-03-09,3.70000,3.95000,3.70000,3.95000,900
2016-03-10,4.18000,4.20000,3.77000,3.77000,2200
2016-03-11,3.50000,3.50000,3.50000,3.50000,1600
2016-03-21,4.07000,4.07000,4.07000,4.07000,100
2016-03-28,3.74000,3.74000,3.60000,3.60000,800
2016-03-30,3.75000,3.76000,3.75000,3.75000,800
2016-03-31,3.64000,3.64000,3.64000,3.64000,300
2016-04-01,3.69000,3.76000,3.60000,3.60000,6900
2016-04-04,3.69000,3.76000,3.60000,3.60000,6900
2016-04-05,3.60000,3.60000,3.60000,3.60000,800
2016-04-06,3.50000,3.96000,3.40000,3.75000,45300
2016-04-07,3.70000,3.75000,3.55000,3.70000,35500
2016-04-08,3.70000,3.85000,3.41000,3.65000,8300
2016-04-12,3.44000,3.44000,3.44000,3.44000,200
2016-04-13,3.40000,3.50000,3.40000,3.50000,10500
2016-04-14,3.60000,3.68000,3.50000,3.60000,2300
2016-04-15,3.60000,3.65000,3.60000,3.65000,8000
2016-04-22,3.80000,4.10000,3.80000,4.05000,2500
2016-04-26,3.98000,4.04000,3.75000,3.88000,10300
2016-04-27,3.99000,4.09000,3.82000,3.90000,5800
2016-04-28,3.99000,3.99000,3.83000,3.85000,2200
2016-05-02,4.05000,4.05000,4.05000,4.05000,800
2016-05-10,4.10000,4.10000,4.10000,4.10000,800
2016-05-11,4.00000,4.09000,4.00000,4.09000,700
2016-05-16,4.00000,4.00000,4.00000,4.00000,1300
2016-05-17,4.25000,4.40000,3.85000,4.00000,38200
2016-05-18,4.07000,4.14000,3.86000,3.94000,9100
2016-05-19,4.06000,4.12000,3.89000,3.94000,10300
2016-05-20,4.00000,4.00000,3.79000,3.85000,2500
2016-05-23,3.75000,3.75000,3.75000,3.75000,300
2016-05-24,3.75000,3.75000,3.57000,3.57000,1800
2016-05-25,3.57000,3.57000,3.57000,3.57000,100
2016-05-26,3.13000,3.55000,3.13000,3.45000,10700
2016-05-27,3.43000,3.47000,3.26000,3.31000,4000
2016-06-01,3.40000,3.45000,3.02000,3.27000,7300
2016-06-02,3.00000,3.15000,2.61000,2.91000,10400
2016-06-03,2.65000,2.79000,2.41000,2.70000,12300
2016-06-06,2.67000,2.67000,2.60000,2.60000,6800
2016-06-07,2.60000,2.62000,2.52000,2.60000,9000
2016-06-08,2.18000,2.47000,2.16000,2.44000,1500
2016-06-09,2.33000,2.42000,2.33000,2.39000,5200
2016-06-10,2.30000,2.35000,2.27000,2.27000,72500
2016-06-13,2.38000,2.38000,2.34000,2.34000,600
2016-06-14,2.30000,2.33000,2.30000,2.32000,10100
2016-06-15,2.31000,2.33000,2.25000,2.25000,16600
2016-06-16,2.25000,2.30000,2.25000,2.25000,43500
2016-06-17,2.25000,2.30000,2.25000,2.25000,18600
2016-06-20,2.25000,2.29000,2.20000,2.25000,9700
2016-06-21,2.25000,2.25000,2.20000,2.25000,14100
2016-06-22,2.25000,2.25000,2.20000,2.22000,14000
2016-06-23,2.21000,2.21000,2.13000,2.17000,9900
2016-06-24,2.12000,2.13000,2.10000,2.10000,6600
2016-06-27,2.10000,2.15000,2.10000,2.15000,6700
2016-06-28,2.10000,2.21000,2.08000,2.20000,36700
2016-06-29,2.24000,2.24000,2.18000,2.24000,17900
2016-06-30,2.23000,2.23000,2.15000,2.15000,4300
2016-07-01,2.18000,2.18000,2.15000,2.15000,1800
2016-07-05,2.17000,2.17000,2.15000,2.15000,1200
2016-07-06,2.20000,2.24000,2.15000,2.23000,1000
2016-07-07,2.25000,2.25000,2.20000,2.20000,2500
2016-07-08,2.22000,2.22000,2.22000,2.22000,400
2016-07-11,2.25000,2.26000,2.22000,2.22000,1000
2016-07-12,2.23000,2.24000,2.15000,2.15000,1800
2016-07-13,2.15000,2.26000,2.15000,2.19000,20800
2016-07-14,2.22000,2.22000,1.83000,2.16000,14100
2016-07-18,2.17000,2.17000,2.00000,2.10000,4500
2016-07-22,2.03000,2.03000,2.00000,2.02000,6300
2016-07-25,2.12000,2.12000,2.12000,2.12000,200
2016-07-26,2.08000,2.08000,2.08000,2.08000,200
2016-07-27,2.09000,2.09000,2.00000,2.00000,19000
2016-07-28,2.07000,2.41000,2.00000,2.00000,37400
2016-07-29,2.00000,2.03000,1.86000,1.96000,100600
2016-08-01,1.85000,2.00000,1.59000,1.97000,106000
2016-08-02,1.83000,2.00000,1.83000,1.99000,2700
2016-08-03,1.96000,1.99000,1.96000,1.99000,1000
2016-08-04,1.95000,2.00000,1.95000,2.00000,500
2016-08-05,2.19000,2.19000,1.96000,2.00000,56400
2016-08-08,2.01000,2.06000,1.96000,1.99000,2200
2016-08-09,1.95000,1.95000,1.95000,1.95000,3800
2016-08-10,1.91000,1.98000,1.83000,1.87000,6200
2016-08-11,1.86000,1.87000,1.86000,1.87000,1000
2016-08-12,1.84000,1.85000,1.84000,1.85000,500
2016-08-16,1.78000,1.78000,1.73000,1.78000,2600
2016-08-17,1.82000,1.83000,1.68000,1.82000,5700
2016-08-19,1.67000,1.99000,1.67000,1.99000,1900
2016-08-22,2.04000,2.04000,1.69000,1.96000,9300
2016-08-23,1.92000,1.92000,1.92000,1.92000,300
2016-08-24,1.78000,1.92000,1.68000,1.85000,17300
2016-08-25,1.73000,1.84000,1.69000,1.82000,2400
2016-08-26,1.66000,1.91000,1.11000,1.61000,101000
2016-08-29,1.84000,1.84000,1.32000,1.50000,136600
2016-08-30,1.69000,1.90000,1.52000,1.62000,117500
2016-08-31,1.66000,1.80000,1.57000,1.59000,83700
2016-09-01,1.83000,1.85000,1.45000,1.55000,210900
