date,open,high,low,close,volume
2025-03-28,2.53000,2.53000,2.42000,2.43000,83200
2025-03-31,2.44000,2.45000,2.40000,2.43000,54100
2025-04-01,2.40000,2.50000,2.35000,2.44000,67100
2025-04-02,2.41000,2.56000,2.36000,2.46000,151100
2025-04-03,2.39000,2.56000,2.25000,2.38000,121800
2025-04-04,2.33000,2.60000,2.32000,2.56000,236700
2025-04-07,2.50000,2.89000,2.40000,2.52000,146500
2025-04-08,2.62000,2.70000,2.38000,2.39000,189400
2025-04-09,2.34000,2.84000,2.34000,2.82000,132400
2025-04-10,2.75000,2.92000,2.75000,2.80000,123800
2025-04-11,2.75000,3.00000,2.55000,2.97000,147300
2025-04-14,3.04000,3.25000,3.04000,3.15000,152800
2025-04-15,3.18000,3.26000,2.81000,2.84000,106700
2025-04-16,2.85000,3.04000,2.83000,3.02000,65300
2025-04-17,3.00000,3.07000,2.88000,3.01000,189300
2025-04-21,3.00000,3.13000,3.00000,3.05000,94900
2025-04-22,3.10000,3.11000,2.99000,3.01000,66900
2025-04-23,3.06000,3.10000,2.78000,2.78000,79800
2025-04-24,2.82000,2.89000,2.78000,2.86000,51100
2025-04-25,2.86000,2.91000,2.78000,2.83000,72600
2025-04-28,2.81000,2.82000,2.60000,2.73000,69900
2025-04-29,2.74000,2.81000,2.66000,2.80000,67500
2025-04-30,2.74000,2.79000,2.59000,2.59000,58900
2025-05-01,2.59000,2.59000,2.49000,2.50000,91800
2025-05-02,2.50000,2.61000,2.47000,2.57000,34300
2025-05-05,2.60000,2.62000,2.49000,2.52000,55100
2025-05-06,2.48000,2.60000,2.42000,2.47000,168400
2025-05-07,2.57000,2.57000,2.20000,2.27000,135300
2025-05-08,2.28000,2.35000,2.20000,2.21000,46300
2025-05-09,2.21000,2.27000,2.10000,2.16000,75300
2025-05-12,2.23000,2.25000,2.12000,2.14000,73100
2025-05-13,2.17000,2.17000,2.08000,2.13000,77300
2025-05-14,2.10000,2.18000,2.06000,2.09000,67400
2025-05-15,2.10000,2.14000,2.07000,2.09000,74300
2025-05-16,2.09000,2.13000,1.99000,2.07000,165800
2025-05-19,2.01000,2.10000,1.98000,2.03000,56200
2025-05-20,2.02000,2.02000,1.90000,1.91000,42600
2025-05-21,1.89000,1.93000,1.78000,1.80000,91000
2025-05-22,1.77000,1.90000,1.73000,1.79000,187800
2025-05-23,1.77000,1.86000,1.72000,1.78000,182300
2025-05-27,1.81000,1.86000,1.78000,1.83000,162900
2025-05-28,1.81000,1.93000,1.76000,1.84000,789600
2025-05-29,1.84000,1.89000,1.72000,1.75000,502900
2025-05-30,1.77000,1.80000,1.67000,1.70000,79100
2025-06-02,1.71000,1.74000,1.68000,1.72000,260500
2025-06-03,1.71000,1.75000,1.68000,1.72000,203100
2025-06-04,1.75000,1.80000,1.72000,1.80000,131200
2025-06-05,1.82000,1.93000,1.78000,1.80000,140500
2025-06-06,1.81000,1.85000,1.80000,1.84000,66200
2025-06-09,1.87000,1.99000,1.87000,1.96000,68200
2025-06-10,1.96000,2.11000,1.96000,2.09000,147100
2025-06-11,2.10000,2.11000,1.96000,1.97000,84800
2025-06-12,1.97000,1.98000,1.73000,1.74000,77800
2025-06-13,1.72000,1.81000,1.62000,1.74000,188100
2025-06-16,1.72000,2.00000,1.65000,1.98000,118600
2025-06-17,2.00000,2.02000,1.86000,1.94000,94100
2025-06-18,1.93000,2.09000,1.89000,2.07000,103900
2025-06-20,2.08000,2.16000,1.98000,1.98000,131900
2025-06-23,2.00000,2.24000,2.00000,2.12000,195400
2025-06-24,2.14000,2.15000,2.06000,2.12000,104000
2025-06-25,2.12000,2.16000,2.05000,2.09000,99000
2025-06-26,2.09000,2.09000,2.00000,2.02000,63800
2025-06-27,2.03000,2.06000,1.84000,1.86000,2442300
2025-06-30,1.90000,1.99000,1.90000,1.97000,86400
2025-07-01,1.96000,1.97000,1.89000,1.93000,44500
2025-07-02,1.93000,1.96000,1.93000,1.93000,38800
2025-07-03,1.94000,1.96000,1.92000,1.93000,15300
2025-07-07,1.90000,1.91000,1.79000,1.79000,34400
2025-07-08,1.80000,1.83000,1.75000,1.80000,98400
2025-07-09,1.79000,1.83000,1.76000,1.83000,32200
2025-07-10,1.85000,1.88000,1.81000,1.82000,30300
2025-07-11,1.79000,1.83000,1.75000,1.75000,17300
2025-07-14,1.76000,1.89000,1.76000,1.78000,27700
2025-07-15,1.79000,1.89000,1.75000,1.75000,94200
2025-07-16,1.75000,1.80000,1.63000,1.65000,161400
2025-07-17,1.65000,1.75000,1.65000,1.67000,92600
2025-07-18,1.65000,1.80000,1.65000,1.68000,38500
2025-07-21,1.68000,1.74000,1.68000,1.72000,14000
2025-07-22,1.74000,2.00000,1.70000,1.96000,101900
2025-07-23,1.99000,2.00000,1.83000,1.94000,38700
2025-07-24,1.90000,1.92000,1.75000,1.79000,50900
2025-07-25,1.79000,1.87000,1.76000,1.87000,20200
2025-07-28,1.87000,1.91000,1.80000,1.84000,8000
2025-07-29,1.83000,1.99000,1.76000,1.80000,85900
2025-07-30,1.80000,2.10000,1.79000,1.94000,302200
2025-07-31,2.13000,2.20000,1.94000,1.94000,119000
2025-08-01,1.94000,1.95000,1.86000,1.88000,25600
2025-08-04,1.84000,1.89000,1.78000,1.82000,62000
2025-08-05,1.84000,1.91000,1.77000,1.77000,32100
2025-08-06,1.71000,1.74000,1.65000,1.67000,35900
2025-08-07,1.70000,1.73000,1.65000,1.65000,51500
2025-08-08,1.65000,1.65000,1.60000,1.63000,15100
2025-08-11,1.63000,1.66000,1.52000,1.65000,90700
2025-08-12,1.66000,1.76000,1.65000,1.65000,55100
2025-08-13,1.65000,1.68000,1.62000,1.63000,12100
2025-08-14,1.63000,1.68000,1.56000,1.60000,68900
2025-08-15,1.61000,1.64000,1.52000,1.52000,55400
2025-08-18,1.52000,1.57000,1.52000,1.53000,35500
2025-08-19,1.55000,1.58000,1.50000,1.50000,62200
2025-08-20,1.52000,1.57000,1.48000,1.50000,111100
2025-08-21,1.50000,1.58000,1.48000,1.50000,54200
2025-08-22,1.53000,1.58000,1.51000,1.51000,55800
2025-08-25,1.48000,1.53000,1.42000,1.50000,132800
2025-08-26,1.50000,1.53000,1.41000,1.41000,51400
2025-08-27,1.42000,1.50000,1.41000,1.48000,67700
2025-08-28,1.46000,1.49000,1.40000,1.40000,47900
2025-08-29,1.43000,1.48000,1.40000,1.42000,50800
2025-09-02,1.40000,1.44000,1.40000,1.42000,31200
2025-09-03,1.42000,1.45000,1.36000,1.37000,75400
2025-09-04,1.38000,1.41000,1.35000,1.39000,22100
2025-09-05,1.40000,1.47000,1.39000,1.41000,24100
2025-09-08,1.38000,1.41000,1.37000,1.39000,16000
2025-09-09,1.40000,1.41000,1.38000,1.39000,25200
2025-09-10,1.41000,1.53000,1.39000,1.46000,93300
2025-09-11,1.46000,1.51000,1.42000,1.44000,17400
2025-09-12,1.44000,1.47000,1.40000,1.40000,41300
2025-09-15,1.40000,1.46000,1.39000,1.40000,86800
2025-09-16,1.42000,1.54000,1.42000,1.51000,99500
2025-09-17,1.52000,1.54000,1.43000,1.49000,140900
