date,open,high,low,close,volume
2016-02-01,22.31000,22.74000,22.13000,22.48000,93700
2016-02-02,22.34000,22.53000,21.91000,22.08000,150500
2016-02-03,22.28000,22.28000,21.32000,22.00000,108500
2016-02-04,21.94000,22.07000,21.20000,21.31000,171700
2016-02-05,21.30000,21.44000,20.82000,20.90000,92900
2016-02-08,20.73000,21.11000,20.25000,20.90000,76800
2016-02-09,20.78000,21.21000,20.54000,20.66000,36900
2016-02-10,20.73000,21.08000,20.38000,20.42000,61900
2016-02-11,20.16000,21.00000,19.88000,20.75000,142600
2016-02-12,20.82000,20.82000,20.32000,20.41000,66900
2016-02-16,20.64000,20.76000,20.34000,20.60000,122200
2016-02-17,20.32000,22.25000,20.32000,20.96000,153000
2016-02-18,20.87000,21.00000,20.39000,20.56000,238500
2016-02-19,20.49000,21.17000,20.42000,21.07000,59200
2016-02-22,21.21000,21.48000,20.73000,20.83000,84300
2016-02-23,20.68000,20.88000,20.00000,20.06000,142800
2016-02-24,19.80000,20.09000,19.03000,20.08000,227800
2016-02-25,20.27000,21.40000,20.27000,20.95000,180900
2016-02-26,20.96000,21.22000,20.48000,20.69000,80200
2016-02-29,20.58000,20.90000,20.53000,20.61000,74600
2016-03-01,20.65000,20.71000,20.27000,20.71000,46900
2016-03-02,20.56000,20.83000,20.35000,20.83000,106100
2016-03-03,20.77000,21.01000,20.51000,20.78000,68300
2016-03-04,20.78000,21.01000,20.54000,20.80000,105200
2016-03-07,20.74000,20.99000,20.29000,20.57000,112900
2016-03-08,20.53000,20.53000,20.20000,20.32000,171400
2016-03-09,20.35000,20.62000,20.24000,20.55000,92500
2016-03-10,20.74000,20.83000,20.22000,20.41000,56500
2016-03-11,20.52000,20.84000,20.47000,20.80000,46100
2016-03-14,20.80000,20.83000,20.45000,20.59000,60700
2016-03-15,20.54000,20.57000,20.20000,20.35000,108400
2016-03-16,20.25000,20.56000,20.25000,20.44000,75800
2016-03-17,20.39000,20.60000,20.18000,20.47000,54400
2016-03-18,20.61000,21.15000,20.51000,20.97000,133900
2016-03-21,20.84000,21.02000,20.55000,21.01000,96800
2016-03-22,20.85000,20.96000,20.56000,20.87000,72500
2016-03-23,20.78000,20.85000,20.69000,20.76000,65200
2016-03-24,20.69000,20.83000,20.40000,20.67000,183000
2016-03-28,20.69000,20.90000,20.57000,20.80000,49200
2016-03-29,20.73000,21.17000,20.73000,21.16000,132000
2016-03-30,21.18000,21.47000,21.11000,21.34000,170200
2016-03-31,21.29000,21.72000,21.29000,21.61000,77800
2016-04-01,21.52000,21.74000,21.34000,21.70000,85100
2016-04-04,21.72000,21.94000,21.45000,21.86000,123100
2016-04-05,21.76000,21.92000,21.55000,21.66000,113400
2016-04-06,21.62000,21.71000,21.36000,21.60000,54600
2016-04-07,21.45000,21.67000,21.25000,21.38000,55900
2016-04-08,21.46000,21.60000,21.34000,21.53000,71400
2016-04-11,21.63000,21.95000,21.47000,21.54000,131700
2016-04-12,21.53000,22.24000,21.32000,22.05000,196800
2016-04-13,22.10000,22.39000,21.96000,22.31000,86600
2016-04-14,22.35000,22.38000,22.19000,22.24000,38000
2016-04-15,22.12000,22.20000,21.70000,21.85000,244800
2016-04-18,21.71000,22.27000,21.67000,22.27000,174700
2016-04-19,22.24000,22.47000,22.06000,22.32000,65400
2016-04-20,22.23000,22.46000,21.98000,22.17000,89500
2016-04-21,22.11000,22.41000,22.05000,22.21000,56700
2016-04-22,23.00000,23.75000,22.74000,23.36000,357900
2016-04-25,23.30000,23.85000,23.17000,23.73000,117500
2016-04-26,24.00000,24.60000,23.48000,24.31000,363100
2016-04-27,24.23000,24.94000,24.23000,24.70000,156000
2016-04-28,24.53000,24.88000,24.53000,24.85000,113600
2016-04-29,24.73000,24.76000,24.43000,24.43000,63300
2016-05-02,24.55000,24.55000,24.01000,24.20000,162000
2016-05-03,23.89000,23.94000,23.37000,23.76000,231000
2016-05-04,23.64000,24.03000,23.60000,23.65000,86100
2016-05-05,23.74000,23.79000,23.47000,23.47000,101100
2016-05-06,23.42000,23.82000,23.37000,23.71000,51400
2016-05-09,23.63000,23.94000,23.49000,23.84000,94100
2016-05-10,23.86000,24.08000,23.66000,23.73000,42600
2016-05-11,23.69000,23.78000,23.31000,23.49000,58300
2016-05-12,23.50000,23.86000,23.31000,23.56000,72100
2016-05-13,23.45000,23.69000,23.39000,23.53000,37800
2016-05-16,23.50000,23.80000,23.39000,23.58000,79700
2016-05-17,23.52000,23.99000,23.26000,23.35000,290300
2016-05-18,23.32000,23.44000,23.12000,23.28000,63400
2016-05-19,23.25000,23.25000,22.83000,23.11000,67700
