date,open,high,low,close,volume
2023-09-25,20.88000,21.23000,20.21000,20.82000,68700
2023-09-26,20.73000,20.99000,19.98000,20.54000,158700
2023-09-27,20.80000,21.28000,19.91000,20.75000,34300
2023-09-28,20.96000,21.33000,20.75000,20.98000,76900
2023-09-29,21.50000,23.00000,21.33000,22.22000,157600
2023-10-02,22.25000,22.83000,21.84000,22.27000,53200
2023-10-03,22.05000,22.35000,21.09000,21.64000,61800
2023-10-04,21.59000,22.23000,20.86000,22.18000,50400
2023-10-05,22.03000,22.41000,21.50000,22.25000,76200
2023-10-06,21.99000,22.97000,21.69000,22.84000,41200
2023-10-09,23.61000,23.79000,22.00000,22.87000,80100
2023-10-10,22.85000,23.45000,22.71000,23.45000,37900
2023-10-11,23.71000,23.76000,23.15000,23.67000,44800
2023-10-12,24.03000,24.03000,22.35000,23.18000,64600
2023-10-13,23.22000,23.29000,22.67000,23.04000,33400
2023-10-16,23.17000,23.97000,22.83000,23.64000,88300
2023-10-17,23.80000,24.99000,23.64000,24.95000,60800
2023-10-18,24.61000,24.97000,24.22000,24.95000,68400
2023-10-19,24.68000,24.85000,24.32000,24.40000,27900
2023-10-20,24.28000,24.41000,23.88000,24.10000,55700
2023-10-23,23.83000,24.26000,23.29000,23.70000,47000
2023-10-24,24.03000,24.55000,23.21000,23.62000,66800
2023-10-25,23.58000,23.78000,22.67000,23.07000,96800
2023-10-26,23.24000,23.41000,22.56000,23.09000,49600
2023-10-27,23.02000,23.31000,22.09000,22.86000,75500
2023-10-30,22.99000,23.60000,22.57000,23.03000,37800
2023-10-31,23.54000,24.14000,22.95000,24.10000,91300
2023-11-01,23.94000,24.60000,22.92000,23.25000,36300
2023-11-02,23.71000,24.61000,23.71000,24.50000,77700
2023-11-03,24.96000,25.50000,24.77000,25.03000,33200
2023-11-06,25.03000,25.15000,24.54000,24.89000,24700
2023-11-07,24.85000,25.41000,24.24000,24.87000,46200
2023-11-08,24.82000,25.05000,23.11000,24.28000,35600
2023-11-09,24.18000,24.62000,23.53000,23.69000,44800
2023-11-10,23.71000,24.29000,23.25000,24.07000,32300
2023-11-13,24.04000,24.40000,23.19000,23.66000,38400
2023-11-14,24.50000,25.24000,24.01000,24.10000,84800
2023-11-15,24.20000,25.49000,24.20000,25.00000,78200
2023-11-16,24.76000,25.35000,23.18000,24.36000,138600
2023-11-17,24.72000,25.13000,24.72000,24.91000,51500
