date,open,high,low,close,volume
2025-03-27,0.85000,0.88800,0.83000,0.85200,205900
2025-03-28,0.87000,0.88000,0.80400,0.82100,241200
2025-03-31,0.83000,0.90000,0.76400,0.90000,465800
2025-04-01,0.89000,0.89900,0.83400,0.85600,242000
2025-04-02,0.84500,0.87900,0.81700,0.84500,194100
2025-04-03,0.87900,0.87900,0.78100,0.80700,9553300
2025-04-04,1.08000,1.49000,0.95100,1.42000,92259200
2025-04-07,1.23000,1.35000,1.05000,1.16000,6604700
2025-04-08,1.10000,1.20000,0.90000,0.99100,4370100
2025-04-09,0.90000,0.99400,0.79000,0.89000,2654900
2025-04-10,0.93000,1.14000,0.91400,1.04000,3254500
2025-04-11,1.00000,1.12000,0.97600,1.10000,808200
2025-04-14,1.13000,1.16000,1.06000,1.13000,746600
2025-04-15,1.13000,1.17000,1.08300,1.13000,787500
2025-04-16,1.14000,1.14000,1.04000,1.07000,685700
2025-04-17,1.07000,1.11000,1.02000,1.10000,468400
2025-04-21,1.10000,1.12000,1.05000,1.07000,377500
2025-04-22,1.06000,1.10500,1.03000,1.09000,745100
2025-04-23,1.12000,1.17000,1.11000,1.13000,449300
2025-04-24,1.12000,1.19000,1.12000,1.17000,423000
2025-04-25,1.15000,1.19000,1.14000,1.19000,373300
2025-04-28,1.19000,1.20000,1.16000,1.16000,233000
2025-04-29,1.17000,1.19000,1.14500,1.15000,233900
2025-04-30,1.12000,1.16000,1.08000,1.16000,313900
2025-05-01,1.14000,1.17000,1.11500,1.12000,251200
2025-05-02,1.10000,1.21000,1.09000,1.17000,430300
2025-05-05,1.16000,1.17000,1.13000,1.15000,201500
2025-05-06,1.12000,1.15000,1.10000,1.11000,201500
2025-05-07,1.09000,1.13000,1.05000,1.05000,297200
2025-05-08,1.10000,1.12000,1.04000,1.12000,267600
2025-05-09,1.12000,1.12000,1.06000,1.09000,357100
2025-05-12,1.09000,1.16000,1.08000,1.14000,589500
2025-05-13,1.14000,1.15000,1.11000,1.14000,273400
2025-05-14,1.15000,1.17000,1.10500,1.12000,458700
2025-05-15,1.10000,1.11000,1.05000,1.08000,267200
2025-05-16,1.07000,1.15000,1.07000,1.12000,231500
2025-05-19,1.09000,1.34000,1.09000,1.30000,1470000
2025-05-20,1.44000,1.45000,1.26000,1.39000,2599600
2025-05-21,1.28000,1.28000,1.05400,1.07000,2172900
2025-05-22,1.07000,1.14000,1.02000,1.04000,1175900
2025-05-23,1.02000,1.02000,0.93700,1.00000,1242000
2025-05-27,1.02000,1.06000,0.99000,1.05000,681500
2025-05-28,1.06000,1.07000,1.02000,1.03000,353900
2025-05-29,1.03000,1.08000,1.02000,1.03000,548500
2025-05-30,1.03000,1.03000,0.98000,0.99400,385200
2025-06-02,0.99000,1.01000,0.98000,1.01000,162500
2025-06-03,1.01000,1.06000,1.01000,1.05000,463800
2025-06-04,1.06000,1.08000,1.03000,1.06000,298000
2025-06-05,1.03000,1.06000,1.00000,1.01000,338000
2025-06-06,1.00000,1.07000,0.99000,1.01000,547800
2025-06-09,1.03000,1.04000,1.00000,1.03000,223500
2025-06-10,1.03000,1.03000,1.01000,1.02000,153500
2025-06-11,1.02000,1.02000,0.98100,0.99400,279000
2025-06-12,0.98200,1.00000,0.98000,0.98700,268900
2025-06-13,0.97500,0.97900,0.94000,0.94000,307200
2025-06-16,0.99000,0.99000,0.89000,0.97700,567800
2025-06-17,0.97000,0.97000,0.93000,0.94500,243700
2025-06-18,0.94500,0.95300,0.92000,0.94600,134000
2025-06-20,0.94000,0.94000,0.90000,0.90900,250000
2025-06-23,0.90900,0.91000,0.87400,0.89800,258200
2025-06-24,0.89800,0.93300,0.88600,0.92700,199600
2025-06-25,0.93000,0.93000,0.89000,0.89300,245700
2025-06-26,0.89500,0.90800,0.88000,0.90700,331300
2025-06-27,0.92500,1.11000,0.92500,1.02000,2956600
2025-06-30,1.06000,1.10000,1.00000,1.07000,1001000
2025-07-01,1.06000,1.06000,0.99000,1.01000,452900
2025-07-02,1.01000,1.05000,1.01000,1.03000,390700
2025-07-03,1.07000,1.07000,1.05000,1.05000,233900
2025-07-07,1.02000,1.04000,0.95000,0.95000,823300
2025-07-08,0.97500,1.03000,0.96000,1.00000,448100
2025-07-09,1.02000,1.02000,0.99000,1.00000,251800
2025-07-10,0.99500,1.02000,0.97400,1.02000,347800
2025-07-11,1.01000,1.02800,0.99000,0.99700,127100
2025-07-14,1.00000,1.02000,0.99000,1.00000,387200
2025-07-15,1.01000,1.01100,0.97000,0.97000,373600
2025-07-16,0.98900,1.01000,0.96100,1.01000,378600
2025-07-17,1.01000,1.06000,0.98700,1.04000,624900
2025-07-18,1.05000,1.06000,1.01000,1.02000,367200
2025-07-21,1.03000,1.15000,1.02800,1.11000,2150100
2025-07-22,1.12000,1.12000,1.03000,1.08000,471900
2025-07-23,1.08000,1.13000,1.07000,1.12000,739300
2025-07-24,1.11000,1.13000,1.08000,1.09000,469900
2025-07-25,1.12000,1.12000,1.06000,1.08000,353900
2025-07-28,1.08000,1.09000,1.00000,1.02000,498100
2025-07-29,1.05000,1.05900,0.98300,1.01000,317500
2025-07-30,1.00000,1.02000,0.96900,0.97900,371800
2025-07-31,1.00000,1.00000,0.91900,0.92400,524000
2025-08-01,0.91200,0.94800,0.88600,0.91500,505600
2025-08-04,0.91500,0.95500,0.91200,0.94400,269600
2025-08-05,0.94400,0.94500,0.88100,0.92600,464800
2025-08-06,0.92300,0.95000,0.90500,0.91300,196400
2025-08-07,0.93000,0.93300,0.88000,0.89200,312100
2025-08-08,0.91000,0.93000,0.89000,0.91700,279600
2025-08-11,0.93000,0.93900,0.87100,0.88700,524100
2025-08-12,0.91200,0.92500,0.87700,0.89600,799000
2025-08-13,0.95000,0.95800,0.86000,0.86500,1542000
2025-08-14,0.86000,0.87600,0.80000,0.83700,1212100
2025-08-15,0.84000,0.84000,0.80100,0.82600,642100
2025-08-18,0.81800,0.84900,0.81100,0.82500,418900
2025-08-19,0.82700,0.83000,0.78000,0.78100,767200
2025-08-20,0.77900,0.78900,0.75000,0.75300,825700
2025-08-21,0.74300,0.76700,0.74300,0.75200,389700
2025-08-22,0.75000,0.81000,0.72000,0.80000,767200
2025-08-25,0.80200,0.82500,0.79000,0.79400,425900
2025-08-26,0.79000,0.81500,0.78500,0.80800,256400
2025-08-27,0.80900,0.81200,0.78000,0.78000,323000
2025-08-28,0.78700,0.80000,0.78000,0.79700,361400
2025-08-29,0.79800,0.79800,0.74000,0.75300,481500
2025-09-02,0.75000,0.75000,0.70400,0.71900,604300
2025-09-03,0.72700,0.72700,0.67800,0.68100,866700
2025-09-04,0.67800,0.68100,0.61300,0.64300,928800
2025-09-05,0.67000,0.73300,0.65000,0.73200,930000
2025-09-08,0.74200,0.74200,0.68900,0.72100,894200
2025-09-09,0.70200,0.72000,0.68200,0.69600,527000
2025-09-10,0.69000,0.69800,0.65900,0.68600,712300
2025-09-11,0.67500,0.74200,0.67500,0.73700,518000
2025-09-12,0.74900,0.78500,0.73000,0.76200,1457500
2025-09-15,0.73500,0.74400,0.69500,0.72500,762200
2025-09-16,0.71100,0.73600,0.70600,0.72100,388800
2025-09-17,0.73000,0.75000,0.71000,0.71900,414500
2025-09-18,0.72000,0.82000,0.71000,0.78300,1160200
2025-09-19,0.77500,0.80000,0.76700,0.79200,571100
2025-09-22,0.78000,0.81000,0.73200,0.78100,740400
2025-09-23,0.79700,0.82400,0.75500,0.77100,1018900
2025-09-24,0.78000,0.80000,0.74700,0.76000,566600
2025-09-25,0.73500,0.74900,0.69000,0.71700,1430300
2025-09-26,0.71700,0.74900,0.70000,0.73900,466600
2025-09-29,0.75100,0.75900,0.71200,0.74200,495000
2025-09-30,0.75000,0.75000,0.70100,0.73700,207400
2025-10-01,0.73000,0.74900,0.71500,0.74400,215900
2025-10-02,0.74000,0.81000,0.74000,0.80000,1140600
2025-10-03,0.82000,0.87800,0.81000,0.82900,909300
2025-10-06,0.81200,0.85000,0.79000,0.82700,704100
2025-10-07,0.84700,0.87000,0.81000,0.84000,902900
2025-10-08,0.87000,0.95000,0.85500,0.92800,1684400
2025-10-09,0.94000,1.04000,0.90000,0.94000,2901100
2025-10-10,0.94700,0.96000,0.81000,0.83100,2026000
2025-10-13,0.85000,0.88900,0.82000,0.85000,898900
2025-10-14,0.82200,0.84800,0.78000,0.82500,903800
2025-10-15,0.83100,0.91000,0.80600,0.82400,2480700
2025-10-16,0.83900,0.84000,0.75500,0.76200,1312300
2025-10-17,0.76000,0.77800,0.72400,0.73600,592700
2025-10-20,0.75000,0.80400,0.74500,0.78600,691900
2025-10-21,0.80000,0.82000,0.74800,0.76900,591300
2025-10-22,0.75500,0.76900,0.70800,0.72600,568400
2025-10-23,0.72000,0.76000,0.71000,0.75200,360300
2025-10-24,0.76000,0.78000,0.74300,0.77600,768400
2025-10-27,0.77600,0.80000,0.76100,0.76900,461500
2025-10-28,0.76000,0.79000,0.72500,0.73300,590200
2025-10-29,0.72900,0.73200,0.68600,0.68800,782100
2025-10-30,0.68500,0.70900,0.68000,0.68200,440900
2025-10-31,0.68200,0.74800,0.68200,0.72600,563600
2025-11-03,0.73600,0.73600,0.66800,0.69000,888300
2025-11-04,0.66000,0.68500,0.63000,0.64300,659700
2025-11-05,0.64300,0.66600,0.63000,0.64700,471700
2025-11-06,0.64500,0.66000,0.60000,0.61600,614100
2025-11-07,0.60000,0.60500,0.55000,0.60000,1219700
2025-11-10,0.61900,0.62000,0.58000,0.58500,716400
2025-11-11,0.58000,0.59000,0.55700,0.56400,393100
2025-11-12,0.55000,0.57900,0.54100,0.57000,1275300
2025-11-13,0.57000,0.57600,0.50000,0.51400,1698100
2025-11-14,0.50000,0.54800,0.50000,0.53200,658600
2025-11-17,0.52700,0.52700,0.45300,0.45900,1067600
2025-11-18,0.45500,0.47200,0.42600,0.46700,467500
2025-11-19,0.48000,0.49200,0.43100,0.44200,584600
2025-11-20,0.45000,0.48000,0.41000,0.41000,689200
2025-11-21,0.39500,0.42900,0.38500,0.40200,912100
2025-11-24,0.40000,0.45000,0.40000,0.44100,621000
2025-11-25,0.44700,0.47000,0.43000,0.46200,601600
2025-11-26,0.45300,0.48000,0.44000,0.46100,623400
2025-11-28,0.46900,0.48000,0.46100,0.46200,412400
2025-12-01,0.46000,0.46500,0.40000,0.40600,750600
2025-12-02,0.41600,0.44300,0.40000,0.40000,860100
2025-12-03,0.39700,0.40200,0.36000,0.38600,1036400
2025-12-04,0.40000,0.44000,0.39500,0.43400,788700
2025-12-05,0.44500,0.45100,0.41000,0.41600,337700
2025-12-08,0.42400,0.44400,0.41000,0.41300,601500
2025-12-09,0.41800,0.60000,0.41800,0.50000,31570000
2025-12-10,0.50000,0.55000,0.47300,0.52500,6324000
2025-12-11,0.50600,0.50800,0.45300,0.46500,3482100
2025-12-12,0.47500,0.47700,0.40000,0.40000,2297600
2025-12-15,0.41000,0.41000,0.36000,0.36600,1647500
2025-12-16,0.36600,0.41000,0.36600,0.40100,1019200
2025-12-17,0.41900,0.41900,0.37500,0.37500,1111200
2025-12-18,0.39700,0.40000,0.36500,0.37000,1021300
2025-12-19,0.37100,0.40000,0.37000,0.38600,1209900
2025-12-22,0.39500,0.41400,0.38000,0.39100,1449500
2025-12-23,0.39700,0.41000,0.35000,0.35000,1485200
2025-12-24,0.35000,0.36000,0.32300,0.34800,1096300
2025-12-26,0.34900,0.35100,0.32500,0.33000,1307400
2025-12-29,0.33000,0.33000,0.30400,0.30600,1366100
2025-12-30,0.30000,0.32500,0.30000,0.31000,1813500
2025-12-31,0.30600,0.37600,0.30100,0.33200,3724900
2026-01-02,0.36700,0.38000,0.32500,0.34200,3872000
