date,open,high,low,close,volume
2025-03-19,5.14000,5.14000,5.00000,5.03000,174372
2025-03-20,5.09000,5.80000,5.00000,5.12000,556710
2025-03-21,5.30000,5.31000,5.05000,5.08000,297077
2025-03-24,5.14000,5.29000,4.87000,4.92000,1112007
2025-03-25,5.07000,5.07000,4.75000,4.81000,608508
2025-03-26,4.70000,4.88000,4.05000,4.47000,356913
2025-03-27,4.55000,4.55000,4.11000,4.16000,459993
2025-03-28,4.37000,4.99000,4.05000,4.99000,1667646
2025-04-01,5.11000,5.15000,4.80000,4.88000,216546
2025-04-02,4.84000,4.84000,4.63000,4.74000,249451
2025-04-03,4.53000,4.82000,4.53000,4.71000,165913
2025-04-04,4.83000,4.83000,4.57000,4.60000,59419
2025-04-07,4.37000,4.37000,4.37000,4.37000,72597
2025-04-08,4.37000,4.58000,4.37000,4.57000,94223
2025-04-09,4.74000,4.74000,4.40000,4.44000,81490
2025-04-11,4.59000,4.59000,4.21000,4.24000,209913
2025-04-15,4.24000,4.45000,4.24000,4.45000,79807
2025-04-16,4.63000,4.63000,4.50000,4.56000,57910
2025-04-17,4.56000,4.75000,4.34000,4.66000,88360
2025-04-21,4.69000,4.87000,4.50000,4.82000,71393
2025-04-22,4.99000,5.00000,4.83000,4.89000,77640
2025-04-23,5.10000,5.10000,4.80000,4.87000,50326
2025-04-24,4.87000,4.96000,4.87000,4.87000,32400
2025-04-25,4.80000,4.80000,4.80000,4.80000,7811
2025-04-28,4.70000,4.70000,4.70000,4.70000,15326
2025-04-29,4.60000,4.60000,4.60000,4.60000,28071
2025-04-30,4.69000,4.69000,4.50000,4.69000,46446
2025-05-02,4.77000,4.78000,4.59000,4.77000,38260
2025-05-05,4.55000,4.56000,4.55000,4.55000,12797
2025-05-06,4.45000,4.53000,4.45000,4.45000,17016
2025-05-07,4.36000,4.40000,4.36000,4.36000,7120
2025-05-08,4.27000,4.36000,4.27000,4.27000,64371
2025-05-09,4.18000,4.25000,4.18000,4.18000,55581
2025-05-12,4.18000,4.18000,4.18000,4.18000,52129
2025-05-13,4.25000,4.26000,4.18000,4.25000,35111
2025-05-14,4.33000,4.33000,4.33000,4.33000,17276
2025-05-15,4.41000,4.41000,4.33000,4.41000,53493
2025-05-16,4.49000,4.49000,4.49000,4.49000,43005
2025-05-19,4.57000,4.57000,4.49000,4.57000,29273
2025-05-20,4.58000,4.59000,4.57000,4.58000,23557
2025-05-21,4.67000,4.67000,4.59000,4.67000,29245
2025-05-22,4.76000,4.76000,4.76000,4.76000,38464
2025-05-23,4.76000,4.78000,4.76000,4.76000,29114
2025-05-26,4.76000,4.76000,4.76000,4.76000,22434
2025-05-27,4.72000,4.78000,4.72000,4.72000,14190
2025-05-28,4.62000,4.70000,4.62000,4.62000,16043
2025-05-29,4.52000,4.52000,4.52000,4.52000,20591
2025-05-30,4.42000,4.47000,4.42000,4.42000,22497
2025-06-02,4.43000,4.64000,4.43000,4.64000,40417
2025-06-03,4.87000,4.87000,4.57000,4.77000,99813
2025-06-04,4.70000,4.70000,4.53000,4.61000,85624
2025-06-05,4.68000,4.68000,4.50000,4.56000,58549
2025-06-06,4.64000,4.78000,4.59000,4.61000,51310
2025-06-09,4.60000,4.84000,4.60000,4.70000,88636
2025-06-10,4.81000,4.84000,4.64000,4.65000,144453
2025-06-11,4.65000,4.74000,4.62000,4.65000,50026
2025-06-12,4.79000,4.79000,4.57000,4.65000,53909
2025-06-13,4.70000,4.81000,4.41000,4.43000,169484
2025-06-16,4.43000,4.43000,4.20000,4.31000,76466
2025-06-17,4.33000,4.33000,4.09000,4.27000,67520
2025-06-18,4.27000,4.27000,4.16000,4.19000,45926
2025-06-19,4.20000,4.20000,4.08000,4.12000,59923
2025-06-20,4.30000,4.30000,4.12000,4.15000,31108
2025-06-23,4.29000,4.29000,4.15000,4.25000,50032
2025-06-24,4.17000,4.35000,4.15000,4.28000,60636
2025-06-25,4.35000,4.40000,4.20000,4.34000,36758
2025-06-26,4.40000,4.49000,4.25000,4.34000,101294
2025-06-27,4.47000,4.47000,4.31000,4.41000,121158
2025-06-30,4.52000,5.29000,4.52000,5.29000,572057
2025-07-01,6.17000,6.34000,6.01000,6.31000,4449413
2025-07-02,6.31000,6.31000,5.67000,5.84000,2106995
2025-07-03,5.84000,6.00000,5.40000,5.62000,635655
2025-07-04,5.62000,5.84000,5.26000,5.48000,448053
2025-07-07,5.48000,5.62000,5.17000,5.20000,349850
2025-07-08,5.21000,5.29000,5.03000,5.19000,289957
2025-07-09,5.27000,5.37000,5.05000,5.09000,242555
2025-07-10,5.09000,5.09000,4.83000,5.00000,113618
2025-07-11,5.00000,5.00000,4.75000,4.86000,142502
2025-07-14,4.84000,4.94000,4.82000,4.87000,91868
2025-07-15,5.05000,5.05000,4.90000,5.01000,62361
2025-07-16,4.92000,5.25000,4.75000,4.85000,314339
2025-07-17,4.85000,4.99000,4.70000,4.92000,74988
2025-07-18,4.94000,5.00000,4.80000,4.97000,63356
2025-07-21,4.73000,5.05000,4.73000,4.98000,114187
2025-07-22,4.96000,4.96000,4.75000,4.87000,67716
2025-07-23,4.76000,4.93000,4.75000,4.85000,50300
2025-07-24,4.85000,4.93000,4.75000,4.84000,38009
2025-07-25,4.93000,4.93000,4.80000,4.83000,14393
2025-07-28,4.83000,4.93000,4.58000,4.64000,47828
2025-07-29,4.75000,4.84000,4.50000,4.63000,98854
2025-07-30,4.79000,4.79000,4.44000,4.57000,60234
2025-07-31,4.48000,4.69000,4.40000,4.52000,39425
2025-08-01,4.50000,4.68000,4.40000,4.49000,26303
2025-08-04,4.49000,4.67000,4.40000,4.47000,50659
2025-08-05,4.59000,4.59000,4.43000,4.46000,26205
2025-08-06,4.45000,4.67000,4.45000,4.49000,33786
2025-08-07,4.62000,4.62000,4.35000,4.48000,36016
2025-08-08,4.48000,4.59000,4.35000,4.43000,45136
2025-08-11,4.58000,4.58000,4.35000,4.40000,64294
2025-08-12,4.41000,4.55000,4.30000,4.46000,80785
2025-08-13,4.55000,4.55000,4.24000,4.35000,104046
2025-08-14,4.35000,4.44000,4.15000,4.28000,85397
2025-08-18,4.40000,4.40000,4.21000,4.31000,48242
2025-08-19,4.31000,4.31000,4.20000,4.27000,39940
2025-08-20,4.16000,4.45000,4.11000,4.23000,85982
2025-08-21,4.20000,4.35000,4.20000,4.33000,28422
2025-08-22,4.18000,4.34000,4.14000,4.21000,59903
2025-08-25,4.26000,4.30000,4.12000,4.24000,56637
2025-08-26,4.29000,4.30000,4.13000,4.17000,49633
2025-08-28,4.24000,4.24000,4.07000,4.18000,27996
2025-08-29,4.11000,4.30000,4.11000,4.24000,21718
2025-09-01,4.12000,4.21000,4.10000,4.11000,155128
2025-09-02,4.21000,4.24000,4.01000,4.10000,78697
2025-09-03,4.10000,4.20000,4.10000,4.17000,35560
2025-09-04,4.25000,4.28000,4.16000,4.24000,48277
2025-09-05,4.24000,4.24000,4.09000,4.19000,62685
2025-09-08,4.15000,4.38000,4.13000,4.23000,47187
2025-09-09,4.29000,4.42000,4.10000,4.33000,133936
2025-09-10,4.47000,4.47000,4.16000,4.35000,100203
2025-09-11,4.43000,4.55000,4.26000,4.40000,64330
2025-09-12,4.32000,4.50000,4.32000,4.46000,87519
2025-09-15,4.46000,4.54000,4.35000,4.39000,70136
2025-09-16,4.45000,4.54000,4.26000,4.36000,94265
2025-09-17,4.30000,4.46000,4.30000,4.37000,15673
2025-09-18,4.46000,4.49000,4.28000,4.30000,72813
2025-09-19,4.24000,4.51000,4.20000,4.36000,115570
2025-09-22,4.45000,4.45000,4.22000,4.37000,49186
2025-09-23,4.30000,4.44000,4.26000,4.32000,43537
2025-09-24,4.28000,4.41000,4.27000,4.30000,54031
2025-09-25,4.25000,4.37000,4.22000,4.23000,46621
2025-09-26,4.38000,4.38000,4.19000,4.26000,45813
2025-09-29,4.42000,4.42000,4.13000,4.18000,33738
2025-09-30,4.15000,4.29000,4.15000,4.17000,45862
2025-10-01,4.25000,4.25000,4.13000,4.19000,38871
2025-10-03,4.26000,4.29000,4.10000,4.18000,109306
2025-10-06,4.15000,4.23000,4.05000,4.09000,45975
2025-10-07,4.05000,4.21000,4.05000,4.19000,23274
2025-10-08,4.30000,4.30000,4.03000,4.27000,48712
2025-10-09,4.20000,4.26000,4.16000,4.20000,33037
2025-10-10,4.11000,4.62000,4.11000,4.62000,380800
2025-10-13,4.89000,5.08000,4.38000,4.40000,1006542
2025-10-14,4.38000,4.62000,4.30000,4.36000,165755
2025-10-15,4.44000,4.58000,4.16000,4.34000,37662
2025-10-16,4.54000,4.54000,4.32000,4.36000,68797
2025-10-17,4.30000,4.40000,4.23000,4.26000,65181
2025-10-20,4.38000,4.49000,4.22000,4.39000,52964
2025-10-21,4.49000,4.57000,4.25000,4.32000,139104
2025-10-23,4.30000,4.45000,4.26000,4.33000,67952
2025-10-24,4.33000,4.34000,4.25000,4.30000,32913
2025-10-27,4.30000,4.45000,4.22000,4.30000,36490
2025-10-28,4.40000,4.40000,4.23000,4.30000,62779
2025-10-29,4.25000,4.38000,4.25000,4.32000,22018
2025-10-30,4.37000,4.38000,4.19000,4.32000,120853
2025-10-31,4.30000,4.37000,4.27000,4.34000,117051
2025-11-03,4.33000,4.40000,4.14000,4.22000,131687
2025-11-04,4.23000,4.25000,4.17000,4.17000,62395
2025-11-06,4.18000,4.25000,4.07000,4.15000,76775
2025-11-07,4.19000,4.19000,4.09000,4.10000,90509
2025-11-10,4.23000,4.23000,4.02000,4.09000,97734
2025-11-11,4.09000,4.23000,4.05000,4.16000,62112
2025-11-12,4.21000,4.21000,4.05000,4.06000,171468
2025-11-13,4.01000,4.15000,3.96000,4.00000,208549
2025-11-14,4.03000,4.03000,3.85000,3.89000,178491
2025-11-17,3.99000,3.99000,3.50000,3.71000,289934
2025-11-18,3.75000,4.07000,3.72000,3.88000,305796
2025-11-19,3.93000,3.93000,3.78000,3.89000,103628
2025-11-20,3.99000,3.99000,3.83000,3.89000,83951
2025-11-21,3.94000,3.94000,3.81000,3.87000,50179
2025-11-24,3.87000,3.93000,3.81000,3.83000,53364
2025-11-25,3.83000,3.90000,3.76000,3.78000,45455
2025-11-26,3.78000,3.89000,3.77000,3.77000,46753
2025-11-27,3.87000,3.88000,3.45000,3.65000,229628
2025-11-28,3.70000,3.75000,3.63000,3.69000,154872
2025-12-01,3.69000,3.80000,3.69000,3.70000,50837
2025-12-02,3.70000,3.84000,3.60000,3.77000,190402
2025-12-03,3.80000,3.80000,3.60000,3.77000,40280
2025-12-04,3.77000,3.79000,3.70000,3.75000,37870
2025-12-05,3.80000,3.99000,3.42000,3.62000,198162
2025-12-08,3.58000,3.69000,3.52000,3.56000,54067
2025-12-09,3.58000,3.58000,3.40000,3.44000,119774
2025-12-10,3.52000,3.94000,3.44000,3.79000,131372
2025-12-11,3.90000,3.90000,3.63000,3.84000,92891
2025-12-12,3.84000,3.97000,3.80000,3.87000,124532
2025-12-15,3.95000,3.95000,3.70000,3.79000,82402
2025-12-16,3.88000,3.88000,3.61000,3.67000,100118
2025-12-17,3.64000,3.84000,3.61000,3.66000,127601
2025-12-18,3.64000,3.74000,3.61000,3.63000,25916
2025-12-19,3.70000,3.75000,3.45000,3.60000,165715
2025-12-22,3.67000,3.76000,3.55000,3.74000,52675
2025-12-23,3.72000,3.80000,3.72000,3.76000,19943
2025-12-24,3.78000,3.81000,3.68000,3.77000,87517
2025-12-26,3.79000,3.79000,3.62000,3.68000,58333
2025-12-29,3.74000,3.82000,3.50000,3.58000,73283
2025-12-30,3.50000,3.62000,3.50000,3.55000,23756
2025-12-31,3.60000,3.73000,3.50000,3.54000,117394
2026-01-01,3.55000,3.68000,3.52000,3.58000,27307
2026-01-02,3.68000,3.80000,3.52000,3.75000,91843
2026-01-05,3.75000,3.78000,3.50000,3.59000,171701
2026-01-06,3.59000,3.70000,3.51000,3.52000,90800
2026-01-07,3.59000,3.64000,3.51000,3.56000,20990
