date,open,high,low,close,volume
2025-03-20,66.30000,68.00000,65.01000,66.41000,301279
2025-03-21,66.40000,68.95000,66.40000,68.22000,125617
2025-03-24,68.98000,71.63000,68.98000,71.63000,96209
2025-03-25,70.22000,71.19000,70.19000,70.22000,79846
2025-03-26,68.81000,69.40000,68.81000,68.81000,200275
2025-03-27,67.43000,68.80000,67.43000,67.43000,38617
2025-03-28,66.08000,67.00000,66.08000,66.08000,53135
2025-04-01,66.36000,66.36000,66.10000,66.36000,14082
2025-04-02,67.68000,67.68000,66.70000,67.68000,4110
2025-04-03,69.03000,69.03000,69.03000,69.03000,3129
2025-04-04,67.64000,69.03000,67.64000,67.64000,18556
2025-04-07,66.28000,66.28000,66.28000,66.28000,15755
2025-04-08,65.90000,65.90000,65.11000,65.90000,17269
2025-04-09,65.10000,65.58000,65.10000,65.10000,2705
2025-04-11,66.40000,66.40000,66.00000,66.40000,31262
2025-04-15,66.81000,66.81000,66.40000,66.81000,41346
2025-04-16,68.14000,68.14000,67.24000,68.14000,7589
2025-04-17,69.50000,69.50000,69.50000,69.50000,9067
2025-04-21,70.89000,70.89000,70.89000,70.89000,3558
2025-04-22,72.30000,72.30000,72.30000,72.30000,5259
2025-04-23,73.00000,73.74000,72.45000,73.00000,36001
2025-04-24,74.46000,74.46000,71.71000,74.46000,22824
2025-04-25,72.97000,72.97000,72.97000,72.97000,8551
2025-04-28,71.79000,72.00000,71.79000,71.79000,55395
2025-04-29,71.80000,72.00000,71.80000,71.80000,22590
2025-04-30,70.37000,70.38000,70.37000,70.37000,16733
2025-05-02,71.77000,71.77000,70.00000,71.77000,6645
2025-05-05,75.35000,75.35000,75.05000,75.34000,88701
2025-05-06,75.39000,75.39000,71.57000,71.57000,73066
2025-05-07,70.65000,72.78000,67.99000,70.54000,41808
2025-05-08,71.20000,71.85000,68.11000,68.99000,13905
2025-05-09,66.00000,67.90000,66.00000,67.41000,26635
2025-05-12,68.45000,70.78000,68.45000,70.60000,14912
2025-05-13,70.60000,73.40000,70.10000,71.52000,35725
2025-05-14,72.60000,73.75000,71.00000,73.65000,21812
2025-05-15,74.00000,77.00000,73.65000,76.40000,49563
2025-05-16,76.46000,79.80000,76.46000,78.09000,48799
2025-05-19,78.48000,81.00000,78.10000,79.56000,51752
2025-05-20,77.96000,78.12000,77.96000,77.96000,26381
2025-05-21,76.55000,77.96000,76.55000,76.55000,14851
2025-05-22,76.40000,76.60000,76.05000,76.40000,7840
2025-05-23,76.60000,76.60000,76.40000,76.60000,15880
2025-05-26,75.60000,76.60000,75.10000,75.60000,21625
2025-05-27,76.06000,76.06000,75.00000,76.06000,17194
2025-05-28,76.16000,77.00000,76.00000,76.16000,14400
2025-05-29,76.20000,76.24000,76.16000,76.20000,5315
