date,open,high,low,close,volume
2025-03-21,2.52000,2.62000,2.43000,2.58000,9162900
2025-03-24,2.64000,2.82000,2.59000,2.77000,2067300
2025-03-25,2.79000,2.81000,2.66000,2.74000,2266900
2025-03-26,2.76000,2.76000,2.68000,2.72000,2534700
2025-03-27,2.53000,2.53000,2.14000,2.15000,9899600
2025-03-28,2.15000,2.16000,2.05000,2.12000,3814500
2025-03-31,2.05000,2.20000,2.04000,2.12000,3044000
2025-04-01,2.14000,2.14000,2.02000,2.07000,2689300
2025-04-02,2.04000,2.12000,1.97000,2.10000,2282800
2025-04-03,1.99000,2.01000,1.91000,1.92000,2961500
2025-04-04,1.84000,1.90000,1.75000,1.89000,3729000
2025-04-07,1.87000,2.10000,1.81000,2.03000,4209800
2025-04-08,2.09000,2.12000,1.85000,1.89000,2628900
2025-04-09,1.88000,2.13000,1.86000,2.08000,4377400
2025-04-10,2.05000,2.08000,1.97000,2.03000,2138400
2025-04-11,2.03000,2.06000,1.95000,2.04000,2301000
2025-04-14,2.11000,2.13000,1.99000,2.03000,1446400
2025-04-15,2.01000,2.05000,2.00000,2.01000,1144900
2025-04-16,2.01000,2.01000,1.90000,1.93000,1695800
2025-04-17,1.93000,1.95000,1.75000,1.86000,4412700
2025-04-21,1.83000,1.84000,1.71000,1.78000,2051200
2025-04-22,1.82000,1.85000,1.77000,1.79000,1808800
2025-04-23,1.87000,1.96000,1.82000,1.83000,2465400
2025-04-24,1.86000,1.97000,1.85000,1.94000,1789200
2025-04-25,1.93000,1.95000,1.89000,1.94000,1336200
2025-04-28,1.96000,2.02000,1.92000,1.95000,2359900
2025-04-29,1.93000,1.95000,1.87000,1.90000,2215900
2025-04-30,1.83000,1.86000,1.79000,1.84000,1956400
2025-05-01,1.86000,1.93000,1.85000,1.89000,1832000
2025-05-02,1.91000,2.06000,1.91000,2.01000,2697200
2025-05-05,2.00000,2.05000,1.93000,2.00000,2025400
2025-05-06,1.98000,2.01000,1.93000,1.96000,1320900
2025-05-07,1.97000,1.97000,1.92000,1.96000,1177900
2025-05-08,2.00000,2.31000,1.99000,2.25000,6146900
2025-05-09,2.29000,2.42000,2.23000,2.37000,4321200
2025-05-12,2.47000,2.59000,2.40000,2.55000,5348100
2025-05-13,1.80000,1.97000,1.75000,1.87000,13277800
2025-05-14,1.90000,1.93000,1.75000,1.75000,6514300
2025-05-15,1.76000,1.76000,1.65000,1.67000,7785200
2025-05-16,1.68000,1.77000,1.66000,1.72000,3408000
2025-05-19,1.69000,1.74000,1.66000,1.70000,2732800
2025-05-20,1.70000,1.76000,1.68000,1.73000,2806500
2025-05-21,1.72000,1.72000,1.61000,1.61000,3850800
2025-05-22,1.63000,1.66000,1.60000,1.62000,2444500
2025-05-23,1.58000,1.63000,1.58000,1.61000,3150500
2025-05-27,1.63000,1.65000,1.56000,1.58000,7206400
2025-05-28,1.59000,1.59000,1.55000,1.57000,4543700
2025-05-29,1.60000,1.65000,1.58000,1.60000,4523700
2025-05-30,1.59000,1.59000,1.52000,1.55000,3833100
2025-06-02,1.55000,1.56000,1.48000,1.53000,4917800
2025-06-03,1.53000,1.75000,1.51000,1.75000,5375500
2025-06-04,1.74000,1.79000,1.66000,1.69000,3021200
2025-06-05,1.68000,1.76000,1.66000,1.67000,2642300
2025-06-06,1.71000,1.78000,1.70000,1.73000,2876200
2025-06-09,1.77000,1.86000,1.75000,1.84000,3441400
2025-06-10,1.94000,1.95000,1.83000,1.84000,3970700
2025-06-11,1.85000,1.93000,1.82000,1.84000,2540200
2025-06-12,1.79000,1.81000,1.73000,1.74000,1873000
2025-06-13,1.71000,1.73000,1.66000,1.68000,1728100
2025-06-16,1.72000,1.98000,1.71000,1.94000,6772800
2025-06-17,1.88000,1.93000,1.85000,1.87000,3726000
2025-06-18,1.60000,1.62000,1.46000,1.47000,32954600
2025-06-20,1.51000,1.51000,1.33000,1.37000,16534200
2025-06-23,1.36000,1.47000,1.32000,1.44000,6103100
2025-06-24,1.45000,1.50000,1.42000,1.44000,2999200
2025-06-25,1.47000,1.49000,1.36000,1.39000,4899000
2025-06-26,1.41000,1.54000,1.40000,1.50000,5298700
2025-06-27,1.50000,1.59000,1.48000,1.52000,4922700
2025-06-30,1.52000,1.56000,1.50000,1.54000,2718000
2025-07-01,1.53000,1.60000,1.51000,1.56000,3408200
2025-07-02,1.55000,1.70000,1.55000,1.65000,3564500
2025-07-03,1.69000,1.75000,1.67000,1.72000,1721000
2025-07-07,1.70000,1.71000,1.62000,1.64000,2709300
2025-07-08,1.64000,1.78000,1.64000,1.77000,2879800
2025-07-09,1.78000,1.82000,1.73000,1.81000,3298500
2025-07-10,1.81000,1.84000,1.77000,1.82000,2348400
2025-07-11,1.81000,1.82000,1.71000,1.71000,1930000
2025-07-14,1.70000,1.73000,1.67000,1.68000,1639700
2025-07-15,1.68000,1.73000,1.63000,1.63000,1542900
2025-07-16,1.64000,1.67000,1.60000,1.63000,1694700
2025-07-17,1.64000,1.82000,1.64000,1.72000,3694900
2025-07-18,1.76000,1.80000,1.71000,1.76000,3471800
2025-07-21,1.79000,1.97000,1.76000,1.82000,5586600
2025-07-22,1.83000,1.94000,1.82000,1.92000,4136700
2025-07-23,1.96000,1.96000,1.85000,1.92000,3335000
2025-07-24,1.91000,2.17000,1.85000,1.88000,8131800
2025-07-25,1.90000,1.91000,1.79000,1.80000,2931500
2025-07-28,1.82000,1.84000,1.77000,1.78000,2185900
2025-07-29,1.77000,1.78000,1.66000,1.68000,3227800
2025-07-30,1.68000,1.72000,1.64000,1.67000,2122200
2025-07-31,1.68000,1.73000,1.62000,1.63000,2294100
2025-08-01,1.60000,1.63000,1.57000,1.60000,2145100
2025-08-04,1.64000,1.74000,1.62000,1.65000,2043100
2025-08-05,1.66000,1.77000,1.65000,1.74000,2761700
2025-08-06,1.73000,1.73000,1.66000,1.69000,1996800
2025-08-07,1.73000,1.80000,1.72000,1.76000,2376100
2025-08-08,1.78000,1.83000,1.76000,1.78000,2049400
2025-08-11,1.78000,1.80000,1.70000,1.76000,2202900
2025-08-12,1.88000,2.42000,1.88000,2.28000,22326700
2025-08-13,2.36000,2.38000,2.13000,2.33000,6574200
2025-08-14,2.26000,2.27000,2.03000,2.09000,4538800
2025-08-15,2.12000,2.16000,2.04000,2.05000,4059900
2025-08-18,2.05000,2.11000,1.96000,2.09000,4548800
2025-08-19,2.05000,2.12000,1.95000,1.97000,3227600
2025-08-20,1.94000,1.99000,1.89000,1.97000,2876000
2025-08-21,1.95000,2.03000,1.93000,2.02000,1910300
2025-08-22,2.03000,2.12000,1.99000,2.10000,3908300
2025-08-25,2.09000,2.21000,2.03000,2.18000,3239600
2025-08-26,2.18000,2.26000,2.12000,2.15000,3556800
