date,open,high,low,close,volume
2025-03-28,0.66429,0.88143,0.63571,0.78571,287000
2025-03-31,0.77286,0.91671,0.69571,0.71429,625100
2025-04-01,0.74286,0.92286,0.71429,0.71429,196700
2025-04-02,0.71143,0.87000,0.68714,0.70000,53200
2025-04-03,0.70286,0.74857,0.62000,0.68714,112700
2025-04-04,0.70714,0.73729,0.57143,0.57143,125300
2025-04-07,2.03857,6.92429,1.65571,5.38571,175394100
2025-04-08,4.67857,4.98857,3.28571,4.68857,13219500
2025-04-09,4.46857,5.04143,3.65857,3.91143,3543400
2025-04-10,4.11429,8.76571,3.88571,6.42429,27308400
2025-04-11,8.38429,8.85714,6.34286,7.31571,10219300
2025-04-14,7.35571,9.74429,7.35571,9.42000,6374200
2025-04-15,9.61429,11.35714,8.85714,10.63571,4396000
2025-04-16,10.95429,11.09286,8.85714,10.29714,2818900
2025-04-17,9.66857,9.85571,6.00000,7.55357,4509400
2025-04-21,6.58714,7.06857,5.11500,5.62143,2540300
2025-04-22,5.14286,6.96857,4.62286,6.40857,2340100
2025-04-23,6.37143,8.34857,6.35214,7.86571,2699200
2025-04-24,7.73286,8.25857,6.86000,7.09071,1177400
2025-04-25,7.44286,8.99000,6.90000,7.41571,2052400
2025-04-28,7.67143,9.50714,6.88571,9.31000,3073000
2025-04-29,9.52286,11.11857,8.78714,10.54143,2993200
2025-04-30,9.71429,10.87714,9.00286,10.64143,2393300
2025-05-01,9.99857,12.00000,9.64286,11.75429,2214800
2025-05-02,12.13714,13.05386,10.49171,11.33000,3024000
2025-05-05,10.29857,11.00000,9.15571,10.27000,796600
2025-05-06,9.28571,10.52286,9.28571,10.39143,451500
2025-05-07,10.19714,10.51000,9.00000,9.14143,896700
2025-05-08,9.41714,9.51429,7.64571,8.05857,1819300
2025-05-09,8.81286,11.39000,8.67714,10.71000,1498000
2025-05-12,11.48571,13.96429,11.48571,12.72286,1757000
2025-05-13,13.50429,13.98571,12.23286,13.04429,1073800
2025-05-14,13.57143,14.39286,13.10857,13.46429,1904000
2025-05-15,13.32571,13.78571,12.00371,12.85571,805000
2025-05-16,13.55000,22.42714,13.02857,22.42714,2724400
2025-05-19,19.14286,19.71429,15.01429,18.11429,2186800
2025-05-20,19.17857,26.85571,17.85714,25.48571,2449300
2025-05-21,33.62000,37.59000,23.00000,35.53000,3587200
2025-05-22,33.92500,53.88000,33.25000,42.50000,5161300
2025-05-23,38.00000,40.21000,32.00000,34.25000,2353900
2025-05-27,36.64500,38.20900,24.15000,26.72000,2359200
2025-05-28,26.01000,28.30000,20.66400,22.19000,2013600
2025-05-29,22.69000,23.00000,19.15000,19.66000,1886300
2025-05-30,21.50000,24.50000,17.17300,17.51000,2806600
2025-06-02,18.35000,21.60000,16.21300,19.71000,1600400
2025-06-03,19.92000,23.97800,19.00000,19.78000,1605200
2025-06-04,19.12000,19.53100,15.82000,16.74000,1654700
2025-06-05,16.70000,16.84000,13.86000,14.29000,1306200
2025-06-06,14.81000,19.63300,13.55000,18.96000,1850600
2025-06-09,20.73000,25.50000,18.13000,23.12000,2181400
2025-06-10,25.84000,28.00000,24.25000,26.45000,1701100
2025-06-11,27.15000,31.14000,25.21000,26.27000,1996700
2025-06-12,23.40500,32.88000,21.73000,31.56000,2654200
2025-06-13,29.57400,31.51000,25.00000,25.73000,2033700
2025-06-16,27.83000,33.29000,26.50000,31.06000,2091900
2025-06-17,30.00000,33.75000,29.62500,31.09000,1563600
2025-06-18,30.20000,32.58000,30.20000,31.27000,920000
2025-06-20,31.49000,31.49000,22.85000,24.88000,2412100
2025-06-23,23.80000,27.17700,21.50000,24.81000,1658200
2025-06-24,18.50000,26.77000,18.06000,19.63000,5516300
2025-06-25,20.51000,20.90000,17.50000,18.86000,1450500
2025-06-26,19.26000,19.49000,17.50000,17.94000,788200
2025-06-27,17.75000,18.00000,16.05000,16.82000,903800
2025-06-30,18.00000,22.88000,17.01000,21.44000,2371100
2025-07-01,20.23000,22.30000,19.10000,21.01000,983300
2025-07-02,20.10000,20.76800,18.33000,20.39000,1578000
2025-07-03,21.00000,24.69000,21.00000,23.80000,2167300
2025-07-07,23.20500,23.50000,21.36000,23.11000,1467100
2025-07-08,23.55000,24.88000,20.12000,20.22000,2223900
2025-07-09,21.58500,22.58500,19.75000,22.57000,1193900
2025-07-10,22.81000,26.50000,21.63000,24.64000,2657600
2025-07-11,25.50000,28.13000,25.50000,27.25000,2271700
2025-07-14,28.00000,28.68000,23.34000,24.50000,2700100
2025-07-15,24.54000,24.95000,22.38500,24.68000,1469400
2025-07-16,26.80000,30.74000,25.98000,30.36000,4722900
2025-07-17,31.50000,32.00000,26.54000,26.74000,3871600
2025-07-18,28.45000,28.45000,23.66000,24.41000,3539500
2025-07-21,27.00000,27.79000,23.20000,23.52000,3428800
2025-07-22,24.80000,24.94000,22.52000,23.58000,2163100
2025-07-23,23.00000,23.04000,20.22000,21.48000,2872600
2025-07-24,21.32000,21.46500,19.80000,20.11000,2053500
2025-07-25,19.59000,19.78800,18.40000,19.18000,2057800
2025-07-28,20.00000,20.49000,17.50000,17.95000,2498000
2025-07-29,17.25000,17.46000,15.70100,16.07000,3064100
2025-07-30,16.20000,16.30000,14.20000,14.80000,2701100
2025-07-31,15.12000,15.21900,14.31000,14.38000,1869700
2025-08-01,13.70000,14.16000,13.13000,14.05000,1504400
2025-08-04,14.63500,15.43200,14.20000,15.34000,1497300
2025-08-05,14.90000,14.90000,12.92000,14.10500,2000000
2025-08-06,14.01000,14.36000,12.84000,13.92000,2171100
2025-08-07,14.22000,14.56000,13.00000,13.46000,1828600
2025-08-08,13.55000,15.92000,13.51000,15.68000,2860000
2025-08-11,16.21000,17.01000,15.02000,15.08000,3185300
2025-08-12,15.00000,18.15000,14.60000,17.84000,4920300
2025-08-13,20.74000,21.80000,18.19000,18.64000,8627200
2025-08-14,17.27500,20.03000,17.20000,19.57000,5292800
2025-08-15,18.30000,19.59000,17.30000,18.69000,3617000
2025-08-18,17.80000,18.20000,16.71000,18.05000,2486700
2025-08-19,18.02000,18.18000,15.00000,15.57000,2877500
2025-08-20,15.66000,17.86000,15.52600,17.58500,2642200
2025-08-21,16.58000,18.01000,16.34000,16.61000,1697500
2025-08-22,17.54000,20.30000,16.43000,20.21000,3829700
2025-08-25,17.23000,17.77700,15.54000,15.69000,5838300
2025-08-26,16.30000,16.30000,15.31000,16.00000,3114800
2025-08-27,16.81000,16.81000,15.23000,15.26000,3497400
2025-08-28,16.15500,16.97000,15.77000,16.47000,3853500
2025-08-29,16.59000,17.29100,15.97000,16.02000,3296900
2025-09-02,15.40000,16.67000,15.34000,16.42000,2679900
2025-09-03,16.79000,17.60000,16.20000,16.46000,2594900
2025-09-04,16.30000,16.31000,15.03000,15.21000,2394000
2025-09-05,15.56000,16.39000,14.58000,14.96000,2404100
2025-09-08,14.91000,15.97000,14.90000,15.00000,2236900
2025-09-09,15.00000,17.42000,15.00000,17.07000,3265600
2025-09-10,17.29000,17.73000,15.97000,16.03000,2641300
2025-09-11,16.00000,16.98000,15.97000,16.02000,2614500
2025-09-12,16.98000,18.04000,16.53000,17.59000,3237800
2025-09-15,16.81000,17.68000,16.60000,17.64000,2176000
2025-09-16,17.54000,18.95000,16.87000,18.51000,2454100
2025-09-17,17.86000,18.13100,16.94000,17.91000,2253800
2025-09-18,18.29000,18.99000,17.59000,17.75000,2728200
2025-09-19,17.25000,17.58000,16.62000,16.93000,2867000
2025-09-22,16.14000,16.17200,15.51000,15.66000,2662200
2025-09-23,15.54000,15.90000,15.11000,15.11000,1996800
2025-09-24,15.87500,16.47000,15.32000,15.34000,2154200
2025-09-25,14.71000,15.29000,14.42000,14.94000,1841900
2025-09-26,15.16000,15.49400,14.55000,15.34000,1595200
2025-09-29,15.56000,16.44000,15.56000,16.17000,1460800
2025-09-30,15.85000,16.14000,15.02000,15.31000,1528500
2025-10-01,15.75000,15.88000,14.93000,15.23000,2284000
2025-10-02,15.70000,16.35000,15.42200,16.22000,1787200
2025-10-03,16.03000,16.30000,15.52000,15.79000,1554800
2025-10-06,16.27000,16.72500,15.84000,16.04000,1649000
2025-10-07,15.71000,15.81000,15.03000,15.25000,1615600
2025-10-08,15.32500,17.49000,14.95000,17.36000,2797100
2025-10-09,17.15000,18.10000,16.94200,17.91000,2307200
2025-10-10,17.95000,18.28000,15.69000,15.71000,2567700
2025-10-13,15.88000,16.24000,14.85000,16.15000,1936800
2025-10-14,15.01000,16.14000,14.77000,15.76000,1088700
2025-10-15,15.82000,16.06800,14.70000,15.04000,1943800
2025-10-16,15.00000,15.29000,13.75000,13.79000,1901800
2025-10-17,13.30000,13.97000,13.09900,13.71000,1376900
2025-10-20,14.40500,14.63000,14.08000,14.41000,1347300
2025-10-21,14.00000,15.10000,13.86000,14.45000,1465200
2025-10-22,14.20000,14.30000,13.52000,13.73000,1577300
2025-10-23,14.19000,15.14000,14.08000,14.55000,1044600
2025-10-24,14.30000,14.67000,13.75000,13.85000,1197800
2025-10-27,14.32000,15.10000,14.16000,14.26000,1348100
2025-10-28,14.08000,14.31000,13.31000,13.44000,1048900
2025-10-29,13.30000,13.34000,12.13000,12.30000,2112100
2025-10-30,11.99000,12.04000,10.77500,10.78000,1566100
2025-10-31,11.10000,11.55400,10.79000,11.03000,982500
2025-11-03,10.80000,10.86500,9.42000,9.56000,3517600
2025-11-04,9.03000,9.53500,8.64500,8.66000,3491300
2025-11-05,9.16000,9.30400,8.72000,8.81000,1713700
2025-11-06,8.85000,9.19000,8.07000,8.10000,1932800
2025-11-07,8.00000,8.52000,7.40000,8.34000,2452400
2025-11-10,8.60000,8.80000,7.95000,8.42000,1860300
2025-11-11,8.25000,8.46000,8.11000,8.33000,884400
2025-11-12,8.29000,8.60000,7.91000,8.36000,1762900
2025-11-13,8.15000,8.70700,7.76000,8.18000,1644600
2025-11-14,7.50000,7.95000,6.89000,6.96500,2156700
2025-11-17,6.88000,7.12000,6.51500,6.74000,1489700
2025-11-18,6.51000,7.34000,6.48000,7.18000,1867900
2025-11-19,7.03000,7.36000,6.56000,6.87000,1100400
2025-11-20,7.36000,7.75000,6.77000,6.77000,1114200
2025-11-21,6.57000,6.64600,6.02100,6.36500,1095000
2025-11-24,6.65000,6.97000,6.50400,6.96000,1138600
2025-11-25,7.00000,7.07000,6.67500,7.00000,718900
2025-11-26,7.32000,7.70000,7.17000,7.48000,1074300
2025-11-28,7.54000,7.72900,7.36000,7.60000,544300
2025-12-01,6.99000,7.10800,6.46000,6.57500,1917800
2025-12-02,6.76000,6.99000,6.20000,6.57500,1669100
2025-12-03,6.59000,7.19000,6.35000,7.15000,1582600
2025-12-04,6.86000,7.34000,6.79000,6.98000,1343800
2025-12-05,6.94000,6.94000,5.95000,6.00000,2562700
2025-12-08,6.25000,6.31000,5.96500,6.19000,1369200
2025-12-09,6.08000,6.76000,5.93000,6.17000,1815800
2025-12-10,6.10000,6.13000,5.62500,5.83000,2718900
2025-12-11,5.82000,5.91000,5.41000,5.71000,2154000
2025-12-12,5.96000,6.36000,5.46000,5.56000,2364900
2025-12-15,5.63000,5.63500,5.13500,5.19000,1771000
2025-12-16,5.15000,5.40000,5.11000,5.27000,1164300
2025-12-17,5.33000,5.65000,4.93000,4.97000,1669100
2025-12-18,5.11000,5.36000,4.65000,4.69000,2039700
2025-12-19,4.75000,5.42000,4.71000,5.15000,2312400
2025-12-22,5.21000,5.89000,5.18000,5.61000,1947800
