date,open,high,low,close,volume
2023-10-02,5.60000,5.64000,5.31500,5.37000,43500
2023-10-03,5.41000,5.41000,5.22000,5.28000,46900
2023-10-04,5.30000,5.57000,5.24500,5.54000,46500
2023-10-05,5.52000,5.55000,5.40000,5.48000,35700
2023-10-06,5.42000,5.55500,5.22500,5.47000,39000
2023-10-09,5.42000,5.46000,5.26000,5.36000,37600
2023-10-10,5.34000,5.53000,5.34000,5.45000,34900
2023-10-11,5.49000,5.65000,5.45000,5.60000,26900
2023-10-12,5.56000,5.66000,5.22000,5.46000,43600
2023-10-13,5.50000,5.51000,5.36000,5.42000,11700
2023-10-16,5.49000,6.00000,5.49000,5.83000,41500
2023-10-17,5.84000,6.05000,5.84000,5.84000,81800
2023-10-18,5.89000,5.95000,5.35000,5.35000,32300
2023-10-19,5.43000,5.58000,5.00000,5.10000,90200
2023-10-20,5.12000,5.29000,4.98000,5.15000,169800
2023-10-23,5.13000,5.37000,5.02000,5.30000,50900
2023-10-24,5.31000,5.53000,5.23000,5.30000,32700
2023-10-25,5.26000,5.28500,5.08000,5.18000,22700
2023-10-26,5.15000,5.20500,5.03000,5.14000,19500
2023-10-27,5.21000,5.21000,5.00000,5.03000,18200
2023-10-30,5.13000,5.34000,5.02000,5.28000,58600
2023-10-31,5.67000,5.67000,5.32000,5.39000,91900
2023-11-01,5.34000,5.43000,5.08000,5.12000,59800
2023-11-02,5.27000,5.40100,5.00300,5.32000,49400
2023-11-03,5.32000,5.62000,5.32000,5.46000,52300
2023-11-06,5.51000,5.64000,5.35000,5.55000,53000
2023-11-07,6.00000,6.38000,5.84500,6.20000,174100
2023-11-08,6.20000,6.34100,5.81000,5.84000,73800
2023-11-09,5.84000,6.00000,5.43000,5.57000,85200
2023-11-10,5.59000,5.90000,5.39000,5.68000,68500
2023-11-13,5.68000,5.86000,5.45000,5.65000,79200
2023-11-14,5.86000,5.97000,5.79000,5.93000,82000
2023-11-15,5.96000,5.99300,5.72000,5.72000,33300
2023-11-16,5.63000,5.80000,5.50300,5.72000,32400
2023-11-17,5.78000,5.85000,5.36000,5.47000,75900
2023-11-20,5.48000,5.76000,5.48000,5.70000,32700
2023-11-21,5.72000,5.85000,5.72000,5.78000,29700
2023-11-22,5.88000,6.11000,5.80000,5.82000,39900
2023-11-24,5.90000,6.14000,5.83000,5.84500,12600
2023-11-27,5.79000,6.01000,5.61000,5.65000,48300
2023-11-28,5.59000,5.89000,5.58000,5.82000,37700
2023-11-29,5.85000,6.28000,5.84000,6.05000,282800
2023-11-30,6.15000,6.42000,5.94000,6.33000,99400
2023-12-01,6.30000,6.65000,6.26000,6.43000,63900
2023-12-04,6.42000,6.99000,6.32000,6.75000,182700
2023-12-05,6.72000,6.84000,6.56000,6.81000,68800
