date,open,high,low,close,volume
2023-09-27,19.61000,19.61000,19.22000,19.33000,17500
2023-09-28,19.43000,19.44000,19.14900,19.17000,34200
2023-09-29,19.35000,19.64000,18.40000,18.52000,253700
2023-10-02,18.54000,18.57000,18.00000,18.19500,13700
2023-10-03,18.16000,18.16000,17.19500,17.41000,29500
2023-10-04,17.57000,17.67700,17.34000,17.51000,44400
2023-10-05,17.61000,17.77000,17.50000,17.60000,19900
2023-10-06,17.40000,17.73000,17.23400,17.54000,27700
2023-10-09,17.55000,17.84000,17.55000,17.71000,17000
2023-10-10,17.80000,17.99000,17.62000,17.97000,18500
2023-10-11,18.06000,18.17000,18.00000,18.17000,19200
2023-10-12,18.15000,18.20000,17.75100,18.01000,40900
2023-10-13,18.21000,18.21000,17.74000,17.88000,12600
2023-10-16,17.93000,18.01000,17.74000,17.88000,9300
2023-10-17,17.77000,17.98000,17.44000,17.50000,13200
2023-10-18,17.46000,17.66000,17.32100,17.50000,26800
2023-10-19,17.58000,17.69000,17.32000,17.32000,12600
2023-10-20,17.44000,17.58000,17.26000,17.52000,14600
2023-10-23,17.38000,17.69600,17.31000,17.52000,9600
2023-10-24,17.68000,17.85000,17.54000,17.77000,5500
2023-10-25,17.84000,17.84000,17.44000,17.56000,9100
2023-10-26,17.64000,17.93000,17.58300,17.86000,23500
2023-10-27,17.91000,17.91000,17.40000,17.40000,52200
2023-10-30,17.53000,17.73000,17.36000,17.54000,13200
2023-10-31,17.62000,17.91000,17.62000,17.91000,31100
2023-11-01,18.00000,18.66000,17.85000,18.58000,30400
2023-11-02,18.99000,19.41000,18.66600,19.23000,20900
2023-11-03,19.42000,19.80000,19.24000,19.76000,29600
2023-11-06,19.68000,19.86000,19.54000,19.82000,24400
2023-11-07,19.82000,19.82000,19.57800,19.67000,3800
2023-11-08,19.75000,19.87900,19.62000,19.66000,20000
2023-11-09,19.70000,19.70000,19.20000,19.25000,16000
2023-11-10,19.52000,19.59000,19.26000,19.40000,18400
2023-11-13,19.38000,19.52000,19.04000,19.09000,34100
2023-11-14,19.54000,19.55200,19.43000,19.47000,15600
2023-11-15,19.28000,19.28000,19.08000,19.13000,9100
2023-11-16,19.26000,19.44000,19.05000,19.35000,41800
2023-11-17,19.50000,19.65000,19.26000,19.29000,17200
2023-11-20,19.22000,19.54000,19.22000,19.52000,31300
2023-11-21,19.42000,19.71000,19.42000,19.62000,30000
2023-11-22,19.64000,19.65000,19.29500,19.61000,17300
2023-11-24,19.61000,19.71000,19.31000,19.50500,18600
2023-11-27,19.59000,19.70000,19.42500,19.63000,20300
2023-11-28,19.63000,19.86000,19.50000,19.70000,27800
2023-11-29,19.85000,20.21000,19.59000,20.02000,35300
2023-11-30,20.12000,20.49000,20.03500,20.42000,88900
2023-12-01,20.45000,20.78000,20.36000,20.66000,56000
2023-12-04,20.60000,20.72000,20.41000,20.56000,39000
2023-12-05,20.66000,20.68000,20.45000,20.45000,25000
2023-12-06,20.54000,20.60000,20.43000,20.43000,10900
2023-12-07,20.51000,20.62000,20.29000,20.33000,47600
2023-12-08,20.32000,20.39000,20.20000,20.30000,19400
2023-12-11,20.33000,20.37000,20.11000,20.28000,19700
2023-12-12,20.28000,20.39000,20.19000,20.20000,17100
2023-12-13,20.28000,21.17000,20.19000,20.69000,26100
2023-12-14,20.96000,21.21000,20.69000,20.75000,30800
2023-12-15,20.93000,21.00000,20.55000,20.67000,30600
2023-12-18,20.67000,21.33000,20.49000,20.73000,42700
2023-12-19,20.84000,20.95000,20.55800,20.90000,30100
2023-12-20,20.96000,21.12000,20.80000,21.01000,25000
2023-12-21,21.21000,21.28100,20.82000,20.92000,29200
2023-12-22,21.10000,21.27000,20.87000,20.99000,25000
2023-12-26,21.03000,21.09500,20.54000,20.59000,50200
2023-12-27,20.77000,21.02000,20.53000,20.85000,17200
2023-12-28,20.99000,21.00000,20.59000,20.77000,15400
2023-12-29,20.85000,21.50000,20.54000,20.94000,262400
2024-01-02,20.79000,20.97000,20.70000,20.71000,23400
2024-01-03,20.63000,20.71000,20.30000,20.51000,24400
2024-01-04,20.51000,20.89000,20.43000,20.61000,11000
2024-01-05,20.60000,20.65000,20.44000,20.53000,8600
2024-01-08,20.62000,20.73000,20.47000,20.73000,8400
2024-01-09,20.73000,20.87000,20.62000,20.85000,8700
2024-01-10,20.75000,20.91000,20.75000,20.90000,7200
2024-01-11,20.77000,21.06000,20.68200,20.83000,14300
2024-01-12,21.00000,21.00000,20.85000,20.87400,8600
2024-01-16,20.85000,20.89000,20.67500,20.72000,10800
2024-01-17,20.72000,20.74000,20.46300,20.61000,18000
2024-01-18,20.58000,20.71000,20.41000,20.60000,21100
2024-01-19,20.67000,20.90000,20.45000,20.84000,14700
2024-01-22,21.00000,21.11000,20.88500,21.11000,9600
2024-01-23,21.11000,21.11000,20.75300,21.03000,6100
2024-01-24,21.20000,21.22000,20.90000,21.15000,13600
2024-01-25,21.21000,21.45000,20.97000,21.44000,19100
2024-01-26,21.46000,21.49000,21.23200,21.37000,18000
2024-01-29,21.36000,21.48400,21.27000,21.40000,15200
2024-01-30,21.46000,21.54800,21.31000,21.48000,13400
2024-01-31,21.48000,21.55000,21.35500,21.45000,9400
2024-02-01,21.55000,21.74000,21.36400,21.74000,14100
2024-02-02,21.65000,21.72000,21.42000,21.61000,14700
2024-02-05,21.50000,21.54000,21.39200,21.41000,8100
2024-02-06,21.40000,21.52000,21.30000,21.48000,18500
2024-02-07,21.55000,21.68000,21.29000,21.61000,14200
2024-02-08,21.58000,21.60000,21.33000,21.55000,14100
2024-02-09,21.62000,22.17000,21.50500,21.98000,26800
2024-02-12,22.08000,22.25000,22.02000,22.21000,17100
2024-02-13,21.94000,21.96000,21.40000,21.42000,49500
2024-02-14,21.24000,21.40000,21.01000,21.01000,21100
2024-02-15,21.19000,21.54000,21.09000,21.18000,7200
2024-02-16,21.20000,21.29000,20.94000,21.14000,9700
2024-02-20,21.22000,21.25000,21.03000,21.05000,15600
2024-02-21,21.20000,21.54000,21.13000,21.35000,19400
2024-02-22,21.54000,21.54000,21.12400,21.25000,12400
2024-02-23,21.43000,21.65000,21.16000,21.27000,21700
2024-02-26,21.38000,21.42000,21.13000,21.28000,8700
2024-02-27,21.35000,21.39700,20.99000,21.00000,13500
2024-02-28,21.10000,21.23000,20.95000,21.07000,11600
2024-02-29,21.20000,21.43000,20.90000,21.43000,33200
2024-03-01,21.50000,21.50000,21.06000,21.41000,12200
2024-03-04,21.37000,21.38800,21.05000,21.20000,19100
2024-03-05,21.30000,21.30000,21.02000,21.05000,8700
2024-03-06,21.22000,21.33000,21.09000,21.27000,13500
2024-03-07,21.42000,21.50000,21.18000,21.33000,12100
