date,open,high,low,close,volume
2023-10-05,75.00000,75.00000,70.50000,72.00000,884
2023-10-06,73.50000,75.00000,70.50000,70.50000,558
2023-10-09,64.50000,66.00000,61.50000,64.50000,889
2023-10-10,66.00000,66.00000,64.50000,64.50000,327
2023-10-11,64.50000,64.50000,58.50000,60.00000,1121
2023-10-12,61.50000,67.50000,58.50000,63.00000,7183
2023-10-13,64.50000,64.50000,61.50000,61.50000,837
2023-10-16,64.50000,73.50000,36.00000,37.50000,31403
2023-10-17,48.00000,49.50000,33.00000,34.50000,126689
2023-10-18,34.50000,37.50000,31.50000,33.00000,25971
2023-10-19,33.00000,33.00000,28.50000,30.00000,13212
2023-10-20,30.00000,30.00000,28.50000,28.50000,8604
2023-10-23,27.00000,28.50000,25.50000,27.00000,64802
2023-10-24,31.50000,33.00000,27.00000,27.00000,137015
2023-10-25,27.00000,27.00000,24.00000,25.50000,16666
2023-10-26,25.50000,27.00000,24.00000,27.00000,13551
2023-10-27,27.00000,27.00000,22.50000,25.50000,11037
2023-10-30,24.00000,24.00000,22.50000,22.50000,7152
2023-10-31,24.00000,24.00000,22.50000,22.50000,6399
2023-11-01,24.00000,24.00000,21.00000,22.50000,8041
2023-11-02,22.50000,22.50000,21.00000,22.50000,6334
2023-11-03,22.50000,24.00000,22.50000,22.50000,8242
2023-11-06,24.00000,24.00000,21.00000,21.00000,10434
2023-11-07,22.50000,22.50000,21.00000,21.00000,3620
2023-11-08,22.50000,22.50000,19.50000,21.00000,15179
2023-11-09,22.50000,33.00000,21.00000,27.00000,163645
2023-11-10,24.00000,24.00000,21.00000,21.00000,28160
2023-11-13,24.00000,24.00000,21.00000,22.50000,20683
2023-11-14,22.50000,24.00000,21.00000,22.50000,21641
2023-11-15,22.50000,22.50000,19.50000,21.00000,23803
2023-11-16,21.00000,22.50000,19.50000,19.50000,19465
2023-11-17,19.50000,21.00000,19.50000,19.50000,7230
2023-11-20,19.50000,21.00000,19.50000,21.00000,14706
2023-11-21,21.00000,21.00000,19.50000,19.50000,7175
2023-11-22,19.50000,19.50000,18.00000,19.50000,22099
2023-11-24,18.00000,21.00000,16.50000,19.50000,16185
2023-11-27,19.50000,19.50000,18.00000,19.50000,8757
2023-11-28,19.50000,21.00000,18.00000,19.50000,6426
2023-11-29,19.50000,22.50000,19.50000,21.00000,13063
2023-11-30,21.00000,21.00000,19.50000,21.00000,4642
2023-12-01,19.50000,22.50000,19.50000,21.00000,8166
2023-12-04,33.00000,37.50000,25.50000,28.50000,708065
2023-12-05,25.50000,25.50000,21.00000,22.50000,71543
2023-12-06,21.00000,22.50000,19.50000,21.00000,27093
2023-12-07,19.50000,21.00000,19.50000,21.00000,18731
2023-12-08,21.00000,21.00000,19.50000,19.50000,13977
2023-12-11,19.50000,19.50000,16.50000,18.00000,20618
2023-12-12,18.00000,18.00000,18.00000,18.00000,6515
