date,open,high,low,close,volume
2016-02-04,18.00000,18.42000,17.73000,17.94000,63533
2016-02-05,17.91000,18.18000,17.70000,17.76000,76233
2016-02-08,17.70000,17.76000,17.16000,17.52000,93367
2016-02-09,17.34000,17.46000,16.80000,17.10000,71767
2016-02-10,17.16000,17.31000,16.89000,16.95000,44300
2016-02-11,16.59000,16.80000,16.53000,16.68000,67233
2016-02-12,16.80000,17.22000,16.62000,17.04000,68133
2016-02-16,17.28000,17.37000,16.89000,17.34000,57767
2016-02-17,17.34000,18.00000,17.10000,17.61000,96600
2016-02-18,17.67000,17.91000,17.46000,17.85000,83267
2016-02-19,17.82000,18.39000,17.70000,18.39000,93567
2016-02-22,18.51000,18.81000,18.36000,18.66000,75300
2016-02-23,18.66000,18.81000,18.39000,18.42000,75100
2016-02-24,18.27000,18.48000,17.85000,18.39000,71933
2016-02-25,18.48000,18.87000,18.42000,18.87000,75633
2016-02-26,18.90000,19.29000,18.78000,18.87000,59967
2016-02-29,18.87000,19.29000,18.87000,19.05000,83433
2016-03-01,19.14000,19.20000,18.87000,19.14000,65667
2016-03-02,19.11000,19.29000,18.99000,19.26000,65000
2016-03-03,19.32000,19.86000,19.17000,19.83000,112967
2016-03-04,19.77000,20.10000,19.68000,19.86000,117133
2016-03-07,19.89000,20.07000,19.74000,20.07000,58000
2016-03-08,20.01000,20.07000,19.47000,19.59000,74000
2016-03-09,19.74000,19.86000,19.47000,19.62000,50200
2016-03-10,19.62000,19.74000,19.23000,19.71000,86233
2016-03-11,19.80000,20.19000,19.68000,20.16000,62367
2016-03-14,20.16000,20.22000,19.86000,20.10000,52800
2016-03-15,20.01000,20.07000,19.68000,19.71000,46300
2016-03-16,19.71000,20.01000,19.56000,20.01000,42233
2016-03-17,19.95000,20.61000,19.80000,20.52000,101933
2016-03-18,20.67000,20.76000,20.46000,20.76000,167300
2016-03-21,20.61000,20.70000,20.28000,20.55000,120800
2016-03-22,20.40000,20.64000,20.28000,20.52000,44833
2016-03-23,20.49000,20.52000,19.95000,19.95000,73200
2016-03-24,19.89000,20.22000,19.80000,20.19000,55867
2016-03-28,20.28000,20.31000,19.95000,20.22000,51600
2016-03-29,20.19000,20.67000,20.04000,20.58000,98533
2016-03-30,19.95000,20.19000,19.80000,19.95000,71300
2016-03-31,19.92000,20.16000,19.92000,19.95000,180333
2016-04-01,19.83000,20.10000,19.74000,20.04000,65167
2016-04-04,20.04000,20.07000,19.89000,19.95000,53700
2016-04-05,19.89000,20.10000,19.83000,20.10000,91767
2016-04-06,20.16000,20.22000,19.95000,20.13000,50533
2016-04-07,20.04000,20.19000,19.98000,20.19000,53400
2016-04-08,20.25000,20.34000,20.04000,20.04000,35300
2016-04-11,20.16000,20.34000,20.07000,20.25000,68467
2016-04-12,20.22000,20.40000,20.13000,20.28000,50300
2016-04-13,20.31000,20.40000,20.22000,20.40000,42533
2016-04-14,20.43000,20.61000,20.25000,20.46000,96900
2016-04-15,20.43000,20.52000,20.28000,20.31000,48167
2016-04-18,20.31000,20.40000,20.13000,20.37000,66100
2016-04-19,20.37000,20.52000,20.25000,20.34000,65867
2016-04-20,20.25000,20.46000,20.13000,20.28000,82300
2016-04-21,20.31000,20.34000,20.04000,20.13000,60967
2016-04-22,20.13000,20.19000,20.01000,20.10000,43900
2016-04-25,20.22000,20.22000,19.95000,20.19000,63200
2016-04-26,20.22000,20.55000,20.07000,20.55000,92067
2016-04-27,20.16000,20.28000,19.95000,20.13000,91000
2016-04-28,19.71000,20.01000,19.44000,19.47000,177100
2016-04-29,19.59000,19.71000,19.29000,19.50000,138767
2016-05-02,19.50000,19.65000,19.20000,19.41000,90833
2016-05-03,19.32000,19.44000,18.99000,19.26000,89133
2016-05-04,19.11000,19.65000,19.11000,19.59000,55267
2016-05-05,19.56000,19.95000,19.56000,19.59000,94400
2016-05-06,19.56000,20.04000,19.53000,19.98000,79200
2016-05-09,19.98000,20.28000,19.95000,20.22000,64367
2016-05-10,20.34000,20.37000,20.01000,20.13000,54700
2016-05-11,20.16000,20.40000,20.04000,20.28000,60000
2016-05-12,20.25000,20.49000,20.07000,20.22000,101200
2016-05-13,20.22000,20.37000,20.07000,20.25000,68900
2016-05-16,20.25000,20.49000,20.25000,20.34000,41233
2016-05-17,20.34000,20.37000,19.80000,19.95000,66967
2016-05-18,19.80000,20.07000,19.44000,19.59000,80300
2016-05-19,19.41000,19.56000,19.26000,19.38000,83600
2016-05-20,19.44000,19.53000,19.35000,19.50000,67100
2016-05-23,19.71000,19.74000,19.50000,19.56000,50300
2016-05-24,19.71000,20.01000,19.56000,19.80000,70000
2016-05-25,19.77000,20.10000,19.74000,20.01000,32967
2016-05-26,19.98000,20.10000,19.89000,19.98000,37267
2016-05-27,19.89000,20.04000,19.77000,19.86000,40833
2016-05-31,19.83000,20.10000,19.77000,20.07000,76667
2016-06-01,20.04000,20.25000,20.04000,20.25000,37633
2016-06-02,20.19000,20.28000,19.98000,20.16000,44767
2016-06-03,20.28000,20.40000,20.07000,20.22000,39200
2016-06-06,20.19000,20.40000,20.13000,20.31000,41633
2016-06-07,20.25000,20.46000,20.25000,20.40000,50067
2016-06-08,20.40000,20.70000,20.40000,20.70000,51133
2016-06-09,20.61000,20.91000,20.61000,20.85000,72267
2016-06-10,20.82000,20.97000,20.76000,20.85000,60500
2016-06-13,20.88000,20.88000,20.67000,20.67000,56633
2016-06-14,20.61000,20.73000,20.46000,20.55000,55467
2016-06-15,20.61000,20.61000,20.43000,20.43000,64967
2016-06-16,20.43000,20.82000,20.43000,20.79000,77300
2016-06-17,20.88000,20.94000,20.73000,20.91000,213300
2016-06-20,21.00000,21.00000,20.88000,20.94000,53533
2016-06-21,20.88000,20.91000,20.49000,20.52000,77033
2016-06-22,20.49000,20.64000,20.31000,20.31000,83067
2016-06-23,20.43000,20.43000,20.28000,20.31000,77933
2016-06-24,19.71000,20.46000,19.50000,20.31000,241733
2016-06-27,20.16000,20.31000,19.83000,19.98000,75267
2016-06-28,20.07000,20.40000,19.86000,20.16000,210467
2016-06-29,20.25000,20.55000,20.16000,20.52000,98200
2016-06-30,20.46000,20.85000,20.40000,20.82000,166433
2016-07-01,20.22000,20.43000,20.07000,20.19000,130500
2016-07-05,20.10000,20.19000,19.95000,20.01000,79333
2016-07-06,19.92000,20.16000,19.86000,20.07000,78600
2016-07-07,19.98000,20.07000,19.68000,19.80000,72833
2016-07-08,19.74000,19.95000,19.74000,19.89000,84000
2016-07-11,19.92000,20.10000,19.71000,20.04000,99200
2016-07-12,20.10000,20.13000,19.92000,20.01000,184400
2016-07-13,20.04000,20.10000,19.92000,20.04000,118933
2016-07-14,20.01000,20.13000,19.98000,20.04000,94067
2016-07-15,20.10000,20.13000,19.92000,20.04000,88100
2016-07-18,19.95000,20.25000,19.95000,20.25000,55667
2016-07-19,20.25000,20.37000,20.10000,20.28000,57600
2016-07-20,20.13000,20.40000,20.13000,20.28000,79500
2016-07-21,20.25000,20.40000,20.22000,20.28000,51900
2016-07-22,20.34000,20.49000,20.31000,20.40000,50900
2016-07-25,20.37000,20.46000,20.28000,20.37000,40867
2016-07-26,20.46000,20.52000,20.37000,20.46000,43667
2016-07-27,20.40000,20.70000,20.34000,20.43000,60467
2016-07-28,20.55000,20.97000,20.40000,20.88000,123333
2016-07-29,20.97000,21.24000,20.88000,21.06000,156900
2016-08-01,21.15000,21.45000,21.09000,21.39000,107233
2016-08-02,21.45000,21.48000,21.24000,21.30000,93500
2016-08-03,21.24000,21.57000,21.18000,21.57000,96767
2016-08-04,21.48000,21.81000,21.48000,21.72000,86767
2016-08-05,21.78000,22.20000,21.69000,22.17000,114433
2016-08-08,22.26000,22.35000,22.20000,22.23000,44400
2016-08-09,22.17000,22.44000,22.17000,22.41000,56400
2016-08-10,22.50000,22.50000,22.32000,22.41000,41933
2016-08-11,22.35000,22.38000,22.23000,22.32000,39267
2016-08-12,22.29000,22.47000,22.23000,22.26000,39667
2016-08-15,22.20000,22.32000,22.14000,22.20000,50967
2016-08-16,22.05000,22.17000,22.02000,22.05000,54233
2016-08-17,21.99000,22.26000,21.99000,22.23000,59933
2016-08-18,22.32000,22.50000,22.20000,22.35000,62200
2016-08-19,22.35000,22.35000,22.14000,22.23000,44667
2016-08-22,22.29000,22.38000,22.17000,22.38000,46100
2016-08-23,22.47000,22.68000,22.35000,22.50000,67300
2016-08-24,22.50000,22.50000,22.26000,22.41000,55567
2016-08-25,22.47000,22.53000,22.38000,22.44000,46300
2016-08-26,22.50000,22.50000,21.93000,21.96000,80200
2016-08-29,21.87000,22.26000,21.87000,22.08000,42967
2016-08-30,22.14000,22.14000,21.96000,22.08000,49733
2016-08-31,22.08000,22.14000,21.90000,22.05000,78333
2016-09-01,22.05000,22.08000,21.75000,22.08000,47933
2016-09-02,22.14000,22.44000,22.14000,22.29000,75267
2016-09-06,22.20000,22.65000,22.14000,22.53000,96100
2016-09-07,22.59000,22.80000,22.53000,22.74000,76900
2016-09-08,22.71000,22.83000,22.62000,22.74000,54833
2016-09-09,22.65000,22.74000,21.75000,21.78000,75167
2016-09-12,21.75000,22.08000,21.51000,21.96000,87000
2016-09-13,21.93000,22.02000,21.69000,21.69000,59367
2016-09-14,21.75000,21.96000,21.63000,21.81000,42933
2016-09-15,21.93000,22.02000,21.78000,21.93000,47267
