date,open,high,low,close,volume
2016-02-04,27.02422,27.81142,27.02422,27.60381,1720937
2016-02-05,27.56055,27.75087,27.20588,27.24048,2698566
2016-02-08,26.60035,26.71280,26.09862,26.55709,3490080
2016-02-09,26.30623,26.95502,26.28893,26.64360,3887628
2016-02-10,20.99481,24.38581,20.99481,23.97924,8025068
2016-02-11,23.55536,24.17820,23.13149,23.39965,4869419
2016-02-12,23.57266,24.00519,23.27855,23.89273,2458350
2016-02-16,24.30796,24.57612,23.84083,23.91003,2457078
2016-02-17,24.03114,24.28201,23.65052,24.23875,2083228
2016-02-18,24.17820,24.24740,23.68512,23.81488,2361708
2016-02-19,23.52941,23.82353,23.27855,23.74567,2166691
2016-02-22,24.06574,24.30796,23.75433,24.03114,1602678
2016-02-23,24.00519,24.30796,23.88408,23.94464,1882546
2016-02-24,23.44291,24.12630,23.44291,24.03979,2493954
2016-02-25,24.06574,24.15225,23.65052,24.11765,2573256
2016-02-26,24.28201,24.75779,23.91869,24.67993,2376389
2016-02-29,24.60208,25.17301,24.33391,24.92215,2530715
2016-03-01,25.11246,25.95156,24.98270,25.73529,3696079
2016-03-02,25.73529,26.15917,25.61419,26.14187,1999186
2016-03-03,26.16782,26.62630,26.01211,26.61765,1604528
2016-03-04,26.60900,26.63495,26.16782,26.39273,1566149
2016-03-07,26.33218,26.73010,26.18512,26.55709,1345237
2016-03-08,26.41003,26.55709,25.74394,25.97751,2358818
2016-03-09,26.16782,26.28893,25.96886,26.21972,1249636
2016-03-10,26.27163,26.58304,25.65744,26.03806,1370554
2016-03-11,26.23702,26.63495,26.21972,26.43599,932198
2016-03-14,26.41869,26.68685,25.93426,26.49654,975202
2016-03-15,26.37543,26.79931,26.30623,26.73010,1345584
2016-03-16,26.65225,26.76471,26.35813,26.72145,934973
2016-03-17,26.73875,27.40484,26.68685,27.32699,915436
2016-03-18,27.30104,27.48270,27.05017,27.19723,1417834
2016-03-21,27.11938,27.37889,27.09343,27.31834,805963
2016-03-22,27.25779,27.44810,27.17128,27.33564,816252
2016-03-23,27.30104,27.59516,27.18858,27.37889,843996
2016-03-24,27.23183,27.56920,27.16263,27.56055,718223
2016-03-28,27.64706,28.23529,27.53460,27.99308,1970055
2016-03-29,27.94118,29.00519,27.89792,28.96194,3758734
2016-03-30,29.07439,29.57612,29.03114,29.43772,1790297
2016-03-31,29.43772,29.83564,29.32526,29.74913,1363155
2016-04-01,29.48097,29.67128,29.12630,29.64533,1804747
2016-04-04,29.67993,29.74913,29.03979,29.15225,1504303
2016-04-05,28.95329,29.09170,28.69377,28.72837,1385466
2016-04-06,28.72837,28.99654,28.59862,28.97924,720766
2016-04-07,28.89273,28.91003,28.30450,28.52076,1082478
2016-04-08,28.74567,28.98789,28.61592,28.82353,773017
2016-04-11,28.98789,29.19550,28.61592,28.65052,637650
2016-04-12,28.65917,28.97924,28.49481,28.71972,834054
2016-04-13,28.43426,28.82353,28.23529,28.82353,1264548
2016-04-14,28.77163,29.12630,28.72837,28.92734,602392
2016-04-15,29.01384,29.23010,28.88408,28.91869,1056931
2016-04-18,28.71107,28.97924,28.51211,28.90138,2186343
2016-04-19,28.91869,29.23010,28.47751,28.60727,1542220
2016-04-20,28.66782,28.91869,28.52076,28.66782,2076870
2016-04-21,28.58131,28.86678,28.46886,28.61592,1145943
2016-04-22,28.52941,28.79758,28.48616,28.75433,1807290
2016-04-25,28.57266,28.84948,28.37370,28.56401,1607996
2016-04-26,28.60727,28.97924,28.47751,28.78893,975086
2016-04-27,28.78028,29.08304,28.58997,29.03979,999246
2016-04-28,28.95329,29.30796,28.77163,28.82353,922719
2016-04-29,28.78893,28.78893,28.12284,28.65917,1374600
2016-05-02,28.68512,29.00519,28.58131,28.99654,987455
2016-05-03,28.83218,28.86678,28.34775,28.58997,922950
2016-05-04,28.45156,28.52941,28.21799,28.28720,920292
2016-05-05,28.22664,28.84083,28.20934,28.58997,1251254
2016-05-06,28.40830,29.03979,28.26125,29.01384,721806
2016-05-09,29.07439,29.30796,28.94464,29.04844,841106
2016-05-10,29.20415,29.51557,29.05709,29.50692,1075196
2016-05-11,29.41176,29.57612,29.10900,29.20415,1071265
2016-05-12,29.37716,29.37716,28.84083,29.16955,1060861
2016-05-13,29.18685,29.44637,29.00519,29.26471,917402
2016-05-16,29.27336,29.97405,29.27336,29.74913,1520487
2016-05-17,29.77509,29.97405,29.35121,29.42042,1259115
2016-05-18,29.42042,29.76644,29.30796,29.56747,814518
2016-05-19,29.54152,30.01730,29.50692,29.79239,1304084
2016-05-20,29.81834,30.32872,29.80104,30.28547,1612389
2016-05-23,30.25952,30.40657,30.08651,30.27682,1056353
2016-05-24,30.34602,31.15917,30.34602,30.83910,4014672
2016-05-25,41.01211,44.03114,40.31142,43.81488,24940353
2016-05-26,43.71972,44.20415,41.59170,41.68685,12261114
2016-05-27,41.63495,42.69896,41.53979,42.59516,3583369
2016-05-31,42.59516,42.82007,42.40484,42.56055,2964215
2016-06-01,42.23183,42.54325,42.14533,42.37889,1989823
2016-06-02,42.30969,43.64187,42.16263,43.62457,2596145
2016-06-03,43.32180,44.00519,43.10554,43.99654,2316277
2016-06-06,43.94464,44.68858,43.89273,44.66263,2474649
2016-06-07,44.55017,45.00865,44.34256,44.73183,2330958
2016-06-08,44.73183,45.34602,44.61073,45.34602,2688047
2016-06-09,45.11246,45.45848,45.02595,45.41523,2202064
2016-06-10,44.80104,44.87889,44.45502,44.67993,1603141
2016-06-13,44.41177,44.80104,44.20415,44.60208,1655161
2016-06-14,44.46367,44.88754,44.29066,44.71453,1687066
2016-06-15,44.74913,45.07785,44.45502,44.69723,1409858
2016-06-16,44.23875,44.35121,43.91003,44.11765,2800757
2016-06-17,43.91869,43.94464,43.39100,43.51211,2365638
2016-06-20,44.09170,44.54152,44.06574,44.23010,2225878
2016-06-21,44.28201,44.44637,44.00519,44.23010,1846594
2016-06-22,44.42907,44.42907,44.02249,44.11765,1295182
2016-06-23,44.61938,44.85294,44.38581,44.81834,1683252
2016-06-24,43.31315,43.65052,42.74221,42.80277,5603248
2016-06-27,42.08477,42.17993,40.53633,40.54498,3476208
2016-06-28,40.98616,41.28028,40.80450,41.16782,1991441
2016-06-29,41.67820,42.15398,41.43599,41.98097,2888844
2016-06-30,42.00692,42.94983,42.00692,42.94983,2363442
2016-07-01,42.88927,43.01038,42.55190,42.75952,1245474
2016-07-05,42.47405,42.75087,42.03287,42.31834,1239810
2016-07-06,42.02422,42.50000,41.73875,42.37889,2105770
2016-07-07,42.55190,42.69896,42.02422,42.21453,1661519
2016-07-08,42.68166,43.25259,42.41349,42.85467,1005951
2016-07-11,43.00173,43.20934,42.77682,42.92387,1259462
2016-07-12,43.26125,43.40830,42.47405,42.53460,1831335
2016-07-13,42.73356,42.91523,42.11073,42.11938,1612620
2016-07-14,42.51730,42.67301,41.96367,42.37024,1483495
2016-07-15,42.23183,42.54325,41.85986,42.05017,1385697
2016-07-18,41.98962,42.28374,41.98962,42.06747,665278
2016-07-19,42.07613,42.18858,41.34083,41.71280,2299978
2016-07-20,41.99827,42.25779,41.60900,41.99827,1611695
2016-07-21,41.85121,42.05882,41.18512,41.31488,1772264
2016-07-22,41.26298,41.59170,40.97751,41.48789,930349
2016-07-25,41.51384,41.52249,41.31488,41.48789,745504
2016-07-26,41.52249,41.74741,41.32353,41.62630,983409
2016-07-27,41.91177,41.91177,41.36678,41.56574,796715
2016-07-28,41.51384,41.64360,41.25433,41.26298,847695
2016-07-29,41.28893,41.76471,40.83910,41.37543,1956877
2016-08-01,41.38408,41.75605,41.11592,41.38408,811974
2016-08-02,41.41003,41.41869,40.92561,41.16782,1270213
2016-08-03,41.14187,41.62630,40.91695,41.21107,1229984
2016-08-04,41.15052,41.52249,41.14187,41.51384,945146
2016-08-05,41.52249,42.18858,41.21107,41.97232,894166
2016-08-08,41.92907,41.92907,41.26298,41.53979,1469970
2016-08-09,41.52249,42.56055,40.86505,41.31488,4115360
2016-08-10,41.20242,41.26298,40.00865,40.51903,2079528
2016-08-11,40.56228,40.86505,40.26817,40.68339,1293795
2016-08-12,40.46713,40.84775,40.28547,40.38927,2011324
2016-08-15,40.38062,41.04671,40.38062,40.96021,1747178
2016-08-16,40.74395,40.91695,40.21626,40.45848,2267263
2016-08-17,40.32007,40.33737,39.40311,39.56747,1305702
2016-08-18,39.56747,39.87889,39.24741,39.58477,2996005
2016-08-19,39.50692,39.86159,39.48962,39.82699,1847172
2016-08-22,39.73183,40.46713,39.64533,40.46713,1492396
2016-08-23,40.71799,41.02941,40.54498,40.96021,1812955
2016-08-24,40.95156,40.96021,40.19031,40.48443,1731226
2016-08-25,40.37197,40.76125,40.12111,40.62284,1058896
2016-08-26,40.72664,40.76990,39.84429,39.88754,832551
2016-08-29,39.72318,40.63149,39.72318,40.32007,969306
2016-08-30,40.42387,40.49308,40.07785,40.48443,1082247
2016-08-31,40.33737,40.74395,39.93945,40.69204,1357260
2016-09-01,40.73529,41.84256,40.54498,41.20242,2335236
2016-09-02,41.51384,42.62976,41.48789,42.45675,2041265
2016-09-06,42.73356,42.73356,41.47059,41.52249,1283622
2016-09-07,41.47924,41.57439,41.28028,41.29758,1843242
2016-09-08,41.20242,41.24567,40.63149,40.74395,1598748
2016-09-09,40.44983,40.53633,39.99135,40.15571,1680130
2016-09-12,39.96540,40.94291,39.96540,40.82180,2704000
2016-09-13,40.51903,40.55363,39.40311,39.64533,1534821
2016-09-14,39.58477,40.06920,39.46367,40.05190,1627532
2016-09-15,40.13841,42.38754,40.02595,41.92041,3046869
2016-09-16,41.79931,42.35294,41.05536,42.29239,3121200
2016-09-19,42.49135,44.02249,42.49135,43.07093,3119697
2016-09-20,43.56401,43.68512,42.62976,42.65571,1483610
2016-09-21,43.37370,44.46367,43.07959,44.42907,2468176
2016-09-22,44.67128,45.01730,44.54152,44.87024,1611117
2016-09-23,44.46367,44.89619,44.29931,44.61073,1701863
2016-09-26,44.18685,44.72318,43.62457,44.60208,2866186
2016-09-27,44.58477,45.09516,44.29066,45.06920,1222239
2016-09-28,44.97405,45.83910,44.66263,45.76125,1764981
2016-09-29,45.79585,46.24567,44.89619,45.19896,1307667
