date,open,high,low,close,volume
2025-03-21,13.38000,13.44000,13.20000,13.23000,2006600
2025-03-24,13.39000,13.45000,13.25000,13.41000,992900
2025-03-25,13.45000,13.49000,13.30000,13.39000,885000
2025-03-26,13.41000,13.47000,13.16000,13.27000,811600
2025-03-27,13.30000,13.44000,13.26000,13.36000,646000
2025-03-28,13.35000,13.38000,13.13000,13.28000,912300
2025-03-31,13.06000,13.29000,13.01000,13.26000,884700
2025-04-01,13.26000,13.31000,13.11000,13.25000,695500
2025-04-02,13.21000,13.21000,13.07000,13.19000,797700
2025-04-03,12.98000,13.22000,12.98000,13.08000,1388900
2025-04-04,12.74000,12.85000,12.27000,12.43000,1963200
2025-04-07,11.58000,12.40000,11.41000,11.77000,2927100
2025-04-08,12.20000,12.27000,11.46000,11.59000,2000400
2025-04-09,11.42000,12.21000,11.12000,12.10000,2633800
2025-04-10,11.95000,11.95000,11.31000,11.53000,1867700
2025-04-11,11.53000,11.67000,11.33000,11.60000,1156200
2025-04-14,11.81000,12.07000,11.71000,11.95000,1141800
2025-04-15,11.99000,12.20000,11.93000,12.09000,950600
2025-04-16,12.08000,12.11000,11.90000,11.98000,846300
2025-04-17,12.00000,12.26000,11.99000,12.19000,821800
2025-04-21,12.11000,12.12000,11.87000,12.09000,944000
2025-04-22,12.23000,12.57000,12.19000,12.55000,1184600
2025-04-23,12.70000,12.77000,12.57000,12.65000,1180200
2025-04-24,12.66000,12.85000,12.59000,12.78000,1103000
2025-04-25,12.78000,13.01000,12.76000,12.98000,988500
2025-04-28,13.00000,13.15000,12.95000,13.11000,832700
2025-04-29,13.08000,13.28000,13.00000,13.23000,1257100
2025-04-30,12.99000,13.14000,12.78000,13.03000,736600
2025-05-01,13.06000,13.16000,12.94000,12.96000,716300
2025-05-02,13.07000,13.09000,12.95000,13.02000,677700
2025-05-05,12.94000,13.00000,12.89000,12.90000,618400
2025-05-06,12.86000,12.89000,12.73000,12.75000,692600
2025-05-07,12.76000,12.92000,12.76000,12.78000,796400
2025-05-08,12.84000,13.06000,12.71000,12.94000,921300
2025-05-09,12.96000,13.03000,12.86000,12.94000,569000
2025-05-12,13.05000,13.12000,12.89000,12.99000,815600
2025-05-13,13.02000,13.09000,13.00000,13.07000,700200
2025-05-14,13.05000,13.08000,12.99000,13.03000,778500
2025-05-15,13.11000,13.33000,13.10000,13.28000,912700
2025-05-16,13.30000,13.38000,13.21000,13.25000,1223900
2025-05-19,13.19000,13.19000,12.95000,13.11000,1037300
2025-05-20,13.05000,13.12000,12.96000,13.04000,963300
2025-05-21,12.99000,13.00000,12.56000,12.60000,1071900
2025-05-22,12.61000,12.77000,12.40000,12.66000,873900
2025-05-23,12.58000,12.72000,12.53000,12.60000,922300
2025-05-27,12.74000,12.84000,12.65000,12.81000,1070900
2025-05-28,12.78000,12.85000,12.69000,12.74000,731200
2025-05-29,12.80000,12.88000,12.75000,12.83000,901800
2025-05-30,12.63000,12.70000,12.51000,12.57000,1065300
2025-06-02,12.53000,12.53000,12.35000,12.39000,805300
2025-06-03,12.40000,12.62000,12.30000,12.51000,758300
2025-06-04,12.51000,12.55000,12.43000,12.50000,658800
2025-06-05,12.52000,12.67000,12.46000,12.57000,656700
2025-06-06,12.61000,12.72000,12.60000,12.69000,506900
2025-06-09,12.74000,12.88000,12.72000,12.77000,831100
2025-06-10,12.78000,12.98000,12.72000,12.95000,737200
2025-06-11,13.00000,13.09000,12.94000,12.97000,676300
2025-06-12,12.94000,13.08000,12.86000,13.07000,756800
2025-06-13,12.97000,13.05000,12.86000,12.87000,762800
2025-06-16,13.01000,13.03000,12.82000,12.84000,686300
2025-06-17,12.81000,12.86000,12.66000,12.67000,677900
2025-06-18,12.68000,12.89000,12.63000,12.80000,620700
2025-06-20,12.87000,12.92000,12.80000,12.88000,2646300
2025-06-23,12.82000,12.94000,12.67000,12.93000,786100
2025-06-24,13.04000,13.11000,12.97000,13.00000,807400
2025-06-25,12.94000,13.05000,12.89000,12.95000,702500
2025-06-26,13.04000,13.16000,13.00000,13.14000,860100
2025-06-27,13.18000,13.19000,12.98000,12.98000,2198400
2025-06-30,12.92000,12.99000,12.83000,12.99000,853700
2025-07-01,12.90000,13.12000,12.90000,12.97000,1036500
2025-07-02,12.95000,13.11000,12.95000,13.09000,1038500
2025-07-03,13.05000,13.18000,13.01000,13.16000,723200
2025-07-07,13.10000,13.20000,12.99000,13.02000,817300
2025-07-08,13.00000,13.23000,13.00000,13.19000,962800
2025-07-09,13.25000,13.38000,13.20000,13.28000,995200
2025-07-10,13.25000,13.34000,13.17000,13.24000,1045000
2025-07-11,13.17000,13.27000,13.16000,13.22000,624800
2025-07-14,13.21000,13.30000,13.18000,13.26000,617200
2025-07-15,13.27000,13.32000,13.17000,13.20000,643900
2025-07-16,13.22000,13.38000,13.21000,13.37000,806300
2025-07-17,13.31000,13.40000,13.24000,13.24000,733200
2025-07-18,13.32000,13.34000,13.08000,13.13000,861700
2025-07-21,13.19000,13.31000,13.12000,13.16000,1282600
2025-07-22,13.17000,13.28000,13.13000,13.19000,1001200
2025-07-23,13.21000,13.35000,13.19000,13.33000,1071300
2025-07-24,13.33000,13.43000,13.24000,13.25000,890700
2025-07-25,13.31000,13.32000,13.11000,13.24000,1009800
2025-07-28,13.26000,13.29000,13.04000,13.08000,990000
2025-07-29,13.15000,13.21000,13.08000,13.16000,863500
2025-07-30,13.17000,13.21000,12.94000,12.97000,1537200
