date,open,high,low,close,volume
2023-10-02,1.49000,1.49000,1.36000,1.44000,39100
2023-10-03,1.38000,1.41000,1.31000,1.39000,17000
2023-10-04,1.30000,1.36000,1.30000,1.35000,11400
2023-10-05,1.38000,1.47000,1.29000,1.29000,13900
2023-10-06,1.42000,1.42000,1.31100,1.36200,22300
2023-10-09,1.33000,1.33000,1.26500,1.31000,72000
2023-10-10,1.34000,1.37000,1.28000,1.30000,19800
2023-10-11,1.28000,1.41000,1.27000,1.30000,58400
2023-10-12,1.30000,1.37800,1.27000,1.36000,42400
2023-10-13,1.32000,1.44000,1.31000,1.42000,33900
2023-10-16,1.39000,1.51000,1.29000,1.44000,51400
2023-10-17,1.38900,1.49000,1.38900,1.41000,16900
2023-10-18,1.41000,1.44000,1.29000,1.33000,15900
2023-10-19,1.27000,1.36000,1.27000,1.32000,18200
2023-10-20,1.29200,1.34000,1.29000,1.31000,18500
2023-10-23,1.27000,1.37900,1.27000,1.27000,30300
2023-10-24,1.39000,1.39000,1.16000,1.17000,51000
2023-10-25,1.24600,1.24600,1.22000,1.22000,1400
2023-10-26,1.23600,1.36000,1.14000,1.15000,195900
2023-10-27,1.30000,1.33300,1.17000,1.19000,4100
2023-10-30,1.14000,1.24000,1.14000,1.20000,10300
2023-10-31,1.21000,1.22000,1.17000,1.17000,19500
2023-11-01,1.20000,1.40000,1.20000,1.32000,67100
2023-11-02,1.37400,1.39000,1.33400,1.34000,4000
2023-11-03,1.38000,1.48000,1.37000,1.37000,54300
2023-11-06,1.33000,1.43000,1.33000,1.38000,9900
2023-11-07,1.43000,1.49000,1.40000,1.45000,45100
2023-11-08,1.52400,1.65000,1.45000,1.64000,44500
2023-11-09,1.55000,1.61000,1.44000,1.47000,86600
2023-11-10,1.42000,1.54000,1.39000,1.47000,29600
2023-11-13,1.53000,1.53000,1.40000,1.46000,21500
2023-11-14,1.59000,1.64000,1.48000,1.63000,112100
2023-11-15,1.62000,1.69000,1.60000,1.64000,19300
2023-11-16,1.64000,1.64000,1.56000,1.61000,9700
2023-11-17,1.39200,1.60000,1.39200,1.60000,8700
2023-11-20,1.64000,1.64000,1.44600,1.62000,19600
2023-11-21,1.55000,1.68000,1.55000,1.63000,26100
2023-11-22,1.63000,1.70000,1.63000,1.70000,12700
2023-11-24,1.71200,1.85000,1.70000,1.85000,41900
2023-11-27,1.69000,1.83000,1.68000,1.75000,25300
2023-11-28,1.66000,1.82000,1.66000,1.82000,8600
2023-11-29,1.71000,1.80000,1.63500,1.79000,6900
2023-11-30,1.81000,1.85000,1.77000,1.83000,19900
2023-12-01,1.84000,2.18500,1.79000,2.06000,75500
2023-12-04,2.01000,2.47000,2.01000,2.32000,47300
2023-12-05,2.49000,2.49000,2.22000,2.24000,39400
2023-12-06,2.27000,2.35400,2.13400,2.27000,29500
2023-12-07,2.38000,2.38000,1.98000,2.00000,204500
2023-12-08,1.97500,2.04900,1.94000,2.00000,117900
2023-12-11,2.00000,2.07000,1.80000,2.00000,13500
2023-12-12,1.91000,2.07000,1.91000,1.99000,12100
2023-12-13,2.00500,2.04000,1.91000,1.91000,306200
2023-12-14,2.04500,2.04500,1.98000,1.98000,100300
2023-12-15,2.14000,2.14000,1.96000,1.96000,156000
2023-12-18,1.96000,2.00000,1.94000,1.94000,31100
2023-12-19,2.00000,2.01000,1.98000,1.98000,56400
2023-12-20,2.13000,2.13000,1.86000,1.95000,51600
2023-12-21,1.98000,2.08000,1.94000,1.95000,133600
2023-12-22,1.97000,2.05000,1.96000,2.04000,12300
2023-12-26,1.97000,2.17000,1.97000,2.14000,11800
2023-12-27,2.16400,2.28000,2.10000,2.22000,13700
2023-12-28,2.29000,2.29000,2.12000,2.12000,13400
2023-12-29,2.29200,2.29200,2.15000,2.16000,6500
2024-01-02,2.19000,2.50000,2.16000,2.50000,46100
2024-01-03,2.58000,2.96000,2.51000,2.81000,113500
2024-01-04,2.90000,2.91500,2.56200,2.81000,15400
2024-01-05,2.72800,3.40000,2.64900,3.40000,36000
2024-01-08,3.45000,3.59900,3.20000,3.34000,54300
2024-01-09,3.34000,3.44500,3.00000,3.17000,103100
2024-01-10,3.06000,3.38000,2.54300,3.00000,30200
2024-01-11,3.03500,3.34000,3.00000,3.23000,24300
2024-01-12,3.24000,3.28000,3.09400,3.24000,28200
2024-01-16,3.12000,3.37000,3.12000,3.37000,3700
2024-01-17,3.33000,3.44000,3.17000,3.44000,9500
2024-01-18,3.42000,3.65000,3.24900,3.53000,30400
2024-01-19,3.51000,3.99000,3.51000,3.99000,34300
2024-01-22,4.08000,4.08300,3.83000,3.97000,48200
