date,open,high,low,close,volume
2023-10-02,24.04000,24.04000,23.53000,23.88000,21900
2023-10-03,23.90000,24.00000,23.45000,23.81000,21800
2023-10-04,23.82000,24.38000,23.60000,24.07000,25600
2023-10-05,24.18000,24.75000,24.18000,24.65000,36400
2023-10-06,24.57000,25.33000,24.31000,24.75000,15800
2023-10-09,24.49000,24.92000,24.23000,24.46000,21000
2023-10-10,24.76000,25.18000,24.44000,24.45000,17800
2023-10-11,24.26000,24.88000,24.26000,24.70000,16900
2023-10-12,24.90000,24.90000,24.13000,24.59000,18900
2023-10-13,24.47000,24.61000,23.78000,23.85000,15900
2023-10-16,24.26000,24.52000,23.73000,24.51000,18600
2023-10-17,24.49000,25.60000,24.41000,24.73000,24700
2023-10-18,24.40000,24.77000,23.64000,23.90000,50100
2023-10-19,24.20000,24.20000,23.75000,23.93000,82900
2023-10-20,24.00000,24.00000,23.39000,23.53000,66400
2023-10-23,23.32000,24.10000,23.32000,23.59000,47200
2023-10-24,23.66000,23.92000,23.38000,23.76000,68600
2023-10-25,23.54000,24.00000,23.43000,23.81000,43600
2023-10-26,23.98000,24.21000,22.78000,24.14000,76600
2023-10-27,23.95000,24.12000,23.24000,23.72000,70700
2023-10-30,24.08000,24.33000,23.76000,24.00000,76100
2023-10-31,23.82000,24.44000,23.82000,24.20000,44700
2023-11-01,24.28000,24.79000,24.28000,24.40000,31400
2023-11-02,24.70000,25.48000,24.70000,25.20000,65500
2023-11-03,25.87000,26.87000,25.87000,26.26000,51500
2023-11-06,26.39000,26.65000,26.11000,26.24000,30200
2023-11-07,26.21000,26.21000,25.65000,25.92000,18800
2023-11-08,25.49000,25.56000,25.32000,25.51000,16200
2023-11-09,25.78000,25.78000,24.76000,25.16000,19900
2023-11-10,25.46000,25.58000,25.35000,25.37000,21700
2023-11-13,25.00000,25.63000,25.00000,25.45000,14400
2023-11-14,25.75000,27.50000,25.74000,27.38000,51600
2023-11-15,27.16000,27.80000,27.16000,27.34000,24800
2023-11-16,27.07000,27.25000,26.61000,26.89000,14000
2023-11-17,27.31000,27.55000,26.16000,27.48000,30200
2023-11-20,27.15000,27.31000,26.68000,26.95000,19900
2023-11-21,26.99000,26.99000,25.70000,26.08000,58000
2023-11-22,26.45000,26.65000,26.10000,26.23000,16300
2023-11-24,26.13000,26.75000,25.88000,26.62000,16500
2023-11-27,26.50000,26.78000,25.95000,26.07000,19400
2023-11-28,25.28000,26.06000,25.28000,25.73000,16300
2023-11-29,26.02000,26.80000,26.02000,26.39000,22700
2023-11-30,26.02000,26.02000,24.92000,25.23000,93400
2023-12-01,25.35000,26.96000,25.35000,26.70000,65400
2023-12-04,26.82000,27.54000,26.44000,27.25000,28200
2023-12-05,27.27000,27.27000,26.77000,26.89000,19400
2023-12-06,27.28000,29.90000,27.28000,29.70000,139300
2023-12-07,29.86000,31.74000,29.86000,31.69000,90200
2023-12-08,31.61000,32.50000,31.60000,32.06000,110100
2023-12-11,32.03000,32.52000,32.00000,32.24000,36600
2023-12-12,32.51000,32.98000,32.40000,32.96000,59000
2023-12-13,32.99000,34.21000,32.46000,33.77000,103000
2023-12-14,34.50000,34.50000,33.41000,33.87000,74600
2023-12-15,34.37000,34.37000,32.76000,32.76000,188600
2023-12-18,32.31000,33.30000,32.31000,33.13000,61200
2023-12-19,33.42000,34.14000,33.42000,33.93000,57700
2023-12-20,33.80000,34.69000,33.56000,33.75000,51900
2023-12-21,33.97000,34.19000,33.75000,34.17000,40800
2023-12-22,34.63000,34.63000,34.03000,34.17000,50400
2023-12-26,34.21000,34.92000,34.21000,34.69000,39100
2023-12-27,34.46000,34.87000,34.40000,34.54000,27000
2023-12-28,34.50000,34.60000,33.97000,34.31000,40700
2023-12-29,34.49000,34.99000,33.89000,33.90000,93800
2024-01-02,33.67000,34.07000,33.55000,33.77000,63100
2024-01-03,33.79000,33.92000,33.13000,33.35000,86300
2024-01-04,33.59000,33.95000,33.57000,33.66000,38300
2024-01-05,33.35000,34.64000,33.35000,34.25000,120800
2024-01-08,34.40000,34.75000,34.20000,34.56000,76600
2024-01-09,34.50000,34.73000,33.90000,34.05000,120300
2024-01-10,33.87000,34.00000,33.21000,33.45000,57300
2024-01-11,33.27000,33.75000,32.36000,33.07000,44600
2024-01-12,33.21000,33.45000,32.41000,32.74000,40000
2024-01-16,32.74000,32.77000,31.68000,32.00000,35800
2024-01-17,31.49000,32.47000,31.10000,32.09000,42400
2024-01-18,32.24000,32.24000,31.92000,32.07000,25900
2024-01-19,32.27000,32.65000,31.83000,32.54000,51000
2024-01-22,32.88000,33.46000,32.88000,33.42000,28700
2024-01-23,33.50000,33.50000,32.98000,33.31000,66000
2024-01-24,33.50000,34.25000,33.36000,34.16000,82300
2024-01-25,34.80000,34.80000,32.22000,33.55000,72700
2024-01-26,33.85000,33.85000,33.31000,33.66000,35700
2024-01-29,33.57000,34.74000,33.57000,34.41000,65100
2024-01-30,34.31000,34.75000,34.31000,34.66000,41900
2024-01-31,34.23000,34.64000,32.81000,32.85000,84700
2024-02-01,33.35000,33.52000,31.61000,32.40000,62500
2024-02-02,31.87000,32.57000,31.51000,32.12000,49200
2024-02-05,31.76000,32.66000,31.61000,32.29000,50600
2024-02-06,32.23000,32.76000,32.05000,32.22000,48200
2024-02-07,32.12000,32.21000,31.35000,32.16000,103000
2024-02-08,31.96000,32.60000,31.80000,32.50000,126500
2024-02-09,32.63000,32.74000,32.20000,32.45000,49100
2024-02-12,32.32000,33.65000,32.32000,33.31000,69500
2024-02-13,32.06000,32.06000,31.30000,31.64000,106000
2024-02-14,32.02000,32.76000,31.83000,32.46000,73100
2024-02-15,32.62000,33.87000,32.01000,33.55000,50900
2024-02-16,33.30000,33.78000,33.01000,33.02000,37900
2024-02-20,32.48000,33.20000,32.48000,32.57000,37700
2024-02-21,32.33000,32.70000,32.33000,32.51000,62200
2024-02-22,32.37000,32.57000,31.91000,32.00000,80800
2024-02-23,31.96000,32.38000,31.89000,31.89000,19200
2024-02-26,31.46000,32.56000,31.46000,32.31000,57000
2024-02-27,32.49000,32.80000,31.94000,32.00000,32100
2024-02-28,31.73000,32.08000,31.44000,31.44000,42800
2024-02-29,32.02000,32.31000,31.62000,31.83000,24800
2024-03-01,31.56000,31.65000,31.07000,31.32000,30800
2024-03-04,31.34000,32.03000,30.87000,30.91000,25100
2024-03-05,30.67000,31.97000,30.67000,31.59000,31600
2024-03-06,31.71000,32.06000,30.98000,31.63000,41600
2024-03-07,31.81000,32.11000,31.50000,31.98000,38300
2024-03-08,32.31000,32.78000,31.93000,31.95000,32600
2024-03-11,31.41000,32.23000,31.35000,32.23000,32300
2024-03-12,32.07000,32.17000,31.61000,31.90000,35300
2024-03-13,31.64000,32.24000,31.64000,31.84000,22500
2024-03-14,31.85000,31.85000,31.12000,31.17000,46200
2024-03-15,31.02000,31.84000,31.02000,31.56000,120400
2024-03-18,31.42000,31.70000,31.03000,31.06000,41100
2024-03-19,30.90000,31.61000,30.90000,31.39000,41600
2024-03-20,31.45000,33.43000,31.40000,33.05000,73000
2024-03-21,33.02000,33.71000,33.00000,33.42000,54500
2024-03-22,33.66000,33.74000,32.94000,33.06000,50100
2024-03-25,33.25000,33.42000,33.22000,33.25000,40500
2024-03-26,33.50000,33.50000,33.05000,33.07000,46400
2024-03-27,33.19000,34.10000,32.95000,34.08000,78000
2024-03-28,33.94000,34.46000,33.85000,34.37000,67500
2024-04-01,34.40000,34.40000,33.63000,33.64000,31200
2024-04-02,33.19000,33.51000,32.86000,32.88000,53700
2024-04-03,32.80000,33.60000,32.80000,32.96000,80300
2024-04-04,33.28000,33.54000,32.90000,33.00000,73000
2024-04-05,33.06000,33.59000,30.44000,33.51000,59700
2024-04-08,33.56000,34.17000,33.56000,34.05000,44600
2024-04-09,34.20000,34.30000,33.96000,34.10000,32000
2024-04-10,33.10000,33.17000,32.45000,32.89000,88000
2024-04-11,33.11000,33.19000,32.59000,32.70000,66300
2024-04-12,32.37000,32.57000,32.16000,32.25000,64400
2024-04-15,32.19000,32.52000,31.67000,32.05000,36500
2024-04-16,31.73000,31.96000,31.63000,31.84000,27300
2024-04-17,33.15000,33.43000,31.51000,31.80000,84900
2024-04-18,31.48000,31.51000,31.07000,31.13000,57000
2024-04-19,30.98000,32.44000,30.98000,32.42000,47500
2024-04-22,32.50000,32.95000,32.33000,32.91000,64200
2024-04-23,33.00000,34.32000,33.00000,34.29000,64000
2024-04-24,33.77000,34.08000,33.70000,33.96000,41900
2024-04-25,33.71000,33.89000,33.27000,33.64000,52600
2024-04-26,33.51000,33.75000,33.15000,33.31000,30200
2024-04-29,33.31000,33.43000,32.94000,33.26000,26700
2024-04-30,33.04000,33.45000,32.89000,33.31000,40400
2024-05-01,33.54000,34.19000,33.30000,33.49000,43000
2024-05-02,33.71000,34.25000,33.59000,34.14000,35200
2024-05-03,34.44000,34.50000,34.04000,34.04000,29700
2024-05-06,34.28000,34.50000,34.28000,34.31000,27100
2024-05-07,34.50000,34.50000,34.08000,34.12000,30200
2024-05-08,34.09000,34.33000,33.99000,34.26000,19000
2024-05-09,34.24000,34.50000,34.15000,34.48000,28700
2024-05-10,34.35000,34.48000,33.99000,34.38000,37700
2024-05-13,34.50000,34.62000,34.16000,34.22000,45100
2024-05-14,34.50000,34.50000,34.10000,34.13000,23500
2024-05-15,34.33000,34.50000,34.14000,34.32000,22800
2024-05-16,34.32000,34.50000,34.20000,34.33000,46800
2024-05-17,34.50000,34.98000,34.46000,34.94000,58400
2024-05-20,34.99000,34.99000,34.08000,34.08000,32200
2024-05-21,33.93000,34.56000,33.93000,34.33000,18100
2024-05-22,34.25000,34.46000,33.95000,34.14000,43200
2024-05-23,34.18000,34.38000,33.21000,33.34000,33400
2024-05-24,33.48000,33.87000,33.41000,33.85000,21500
2024-05-28,34.07000,34.07000,33.38000,33.47000,22500
2024-05-29,32.73000,33.20000,31.75000,32.86000,30000
2024-05-30,33.27000,33.54000,33.15000,33.37000,22500
2024-05-31,33.72000,33.91000,33.20000,33.70000,54200
2024-06-03,33.89000,33.89000,33.15000,33.30000,36300
2024-06-04,33.02000,33.33000,32.82000,32.90000,37800
2024-06-05,33.15000,33.53000,33.04000,33.41000,23700
2024-06-06,33.18000,33.49000,33.01000,33.40000,22100
2024-06-07,33.10000,33.55000,33.10000,33.47000,27400
2024-06-10,33.11000,33.38000,32.72000,33.08000,36200
2024-06-11,32.72000,33.26000,32.24000,33.06000,47500
2024-06-12,34.09000,34.58000,33.35000,33.64000,32200
2024-06-13,34.03000,34.03000,33.04000,33.45000,19000
2024-06-14,32.86000,33.17000,32.79000,33.15000,29900
2024-06-17,33.04000,33.41000,32.37000,33.15000,46300
2024-06-18,33.21000,33.82000,32.97000,33.21000,31400
2024-06-20,32.85000,33.55000,32.85000,33.42000,20700
2024-06-21,33.43000,33.63000,33.05000,33.39000,80100
2024-06-24,33.63000,34.25000,33.42000,33.65000,74400
2024-06-25,33.49000,34.01000,33.36000,33.41000,17700
2024-06-26,33.06000,33.87000,32.85000,33.58000,27100
2024-06-27,33.88000,34.08000,33.58000,34.06000,38600
2024-06-28,34.25000,35.20000,34.24000,35.20000,238800
2024-07-01,35.20000,35.34000,34.50000,34.90000,35100
2024-07-02,35.17000,35.34000,35.00000,35.17000,35700
2024-07-03,35.20000,35.20000,34.69000,34.77000,17200
2024-07-05,34.60000,34.60000,33.82000,33.89000,23500
2024-07-08,34.30000,34.60000,34.00000,34.19000,28800
2024-07-09,34.07000,34.59000,34.07000,34.42000,19400
2024-07-10,34.66000,35.21000,34.63000,35.20000,28700
2024-07-11,35.35000,37.49000,34.89000,36.76000,117900
2024-07-12,36.67000,37.29000,36.00000,36.82000,100400
2024-07-15,37.41000,38.59000,37.25000,38.44000,71200
2024-07-16,38.64000,40.52000,38.64000,40.40000,123400
2024-07-17,38.73000,41.50000,38.21000,40.66000,86900
2024-07-18,40.32000,41.12000,38.96000,39.58000,63900
2024-07-19,39.66000,40.17000,39.45000,39.79000,55200
2024-07-22,39.38000,40.84000,38.73000,40.45000,95000
2024-07-23,40.34000,41.49000,40.34000,41.20000,65600
2024-07-24,40.98000,41.83000,39.88000,40.22000,64200
2024-07-25,40.42000,41.95000,40.36000,41.08000,51900
2024-07-26,41.67000,41.80000,40.92000,41.61000,53300
2024-07-29,41.65000,41.73000,40.79000,41.15000,38500
2024-07-30,41.54000,41.73000,41.16000,41.34000,30500
2024-07-31,40.99000,42.02000,40.39000,40.50000,76100
2024-08-01,40.52000,40.52000,38.33000,38.56000,56200
2024-08-02,37.06000,38.51000,36.77000,37.62000,46400
2024-08-05,36.15000,36.69000,32.95000,36.15000,62000
2024-08-06,35.89000,36.61000,35.89000,36.10000,20700
2024-08-07,36.59000,36.59000,35.40000,35.99000,96100
2024-08-08,36.43000,36.83000,36.31000,36.68000,23300
2024-08-09,36.52000,36.96000,36.02000,36.94000,44100
2024-08-12,37.10000,37.10000,35.92000,36.55000,38900
2024-08-13,37.02000,37.11000,36.35000,36.94000,20500
2024-08-14,37.25000,37.25000,36.37000,36.61000,38000
2024-08-15,37.49000,38.36000,37.49000,37.71000,29200
2024-08-16,37.66000,38.82000,37.66000,38.24000,22300
2024-08-19,38.39000,39.00000,38.18000,38.91000,18300
2024-08-20,38.85000,39.12000,38.21000,38.31000,20400
2024-08-21,38.47000,38.60000,37.96000,38.50000,36100
2024-08-22,38.35000,39.07000,38.21000,39.00000,51500
2024-08-23,39.28000,41.77000,39.28000,40.76000,49200
2024-08-26,40.85000,41.06000,40.35000,40.56000,32900
2024-08-27,40.17000,40.65000,39.99000,40.50000,22800
2024-08-28,40.50000,41.00000,39.96000,40.74000,18400
2024-08-29,41.14000,41.23000,40.55000,40.76000,20500
2024-08-30,40.78000,41.00000,40.33000,40.79000,19600
2024-09-03,40.36000,40.49000,39.55000,40.04000,40200
2024-09-04,39.98000,40.20000,39.19000,39.93000,45800
