date,open,high,low,close,volume
2023-10-02,16.09000,16.37000,15.36000,15.97000,11500
2023-10-03,15.88000,16.17000,15.46000,15.51000,2600
2023-10-04,15.51000,15.51000,15.30000,15.30000,2100
2023-10-05,15.30000,15.67000,15.15000,15.25000,3400
2023-10-06,14.99000,15.76000,14.99000,15.11000,5600
2023-10-09,14.86000,15.80000,14.86000,15.70000,7400
2023-10-10,15.80000,16.22000,15.50000,15.60000,13700
2023-10-11,15.50000,15.90000,15.50000,15.50000,6500
2023-10-12,15.27000,15.80000,15.15000,15.50000,12900
2023-10-13,15.47000,15.60000,15.05000,15.06000,4400
2023-10-16,15.15000,15.49000,14.69000,14.76000,15000
2023-10-17,14.79000,15.50000,14.79000,15.01000,7600
2023-10-18,15.30000,15.49000,14.80000,15.05000,26600
2023-10-19,15.02000,15.38000,14.96000,15.04000,13700
2023-10-20,15.16000,15.26000,14.96000,15.26000,10000
2023-10-23,15.20000,15.39000,15.05000,15.32000,11600
2023-10-24,15.32000,16.15000,15.23000,15.75000,10200
2023-10-25,15.81000,15.81000,15.20000,15.64000,3800
2023-10-26,15.70000,16.39000,15.44000,15.69000,12400
2023-10-27,15.54000,15.99000,15.46000,15.70000,4600
2023-10-30,15.93000,16.14000,15.53000,15.84000,13800
2023-10-31,16.35000,16.35000,15.96000,15.96000,3600
2023-11-01,15.92000,16.33000,15.65000,16.23000,10600
2023-11-02,16.44000,17.61000,16.44000,17.27000,16000
2023-11-03,17.00000,17.32000,16.81000,17.13000,13300
2023-11-06,17.38000,17.87000,17.20000,17.43000,13900
2023-11-07,17.58000,17.58000,16.27000,16.93000,5700
2023-11-08,17.17000,17.26000,16.66000,16.66000,7000
2023-11-09,16.91000,17.37000,16.66000,16.78000,4700
2023-11-10,16.70000,17.21000,16.70000,17.21000,4400
2023-11-13,17.27000,17.29000,16.86000,17.22000,2000
2023-11-14,16.84000,18.68000,16.84000,18.39000,16500
2023-11-15,18.55000,18.71000,18.20000,18.20000,9100
2023-11-16,18.70000,18.70000,17.88000,18.08000,9100
2023-11-17,17.85000,18.34000,17.71000,17.96000,14100
