date,open,high,low,close,volume
2025-03-12,503.00000,511.00000,490.00000,496.45001,9550
2025-03-13,508.50000,508.50000,472.00000,475.10001,8318
2025-03-17,481.85001,498.85001,455.29999,457.64999,20931
2025-03-19,465.00000,470.00000,457.00000,463.10001,51184
2025-03-20,469.00000,470.00000,460.00000,460.45001,24063
2025-03-21,462.54999,483.35001,462.54999,477.04999,19070
2025-03-24,490.00000,500.00000,466.00000,470.75000,18654
2025-03-25,477.00000,494.00000,474.00000,478.00000,22565
2025-03-26,482.00000,491.95001,455.10001,461.85001,11791
2025-03-27,464.95001,474.00000,443.00000,450.89999,21269
2025-03-28,450.89999,462.89999,430.00000,436.00000,40439
2025-04-01,436.00000,457.79999,424.00000,457.79999,18413
2025-04-02,457.79999,469.95001,445.00000,450.00000,20804
2025-04-03,450.00000,472.50000,446.00000,450.10001,25614
2025-04-04,452.35001,457.29999,441.10001,443.70001,5432
2025-04-07,433.75000,448.70001,421.54999,427.60001,12565
2025-04-08,429.00000,446.00000,420.00000,445.35001,5996
2025-04-09,444.95001,444.95001,432.00000,436.75000,2248
2025-04-11,445.70001,453.29999,433.14999,448.54999,2378
2025-04-15,454.25000,470.95001,448.54999,469.04999,7615
2025-04-16,469.04999,486.00000,469.04999,472.39999,12743
2025-04-17,475.00000,482.89999,468.00000,477.50000,14313
2025-04-21,482.89999,501.35001,461.50000,500.64999,26130
2025-04-22,502.00000,525.65002,493.00000,525.50000,18088
2025-04-23,530.75000,538.90002,514.90002,536.95001,12093
2025-04-24,526.50000,528.00000,526.50000,526.50000,702
2025-04-25,516.00000,522.40002,516.00000,516.00000,548
2025-04-28,515.00000,516.00000,506.00000,515.00000,865
2025-04-29,504.70001,506.00000,504.70001,504.70001,702
2025-04-30,495.04999,500.00000,494.60001,495.04999,2852
2025-05-02,485.14999,495.00000,485.14999,485.14999,21
2025-05-05,475.45001,475.45001,475.45001,475.45001,2457
2025-05-06,465.95001,465.95001,465.95001,465.95001,635
2025-05-07,456.64999,460.00000,456.64999,456.64999,5448
2025-05-08,453.39999,456.60001,447.54999,453.39999,1374
2025-05-09,444.35001,446.00000,444.35001,444.35001,899
2025-05-12,452.95001,452.95001,444.50000,452.95001,4272
2025-05-13,462.00000,462.00000,461.95001,462.00000,1863
2025-05-14,471.20001,471.20001,464.00000,471.20001,2215
2025-05-15,479.00000,479.00000,472.00000,479.00000,2357
2025-05-16,488.54999,488.54999,488.54999,488.54999,1564
2025-05-19,492.00000,492.00000,488.54999,492.00000,1905
2025-05-20,501.79999,501.79999,501.79999,501.79999,4631
2025-05-21,511.79999,511.79999,509.45001,511.79999,5638
2025-05-22,522.00000,522.00000,522.00000,522.00000,3582
2025-05-23,529.95001,532.40002,529.95001,529.95001,3946
2025-05-26,519.34998,529.95001,519.34998,519.34998,1021
2025-05-27,510.00000,511.45001,509.00000,510.00000,1722
2025-05-28,499.79999,510.00000,499.79999,499.79999,2857
2025-05-29,490.04999,494.79999,489.79999,490.04999,3554
2025-05-30,490.00000,490.00000,487.04999,490.00000,2935
2025-06-02,497.79999,497.85001,480.00000,484.70001,3047
2025-06-03,488.70001,491.89999,476.10001,484.50000,2385
2025-06-04,480.00000,481.00000,460.29999,462.70001,34449
2025-06-05,458.00000,478.89999,440.70001,465.29999,25378
2025-06-06,457.20001,470.95001,456.14999,459.85001,23175
2025-06-09,482.79999,482.79999,463.04999,482.79999,21859
2025-06-10,506.89999,506.89999,506.89999,506.89999,3289
2025-06-11,532.20001,532.20001,532.20001,532.20001,7958
2025-06-12,558.79999,558.79999,558.79999,558.79999,9846
2025-06-13,547.65002,547.65002,547.65002,547.65002,7666
2025-06-16,536.70001,536.70001,536.70001,536.70001,2231
2025-06-17,526.00000,526.00000,526.00000,526.00000,1693
2025-06-18,515.50000,515.50000,515.50000,515.50000,975
2025-06-19,505.20001,505.20001,505.20001,505.20001,1093
2025-06-20,515.29999,515.29999,495.10001,515.29999,34284
2025-06-23,525.59998,525.59998,505.00000,525.59998,9710
2025-06-24,527.50000,536.09998,527.50000,527.50000,5637
2025-06-25,528.00000,536.70001,527.50000,528.00000,6059
2025-06-26,538.54999,538.54999,528.00000,538.54999,9377
2025-06-27,549.29999,549.29999,549.00000,549.29999,2754
2025-06-30,560.25000,560.25000,540.09998,560.25000,3087
2025-07-01,570.00000,570.00000,552.54999,570.00000,24014
2025-07-02,573.95001,575.00000,567.90002,573.95001,6274
2025-07-03,563.00000,573.95001,562.90002,563.00000,2339
2025-07-04,565.00000,565.00000,555.04999,565.00000,6968
2025-07-07,558.00000,562.15002,558.00000,558.00000,379
2025-07-08,555.00000,561.00000,555.00000,555.00000,8198
2025-07-09,555.00000,564.95001,555.00000,555.00000,1501
2025-07-10,554.95001,562.00000,554.95001,554.95001,2822
2025-07-11,548.00000,554.50000,545.00000,548.00000,1208
2025-07-14,555.95001,558.95001,550.00000,555.95001,2607
2025-07-15,567.04999,567.04999,551.00000,567.04999,7523
2025-07-16,575.00000,577.00000,565.00000,575.00000,4343
2025-07-17,586.50000,586.50000,584.00000,586.50000,4974
2025-07-18,584.00000,597.34998,577.50000,584.00000,5462
2025-07-21,572.50000,582.70001,572.34998,572.34998,5567
2025-07-22,561.09998,565.04999,561.00000,561.09998,9122
2025-07-23,561.09998,561.50000,561.00000,561.09998,1674
2025-07-24,555.00000,561.09998,555.00000,555.00000,1816
2025-07-25,549.00000,555.00000,548.15002,549.00000,1338
2025-07-28,545.00000,564.95001,525.54999,528.90002,6359
2025-07-29,543.20001,555.29999,530.04999,550.25000,5169
2025-07-30,552.00000,555.00000,540.15002,550.90002,2383
2025-07-31,550.00000,560.00000,542.00000,548.25000,9605
2025-08-01,545.50000,564.90002,531.15002,540.90002,2902
2025-08-04,540.00000,540.00000,525.00000,525.70001,7825
2025-08-05,548.90002,548.90002,521.00000,540.75000,4872
2025-08-06,530.00000,535.59998,516.65002,521.45001,2076
2025-08-07,520.00000,533.90002,495.39999,514.34998,11448
2025-08-08,513.54999,520.00000,492.20001,508.75000,3573
2025-08-11,508.70001,522.54999,490.50000,509.00000,9328
2025-08-12,511.70001,549.00000,504.45001,539.50000,25727
2025-08-13,540.75000,562.00000,524.00000,549.34998,36961
2025-08-14,550.00000,599.00000,548.00000,569.45001,51705
2025-08-18,580.00000,581.40002,551.00000,560.54999,18752
2025-08-19,562.25000,567.54999,548.00000,565.65002,17165
2025-08-20,574.20001,678.75000,574.20001,639.20001,284916
2025-08-21,639.20001,663.50000,621.00000,633.04999,38286
2025-08-22,635.90002,636.20001,607.75000,614.75000,10555
2025-08-25,614.75000,637.95001,611.00000,625.90002,7624
2025-08-26,620.20001,638.00000,614.00000,620.29999,15875
2025-08-28,621.00000,627.00000,606.40002,622.04999,6114
2025-08-29,629.00000,674.90002,629.00000,669.20001,133192
2025-09-01,675.00000,684.00000,664.95001,673.40002,22875
2025-09-02,673.29999,677.34998,661.00000,667.59998,11147
2025-09-03,666.95001,677.40002,645.25000,669.15002,24170
2025-09-04,682.54999,689.79999,654.29999,666.75000,10620
2025-09-05,673.40002,677.90002,663.50000,666.20001,6663
2025-09-08,669.70001,693.40002,666.20001,686.34998,17412
2025-09-09,686.34998,692.45001,671.00000,675.15002,9442
2025-09-10,670.34998,674.95001,654.04999,658.29999,7471
2025-09-11,658.29999,683.95001,653.70001,673.90002,9398
2025-09-12,677.04999,686.00000,663.09998,679.90002,17193
2025-09-15,680.00000,682.95001,667.04999,672.04999,8796
2025-09-16,672.09998,684.00000,658.65002,662.40002,20999
2025-09-17,678.90002,678.90002,665.70001,671.70001,7531
2025-09-18,675.00000,685.95001,671.50000,680.34998,9123
2025-09-19,683.90002,742.50000,681.50000,689.15002,98971
2025-09-22,689.00000,712.00000,682.00000,687.95001,12907
2025-09-23,687.95001,723.79999,687.95001,713.65002,27694
2025-09-24,718.95001,750.00000,700.00000,720.09998,38906
2025-09-25,723.90002,737.20001,705.79999,713.95001,19139
2025-09-26,717.50000,717.50000,677.00000,680.20001,20214
2025-09-29,690.00000,703.95001,675.25000,697.40002,8935
2025-09-30,691.09998,696.29999,671.04999,675.59998,9249
2025-10-01,671.00000,691.00000,671.00000,683.34998,5670
2025-10-03,681.29999,724.00000,680.84998,714.79999,24020
2025-10-06,714.79999,717.00000,684.00000,689.34998,11498
2025-10-07,694.54999,697.79999,666.84998,673.15002,10093
2025-10-08,683.25000,707.40002,667.00000,685.70001,28166
2025-10-09,690.00000,695.00000,668.40002,686.09998,13227
2025-10-10,679.90002,691.95001,669.00000,679.04999,23813
2025-10-13,679.04999,681.79999,665.00000,666.34998,10217
2025-10-14,665.00000,681.00000,660.29999,665.00000,14014
2025-10-15,663.70001,672.00000,661.65002,668.90002,9226
2025-10-16,668.79999,678.90002,666.00000,669.20001,7213
2025-10-17,670.65002,674.15002,658.00000,660.20001,8196
2025-10-20,660.25000,663.09998,643.00000,653.45001,5857
2025-10-21,660.00000,663.95001,654.00000,654.29999,2413
2025-10-23,657.70001,669.50000,648.40002,662.20001,4951
2025-10-24,662.34998,662.84998,630.09998,640.95001,15442
2025-10-27,640.95001,642.79999,614.09998,615.75000,16485
2025-10-28,615.75000,633.15002,581.04999,596.04999,34199
2025-10-29,599.20001,618.25000,596.65002,612.50000,8365
2025-10-30,581.95001,589.95001,566.65002,585.75000,30111
2025-10-31,594.00000,598.84998,580.25000,594.20001,7517
2025-11-03,594.25000,605.00000,589.09998,598.84998,14700
2025-11-04,592.84998,598.00000,583.04999,586.34998,4157
2025-11-06,580.09998,589.45001,575.09998,580.25000,4257
2025-11-07,581.20001,595.00000,580.00000,585.45001,6533
2025-11-10,583.79999,583.79999,568.59998,578.40002,6054
2025-11-11,597.00000,597.00000,550.00000,566.09998,19755
2025-11-12,565.95001,590.95001,565.95001,584.25000,16226
2025-11-13,585.04999,585.95001,566.54999,576.45001,8909
2025-11-14,571.25000,575.25000,568.59998,573.29999,4818
2025-11-17,573.29999,585.00000,555.09998,561.20001,6123
2025-11-18,557.09998,566.04999,557.09998,559.20001,9233
2025-11-19,575.00000,575.00000,551.00000,554.70001,2417
2025-11-20,554.75000,568.45001,550.00000,560.25000,13780
2025-11-21,575.00000,575.00000,553.04999,557.90002,15405
2025-11-24,570.00000,570.00000,540.00000,544.09998,12416
2025-11-25,555.00000,555.00000,526.00000,528.04999,13487
2025-11-26,539.95001,539.95001,513.79999,524.15002,22436
2025-11-27,524.00000,545.00000,517.90002,535.95001,3871
2025-11-28,545.00000,555.00000,518.50000,525.00000,16163
2025-12-01,522.40002,524.75000,510.60001,518.40002,2248
2025-12-02,518.40002,527.40002,514.75000,520.95001,4085
2025-12-03,520.09998,535.00000,511.00000,518.40002,23663
2025-12-04,518.40002,519.20001,509.10001,515.04999,4051
2025-12-05,515.40002,515.40002,501.00000,509.95001,2576
2025-12-08,513.54999,513.54999,500.39999,500.54999,5263
2025-12-09,498.04999,515.00000,490.50000,499.50000,7438
2025-12-10,510.00000,529.00000,501.00000,508.95001,7964
2025-12-11,511.45001,518.90002,502.00000,505.75000,7332
2025-12-12,505.60001,521.59998,501.00000,515.04999,7233
2025-12-15,520.00000,526.20001,508.89999,523.90002,9350
2025-12-16,527.90002,527.90002,515.04999,518.75000,2042
2025-12-17,523.40002,523.70001,505.54999,511.04999,10292
2025-12-18,516.15002,516.15002,495.00000,496.50000,8998
2025-12-19,500.00000,511.10001,498.10001,506.00000,9089
2025-12-22,500.00000,517.00000,500.00000,507.14999,10612
2025-12-23,509.14999,527.29999,506.00000,519.95001,13136
2025-12-24,522.00000,527.20001,512.50000,524.65002,6292
2025-12-26,528.00000,538.25000,514.00000,531.95001,15002
2025-12-29,535.00000,536.95001,509.00000,521.84998,19495
2025-12-30,528.79999,528.79999,517.04999,525.40002,5590
2025-12-31,513.00000,533.95001,510.25000,520.84998,11929
2026-01-01,520.00000,534.00000,510.00000,515.25000,4035
2026-01-02,517.95001,530.00000,512.04999,527.95001,5859
2026-01-05,538.00000,538.00000,507.75000,513.79999,7076
2026-01-06,509.00000,521.34998,503.00000,505.29999,4830
2026-01-07,509.75000,509.75000,485.85001,487.60001,10214
2026-01-08,485.50000,498.00000,462.00000,467.04999,9995
2026-01-09,467.04999,472.29999,449.00000,457.25000,7292
2026-01-12,450.10001,470.70001,440.10001,450.35001,10804
2026-01-13,446.20001,451.89999,437.20001,441.10001,6806
2026-01-14,441.10001,446.35001,430.00000,436.00000,9963
2026-01-16,436.00000,463.00000,423.00000,453.00000,9596
2026-01-19,449.00000,452.00000,430.10001,433.29999,15934
2026-01-20,433.00000,442.25000,422.00000,432.14999,9806
2026-01-21,433.04999,433.04999,412.20001,414.29999,7049
2026-01-22,414.29999,428.85001,411.64999,415.14999,4036
2026-01-23,415.14999,457.89999,411.64999,422.45001,28681
2026-01-27,422.45001,431.95001,405.50000,415.00000,12485
2026-01-28,418.29999,427.35001,400.00000,408.45001,19719
2026-01-29,408.54999,427.89999,408.54999,418.75000,5009
2026-01-30,410.35001,440.00000,410.35001,433.20001,9374
2026-02-02,419.54999,422.45001,410.00000,414.00000,2094
2026-02-03,424.04999,496.79999,420.00000,426.04999,7065
2026-02-04,425.50000,445.00000,423.04999,441.45001,4829
2026-02-05,441.00000,446.95001,431.10001,435.29999,2021
2026-02-06,448.89999,448.89999,421.60001,434.64999,12219
2026-02-09,422.00000,426.89999,406.00000,413.35001,20931
2026-02-10,415.00000,425.00000,415.00000,422.10001,6969
2026-02-11,422.14999,422.14999,412.50000,417.35001,4127
2026-02-12,425.70001,437.45001,403.14999,408.29999,13136
2026-02-13,407.45001,422.00000,407.00000,409.75000,5826
2026-02-16,413.79999,413.79999,400.10001,406.64999,3258
2026-02-17,410.54999,411.89999,394.89999,397.20001,7187
2026-02-18,395.20001,409.89999,395.20001,401.25000,8506
2026-02-19,399.04999,404.00000,392.95001,397.45001,7054
2026-02-20,393.00000,398.29999,393.00000,396.25000,3360
2026-02-23,396.25000,408.39999,386.25000,390.75000,7128
2026-02-24,392.45001,395.00000,386.00000,394.29999,5459
2026-02-25,398.70001,405.00000,392.39999,394.64999,10345
2026-02-26,399.95001,399.95001,379.89999,385.54999,13379
2026-02-27,384.89999,420.60001,382.10001,388.75000,20724
2026-03-02,370.00000,425.00000,370.00000,405.79999,18048
2026-03-04,406.00000,413.95001,383.50000,390.10001,6547
2026-03-05,394.00000,402.25000,382.00000,384.79999,4242
2026-03-06,395.89999,395.89999,384.04999,385.95001,3048
2026-03-09,384.00000,384.89999,371.00000,374.29999,8623
2026-03-10,370.00000,385.39999,370.00000,376.85001,13951
2026-03-11,373.04999,383.70001,370.00000,375.35001,13385
2026-03-12,389.95001,389.95001,370.10001,372.39999,9635
2026-03-13,370.25000,374.25000,361.00000,366.29999,12290
2026-03-16,366.29999,369.95001,336.60001,347.39999,23668
2026-03-17,340.89999,392.95001,336.10001,343.79999,142111
2026-03-18,343.70001,355.45001,330.00000,333.79999,43258
2026-03-19,332.50000,332.50000,320.50000,321.85001,15383
2026-03-20,327.75000,332.95001,326.35001,329.00000,2032
